Ship Number,Trip Number,Tow Number
JEANMATHIEU,5,4
Comments
"ZONE 12 NORD EST BRADELLE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,21-Aug-2017,142741,47 45.510800 N,062 23.380800 W,3.6,72.4,A,,,,,,
,21-Aug-2017,142742,47 45.511000 N,062 23.379300 W,3.6,73.3,A,,,,,,
Mon Aug 21 11:27:42 2017,21-Aug-2017,142743,47 45.511100 N,062 23.377800 W,3.6,74.7,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142744,47 45.511300 N,062 23.376500 W,3.5,75.0,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142745,47 45.511700 N,062 23.375100 W,3.5,73.7,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142746,47 45.512100 N,062 23.373800 W,3.5,72.9,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142747,47 45.512400 N,062 23.372400 W,3.5,73.0,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142748,47 45.512500 N,062 23.371000 W,3.5,73.7,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142749,47 45.512800 N,062 23.369600 W,3.5,74.2,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142750,47 45.513100 N,062 23.368300 W,3.5,73.6,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142751,47 45.513400 N,062 23.367000 W,3.5,72.7,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142752,47 45.513700 N,062 23.365700 W,3.5,72.5,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142753,47 45.513900 N,062 23.364300 W,3.5,73.2,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142754,47 45.514100 N,062 23.362800 W,3.5,74.3,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142755,47 45.514300 N,062 23.361500 W,3.5,74.4,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142756,47 45.514600 N,062 23.360300 W,3.4,73.4,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142757,47 45.515000 N,062 23.359000 W,3.4,72.2,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:42 2017,21-Aug-2017,142758,47 45.515300 N,062 23.357500 W,3.5,72.3,A,DoorSpread,DoorMaster,2.930000,D,S,30140.000000
Mon Aug 21 11:27:58 2017,21-Aug-2017,142759,47 45.515500 N,062 23.356000 W,3.5,73.5,A,DoorSpread,DoorMaster,3.275000,D,S,47803.000000
Mon Aug 21 11:27:58 2017,21-Aug-2017,142800,47 45.515600 N,062 23.354700 W,3.5,74.3,A,DoorSpread,DoorMaster,3.275000,D,S,47803.000000
Mon Aug 21 11:27:58 2017,21-Aug-2017,142801,47 45.515900 N,062 23.353500 W,3.4,73.7,A,DoorSpread,DoorMaster,3.275000,D,S,47803.000000
Mon Aug 21 11:27:58 2017,21-Aug-2017,142802,47 45.516300 N,062 23.352300 W,3.4,72.4,A,DoorSpread,DoorMaster,3.275000,D,S,47803.000000
Mon Aug 21 11:27:58 2017,21-Aug-2017,142803,47 45.516600 N,062 23.350900 W,3.5,72.2,A,DoorSpread,DoorMaster,3.275000,D,S,47803.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142804,47 45.516700 N,062 23.349400 W,3.5,73.5,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142805,47 45.516800 N,062 23.348200 W,3.4,75.0,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142806,47 45.517100 N,062 23.347000 W,3.3,74.9,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142807,47 45.517400 N,062 23.345800 W,3.3,74.0,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142808,47 45.517600 N,062 23.344600 W,3.3,74.0,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142809,47 45.517700 N,062 23.343400 W,3.2,75.2,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142810,47 45.517800 N,062 23.342300 W,3.1,76.0,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142811,47 45.517900 N,062 23.341200 W,3.1,75.9,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142812,47 45.518100 N,062 23.340100 W,3.0,75.9,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142813,47 45.518300 N,062 23.339100 W,2.9,75.9,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142814,47 45.518400 N,062 23.338100 W,2.9,75.6,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142815,47 45.518600 N,062 23.337100 W,2.8,75.4,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142816,47 45.518700 N,062 23.336000 W,2.8,75.7,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142817,47 45.518800 N,062 23.335000 W,2.7,76.3,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142818,47 45.518900 N,062 23.334200 W,2.7,76.5,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142819,47 45.519100 N,062 23.333300 W,2.6,76.6,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142820,47 45.519300 N,062 23.332300 W,2.6,76.2,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142821,47 45.519500 N,062 23.331300 W,2.6,75.4,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142822,47 45.519600 N,062 23.330500 W,2.5,75.4,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142823,47 45.519700 N,062 23.329700 W,2.4,76.5,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:04 2017,21-Aug-2017,142824,47 45.519800 N,062 23.328700 W,2.4,77.3,A,Depth,Depth,3.055556,D,S,20667.000000
Mon Aug 21 11:28:25 2017,21-Aug-2017,142825,47 45.520000 N,062 23.327800 W,2.4,76.8,A,Depth,Depth,5.000000,D,S,50569.000000
Mon Aug 21 11:28:25 2017,21-Aug-2017,142826,47 45.520300 N,062 23.327000 W,2.4,75.8,A,Primary,Headline,1.346939,D,S,27321.000000
Mon Aug 21 11:28:25 2017,21-Aug-2017,142827,47 45.520400 N,062 23.326300 W,2.3,75.7,A,Primary,Headline,1.346939,D,S,27321.000000
Mon Aug 21 11:28:25 2017,21-Aug-2017,142828,47 45.520500 N,062 23.325500 W,2.2,76.4,A,Primary,Headline,1.346939,D,S,27321.000000
Mon Aug 21 11:28:25 2017,21-Aug-2017,142829,47 45.520600 N,062 23.324600 W,2.3,77.1,A,Primary,Headline,1.346939,D,S,27321.000000
Mon Aug 21 11:28:29 2017,21-Aug-2017,142830,47 45.520700 N,062 23.323700 W,2.2,77.2,A,DoorSpread,DoorMaster,0.000000,E,S,57008.000000
Mon Aug 21 11:28:30 2017,21-Aug-2017,142831,47 45.520900 N,062 23.323000 W,2.2,76.7,A,Primary,Headline,2.612245,D,S,35377.000000
Mon Aug 21 11:28:32 2017,21-Aug-2017,142832,47 45.521100 N,062 23.322300 W,2.1,75.8,A,Depth,Depth,1.481481,D,S,45656.000000
Mon Aug 21 11:28:32 2017,21-Aug-2017,142833,47 45.521300 N,062 23.321500 W,2.1,75.2,A,Depth,Depth,1.481481,D,S,45656.000000
Mon Aug 21 11:28:32 2017,21-Aug-2017,142834,47 45.521400 N,062 23.320700 W,2.1,75.1,A,Depth,Depth,1.481481,D,S,45656.000000
Mon Aug 21 11:28:34 2017,21-Aug-2017,142835,47 45.521500 N,062 23.319900 W,2.1,76.0,A,DoorSpread,DoorMaster,0.000000,E,S,69407.000000
Mon Aug 21 11:28:34 2017,21-Aug-2017,142836,47 45.521600 N,062 23.319200 W,2.0,76.4,A,DoorSpread,DoorMaster,0.000000,E,S,69407.000000
Mon Aug 21 11:28:34 2017,21-Aug-2017,142837,47 45.521800 N,062 23.318500 W,2.0,76.1,A,DoorSpread,DoorMaster,0.000000,E,S,69407.000000
Mon Aug 21 11:28:34 2017,21-Aug-2017,142838,47 45.521900 N,062 23.317700 W,2.0,75.3,A,DoorSpread,DoorMaster,0.000000,E,S,69407.000000
Mon Aug 21 11:28:34 2017,21-Aug-2017,142839,47 45.522100 N,062 23.317100 W,1.9,75.1,A,DoorSpread,DoorMaster,0.000000,E,S,69407.000000
Mon Aug 21 11:28:39 2017,21-Aug-2017,142840,47 45.522200 N,062 23.316300 W,1.9,75.2,A,DoorSpread,DoorMaster,0.000000,E,S,69794.000000
Mon Aug 21 11:28:39 2017,21-Aug-2017,142841,47 45.522200 N,062 23.315600 W,1.9,75.7,A,DoorSpread,DoorMaster,0.000000,E,S,69794.000000
Mon Aug 21 11:28:39 2017,21-Aug-2017,142842,47 45.522300 N,062 23.314900 W,1.9,76.1,A,DoorSpread,DoorMaster,0.000000,E,S,69794.000000
Mon Aug 21 11:28:39 2017,21-Aug-2017,142843,47 45.522400 N,062 23.314400 W,1.8,75.4,A,DoorSpread,DoorMaster,0.000000,E,S,69794.000000
Mon Aug 21 11:28:39 2017,21-Aug-2017,142844,47 45.522600 N,062 23.313600 W,1.8,74.3,A,DoorSpread,DoorMaster,0.000000,E,S,69794.000000
