Ship Number,Trip Number,Tow Number
JEANMATHIEU,7,2
Comments
"ZONE 12 INVERNESS"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,16-Sep-2017,110147,46 12.662100 N,061 35.722600 W,3.5,16.0,A,,,,,,
,16-Sep-2017,110148,46 12.663000 N,061 35.722100 W,3.5,16.3,A,,,,,,
,16-Sep-2017,110149,46 12.663900 N,061 35.721600 W,3.5,16.9,A,,,,,,
,16-Sep-2017,110150,46 12.664700 N,061 35.721200 W,3.5,17.2,A,,,,,,
,16-Sep-2017,110151,46 12.665600 N,061 35.720800 W,3.4,17.1,A,,,,,,
,16-Sep-2017,110152,46 12.666400 N,061 35.720500 W,3.4,16.9,A,,,,,,
,16-Sep-2017,110153,46 12.667300 N,061 35.720000 W,3.4,17.1,A,,,,,,
Sat Sep 16 08:01:54 2017,16-Sep-2017,110154,46 12.668100 N,061 35.719600 W,3.3,17.5,A,DoorSpread,DoorMaster,2.210000,D,S,64670.000000
Sat Sep 16 08:01:54 2017,16-Sep-2017,110155,46 12.668800 N,061 35.719200 W,3.2,17.8,A,DoorSpread,DoorMaster,2.210000,D,S,64670.000000
Sat Sep 16 08:01:54 2017,16-Sep-2017,110156,46 12.669600 N,061 35.718900 W,3.2,17.5,A,DoorSpread,DoorMaster,2.210000,D,S,64670.000000
Sat Sep 16 08:01:54 2017,16-Sep-2017,110157,46 12.670400 N,061 35.718700 W,3.2,17.0,A,DoorSpread,DoorMaster,2.210000,D,S,64670.000000
Sat Sep 16 08:01:54 2017,16-Sep-2017,110158,46 12.671100 N,061 35.718300 W,3.1,17.4,A,DoorSpread,DoorMaster,2.210000,D,S,64670.000000
Sat Sep 16 08:01:54 2017,16-Sep-2017,110159,46 12.671700 N,061 35.717900 W,3.0,17.8,A,DoorSpread,DoorMaster,2.210000,D,S,64670.000000
