Ship Number,Trip Number,Tow Number
JEANMATHIEU,7,10
Comments
"ZONE 12 MARGAREE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,16-Sep-2017,202615,46 32.473600 N,061 26.513100 W,3.6,212.3,A,,,,,,
,16-Sep-2017,202616,46 32.472700 N,061 26.513700 W,3.6,211.8,A,,,,,,
,16-Sep-2017,202617,46 32.471900 N,061 26.514300 W,3.6,211.0,A,,,,,,
,16-Sep-2017,202618,46 32.471100 N,061 26.514900 W,3.5,210.1,A,,,,,,
,16-Sep-2017,202619,46 32.470300 N,061 26.515500 W,3.5,209.7,A,,,,,,
,16-Sep-2017,202620,46 32.469400 N,061 26.516100 W,3.5,209.2,A,,,,,,
,16-Sep-2017,202621,46 32.468700 N,061 26.516600 W,3.4,208.4,A,,,,,,
,16-Sep-2017,202622,46 32.467900 N,061 26.517100 W,3.4,207.7,A,,,,,,
,16-Sep-2017,202623,46 32.467100 N,061 26.517600 W,3.3,207.4,A,,,,,,
,16-Sep-2017,202624,46 32.466400 N,061 26.518100 W,3.3,207.0,A,,,,,,
,16-Sep-2017,202625,46 32.465600 N,061 26.518500 W,3.3,206.3,A,,,,,,
Sat Sep 16 17:26:25 2017,16-Sep-2017,202626,46 32.464900 N,061 26.519000 W,3.2,206.1,A,DoorSpread,DoorMaster,3.605000,D,S,139897.000000
Sat Sep 16 17:26:25 2017,16-Sep-2017,202627,46 32.464200 N,061 26.519500 W,3.1,206.2,A,DoorSpread,DoorMaster,3.605000,D,S,139897.000000
Sat Sep 16 17:26:25 2017,16-Sep-2017,202628,46 32.463400 N,061 26.519900 W,3.1,205.8,A,DoorSpread,DoorMaster,3.605000,D,S,139897.000000
Sat Sep 16 17:26:25 2017,16-Sep-2017,202629,46 32.462800 N,061 26.520400 W,3.0,205.6,A,DoorSpread,DoorMaster,3.605000,D,S,139897.000000
Sat Sep 16 17:26:25 2017,16-Sep-2017,202630,46 32.462200 N,061 26.520800 W,2.9,205.6,A,DoorSpread,DoorMaster,3.605000,D,S,139897.000000
Sat Sep 16 17:26:25 2017,16-Sep-2017,202631,46 32.461600 N,061 26.521300 W,2.9,205.7,A,DoorSpread,DoorMaster,3.605000,D,S,139897.000000
Sat Sep 16 17:26:30 2017,16-Sep-2017,202632,46 32.460900 N,061 26.521700 W,2.9,205.8,A,DoorSpread,DoorMaster,3.150000,D,S,190840.000000
Sat Sep 16 17:26:30 2017,16-Sep-2017,202633,46 32.460300 N,061 26.522100 W,2.8,205.7,A,DoorSpread,DoorMaster,3.150000,D,S,190840.000000
Sat Sep 16 17:26:30 2017,16-Sep-2017,202634,46 32.459700 N,061 26.522500 W,2.7,205.6,A,DoorSpread,DoorMaster,3.150000,D,S,190840.000000
Sat Sep 16 17:26:34 2017,16-Sep-2017,202635,46 32.459100 N,061 26.522900 W,2.7,205.7,A,Depth,Depth,0.370370,D,S,58620.000000
Sat Sep 16 17:26:34 2017,16-Sep-2017,202636,46 32.458500 N,061 26.523300 W,2.7,205.6,A,Depth,Depth,0.370370,D,S,58620.000000
Sat Sep 16 17:26:36 2017,16-Sep-2017,202637,46 32.457900 N,061 26.523700 W,2.6,205.5,A,DoorSpread,DoorMaster,4.380000,D,S,91160.000000
Sat Sep 16 17:26:36 2017,16-Sep-2017,202638,46 32.457300 N,061 26.524100 W,2.6,205.7,A,DoorSpread,DoorMaster,4.380000,D,S,91160.000000
Sat Sep 16 17:26:36 2017,16-Sep-2017,202639,46 32.456800 N,061 26.524600 W,2.5,206.3,A,DoorSpread,DoorMaster,4.380000,D,S,91160.000000
Sat Sep 16 17:26:36 2017,16-Sep-2017,202640,46 32.456200 N,061 26.525000 W,2.5,206.3,A,DoorSpread,DoorMaster,4.380000,D,S,91160.000000
Sat Sep 16 17:26:36 2017,16-Sep-2017,202641,46 32.455600 N,061 26.525400 W,2.5,206.5,A,DoorSpread,DoorMaster,4.380000,D,S,91160.000000
Sat Sep 16 17:26:41 2017,16-Sep-2017,202642,46 32.455000 N,061 26.525800 W,2.4,206.7,A,Depth,Depth,2.037037,D,S,61075.000000
Sat Sep 16 17:26:41 2017,16-Sep-2017,202643,46 32.454400 N,061 26.526200 W,2.4,206.5,A,DoorSpread,DoorMaster,4.010000,D,S,176320.000000
Sat Sep 16 17:26:41 2017,16-Sep-2017,202644,46 32.453900 N,061 26.526600 W,2.4,206.5,A,DoorSpread,DoorMaster,4.010000,D,S,176320.000000
Sat Sep 16 17:26:41 2017,16-Sep-2017,202645,46 32.453300 N,061 26.527000 W,2.4,207.0,A,DoorSpread,DoorMaster,4.010000,D,S,176320.000000
