Ship Number,Trip Number,Tow Number
JEANMATHIEU,7,6
Comments
"ZONE 12 NORD DU CORRIDOR DU CAP-BRETON"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,18-Sep-2017,151624,47 19.421400 N,061 8.670100 W,4.1,285.2,A,,,,,,
Mon Sep 18 12:16:24 2017,18-Sep-2017,151625,47 19.421600 N,061 8.672000 W,4.2,284.1,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151626,47 19.421800 N,061 8.673800 W,4.3,282.8,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151627,47 19.422000 N,061 8.675700 W,4.3,281.9,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151628,47 19.422300 N,061 8.677700 W,4.4,281.3,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151629,47 19.422500 N,061 8.679700 W,4.5,280.9,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151630,47 19.422700 N,061 8.681700 W,4.6,280.4,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151631,47 19.422800 N,061 8.683700 W,4.7,279.7,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151632,47 19.423000 N,061 8.685800 W,4.7,278.8,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151633,47 19.423100 N,061 8.687900 W,4.8,278.4,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151634,47 19.423400 N,061 8.690000 W,4.9,278.4,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151635,47 19.423600 N,061 8.691900 W,4.9,278.7,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151636,47 19.423900 N,061 8.693900 W,4.9,279.0,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151637,47 19.424100 N,061 8.695800 W,4.9,279.0,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151638,47 19.424300 N,061 8.697700 W,4.8,278.7,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151639,47 19.424400 N,061 8.699400 W,4.7,278.5,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151640,47 19.424700 N,061 8.701100 W,4.7,279.1,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151641,47 19.424900 N,061 8.702900 W,4.7,279.9,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151642,47 19.425200 N,061 8.704400 W,4.6,280.0,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151643,47 19.425300 N,061 8.706000 W,4.5,279.5,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151644,47 19.425400 N,061 8.707600 W,4.4,279.4,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151645,47 19.425600 N,061 8.709200 W,4.4,279.7,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151646,47 19.425900 N,061 8.710800 W,4.3,280.3,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151647,47 19.426000 N,061 8.712400 W,4.3,280.6,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151648,47 19.426100 N,061 8.713900 W,4.2,280.1,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151649,47 19.426400 N,061 8.715400 W,4.1,279.5,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151650,47 19.426600 N,061 8.716900 W,4.1,279.6,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151651,47 19.426900 N,061 8.718500 W,4.1,279.9,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151652,47 19.427000 N,061 8.720000 W,4.0,279.8,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151653,47 19.427200 N,061 8.721400 W,3.9,279.6,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151654,47 19.427400 N,061 8.722800 W,3.9,279.4,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
Mon Sep 18 12:16:24 2017,18-Sep-2017,151655,47 19.427600 N,061 8.724300 W,3.9,279.1,A,DoorSpread,DoorMaster,2.360000,D,S,28108.000000
