Ship Number,Trip Number,Tow Number
JEAN MATHIEU,7,3
Comments
"ZONE 19 CAPE SAINT LAWRENCE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sun Sep 17 09:16:30 2017,17-Sep-2017,121631,47 12.895400 N,060 41.117400 W,1.8,60.0,A,DoorSpread,DoorMaster,0.000000,E,S,49676.000000
Sun Sep 17 09:16:30 2017,17-Sep-2017,121632,47 12.895600 N,060 41.116700 W,1.8,60.6,A,DoorSpread,DoorMaster,0.000000,E,S,49676.000000
Sun Sep 17 09:16:30 2017,17-Sep-2017,121633,47 12.895900 N,060 41.116200 W,1.8,61.1,A,DoorSpread,DoorMaster,0.000000,E,S,49676.000000
Sun Sep 17 09:16:33 2017,17-Sep-2017,121634,47 12.896200 N,060 41.115600 W,1.8,60.9,A,Depth,Depth,18.425926,D,S,54050.000000
Sun Sep 17 09:16:33 2017,17-Sep-2017,121635,47 12.896400 N,060 41.115000 W,1.8,60.5,A,Depth,Depth,18.425926,D,S,54050.000000
Sun Sep 17 09:16:35 2017,17-Sep-2017,121636,47 12.896600 N,060 41.114500 W,1.8,60.3,A,DoorSpread,DoorMaster,0.000000,E,S,88837.000000
Sun Sep 17 09:16:35 2017,17-Sep-2017,121637,47 12.897000 N,060 41.113900 W,1.8,60.2,A,DoorSpread,DoorMaster,0.000000,E,S,88837.000000
Sun Sep 17 09:16:35 2017,17-Sep-2017,121638,47 12.897200 N,060 41.113200 W,1.8,60.1,A,DoorSpread,DoorMaster,0.000000,E,S,88837.000000
Sun Sep 17 09:16:35 2017,17-Sep-2017,121639,47 12.897600 N,060 41.112600 W,1.9,59.5,A,DoorSpread,DoorMaster,0.000000,E,S,88837.000000
Sun Sep 17 09:16:35 2017,17-Sep-2017,121640,47 12.897900 N,060 41.112100 W,1.9,58.3,A,DoorSpread,DoorMaster,0.000000,E,S,88837.000000
Sun Sep 17 09:16:40 2017,17-Sep-2017,121641,47 12.898300 N,060 41.111500 W,1.9,56.0,A,Primary,Headline,2.857143,D,S,94511.000000
Sun Sep 17 09:16:40 2017,17-Sep-2017,121642,47 12.898700 N,060 41.110800 W,1.9,55.3,A,Primary,Headline,2.857143,D,S,94511.000000
Sun Sep 17 09:16:40 2017,17-Sep-2017,121643,47 12.899000 N,060 41.110100 W,2.0,55.9,A,Primary,Headline,2.857143,D,S,94511.000000
Sun Sep 17 09:16:40 2017,17-Sep-2017,121644,47 12.899400 N,060 41.109300 W,2.0,55.7,A,Primary,Headline,2.857143,D,S,94511.000000
Sun Sep 17 09:16:45 2017,17-Sep-2017,121645,47 12.899800 N,060 41.108600 W,2.1,54.3,A,Primary,Headline,2.265306,D,S,93636.000000
