Ship Number,Trip Number,Tow Number
JEAN MATHIEU,1,5
Comments
"ZONE 12F SUD EST DE LA ZONE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,10-Jul-2017,170726,47 30.154400 N,060 29.820800 W,2.0,37.4,A,,,,,,
,10-Jul-2017,170727,47 30.154700 N,060 29.820300 W,1.9,38.3,A,,,,,,
,10-Jul-2017,170728,47 30.155100 N,060 29.819700 W,1.9,40.9,A,,,,,,
,10-Jul-2017,170729,47 30.155400 N,060 29.819100 W,1.9,42.0,A,,,,,,
Mon Jul 10 14:07:29 2017,10-Jul-2017,170730,47 30.155800 N,060 29.818700 W,1.9,40.5,A,DoorSpread,DoorMaster,0.000000,E,S,165684.000000
Mon Jul 10 14:07:29 2017,10-Jul-2017,170731,47 30.156200 N,060 29.818300 W,1.9,38.8,A,DoorSpread,DoorMaster,0.000000,E,S,165684.000000
Mon Jul 10 14:07:29 2017,10-Jul-2017,170732,47 30.156600 N,060 29.817900 W,1.9,38.4,A,DoorSpread,DoorMaster,0.000000,E,S,165684.000000
Mon Jul 10 14:07:29 2017,10-Jul-2017,170733,47 30.157000 N,060 29.817200 W,1.9,39.5,A,DoorSpread,DoorMaster,0.000000,E,S,165684.000000
Mon Jul 10 14:07:29 2017,10-Jul-2017,170734,47 30.157400 N,060 29.816600 W,2.0,40.9,A,DoorSpread,DoorMaster,0.000000,E,S,165684.000000
Mon Jul 10 14:07:35 2017,10-Jul-2017,170735,47 30.157700 N,060 29.816200 W,1.9,41.0,A,DoorSpread,DoorMaster,1.675000,D,S,167791.000000
Mon Jul 10 14:07:35 2017,10-Jul-2017,170736,47 30.158100 N,060 29.815800 W,1.9,40.2,A,DoorSpread,DoorMaster,1.675000,D,S,167791.000000
Mon Jul 10 14:07:35 2017,10-Jul-2017,170737,47 30.158500 N,060 29.815400 W,1.8,38.9,A,DoorSpread,DoorMaster,1.675000,D,S,167791.000000
Mon Jul 10 14:07:35 2017,10-Jul-2017,170738,47 30.158800 N,060 29.815100 W,1.8,37.5,A,DoorSpread,DoorMaster,1.675000,D,S,167791.000000
Mon Jul 10 14:07:35 2017,10-Jul-2017,170739,47 30.159200 N,060 29.814600 W,1.8,38.9,A,DoorSpread,DoorMaster,1.675000,D,S,167791.000000
Mon Jul 10 14:07:40 2017,10-Jul-2017,170740,47 30.159500 N,060 29.813900 W,1.8,42.0,A,DoorSpread,DoorMaster,1.720000,D,S,169223.000000
Mon Jul 10 14:07:40 2017,10-Jul-2017,170741,47 30.159700 N,060 29.813400 W,1.8,43.7,A,DoorSpread,DoorMaster,1.720000,D,S,169223.000000
Mon Jul 10 14:07:40 2017,10-Jul-2017,170742,47 30.160000 N,060 29.813100 W,1.7,42.7,A,DoorSpread,DoorMaster,1.720000,D,S,169223.000000
Mon Jul 10 14:07:40 2017,10-Jul-2017,170743,47 30.160500 N,060 29.812700 W,1.7,39.9,A,DoorSpread,DoorMaster,1.720000,D,S,169223.000000
Mon Jul 10 14:07:40 2017,10-Jul-2017,170744,47 30.160900 N,060 29.812300 W,1.7,38.5,A,DoorSpread,DoorMaster,1.720000,D,S,169223.000000
Mon Jul 10 14:07:45 2017,10-Jul-2017,170745,47 30.161300 N,060 29.811900 W,1.7,38.8,A,DoorSpread,DoorMaster,0.000000,E,S,295265.000000
Mon Jul 10 14:07:45 2017,10-Jul-2017,170746,47 30.161400 N,060 29.811500 W,1.6,40.3,A,DoorSpread,DoorMaster,0.000000,E,S,295265.000000
Mon Jul 10 14:07:45 2017,10-Jul-2017,170747,47 30.161700 N,060 29.811000 W,1.6,41.8,A,DoorSpread,DoorMaster,0.000000,E,S,295265.000000
Mon Jul 10 14:07:45 2017,10-Jul-2017,170748,47 30.162000 N,060 29.810600 W,1.6,42.7,A,DoorSpread,DoorMaster,0.000000,E,S,295265.000000
Mon Jul 10 14:07:45 2017,10-Jul-2017,170749,47 30.162300 N,060 29.810200 W,1.5,42.3,A,DoorSpread,DoorMaster,0.000000,E,S,295265.000000
Mon Jul 10 14:07:45 2017,10-Jul-2017,170750,47 30.162600 N,060 29.809900 W,1.5,41.3,A,DoorSpread,DoorMaster,0.000000,E,S,295265.000000
Mon Jul 10 14:07:50 2017,10-Jul-2017,170751,47 30.162800 N,060 29.809700 W,1.5,40.7,A,DoorSpread,DoorMaster,2.515000,D,S,261053.000000
Mon Jul 10 14:07:50 2017,10-Jul-2017,170752,47 30.163000 N,060 29.809400 W,1.4,40.4,A,DoorSpread,DoorMaster,2.515000,D,S,261053.000000
Mon Jul 10 14:07:50 2017,10-Jul-2017,170753,47 30.163300 N,060 29.808900 W,1.5,41.3,A,DoorSpread,DoorMaster,2.515000,D,S,261053.000000
Mon Jul 10 14:07:50 2017,10-Jul-2017,170754,47 30.163500 N,060 29.808500 W,1.5,43.1,A,DoorSpread,DoorMaster,2.515000,D,S,261053.000000
Mon Jul 10 14:07:50 2017,10-Jul-2017,170755,47 30.163600 N,060 29.808300 W,1.4,44.2,A,DoorSpread,DoorMaster,2.515000,D,S,261053.000000
Mon Jul 10 14:07:56 2017,10-Jul-2017,170756,47 30.163800 N,060 29.808000 W,1.3,44.2,A,DoorSpread,DoorMaster,2.280000,D,S,300213.000000
Mon Jul 10 14:07:56 2017,10-Jul-2017,170757,47 30.164200 N,060 29.807500 W,1.4,43.5,A,DoorSpread,DoorMaster,2.280000,D,S,300213.000000
Mon Jul 10 14:07:56 2017,10-Jul-2017,170758,47 30.164600 N,060 29.807000 W,1.5,42.1,A,DoorSpread,DoorMaster,2.280000,D,S,300213.000000
Mon Jul 10 14:07:56 2017,10-Jul-2017,170759,47 30.165100 N,060 29.806700 W,1.6,39.6,A,DoorSpread,DoorMaster,2.280000,D,S,300213.000000
Mon Jul 10 14:07:56 2017,10-Jul-2017,170800,47 30.165500 N,060 29.806100 W,1.7,38.9,A,DoorSpread,DoorMaster,2.280000,D,S,300213.000000
Mon Jul 10 14:08:01 2017,10-Jul-2017,170801,47 30.166100 N,060 29.805200 W,1.9,40.3,A,DoorSpread,DoorMaster,2.800000,D,S,536626.000000
Mon Jul 10 14:08:01 2017,10-Jul-2017,170802,47 30.166800 N,060 29.804300 W,2.2,41.1,A,DoorSpread,DoorMaster,2.800000,D,S,536626.000000
Mon Jul 10 14:08:01 2017,10-Jul-2017,170803,47 30.167600 N,060 29.803400 W,2.4,40.1,A,DoorSpread,DoorMaster,2.800000,D,S,536626.000000
Mon Jul 10 14:08:01 2017,10-Jul-2017,170804,47 30.168600 N,060 29.802500 W,2.7,38.4,A,DoorSpread,DoorMaster,2.800000,D,S,536626.000000
Mon Jul 10 14:08:01 2017,10-Jul-2017,170805,47 30.169600 N,060 29.801600 W,3.0,37.5,A,DoorSpread,DoorMaster,2.800000,D,S,536626.000000
Mon Jul 10 14:08:01 2017,10-Jul-2017,170806,47 30.170500 N,060 29.800400 W,3.2,38.0,A,DoorSpread,DoorMaster,2.800000,D,S,536626.000000
Mon Jul 10 14:08:06 2017,10-Jul-2017,170807,47 30.171500 N,060 29.799100 W,3.5,38.7,A,DoorSpread,DoorMaster,0.000000,E,S,578121.000000
Mon Jul 10 14:08:06 2017,10-Jul-2017,170808,47 30.172600 N,060 29.797800 W,3.7,38.8,A,DoorSpread,DoorMaster,0.000000,E,S,578121.000000
Mon Jul 10 14:08:06 2017,10-Jul-2017,170809,47 30.173700 N,060 29.796500 W,3.9,38.8,A,DoorSpread,DoorMaster,0.000000,E,S,578121.000000
Mon Jul 10 14:08:06 2017,10-Jul-2017,170810,47 30.174800 N,060 29.795100 W,4.1,39.2,A,DoorSpread,DoorMaster,0.000000,E,S,578121.000000
Mon Jul 10 14:08:06 2017,10-Jul-2017,170811,47 30.175900 N,060 29.793700 W,4.3,39.6,A,DoorSpread,DoorMaster,0.000000,E,S,578121.000000
Mon Jul 10 14:08:12 2017,10-Jul-2017,170812,47 30.177000 N,060 29.792400 W,4.4,39.0,A,DoorSpread,DoorMaster,5.340000,D,S,440568.000000
Mon Jul 10 14:08:12 2017,10-Jul-2017,170813,47 30.178300 N,060 29.791100 W,4.6,37.9,A,DoorSpread,DoorMaster,5.340000,D,S,440568.000000
Mon Jul 10 14:08:12 2017,10-Jul-2017,170814,47 30.179600 N,060 29.789700 W,4.8,37.7,A,DoorSpread,DoorMaster,5.340000,D,S,440568.000000
Mon Jul 10 14:08:12 2017,10-Jul-2017,170815,47 30.180800 N,060 29.788200 W,4.9,38.3,A,DoorSpread,DoorMaster,5.340000,D,S,440568.000000
Mon Jul 10 14:08:12 2017,10-Jul-2017,170816,47 30.182000 N,060 29.786700 W,5.0,38.3,A,DoorSpread,DoorMaster,5.340000,D,S,440568.000000
Mon Jul 10 14:08:17 2017,10-Jul-2017,170817,47 30.183400 N,060 29.785300 W,5.2,37.7,A,DoorSpread,DoorMaster,3.300000,D,S,151642.000000
