Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,3
Comments
"ZONE 12 GASPE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,16-Aug-2018,114722,48 37.987300 N,064 2.642600 W,3.3,220.1,A,,,,,,
Thu Aug 16 08:47:22 2018,16-Aug-2018,114723,48 37.986600 N,064 2.643300 W,3.2,219.8,A,DoorSpread,DoorMaster,2.275000,D,S,379556.000000
Thu Aug 16 08:47:22 2018,16-Aug-2018,114724,48 37.986100 N,064 2.644100 W,3.2,220.3,A,DoorSpread,DoorMaster,2.275000,D,S,379556.000000
Thu Aug 16 08:47:24 2018,16-Aug-2018,114725,48 37.985500 N,064 2.645000 W,3.1,220.8,A,Depth,Depth,0.833333,D,S,43129.000000
Thu Aug 16 08:47:24 2018,16-Aug-2018,114726,48 37.984900 N,064 2.645700 W,3.1,220.4,A,Depth,Depth,0.833333,D,S,43129.000000
Thu Aug 16 08:47:26 2018,16-Aug-2018,114727,48 37.984200 N,064 2.646400 W,3.1,219.6,A,Primary,Headline,44.857143,D,S,70917.000000
Thu Aug 16 08:47:26 2018,16-Aug-2018,114728,48 37.983700 N,064 2.647100 W,3.0,219.0,A,Primary,Headline,44.857143,D,S,70917.000000
Thu Aug 16 08:47:28 2018,16-Aug-2018,114729,48 37.983100 N,064 2.647800 W,3.0,219.0,A,DoorSpread,DoorMaster,2.530000,D,S,348284.000000
Thu Aug 16 08:47:28 2018,16-Aug-2018,114730,48 37.982500 N,064 2.648500 W,2.9,219.3,A,DoorSpread,DoorMaster,2.530000,D,S,348284.000000
Thu Aug 16 08:47:28 2018,16-Aug-2018,114731,48 37.981900 N,064 2.649300 W,2.9,219.3,A,DoorSpread,DoorMaster,2.530000,D,S,348284.000000
Thu Aug 16 08:47:31 2018,16-Aug-2018,114732,48 37.981300 N,064 2.649900 W,2.9,218.4,A,Depth,Depth,1.111111,D,S,86511.000000
Thu Aug 16 08:47:32 2018,16-Aug-2018,114733,48 37.980700 N,064 2.650400 W,2.8,218.0,A,Primary,Headline,36.387755,D,S,101006.000000
Thu Aug 16 08:47:33 2018,16-Aug-2018,114734,48 37.980200 N,064 2.651100 W,2.8,218.5,A,DoorSpread,DoorMaster,0.000000,E,S,375544.000000
Thu Aug 16 08:47:33 2018,16-Aug-2018,114735,48 37.979700 N,064 2.651800 W,2.8,218.8,A,DoorSpread,DoorMaster,0.000000,E,S,375544.000000
Thu Aug 16 08:47:33 2018,16-Aug-2018,114736,48 37.979000 N,064 2.652400 W,2.8,218.2,A,DoorSpread,DoorMaster,0.000000,E,S,375544.000000
Thu Aug 16 08:47:33 2018,16-Aug-2018,114737,48 37.978400 N,064 2.652900 W,2.7,217.4,A,DoorSpread,DoorMaster,0.000000,E,S,375544.000000
