Ship Number,Trip Number,Tow Number
JEANMATHIEU,2,3
Comments
"ZONE 12 PEI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,04-Aug-2018,112627,47 5.444900 N,063 42.200400 W,3.9,340.6,A,,,,,,
,04-Aug-2018,112628,47 5.445900 N,063 42.201000 W,3.8,340.5,A,,,,,,
,04-Aug-2018,112629,47 5.446800 N,063 42.201500 W,3.8,340.3,A,,,,,,
,04-Aug-2018,112630,47 5.447700 N,063 42.202000 W,3.8,340.2,A,,,,,,
,04-Aug-2018,112631,47 5.448700 N,063 42.202600 W,3.7,340.0,A,,,,,,
,04-Aug-2018,112632,47 5.449600 N,063 42.203000 W,3.7,339.8,A,,,,,,
,04-Aug-2018,112633,47 5.450400 N,063 42.203600 W,3.7,339.5,A,,,,,,
,04-Aug-2018,112634,47 5.451400 N,063 42.204100 W,3.6,339.3,A,,,,,,
,04-Aug-2018,112635,47 5.452200 N,063 42.204700 W,3.6,339.0,A,,,,,,
,04-Aug-2018,112636,47 5.453100 N,063 42.205200 W,3.6,338.7,A,,,,,,
,04-Aug-2018,112637,47 5.454000 N,063 42.205700 W,3.6,338.4,A,,,,,,
,04-Aug-2018,112638,47 5.454800 N,063 42.206300 W,3.5,338.3,A,,,,,,
,04-Aug-2018,112639,47 5.455700 N,063 42.206800 W,3.5,338.2,A,,,,,,
,04-Aug-2018,112640,47 5.456500 N,063 42.207300 W,3.5,338.4,A,,,,,,
,04-Aug-2018,112641,47 5.457400 N,063 42.207900 W,3.4,338.3,A,,,,,,
,04-Aug-2018,112642,47 5.458200 N,063 42.208400 W,3.4,338.3,A,,,,,,
Sat Aug 04 08:26:43 2018,04-Aug-2018,112643,47 5.459100 N,063 42.208900 W,3.4,338.5,A,DoorSpread,DoorMaster,2.115000,D,S,57030.000000
Sat Aug 04 08:26:43 2018,04-Aug-2018,112644,47 5.459900 N,063 42.209400 W,3.4,338.7,A,DoorSpread,DoorMaster,2.115000,D,S,57030.000000
Sat Aug 04 08:26:43 2018,04-Aug-2018,112645,47 5.460800 N,063 42.209800 W,3.3,339.0,A,DoorSpread,DoorMaster,2.115000,D,S,57030.000000
Sat Aug 04 08:26:43 2018,04-Aug-2018,112646,47 5.461600 N,063 42.210300 W,3.3,339.2,A,DoorSpread,DoorMaster,2.115000,D,S,57030.000000
Sat Aug 04 08:26:43 2018,04-Aug-2018,112647,47 5.462400 N,063 42.210800 W,3.3,339.4,A,DoorSpread,DoorMaster,2.115000,D,S,57030.000000
Sat Aug 04 08:26:43 2018,04-Aug-2018,112648,47 5.463200 N,063 42.211200 W,3.3,339.7,A,DoorSpread,DoorMaster,2.115000,D,S,57030.000000
Sat Aug 04 08:26:48 2018,04-Aug-2018,112649,47 5.464100 N,063 42.211700 W,3.3,340.1,A,DoorSpread,DoorMaster,2.155000,D,S,48248.000000
