Ship Number,Trip Number,Tow Number
JEANMATHIEU,2,3
Comments
"ZONE 12 EST DE MISCOU"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,07-Aug-2018,113957,47 54.420100 N,063 43.279100 W,3.5,141.7,A,,,,,,
,07-Aug-2018,113958,47 54.419400 N,063 43.278100 W,3.5,140.9,A,,,,,,
,07-Aug-2018,113959,47 54.418600 N,063 43.277100 W,3.5,140.2,A,,,,,,
,07-Aug-2018,114000,47 54.417900 N,063 43.276100 W,3.5,139.1,A,,,,,,
,07-Aug-2018,114001,47 54.417300 N,063 43.275100 W,3.5,137.9,A,,,,,,
,07-Aug-2018,114002,47 54.416700 N,063 43.274000 W,3.5,136.6,A,,,,,,
,07-Aug-2018,114003,47 54.416100 N,063 43.272700 W,3.5,135.0,A,,,,,,
,07-Aug-2018,114004,47 54.415500 N,063 43.271500 W,3.5,133.5,A,,,,,,
,07-Aug-2018,114005,47 54.414900 N,063 43.270100 W,3.6,131.9,A,,,,,,
,07-Aug-2018,114006,47 54.414300 N,063 43.268600 W,3.7,130.1,A,,,,,,
,07-Aug-2018,114007,47 54.413700 N,063 43.266900 W,3.8,128.3,A,,,,,,
,07-Aug-2018,114008,47 54.413100 N,063 43.265200 W,3.9,126.6,A,,,,,,
,07-Aug-2018,114009,47 54.412600 N,063 43.263400 W,4.0,124.6,A,,,,,,
,07-Aug-2018,114010,47 54.412200 N,063 43.261600 W,4.1,122.5,A,,,,,,
,07-Aug-2018,114011,47 54.411700 N,063 43.259900 W,4.1,120.7,A,,,,,,
,07-Aug-2018,114012,47 54.411300 N,063 43.258200 W,4.1,119.1,A,,,,,,
,07-Aug-2018,114013,47 54.410900 N,063 43.256500 W,4.1,117.6,A,,,,,,
,07-Aug-2018,114014,47 54.410600 N,063 43.254800 W,4.1,116.4,A,,,,,,
,07-Aug-2018,114015,47 54.410200 N,063 43.253200 W,4.1,115.4,A,,,,,,
,07-Aug-2018,114016,47 54.409800 N,063 43.251600 W,4.1,114.4,A,,,,,,
,07-Aug-2018,114017,47 54.409500 N,063 43.249900 W,4.1,113.6,A,,,,,,
,07-Aug-2018,114018,47 54.409100 N,063 43.248400 W,4.1,113.0,A,,,,,,
,07-Aug-2018,114019,47 54.408800 N,063 43.246800 W,4.1,112.6,A,,,,,,
,07-Aug-2018,114020,47 54.408400 N,063 43.245300 W,4.0,112.3,A,,,,,,
,07-Aug-2018,114021,47 54.408100 N,063 43.243800 W,4.0,111.8,A,,,,,,
,07-Aug-2018,114022,47 54.407800 N,063 43.242300 W,4.0,111.4,A,,,,,,
,07-Aug-2018,114023,47 54.407500 N,063 43.240800 W,3.9,111.0,A,,,,,,
,07-Aug-2018,114024,47 54.407200 N,063 43.239400 W,3.9,110.5,A,,,,,,
,07-Aug-2018,114025,47 54.406900 N,063 43.237900 W,3.8,109.8,A,,,,,,
,07-Aug-2018,114026,47 54.406600 N,063 43.236400 W,3.8,109.5,A,,,,,,
,07-Aug-2018,114027,47 54.406400 N,063 43.235000 W,3.8,108.9,A,,,,,,
,07-Aug-2018,114028,47 54.406100 N,063 43.233500 W,3.7,108.2,A,,,,,,
,07-Aug-2018,114029,47 54.405900 N,063 43.232100 W,3.7,107.7,A,,,,,,
,07-Aug-2018,114030,47 54.405700 N,063 43.230700 W,3.7,107.2,A,,,,,,
,07-Aug-2018,114031,47 54.405500 N,063 43.229300 W,3.6,106.5,A,,,,,,
,07-Aug-2018,114032,47 54.405300 N,063 43.227800 W,3.6,105.9,A,,,,,,
,07-Aug-2018,114033,47 54.405100 N,063 43.226400 W,3.6,105.5,A,,,,,,
