Ship Number,Trip Number,Tow Number
JEAN MATHIEU,4,6
Comments
"ZONE 12 BRADELLE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,27-Aug-2018,143033,47 48.208800 N,063 9.259800 W,4.4,35.0,A,,,,,,
,27-Aug-2018,143034,47 48.209700 N,063 9.258800 W,4.3,35.1,A,,,,,,
,27-Aug-2018,143035,47 48.210500 N,063 9.257800 W,4.3,35.7,A,,,,,,
,27-Aug-2018,143036,47 48.211300 N,063 9.256800 W,4.2,36.2,A,,,,,,
,27-Aug-2018,143037,47 48.212200 N,063 9.255800 W,4.1,37.1,A,,,,,,
,27-Aug-2018,143038,47 48.213200 N,063 9.254900 W,4.1,37.9,A,,,,,,
,27-Aug-2018,143039,47 48.214000 N,063 9.253900 W,4.0,38.3,A,,,,,,
,27-Aug-2018,143040,47 48.214800 N,063 9.253000 W,3.9,38.7,A,,,,,,
,27-Aug-2018,143041,47 48.215500 N,063 9.252000 W,3.8,39.8,A,,,,,,
,27-Aug-2018,143042,47 48.216300 N,063 9.250900 W,3.8,41.1,A,,,,,,
,27-Aug-2018,143043,47 48.216900 N,063 9.249900 W,3.7,42.3,A,,,,,,
,27-Aug-2018,143044,47 48.217500 N,063 9.248900 W,3.6,43.5,A,,,,,,
,27-Aug-2018,143045,47 48.218000 N,063 9.248000 W,3.5,44.4,A,,,,,,
,27-Aug-2018,143046,47 48.218700 N,063 9.247000 W,3.5,45.0,A,,,,,,
,27-Aug-2018,143047,47 48.219300 N,063 9.246000 W,3.5,45.5,A,,,,,,
,27-Aug-2018,143048,47 48.219800 N,063 9.245100 W,3.4,46.5,A,,,,,,
,27-Aug-2018,143049,47 48.220200 N,063 9.244200 W,3.3,47.9,A,,,,,,
,27-Aug-2018,143050,47 48.220700 N,063 9.243000 W,3.3,48.9,A,,,,,,
,27-Aug-2018,143051,47 48.221200 N,063 9.241900 W,3.3,49.6,A,,,,,,
,27-Aug-2018,143052,47 48.221600 N,063 9.240900 W,3.2,50.2,A,,,,,,
,27-Aug-2018,143053,47 48.222000 N,063 9.240100 W,3.1,50.1,A,,,,,,
,27-Aug-2018,143054,47 48.222500 N,063 9.239300 W,3.0,50.2,A,,,,,,
,27-Aug-2018,143055,47 48.222900 N,063 9.238400 W,2.9,51.0,A,,,,,,
,27-Aug-2018,143056,47 48.223300 N,063 9.237300 W,2.9,52.2,A,,,,,,
,27-Aug-2018,143057,47 48.223700 N,063 9.236500 W,2.9,52.8,A,,,,,,
,27-Aug-2018,143058,47 48.224100 N,063 9.235800 W,2.8,52.2,A,,,,,,
,27-Aug-2018,143059,47 48.224500 N,063 9.235100 W,2.7,51.5,A,,,,,,
,27-Aug-2018,143100,47 48.225000 N,063 9.234300 W,2.7,51.9,A,,,,,,
,27-Aug-2018,143101,47 48.225400 N,063 9.233500 W,2.7,52.6,A,,,,,,
,27-Aug-2018,143102,47 48.225800 N,063 9.232800 W,2.6,52.6,A,,,,,,
,27-Aug-2018,143103,47 48.226100 N,063 9.232100 W,2.6,51.9,A,,,,,,
,27-Aug-2018,143104,47 48.226600 N,063 9.231300 W,2.6,51.5,A,,,,,,
,27-Aug-2018,143105,47 48.227000 N,063 9.230600 W,2.6,51.8,A,,,,,,
,27-Aug-2018,143106,47 48.227300 N,063 9.229900 W,2.5,51.4,A,,,,,,
,27-Aug-2018,143107,47 48.227700 N,063 9.229300 W,2.4,50.9,A,,,,,,
,27-Aug-2018,143108,47 48.228100 N,063 9.228400 W,2.5,51.3,A,,,,,,
,27-Aug-2018,143109,47 48.228400 N,063 9.227600 W,2.4,52.2,A,,,,,,
,27-Aug-2018,143110,47 48.228700 N,063 9.227000 W,2.3,52.2,A,,,,,,
,27-Aug-2018,143111,47 48.229100 N,063 9.226400 W,2.3,51.5,A,,,,,,
,27-Aug-2018,143112,47 48.229500 N,063 9.225700 W,2.3,51.0,A,,,,,,
,27-Aug-2018,143113,47 48.229900 N,063 9.224900 W,2.3,51.1,A,,,,,,
,27-Aug-2018,143114,47 48.230300 N,063 9.224200 W,2.3,51.8,A,,,,,,
,27-Aug-2018,143115,47 48.230600 N,063 9.223600 W,2.3,52.4,A,,,,,,
,27-Aug-2018,143116,47 48.230900 N,063 9.223000 W,2.2,51.7,A,,,,,,
,27-Aug-2018,143117,47 48.231400 N,063 9.222300 W,2.2,50.6,A,,,,,,
,27-Aug-2018,143118,47 48.231800 N,063 9.221600 W,2.2,50.4,A,,,,,,
,27-Aug-2018,143119,47 48.232200 N,063 9.220800 W,2.2,51.1,A,,,,,,
,27-Aug-2018,143120,47 48.232500 N,063 9.220200 W,2.2,51.5,A,,,,,,
,27-Aug-2018,143121,47 48.232800 N,063 9.219500 W,2.2,51.1,A,,,,,,
