Ship Number,Trip Number,Tow Number
JEAN MATHIEU,1,5
Comments
"ZONE 12 SUD DE LA E"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,22-Jul-2018,145335,48 9.721800 N,062 32.094500 W,3.1,103.5,A,,,,,,
,22-Jul-2018,145336,48 9.721700 N,062 32.093200 W,3.1,102.7,A,,,,,,
,22-Jul-2018,145337,48 9.721500 N,062 32.091900 W,3.1,102.4,A,,,,,,
,22-Jul-2018,145338,48 9.721400 N,062 32.090700 W,3.0,102.7,A,,,,,,
,22-Jul-2018,145339,48 9.721200 N,062 32.089500 W,3.0,102.3,A,,,,,,
,22-Jul-2018,145340,48 9.721200 N,062 32.088300 W,3.0,101.1,A,,,,,,
,22-Jul-2018,145341,48 9.721100 N,062 32.086900 W,3.1,100.2,A,,,,,,
,22-Jul-2018,145342,48 9.721000 N,062 32.085700 W,3.1,100.3,A,,,,,,
Sun Jul 22 11:53:42 2018,22-Jul-2018,145343,48 9.721000 N,062 32.084700 W,3.0,99.9,A,DoorSpread,DoorMaster,3.050000,D,S,92373.000000
Sun Jul 22 11:53:42 2018,22-Jul-2018,145344,48 9.721000 N,062 32.083400 W,3.0,98.2,A,DoorSpread,DoorMaster,3.050000,D,S,92373.000000
Sun Jul 22 11:53:42 2018,22-Jul-2018,145345,48 9.721000 N,062 32.082100 W,3.0,97.1,A,DoorSpread,DoorMaster,3.050000,D,S,92373.000000
Sun Jul 22 11:53:42 2018,22-Jul-2018,145346,48 9.721000 N,062 32.081400 W,2.9,97.2,A,DoorSpread,DoorMaster,3.050000,D,S,92373.000000
Sun Jul 22 11:53:42 2018,22-Jul-2018,145347,48 9.721000 N,062 32.080400 W,2.8,96.9,A,DoorSpread,DoorMaster,3.050000,D,S,92373.000000
Sun Jul 22 11:53:47 2018,22-Jul-2018,145348,48 9.721000 N,062 32.079400 W,2.8,95.9,A,DoorSpread,DoorMaster,3.940000,D,S,75893.000000
