Ship Number,Trip Number,Tow Number
JEAN MATHIEU,5,3
Comments
"ZONE CHEMIN DU TRAVERSIER"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,08-Sep-2018,114538,46 53.130700 N,062 25.917700 W,5.2,177.4,A,,,,,,
,08-Sep-2018,114539,46 53.129200 N,062 25.917600 W,5.2,177.5,A,,,,,,
,08-Sep-2018,114540,46 53.127900 N,062 25.917500 W,5.2,177.0,A,,,,,,
,08-Sep-2018,114541,46 53.126400 N,062 25.917300 W,5.2,176.6,A,,,,,,
,08-Sep-2018,114542,46 53.125000 N,062 25.917300 W,5.2,176.7,A,,,,,,
,08-Sep-2018,114543,46 53.123600 N,062 25.917300 W,5.2,177.2,A,,,,,,
,08-Sep-2018,114544,46 53.122300 N,062 25.917500 W,5.1,178.0,A,,,,,,
,08-Sep-2018,114545,46 53.120900 N,062 25.917600 W,5.1,178.6,A,,,,,,
,08-Sep-2018,114546,46 53.119500 N,062 25.917400 W,5.1,178.2,A,,,,,,
,08-Sep-2018,114547,46 53.118200 N,062 25.917300 W,5.0,177.8,A,,,,,,
,08-Sep-2018,114548,46 53.116900 N,062 25.917200 W,5.0,177.7,A,,,,,,
,08-Sep-2018,114549,46 53.115600 N,062 25.917100 W,4.9,177.8,A,,,,,,
,08-Sep-2018,114550,46 53.114300 N,062 25.917100 W,4.9,178.3,A,,,,,,
,08-Sep-2018,114551,46 53.113100 N,062 25.917300 W,4.8,179.4,A,,,,,,
,08-Sep-2018,114552,46 53.111900 N,062 25.917300 W,4.8,179.7,A,,,,,,
,08-Sep-2018,114553,46 53.110600 N,062 25.917300 W,4.7,179.7,A,,,,,,
,08-Sep-2018,114554,46 53.109400 N,062 25.917300 W,4.7,180.0,A,,,,,,
,08-Sep-2018,114555,46 53.108300 N,062 25.917400 W,4.6,180.8,A,,,,,,
,08-Sep-2018,114556,46 53.107200 N,062 25.917800 W,4.5,182.7,A,,,,,,
,08-Sep-2018,114557,46 53.106000 N,062 25.918400 W,4.5,185.1,A,,,,,,
,08-Sep-2018,114558,46 53.104900 N,062 25.918800 W,4.4,186.8,A,,,,,,
,08-Sep-2018,114559,46 53.103800 N,062 25.919200 W,4.4,187.3,A,,,,,,
,08-Sep-2018,114600,46 53.102700 N,062 25.919400 W,4.4,187.5,A,,,,,,
,08-Sep-2018,114601,46 53.101600 N,062 25.919900 W,4.3,188.9,A,,,,,,
,08-Sep-2018,114602,46 53.100500 N,062 25.920700 W,4.3,191.3,A,,,,,,
,08-Sep-2018,114603,46 53.099500 N,062 25.921500 W,4.2,193.8,A,,,,,,
,08-Sep-2018,114604,46 53.098500 N,062 25.922300 W,4.2,195.6,A,,,,,,
,08-Sep-2018,114605,46 53.097400 N,062 25.922900 W,4.2,196.5,A,,,,,,
,08-Sep-2018,114606,46 53.096400 N,062 25.923500 W,4.2,197.4,A,,,,,,
,08-Sep-2018,114607,46 53.095300 N,062 25.924200 W,4.2,198.3,A,,,,,,
,08-Sep-2018,114608,46 53.094400 N,062 25.924800 W,4.2,199.1,A,,,,,,
,08-Sep-2018,114609,46 53.093300 N,062 25.925600 W,4.2,200.0,A,,,,,,
,08-Sep-2018,114610,46 53.092300 N,062 25.926400 W,4.2,200.9,A,,,,,,
,08-Sep-2018,114611,46 53.091200 N,062 25.926900 W,4.2,200.8,A,,,,,,
,08-Sep-2018,114612,46 53.090200 N,062 25.927300 W,4.2,200.3,A,,,,,,
,08-Sep-2018,114613,46 53.089100 N,062 25.927900 W,4.2,200.3,A,,,,,,
,08-Sep-2018,114614,46 53.088100 N,062 25.928500 W,4.2,200.9,A,,,,,,
,08-Sep-2018,114615,46 53.087000 N,062 25.929200 W,4.2,201.2,A,,,,,,
,08-Sep-2018,114616,46 53.086000 N,062 25.929700 W,4.2,200.8,A,,,,,,
,08-Sep-2018,114617,46 53.084900 N,062 25.930200 W,4.2,200.3,A,,,,,,
,08-Sep-2018,114618,46 53.083800 N,062 25.930700 W,4.2,200.4,A,,,,,,
,08-Sep-2018,114619,46 53.082800 N,062 25.931300 W,4.2,200.8,A,,,,,,
,08-Sep-2018,114620,46 53.081700 N,062 25.931900 W,4.2,200.7,A,,,,,,
,08-Sep-2018,114621,46 53.080600 N,062 25.932400 W,4.2,200.4,A,,,,,,
,08-Sep-2018,114622,46 53.079500 N,062 25.932800 W,4.2,200.0,A,,,,,,
,08-Sep-2018,114623,46 53.078400 N,062 25.933300 W,4.2,199.8,A,,,,,,
,08-Sep-2018,114624,46 53.077300 N,062 25.934000 W,4.2,200.3,A,,,,,,
,08-Sep-2018,114625,46 53.076200 N,062 25.934600 W,4.2,200.3,A,,,,,,
,08-Sep-2018,114626,46 53.075200 N,062 25.935100 W,4.2,200.1,A,,,,,,
,08-Sep-2018,114627,46 53.074100 N,062 25.935700 W,4.2,200.4,A,,,,,,
,08-Sep-2018,114628,46 53.073000 N,062 25.936200 W,4.2,200.5,A,,,,,,
,08-Sep-2018,114629,46 53.071900 N,062 25.936600 W,4.2,200.0,A,,,,,,
,08-Sep-2018,114630,46 53.070800 N,062 25.937100 W,4.2,199.7,A,,,,,,
,08-Sep-2018,114631,46 53.069700 N,062 25.937700 W,4.2,200.2,A,,,,,,
,08-Sep-2018,114632,46 53.068700 N,062 25.938400 W,4.2,201.2,A,,,,,,
,08-Sep-2018,114633,46 53.067600 N,062 25.939000 W,4.2,201.6,A,,,,,,
,08-Sep-2018,114634,46 53.066500 N,062 25.939700 W,4.2,201.7,A,,,,,,
,08-Sep-2018,114635,46 53.065400 N,062 25.940200 W,4.2,201.6,A,,,,,,
,08-Sep-2018,114636,46 53.064400 N,062 25.940700 W,4.1,201.6,A,,,,,,
,08-Sep-2018,114637,46 53.063400 N,062 25.941200 W,4.1,201.8,A,,,,,,
,08-Sep-2018,114638,46 53.062400 N,062 25.941800 W,4.1,202.1,A,,,,,,
,08-Sep-2018,114639,46 53.061400 N,062 25.942300 W,4.1,202.2,A,,,,,,
,08-Sep-2018,114640,46 53.060400 N,062 25.942800 W,4.0,201.9,A,,,,,,
,08-Sep-2018,114641,46 53.059500 N,062 25.943300 W,4.0,201.9,A,,,,,,
,08-Sep-2018,114642,46 53.058700 N,062 25.943700 W,3.9,201.9,A,,,,,,
,08-Sep-2018,114643,46 53.057800 N,062 25.944000 W,3.8,201.3,A,,,,,,
,08-Sep-2018,114644,46 53.056800 N,062 25.944500 W,3.8,201.0,A,,,,,,
,08-Sep-2018,114645,46 53.055900 N,062 25.944800 W,3.7,200.7,A,,,,,,
,08-Sep-2018,114646,46 53.055100 N,062 25.945100 W,3.6,200.4,A,,,,,,
,08-Sep-2018,114647,46 53.054300 N,062 25.945600 W,3.6,200.5,A,,,,,,
,08-Sep-2018,114648,46 53.053400 N,062 25.946100 W,3.5,200.9,A,,,,,,
,08-Sep-2018,114649,46 53.052600 N,062 25.946400 W,3.5,200.4,A,,,,,,
,08-Sep-2018,114650,46 53.051700 N,062 25.946700 W,3.4,199.3,A,,,,,,
,08-Sep-2018,114651,46 53.050900 N,062 25.947100 W,3.4,199.2,A,,,,,,
,08-Sep-2018,114652,46 53.050100 N,062 25.947600 W,3.3,199.7,A,,,,,,
,08-Sep-2018,114653,46 53.049300 N,062 25.948000 W,3.3,200.1,A,,,,,,
,08-Sep-2018,114654,46 53.048500 N,062 25.948400 W,3.3,200.1,A,,,,,,
,08-Sep-2018,114655,46 53.047700 N,062 25.948800 W,3.2,200.0,A,,,,,,
,08-Sep-2018,114656,46 53.047000 N,062 25.949200 W,3.2,200.4,A,,,,,,
,08-Sep-2018,114657,46 53.046200 N,062 25.949500 W,3.1,200.1,A,,,,,,
