Ship Number,Trip Number,Tow Number
JEAN MATHIEU,5,5
Comments
"ZONE 12 FOND GEORGES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,12-Sep-2018,192530,46 52.887700 N,061 43.216100 W,3.2,156.5,A,,,,,,
,12-Sep-2018,192531,46 52.887000 N,061 43.215600 W,3.2,155.8,A,,,,,,
,12-Sep-2018,192532,46 52.886300 N,061 43.215000 W,3.1,155.0,A,,,,,,
,12-Sep-2018,192533,46 52.885500 N,061 43.214400 W,3.1,154.8,A,,,,,,
,12-Sep-2018,192534,46 52.884800 N,061 43.213800 W,3.1,154.3,A,,,,,,
,12-Sep-2018,192535,46 52.884100 N,061 43.213200 W,3.1,153.4,A,,,,,,
,12-Sep-2018,192536,46 52.883300 N,061 43.212600 W,3.1,153.5,A,,,,,,
,12-Sep-2018,192537,46 52.882400 N,061 43.212200 W,3.1,154.4,A,,,,,,
,12-Sep-2018,192538,46 52.881700 N,061 43.211800 W,3.1,154.7,A,,,,,,
,12-Sep-2018,192539,46 52.881100 N,061 43.211200 W,3.0,153.5,A,,,,,,
,12-Sep-2018,192540,46 52.880400 N,061 43.210600 W,3.0,152.0,A,,,,,,
,12-Sep-2018,192541,46 52.879600 N,061 43.209900 W,3.1,151.8,A,,,,,,
,12-Sep-2018,192542,46 52.878900 N,061 43.209500 W,3.0,152.9,A,,,,,,
,12-Sep-2018,192543,46 52.878200 N,061 43.209200 W,2.9,154.0,A,,,,,,
,12-Sep-2018,192544,46 52.877600 N,061 43.208700 W,2.9,153.8,A,,,,,,
,12-Sep-2018,192545,46 52.876900 N,061 43.208100 W,2.9,152.9,A,,,,,,
,12-Sep-2018,192546,46 52.876300 N,061 43.207700 W,2.8,152.3,A,,,,,,
,12-Sep-2018,192547,46 52.875900 N,061 43.207300 W,2.7,152.3,A,,,,,,
,12-Sep-2018,192548,46 52.875300 N,061 43.207100 W,2.6,153.7,A,,,,,,
,12-Sep-2018,192549,46 52.874700 N,061 43.206700 W,2.6,155.0,A,,,,,,
,12-Sep-2018,192550,46 52.874100 N,061 43.206300 W,2.5,154.4,A,,,,,,
,12-Sep-2018,192551,46 52.873600 N,061 43.205800 W,2.5,153.1,A,,,,,,
,12-Sep-2018,192552,46 52.873200 N,061 43.205500 W,2.4,153.2,A,,,,,,
,12-Sep-2018,192553,46 52.872700 N,061 43.205300 W,2.3,155.0,A,,,,,,
,12-Sep-2018,192554,46 52.872200 N,061 43.205000 W,2.2,156.0,A,,,,,,
,12-Sep-2018,192555,46 52.871600 N,061 43.204700 W,2.2,156.0,A,,,,,,
,12-Sep-2018,192556,46 52.871200 N,061 43.204400 W,2.2,155.8,A,,,,,,
