Ship Number,Trip Number,Tow Number
JEAN MATHIEU,5,1
Comments
"ZONE 12 BUFFER"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,07-Sep-2018,093728,46 32.482300 N,061 27.001800 W,4.3,151.4,A,,,,,,
,07-Sep-2018,093729,46 32.481300 N,061 27.000900 W,4.3,151.1,A,,,,,,
,07-Sep-2018,093730,46 32.480400 N,061 26.999900 W,4.2,150.0,A,,,,,,
,07-Sep-2018,093731,46 32.479500 N,061 26.999000 W,4.2,149.3,A,,,,,,
,07-Sep-2018,093732,46 32.478500 N,061 26.998200 W,4.1,149.6,A,,,,,,
,07-Sep-2018,093733,46 32.477500 N,061 26.997600 W,4.1,150.6,A,,,,,,
,07-Sep-2018,093734,46 32.476500 N,061 26.996800 W,4.1,150.8,A,,,,,,
,07-Sep-2018,093735,46 32.475600 N,061 26.995900 W,4.0,150.3,A,,,,,,
,07-Sep-2018,093736,46 32.474800 N,061 26.995100 W,4.0,149.8,A,,,,,,
,07-Sep-2018,093737,46 32.474000 N,061 26.994400 W,3.9,149.7,A,,,,,,
,07-Sep-2018,093738,46 32.473200 N,061 26.993700 W,3.8,149.7,A,,,,,,
,07-Sep-2018,093739,46 32.472300 N,061 26.992900 W,3.8,149.6,A,,,,,,
,07-Sep-2018,093740,46 32.471500 N,061 26.992200 W,3.7,149.8,A,,,,,,
,07-Sep-2018,093741,46 32.470800 N,061 26.991700 W,3.6,150.2,A,,,,,,
,07-Sep-2018,093742,46 32.470100 N,061 26.991000 W,3.5,150.1,A,,,,,,
,07-Sep-2018,093743,46 32.469400 N,061 26.990200 W,3.5,149.1,A,,,,,,
,07-Sep-2018,093744,46 32.468600 N,061 26.989400 W,3.5,148.6,A,,,,,,
,07-Sep-2018,093745,46 32.467900 N,061 26.988800 W,3.4,149.1,A,,,,,,
,07-Sep-2018,093746,46 32.467100 N,061 26.988400 W,3.3,150.4,A,,,,,,
Fri Sep 07 06:37:46 2018,07-Sep-2018,093747,46 32.466400 N,061 26.987900 W,3.2,150.7,A,DoorSpread,DoorMaster,1.585000,D,S,35094.000000
Fri Sep 07 06:37:46 2018,07-Sep-2018,093748,46 32.465800 N,061 26.987100 W,3.2,149.3,A,DoorSpread,DoorMaster,1.585000,D,S,35094.000000
Fri Sep 07 06:37:46 2018,07-Sep-2018,093749,46 32.465200 N,061 26.986300 W,3.1,148.0,A,DoorSpread,DoorMaster,1.585000,D,S,35094.000000
Fri Sep 07 06:37:46 2018,07-Sep-2018,093750,46 32.464700 N,061 26.985700 W,3.0,148.1,A,DoorSpread,DoorMaster,1.585000,D,S,35094.000000
Fri Sep 07 06:37:46 2018,07-Sep-2018,093751,46 32.464000 N,061 26.985200 W,3.0,149.2,A,DoorSpread,DoorMaster,1.585000,D,S,35094.000000
Fri Sep 07 06:37:52 2018,07-Sep-2018,093752,46 32.463300 N,061 26.984600 W,3.0,149.5,A,DoorSpread,DoorMaster,1.950000,D,S,68276.000000
Fri Sep 07 06:37:52 2018,07-Sep-2018,093753,46 32.462700 N,061 26.983900 W,2.9,148.6,A,DoorSpread,DoorMaster,1.950000,D,S,68276.000000
Fri Sep 07 06:37:52 2018,07-Sep-2018,093754,46 32.462300 N,061 26.983200 W,2.8,146.8,A,DoorSpread,DoorMaster,1.950000,D,S,68276.000000
Fri Sep 07 06:37:52 2018,07-Sep-2018,093755,46 32.461800 N,061 26.982600 W,2.8,146.2,A,DoorSpread,DoorMaster,1.950000,D,S,68276.000000
Fri Sep 07 06:37:52 2018,07-Sep-2018,093756,46 32.461200 N,061 26.982100 W,2.8,146.8,A,DoorSpread,DoorMaster,1.950000,D,S,68276.000000
Fri Sep 07 06:37:52 2018,07-Sep-2018,093757,46 32.460500 N,061 26.981500 W,2.8,147.0,A,DoorSpread,DoorMaster,1.950000,D,S,68276.000000
Fri Sep 07 06:37:57 2018,07-Sep-2018,093758,46 32.460100 N,061 26.980900 W,2.7,146.2,A,DoorSpread,DoorMaster,2.140000,D,S,192109.000000
Fri Sep 07 06:37:57 2018,07-Sep-2018,093759,46 32.459700 N,061 26.980400 W,2.6,145.8,A,DoorSpread,DoorMaster,2.140000,D,S,192109.000000
Fri Sep 07 06:37:57 2018,07-Sep-2018,093800,46 32.459000 N,061 26.979800 W,2.6,145.2,A,DoorSpread,DoorMaster,2.140000,D,S,192109.000000
Fri Sep 07 06:37:57 2018,07-Sep-2018,093801,46 32.458500 N,061 26.979000 W,2.6,144.4,A,DoorSpread,DoorMaster,2.140000,D,S,192109.000000
Fri Sep 07 06:37:57 2018,07-Sep-2018,093802,46 32.458000 N,061 26.978500 W,2.6,144.7,A,DoorSpread,DoorMaster,2.140000,D,S,192109.000000
Fri Sep 07 06:38:02 2018,07-Sep-2018,093803,46 32.457500 N,061 26.978000 W,2.5,145.8,A,DoorSpread,DoorMaster,2.345000,D,S,153117.000000
Fri Sep 07 06:38:02 2018,07-Sep-2018,093804,46 32.457000 N,061 26.977500 W,2.5,146.1,A,DoorSpread,DoorMaster,2.345000,D,S,153117.000000
Fri Sep 07 06:38:02 2018,07-Sep-2018,093805,46 32.456600 N,061 26.976900 W,2.4,144.9,A,DoorSpread,DoorMaster,2.345000,D,S,153117.000000
Fri Sep 07 06:38:02 2018,07-Sep-2018,093806,46 32.456200 N,061 26.976300 W,2.4,143.2,A,DoorSpread,DoorMaster,2.345000,D,S,153117.000000
Fri Sep 07 06:38:02 2018,07-Sep-2018,093807,46 32.455700 N,061 26.975600 W,2.4,142.9,A,DoorSpread,DoorMaster,2.345000,D,S,153117.000000
Fri Sep 07 06:38:02 2018,07-Sep-2018,093808,46 32.455300 N,061 26.975200 W,2.4,143.8,A,DoorSpread,DoorMaster,2.345000,D,S,153117.000000
Fri Sep 07 06:38:08 2018,07-Sep-2018,093809,46 32.454800 N,061 26.974800 W,2.3,144.8,A,DoorSpread,DoorMaster,2.225000,D,S,137383.000000
Fri Sep 07 06:38:08 2018,07-Sep-2018,093810,46 32.454300 N,061 26.974200 W,2.3,144.8,A,DoorSpread,DoorMaster,2.225000,D,S,137383.000000
Fri Sep 07 06:38:08 2018,07-Sep-2018,093811,46 32.453900 N,061 26.973600 W,2.3,143.5,A,DoorSpread,DoorMaster,2.225000,D,S,137383.000000
Fri Sep 07 06:38:08 2018,07-Sep-2018,093812,46 32.453500 N,061 26.972900 W,2.3,141.9,A,DoorSpread,DoorMaster,2.225000,D,S,137383.000000
Fri Sep 07 06:38:08 2018,07-Sep-2018,093813,46 32.453200 N,061 26.972400 W,2.2,141.4,A,DoorSpread,DoorMaster,2.225000,D,S,137383.000000
Fri Sep 07 06:38:13 2018,07-Sep-2018,093814,46 32.452800 N,061 26.972000 W,2.2,141.8,A,DoorSpread,DoorMaster,2.445000,D,S,163739.000000
Fri Sep 07 06:38:13 2018,07-Sep-2018,093815,46 32.452200 N,061 26.971300 W,2.3,142.4,A,DoorSpread,DoorMaster,2.445000,D,S,163739.000000
Fri Sep 07 06:38:13 2018,07-Sep-2018,093816,46 32.451700 N,061 26.970800 W,2.3,143.3,A,DoorSpread,DoorMaster,2.445000,D,S,163739.000000
Fri Sep 07 06:38:13 2018,07-Sep-2018,093817,46 32.451400 N,061 26.970400 W,2.2,143.2,A,DoorSpread,DoorMaster,2.445000,D,S,163739.000000
Fri Sep 07 06:38:13 2018,07-Sep-2018,093818,46 32.451000 N,061 26.969800 W,2.2,142.0,A,DoorSpread,DoorMaster,2.445000,D,S,163739.000000
Fri Sep 07 06:38:18 2018,07-Sep-2018,093819,46 32.450600 N,061 26.969200 W,2.2,141.0,A,DoorSpread,DoorMaster,2.375000,D,S,280248.000000
Fri Sep 07 06:38:18 2018,07-Sep-2018,093820,46 32.450100 N,061 26.968700 W,2.2,140.8,A,DoorSpread,DoorMaster,2.375000,D,S,280248.000000
Fri Sep 07 06:38:18 2018,07-Sep-2018,093821,46 32.449700 N,061 26.968200 W,2.1,141.3,A,DoorSpread,DoorMaster,2.375000,D,S,280248.000000
Fri Sep 07 06:38:18 2018,07-Sep-2018,093822,46 32.449200 N,061 26.967700 W,2.2,142.5,A,DoorSpread,DoorMaster,2.375000,D,S,280248.000000
Fri Sep 07 06:38:18 2018,07-Sep-2018,093823,46 32.448800 N,061 26.967300 W,2.1,143.2,A,DoorSpread,DoorMaster,2.375000,D,S,280248.000000
Fri Sep 07 06:38:18 2018,07-Sep-2018,093824,46 32.448400 N,061 26.966900 W,2.1,141.9,A,DoorSpread,DoorMaster,2.375000,D,S,280248.000000
Fri Sep 07 06:38:24 2018,07-Sep-2018,093825,46 32.447900 N,061 26.966200 W,2.1,139.5,A,DoorSpread,DoorMaster,2.600000,D,S,122091.000000
Fri Sep 07 06:38:24 2018,07-Sep-2018,093826,46 32.447400 N,061 26.965600 W,2.2,139.2,A,DoorSpread,DoorMaster,2.600000,D,S,122091.000000
Fri Sep 07 06:38:24 2018,07-Sep-2018,093827,46 32.447000 N,061 26.965300 W,2.1,141.1,A,DoorSpread,DoorMaster,2.600000,D,S,122091.000000
Fri Sep 07 06:38:24 2018,07-Sep-2018,093828,46 32.446600 N,061 26.965100 W,2.0,142.5,A,DoorSpread,DoorMaster,2.600000,D,S,122091.000000
Fri Sep 07 06:38:24 2018,07-Sep-2018,093829,46 32.446300 N,061 26.964600 W,2.0,141.8,A,DoorSpread,DoorMaster,2.600000,D,S,122091.000000
Fri Sep 07 06:38:29 2018,07-Sep-2018,093830,46 32.445700 N,061 26.963900 W,2.1,140.3,A,DoorSpread,DoorMaster,2.545000,D,S,101130.000000
Fri Sep 07 06:38:29 2018,07-Sep-2018,093831,46 32.445300 N,061 26.963400 W,2.1,138.9,A,DoorSpread,DoorMaster,2.545000,D,S,101130.000000
Fri Sep 07 06:38:29 2018,07-Sep-2018,093832,46 32.444900 N,061 26.962900 W,2.0,139.7,A,DoorSpread,DoorMaster,2.545000,D,S,101130.000000
