Ship Number,Trip Number,Tow Number
JeanMathieu,1,5
Comments
"Zone 12F NORD DE LA ZONE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,20-Jul-2018,131652,47 54.419600 N,060 58.490400 W,6.5,21.3,A,,,,,,
,20-Jul-2018,131653,47 54.421200 N,060 58.489400 W,6.5,21.6,A,,,,,,
,20-Jul-2018,131654,47 54.422800 N,060 58.488300 W,6.5,21.9,A,,,,,,
,20-Jul-2018,131655,47 54.424500 N,060 58.487100 W,6.5,22.7,A,,,,,,
,20-Jul-2018,131656,47 54.426000 N,060 58.485800 W,6.4,23.7,A,,,,,,
,20-Jul-2018,131657,47 54.427500 N,060 58.484500 W,6.4,24.9,A,,,,,,
,20-Jul-2018,131658,47 54.429100 N,060 58.483000 W,6.5,26.1,A,,,,,,
,20-Jul-2018,131659,47 54.430700 N,060 58.481500 W,6.5,27.2,A,,,,,,
,20-Jul-2018,131700,47 54.432200 N,060 58.480200 W,6.4,27.8,A,,,,,,
,20-Jul-2018,131701,47 54.433700 N,060 58.478900 W,6.4,27.9,A,,,,,,
,20-Jul-2018,131702,47 54.435200 N,060 58.477700 W,6.4,28.0,A,,,,,,
,20-Jul-2018,131703,47 54.436800 N,060 58.476400 W,6.4,28.3,A,,,,,,
,20-Jul-2018,131704,47 54.438300 N,060 58.475000 W,6.4,28.7,A,,,,,,
,20-Jul-2018,131705,47 54.439900 N,060 58.473600 W,6.4,29.1,A,,,,,,
,20-Jul-2018,131706,47 54.441400 N,060 58.472300 W,6.4,29.2,A,,,,,,
,20-Jul-2018,131707,47 54.442900 N,060 58.471100 W,6.4,28.8,A,,,,,,
,20-Jul-2018,131708,47 54.444400 N,060 58.470100 W,6.3,28.3,A,,,,,,
,20-Jul-2018,131709,47 54.445900 N,060 58.469000 W,6.2,28.1,A,,,,,,
,20-Jul-2018,131710,47 54.447200 N,060 58.467800 W,6.1,28.5,A,,,,,,
,20-Jul-2018,131711,47 54.448500 N,060 58.466700 W,6.0,28.8,A,,,,,,
,20-Jul-2018,131712,47 54.449800 N,060 58.465700 W,5.9,28.7,A,,,,,,
,20-Jul-2018,131713,47 54.451000 N,060 58.464700 W,5.8,28.7,A,,,,,,
,20-Jul-2018,131714,47 54.452300 N,060 58.463700 W,5.6,28.6,A,,,,,,
,20-Jul-2018,131715,47 54.453400 N,060 58.462800 W,5.5,28.6,A,,,,,,
,20-Jul-2018,131716,47 54.454500 N,060 58.461900 W,5.3,28.9,A,,,,,,
,20-Jul-2018,131717,47 54.455600 N,060 58.460900 W,5.2,28.9,A,,,,,,
,20-Jul-2018,131718,47 54.456700 N,060 58.460100 W,5.1,28.9,A,,,,,,
,20-Jul-2018,131719,47 54.457800 N,060 58.459200 W,5.0,29.0,A,,,,,,
,20-Jul-2018,131720,47 54.458800 N,060 58.458300 W,4.9,29.2,A,,,,,,
,20-Jul-2018,131721,47 54.459800 N,060 58.457500 W,4.8,29.1,A,,,,,,
,20-Jul-2018,131722,47 54.460800 N,060 58.456600 W,4.7,29.2,A,,,,,,
,20-Jul-2018,131723,47 54.461700 N,060 58.455700 W,4.6,29.6,A,,,,,,
,20-Jul-2018,131724,47 54.462600 N,060 58.454900 W,4.5,29.9,A,,,,,,
,20-Jul-2018,131725,47 54.463600 N,060 58.454100 W,4.4,29.9,A,,,,,,
,20-Jul-2018,131726,47 54.464500 N,060 58.453300 W,4.3,29.7,A,,,,,,
,20-Jul-2018,131727,47 54.465400 N,060 58.452600 W,4.3,29.7,A,,,,,,
,20-Jul-2018,131728,47 54.466300 N,060 58.451800 W,4.2,29.8,A,,,,,,
,20-Jul-2018,131729,47 54.467200 N,060 58.451000 W,4.1,30.1,A,,,,,,
,20-Jul-2018,131730,47 54.468100 N,060 58.450100 W,4.1,30.5,A,,,,,,
,20-Jul-2018,131731,47 54.468900 N,060 58.449300 W,4.0,30.9,A,,,,,,
,20-Jul-2018,131732,47 54.469700 N,060 58.448500 W,3.9,31.1,A,,,,,,
,20-Jul-2018,131733,47 54.470600 N,060 58.447800 W,3.9,30.6,A,,,,,,
,20-Jul-2018,131734,47 54.471500 N,060 58.447100 W,3.8,30.1,A,,,,,,
,20-Jul-2018,131735,47 54.472300 N,060 58.446300 W,3.8,30.4,A,,,,,,
,20-Jul-2018,131736,47 54.473000 N,060 58.445400 W,3.7,31.5,A,,,,,,
,20-Jul-2018,131737,47 54.473900 N,060 58.444500 W,3.7,32.2,A,,,,,,
,20-Jul-2018,131738,47 54.474700 N,060 58.443800 W,3.7,32.2,A,,,,,,
,20-Jul-2018,131739,47 54.475500 N,060 58.443100 W,3.7,32.2,A,,,,,,
,20-Jul-2018,131740,47 54.476300 N,060 58.442400 W,3.6,32.2,A,,,,,,
,20-Jul-2018,131741,47 54.477100 N,060 58.441800 W,3.6,32.0,A,,,,,,
,20-Jul-2018,131742,47 54.477900 N,060 58.441000 W,3.5,32.4,A,,,,,,
,20-Jul-2018,131743,47 54.478700 N,060 58.440100 W,3.5,33.3,A,,,,,,
,20-Jul-2018,131744,47 54.479400 N,060 58.439200 W,3.5,34.2,A,,,,,,
,20-Jul-2018,131745,47 54.480100 N,060 58.438500 W,3.5,34.6,A,,,,,,
,20-Jul-2018,131746,47 54.480900 N,060 58.437700 W,3.4,34.4,A,,,,,,
,20-Jul-2018,131747,47 54.481700 N,060 58.437000 W,3.4,33.5,A,,,,,,
,20-Jul-2018,131748,47 54.482400 N,060 58.436400 W,3.4,33.3,A,,,,,,
,20-Jul-2018,131749,47 54.483100 N,060 58.435600 W,3.3,34.2,A,,,,,,
Fri Jul 20 10:17:49 2018,20-Jul-2018,131750,47 54.483600 N,060 58.434700 W,3.3,36.0,A,DoorSpread,DoorMaster,0.000000,E,S,44594.000000
