Ship Number,Trip Number,Tow Number
JEAN MATHIEU,5,2
Comments
"ZONE 19 MILIEU"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,15-Sep-2018,110435,46 49.353300 N,060 54.663100 W,3.9,28.5,A,,,,,,
,15-Sep-2018,110436,46 49.354100 N,060 54.662400 W,3.8,28.7,A,,,,,,
,15-Sep-2018,110437,46 49.355000 N,060 54.662000 W,3.7,27.3,A,,,,,,
,15-Sep-2018,110438,46 49.355900 N,060 54.661500 W,3.7,25.8,A,,,,,,
,15-Sep-2018,110439,46 49.356700 N,060 54.660800 W,3.6,26.2,A,,,,,,
,15-Sep-2018,110440,46 49.357400 N,060 54.660000 W,3.5,28.1,A,,,,,,
,15-Sep-2018,110441,46 49.358100 N,060 54.659300 W,3.5,28.7,A,,,,,,
,15-Sep-2018,110442,46 49.358900 N,060 54.658800 W,3.4,27.5,A,,,,,,
,15-Sep-2018,110443,46 49.359700 N,060 54.658400 W,3.4,26.4,A,,,,,,
,15-Sep-2018,110444,46 49.360400 N,060 54.657700 W,3.3,27.2,A,,,,,,
,15-Sep-2018,110445,46 49.361000 N,060 54.657000 W,3.2,29.1,A,,,,,,
,15-Sep-2018,110446,46 49.361600 N,060 54.656200 W,3.2,30.0,A,,,,,,
,15-Sep-2018,110447,46 49.362300 N,060 54.655800 W,3.1,29.4,A,,,,,,
,15-Sep-2018,110448,46 49.363000 N,060 54.655300 W,3.1,28.4,A,,,,,,
,15-Sep-2018,110449,46 49.363700 N,060 54.654800 W,3.0,28.7,A,,,,,,
,15-Sep-2018,110450,46 49.364300 N,060 54.654000 W,3.0,30.0,A,,,,,,
,15-Sep-2018,110451,46 49.364900 N,060 54.653400 W,2.9,31.0,A,,,,,,
,15-Sep-2018,110452,46 49.365500 N,060 54.652900 W,2.9,30.8,A,,,,,,
,15-Sep-2018,110453,46 49.366200 N,060 54.652500 W,2.8,29.7,A,,,,,,
,15-Sep-2018,110454,46 49.366900 N,060 54.651900 W,2.8,29.8,A,,,,,,
,15-Sep-2018,110455,46 49.367400 N,060 54.651300 W,2.8,31.2,A,,,,,,
,15-Sep-2018,110456,46 49.367900 N,060 54.650700 W,2.7,31.9,A,,,,,,
,15-Sep-2018,110457,46 49.368600 N,060 54.650300 W,2.7,31.1,A,,,,,,
,15-Sep-2018,110458,46 49.369200 N,060 54.649900 W,2.7,30.1,A,,,,,,
,15-Sep-2018,110459,46 49.369800 N,060 54.649300 W,2.7,30.5,A,,,,,,
,15-Sep-2018,110500,46 49.370300 N,060 54.648700 W,2.6,31.9,A,,,,,,
,15-Sep-2018,110501,46 49.370800 N,060 54.648200 W,2.6,32.7,A,,,,,,
,15-Sep-2018,110502,46 49.371400 N,060 54.647800 W,2.5,32.0,A,,,,,,
,15-Sep-2018,110503,46 49.372100 N,060 54.647300 W,2.5,30.9,A,,,,,,
,15-Sep-2018,110504,46 49.372600 N,060 54.646700 W,2.5,31.3,A,,,,,,
,15-Sep-2018,110505,46 49.373000 N,060 54.646100 W,2.5,33.1,A,,,,,,
,15-Sep-2018,110506,46 49.373400 N,060 54.645500 W,2.4,33.7,A,,,,,,
,15-Sep-2018,110507,46 49.374100 N,060 54.645000 W,2.4,32.6,A,,,,,,
,15-Sep-2018,110508,46 49.374700 N,060 54.644600 W,2.4,31.7,A,,,,,,
,15-Sep-2018,110509,46 49.375200 N,060 54.644000 W,2.4,32.6,A,,,,,,
,15-Sep-2018,110510,46 49.375700 N,060 54.643400 W,2.4,33.9,A,,,,,,
,15-Sep-2018,110511,46 49.376200 N,060 54.642900 W,2.4,34.3,A,,,,,,
,15-Sep-2018,110512,46 49.376600 N,060 54.642500 W,2.3,33.7,A,,,,,,
,15-Sep-2018,110513,46 49.377200 N,060 54.642100 W,2.3,32.7,A,,,,,,
,15-Sep-2018,110514,46 49.377800 N,060 54.641500 W,2.3,33.5,A,,,,,,
,15-Sep-2018,110515,46 49.378200 N,060 54.640900 W,2.3,34.7,A,,,,,,
,15-Sep-2018,110516,46 49.378600 N,060 54.640500 W,2.2,35.2,A,,,,,,
,15-Sep-2018,110517,46 49.379100 N,060 54.640000 W,2.3,34.6,A,,,,,,
,15-Sep-2018,110518,46 49.379700 N,060 54.639400 W,2.3,34.1,A,,,,,,
,15-Sep-2018,110519,46 49.380200 N,060 54.638900 W,2.3,34.3,A,,,,,,
Sat Sep 15 08:05:19 2018,15-Sep-2018,110520,46 49.380600 N,060 54.638500 W,2.2,34.9,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110521,46 49.381100 N,060 54.637800 W,2.3,35.3,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110522,46 49.381700 N,060 54.637200 W,2.3,35.2,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110523,46 49.382100 N,060 54.636700 W,2.3,35.0,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110524,46 49.382600 N,060 54.636300 W,2.2,34.2,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110525,46 49.383100 N,060 54.635700 W,2.3,34.0,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110526,46 49.383800 N,060 54.635000 W,2.4,34.8,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110527,46 49.384200 N,060 54.634400 W,2.4,35.8,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110528,46 49.384800 N,060 54.634100 W,2.3,35.1,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110529,46 49.385400 N,060 54.633800 W,2.3,33.0,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110530,46 49.386100 N,060 54.633200 W,2.4,32.4,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110531,46 49.386700 N,060 54.632500 W,2.4,34.2,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110532,46 49.387100 N,060 54.632000 W,2.4,35.9,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:19 2018,15-Sep-2018,110533,46 49.387700 N,060 54.631600 W,2.3,34.9,A,Depth,Depth,1.018519,D,S,45170.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110534,46 49.388400 N,060 54.631200 W,2.4,32.2,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110535,46 49.389100 N,060 54.630800 W,2.4,31.6,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110536,46 49.389500 N,060 54.630200 W,2.4,33.3,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110537,46 49.390000 N,060 54.629600 W,2.4,34.6,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110538,46 49.390700 N,060 54.629100 W,2.4,33.5,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110539,46 49.391400 N,060 54.628700 W,2.4,31.5,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110540,46 49.391900 N,060 54.628400 W,2.4,30.7,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110541,46 49.392500 N,060 54.627800 W,2.4,31.8,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110542,46 49.393000 N,060 54.627100 W,2.4,32.9,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110543,46 49.393600 N,060 54.626600 W,2.4,32.3,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110544,46 49.394200 N,060 54.626300 W,2.4,30.9,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110545,46 49.394800 N,060 54.625800 W,2.4,30.8,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110546,46 49.395400 N,060 54.625200 W,2.4,31.9,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:33 2018,15-Sep-2018,110547,46 49.395900 N,060 54.624600 W,2.4,32.8,A,Primary,Headline,2.020408,D,S,77015.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110548,46 49.396300 N,060 54.624200 W,2.4,32.1,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110549,46 49.396800 N,060 54.623800 W,2.3,30.4,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110550,46 49.397400 N,060 54.623300 W,2.3,30.0,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110551,46 49.397900 N,060 54.622700 W,2.3,31.4,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110552,46 49.398400 N,060 54.622200 W,2.3,31.8,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110553,46 49.399000 N,060 54.621900 W,2.3,30.6,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110554,46 49.399600 N,060 54.621500 W,2.3,30.2,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110555,46 49.400100 N,060 54.621000 W,2.2,30.7,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110556,46 49.400500 N,060 54.620500 W,2.2,31.1,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110557,46 49.401100 N,060 54.620100 W,2.2,30.7,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110558,46 49.401700 N,060 54.619600 W,2.2,30.6,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110559,46 49.402000 N,060 54.619200 W,2.2,31.4,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110600,46 49.402500 N,060 54.618800 W,2.1,31.7,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110601,46 49.403100 N,060 54.618300 W,2.2,31.5,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110602,46 49.403700 N,060 54.617700 W,2.2,31.8,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110603,46 49.404100 N,060 54.617400 W,2.1,32.0,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110604,46 49.404600 N,060 54.616900 W,2.1,32.2,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110605,46 49.405100 N,060 54.616400 W,2.1,32.4,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110606,46 49.405700 N,060 54.616000 W,2.1,32.2,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110607,46 49.406200 N,060 54.615600 W,2.1,32.2,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:05:47 2018,15-Sep-2018,110608,46 49.406600 N,060 54.615100 W,2.1,32.6,A,Depth,Depth,11.111111,D,S,33108.000000
Sat Sep 15 08:06:08 2018,15-Sep-2018,110609,46 49.407000 N,060 54.614700 W,2.0,32.6,A,Depth,Depth,16.851852,D,S,82541.000000
Sat Sep 15 08:06:08 2018,15-Sep-2018,110610,46 49.407500 N,060 54.614400 W,2.0,32.1,A,Depth,Depth,16.851852,D,S,82541.000000
Sat Sep 15 08:06:08 2018,15-Sep-2018,110611,46 49.408000 N,060 54.613900 W,2.0,32.4,A,Depth,Depth,16.851852,D,S,82541.000000
Sat Sep 15 08:06:08 2018,15-Sep-2018,110612,46 49.408400 N,060 54.613500 W,2.0,33.2,A,Depth,Depth,16.851852,D,S,82541.000000
Sat Sep 15 08:06:08 2018,15-Sep-2018,110613,46 49.408900 N,060 54.613000 W,2.0,33.2,A,Depth,Depth,16.851852,D,S,82541.000000
Sat Sep 15 08:06:08 2018,15-Sep-2018,110614,46 49.409400 N,060 54.612700 W,2.0,32.1,A,Depth,Depth,16.851852,D,S,82541.000000
Sat Sep 15 08:06:08 2018,15-Sep-2018,110615,46 49.409900 N,060 54.612300 W,2.0,31.3,A,Depth,Depth,16.851852,D,S,82541.000000
Sat Sep 15 08:06:15 2018,15-Sep-2018,110616,46 49.410500 N,060 54.611800 W,2.1,31.0,A,Depth,Depth,17.870370,D,S,117030.000000
Sat Sep 15 08:06:15 2018,15-Sep-2018,110617,46 49.411100 N,060 54.611300 W,2.2,31.1,A,Depth,Depth,17.870370,D,S,117030.000000
Sat Sep 15 08:06:15 2018,15-Sep-2018,110618,46 49.411800 N,060 54.610700 W,2.3,31.2,A,Depth,Depth,17.870370,D,S,117030.000000
Sat Sep 15 08:06:15 2018,15-Sep-2018,110619,46 49.412500 N,060 54.610200 W,2.4,30.2,A,Depth,Depth,17.870370,D,S,117030.000000
Sat Sep 15 08:06:15 2018,15-Sep-2018,110620,46 49.413400 N,060 54.609600 W,2.6,28.3,A,Depth,Depth,17.870370,D,S,117030.000000
Sat Sep 15 08:06:15 2018,15-Sep-2018,110621,46 49.414400 N,060 54.609000 W,2.8,26.9,A,Depth,Depth,17.870370,D,S,117030.000000
Sat Sep 15 08:06:15 2018,15-Sep-2018,110622,46 49.415500 N,060 54.608300 W,3.0,26.6,A,Depth,Depth,17.870370,D,S,117030.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110623,46 49.416600 N,060 54.607400 W,3.3,26.9,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110624,46 49.417800 N,060 54.606500 W,3.5,26.8,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110625,46 49.419200 N,060 54.605700 W,3.8,25.8,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110626,46 49.420500 N,060 54.605000 W,4.0,24.7,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110627,46 49.421900 N,060 54.604300 W,4.2,23.7,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110628,46 49.423200 N,060 54.603400 W,4.4,23.9,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110629,46 49.424700 N,060 54.602300 W,4.6,24.5,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110630,46 49.426100 N,060 54.601300 W,4.8,24.5,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110631,46 49.427600 N,060 54.600500 W,4.9,23.7,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110632,46 49.429200 N,060 54.599700 W,5.1,22.6,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110633,46 49.430800 N,060 54.598900 W,5.2,22.0,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110634,46 49.432400 N,060 54.598100 W,5.4,21.8,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110635,46 49.434000 N,060 54.597100 W,5.5,22.0,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110636,46 49.435600 N,060 54.596100 W,5.6,22.4,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110637,46 49.437200 N,060 54.595000 W,5.8,22.5,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110638,46 49.438900 N,060 54.594100 W,5.9,22.2,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110639,46 49.440600 N,060 54.593300 W,6.0,21.6,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110640,46 49.442300 N,060 54.592300 W,6.1,21.3,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110641,46 49.444000 N,060 54.591400 W,6.1,21.2,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110642,46 49.445700 N,060 54.590400 W,6.2,21.2,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110643,46 49.447400 N,060 54.589500 W,6.2,21.2,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:22 2018,15-Sep-2018,110644,46 49.449000 N,060 54.588400 W,6.3,21.5,A,Depth,Depth,24.166667,D,S,42218.000000
Sat Sep 15 08:06:44 2018,15-Sep-2018,110645,46 49.450700 N,060 54.587300 W,6.3,21.8,A,Primary,Headline,3.836735,D,S,30692.000000
Sat Sep 15 08:06:44 2018,15-Sep-2018,110646,46 49.452500 N,060 54.586200 W,6.4,22.1,A,Primary,Headline,3.836735,D,S,30692.000000
Sat Sep 15 08:06:44 2018,15-Sep-2018,110647,46 49.454200 N,060 54.585000 W,6.5,22.4,A,Primary,Headline,3.836735,D,S,30692.000000
Sat Sep 15 08:06:44 2018,15-Sep-2018,110648,46 49.455900 N,060 54.583900 W,6.5,22.7,A,Primary,Headline,3.836735,D,S,30692.000000
Sat Sep 15 08:06:44 2018,15-Sep-2018,110649,46 49.457600 N,060 54.582700 W,6.5,23.3,A,Primary,Headline,3.836735,D,S,30692.000000
Sat Sep 15 08:06:49 2018,15-Sep-2018,110650,46 49.459200 N,060 54.581400 W,6.5,23.9,A,Primary,Headline,2.510204,D,S,32781.000000
Sat Sep 15 08:06:51 2018,15-Sep-2018,110651,46 49.460800 N,060 54.580200 W,6.6,24.5,A,Depth,Depth,0.000000,D,S,37891.000000
Sat Sep 15 08:06:51 2018,15-Sep-2018,110652,46 49.462400 N,060 54.578900 W,6.6,25.1,A,Depth,Depth,0.000000,D,S,37891.000000
Sat Sep 15 08:06:51 2018,15-Sep-2018,110653,46 49.464000 N,060 54.577500 W,6.6,25.7,A,Depth,Depth,0.000000,D,S,37891.000000
Sat Sep 15 08:06:51 2018,15-Sep-2018,110654,46 49.465700 N,060 54.576100 W,6.7,26.1,A,Depth,Depth,0.000000,D,S,37891.000000
Sat Sep 15 08:06:51 2018,15-Sep-2018,110655,46 49.467400 N,060 54.574900 W,6.7,26.1,A,Depth,Depth,0.000000,D,S,37891.000000
Sat Sep 15 08:06:51 2018,15-Sep-2018,110656,46 49.469100 N,060 54.573800 W,6.7,25.7,A,Depth,Depth,0.000000,D,S,37891.000000
Sat Sep 15 08:06:51 2018,15-Sep-2018,110657,46 49.470800 N,060 54.572700 W,6.7,25.3,A,Depth,Depth,0.000000,D,S,37891.000000
Sat Sep 15 08:06:58 2018,15-Sep-2018,110658,46 49.472400 N,060 54.571700 W,6.7,24.9,A,Depth,Depth,26.203704,D,S,38655.000000
Sat Sep 15 08:06:58 2018,15-Sep-2018,110659,46 49.474100 N,060 54.570600 W,6.7,24.8,A,Depth,Depth,26.203704,D,S,38655.000000
Sat Sep 15 08:06:58 2018,15-Sep-2018,110700,46 49.475800 N,060 54.569500 W,6.6,24.6,A,Depth,Depth,26.203704,D,S,38655.000000
Sat Sep 15 08:06:58 2018,15-Sep-2018,110701,46 49.477500 N,060 54.568400 W,6.7,24.5,A,Depth,Depth,26.203704,D,S,38655.000000
Sat Sep 15 08:06:58 2018,15-Sep-2018,110702,46 49.479300 N,060 54.567300 W,6.7,24.4,A,Depth,Depth,26.203704,D,S,38655.000000
Sat Sep 15 08:06:58 2018,15-Sep-2018,110703,46 49.481000 N,060 54.566100 W,6.7,24.6,A,Depth,Depth,26.203704,D,S,38655.000000
Sat Sep 15 08:06:58 2018,15-Sep-2018,110704,46 49.482800 N,060 54.564900 W,6.7,24.8,A,Depth,Depth,26.203704,D,S,38655.000000
Sat Sep 15 08:06:58 2018,15-Sep-2018,110705,46 49.484400 N,060 54.563800 W,6.7,24.7,A,Depth,Depth,26.203704,D,S,38655.000000
Sat Sep 15 08:07:05 2018,15-Sep-2018,110706,46 49.486000 N,060 54.562700 W,6.6,24.8,A,Depth,Depth,13.055556,D,S,63761.000000
Sat Sep 15 08:07:05 2018,15-Sep-2018,110707,46 49.487600 N,060 54.561400 W,6.6,25.4,A,Depth,Depth,13.055556,D,S,63761.000000
Sat Sep 15 08:07:05 2018,15-Sep-2018,110708,46 49.489100 N,060 54.560100 W,6.6,26.0,A,Depth,Depth,13.055556,D,S,63761.000000
Sat Sep 15 08:07:05 2018,15-Sep-2018,110709,46 49.490700 N,060 54.558900 W,6.5,26.4,A,Depth,Depth,13.055556,D,S,63761.000000
Sat Sep 15 08:07:05 2018,15-Sep-2018,110710,46 49.492200 N,060 54.557700 W,6.5,26.4,A,Depth,Depth,13.055556,D,S,63761.000000
Sat Sep 15 08:07:05 2018,15-Sep-2018,110711,46 49.493900 N,060 54.556700 W,6.5,26.0,A,Depth,Depth,13.055556,D,S,63761.000000
Sat Sep 15 08:07:05 2018,15-Sep-2018,110712,46 49.495500 N,060 54.555700 W,6.5,25.6,A,Depth,Depth,13.055556,D,S,63761.000000
Sat Sep 15 08:07:12 2018,15-Sep-2018,110713,46 49.497100 N,060 54.554600 W,6.5,25.2,A,Depth,Depth,15.740741,D,S,91247.000000
Sat Sep 15 08:07:12 2018,15-Sep-2018,110714,46 49.498700 N,060 54.553500 W,6.4,25.3,A,Depth,Depth,15.740741,D,S,91247.000000
Sat Sep 15 08:07:12 2018,15-Sep-2018,110715,46 49.500300 N,060 54.552300 W,6.4,25.6,A,Depth,Depth,15.740741,D,S,91247.000000
Sat Sep 15 08:07:12 2018,15-Sep-2018,110716,46 49.501900 N,060 54.551200 W,6.4,25.7,A,Depth,Depth,15.740741,D,S,91247.000000
Sat Sep 15 08:07:12 2018,15-Sep-2018,110717,46 49.503400 N,060 54.550100 W,6.4,25.4,A,Depth,Depth,15.740741,D,S,91247.000000
Sat Sep 15 08:07:12 2018,15-Sep-2018,110718,46 49.505100 N,060 54.549100 W,6.4,25.1,A,Depth,Depth,15.740741,D,S,91247.000000
Sat Sep 15 08:07:12 2018,15-Sep-2018,110719,46 49.506700 N,060 54.548100 W,6.3,24.8,A,Depth,Depth,15.740741,D,S,91247.000000
Sat Sep 15 08:07:19 2018,15-Sep-2018,110720,46 49.508300 N,060 54.547100 W,6.3,24.3,A,Primary,Headline,3.795918,D,S,31488.000000
Sat Sep 15 08:07:19 2018,15-Sep-2018,110721,46 49.509900 N,060 54.546200 W,6.3,24.0,A,Primary,Headline,3.795918,D,S,31488.000000
Sat Sep 15 08:07:19 2018,15-Sep-2018,110722,46 49.511400 N,060 54.545000 W,6.3,24.3,A,Primary,Headline,3.795918,D,S,31488.000000
Sat Sep 15 08:07:19 2018,15-Sep-2018,110723,46 49.512900 N,060 54.543800 W,6.3,25.0,A,Primary,Headline,3.795918,D,S,31488.000000
Sat Sep 15 08:07:19 2018,15-Sep-2018,110724,46 49.514400 N,060 54.542600 W,6.3,25.4,A,Primary,Headline,3.795918,D,S,31488.000000
