Ship Number,Trip Number,Tow Number
AVALON VOYAGER,1,10
Comments
"ZONE 12 SUD DE LA E"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,15-Jul-2019,231712,48 9.454300 N,062 18.401900 W,2.7,121.1,A,,,,,,
,15-Jul-2019,231713,48 9.454000 N,062 18.400900 W,2.7,120.6,A,,,,,,
Mon Jul 15 20:17:12 2019,15-Jul-2019,231714,48 9.453700 N,062 18.400000 W,2.7,120.6,A,Primary,Headline,0.346939,D,S,39535.000000
Mon Jul 15 20:17:12 2019,15-Jul-2019,231715,48 9.453300 N,062 18.399100 W,2.7,121.1,A,Primary,Headline,0.346939,D,S,39535.000000
Mon Jul 15 20:17:12 2019,15-Jul-2019,231716,48 9.452900 N,062 18.398100 W,2.8,121.5,A,Primary,Headline,0.346939,D,S,39535.000000
Mon Jul 15 20:17:12 2019,15-Jul-2019,231717,48 9.452600 N,062 18.397100 W,2.7,121.5,A,Primary,Headline,0.346939,D,S,39535.000000
Mon Jul 15 20:17:16 2019,15-Jul-2019,231718,48 9.452400 N,062 18.396400 W,2.5,121.6,A,Depth,Depth,7.870370,D,P,29047.000000
Mon Jul 15 20:17:17 2019,15-Jul-2019,231719,48 9.452100 N,062 18.395900 W,2.3,121.7,A,Primary,Headline,1.183673,D,S,45983.000000
Mon Jul 15 20:17:17 2019,15-Jul-2019,231720,48 9.451900 N,062 18.395300 W,2.3,122.1,A,Primary,Headline,1.183673,D,S,45983.000000
Mon Jul 15 20:17:17 2019,15-Jul-2019,231721,48 9.451400 N,062 18.394400 W,2.5,122.3,A,Primary,Headline,1.183673,D,S,45983.000000
Mon Jul 15 20:17:17 2019,15-Jul-2019,231722,48 9.451000 N,062 18.393300 W,2.6,122.1,A,Primary,Headline,1.183673,D,S,45983.000000
Mon Jul 15 20:17:17 2019,15-Jul-2019,231723,48 9.450700 N,062 18.392600 W,2.4,122.0,A,Primary,Headline,1.183673,D,S,45983.000000
Mon Jul 15 20:17:22 2019,15-Jul-2019,231724,48 9.450400 N,062 18.392000 W,2.3,121.9,A,Primary,Headline,1.551020,D,S,118063.000000
Mon Jul 15 20:17:23 2019,15-Jul-2019,231725,48 9.450200 N,062 18.391400 W,2.2,121.8,A,Depth,Depth,8.518519,D,S,90829.000000
Mon Jul 15 20:17:23 2019,15-Jul-2019,231726,48 9.449900 N,062 18.391000 W,2.1,122.0,A,Depth,Depth,8.518519,D,S,90829.000000
Mon Jul 15 20:17:23 2019,15-Jul-2019,231727,48 9.449500 N,062 18.390400 W,2.1,122.4,A,Depth,Depth,8.518519,D,S,90829.000000
Mon Jul 15 20:17:23 2019,15-Jul-2019,231728,48 9.449100 N,062 18.389700 W,2.2,122.7,A,Depth,Depth,8.518519,D,S,90829.000000
Mon Jul 15 20:17:27 2019,15-Jul-2019,231729,48 9.448700 N,062 18.389100 W,2.2,122.9,A,Primary,Headline,0.857143,D,P,389231.000000
Mon Jul 15 20:17:27 2019,15-Jul-2019,231730,48 9.448400 N,062 18.388800 W,2.0,123.1,A,Primary,Headline,0.857143,D,P,389231.000000
Mon Jul 15 20:17:27 2019,15-Jul-2019,231731,48 9.448200 N,062 18.388400 W,1.9,123.2,A,Primary,Headline,0.857143,D,P,389231.000000
Mon Jul 15 20:17:30 2019,15-Jul-2019,231732,48 9.448000 N,062 18.387800 W,1.9,123.3,A,Depth,Depth,8.888889,D,P,337066.000000
Mon Jul 15 20:17:30 2019,15-Jul-2019,231733,48 9.447700 N,062 18.387400 W,1.8,123.6,A,Depth,Depth,8.888889,D,P,337066.000000
Mon Jul 15 20:17:32 2019,15-Jul-2019,231734,48 9.447200 N,062 18.386900 W,1.9,124.7,A,Primary,Headline,1.346939,D,S,65297.000000
Mon Jul 15 20:17:32 2019,15-Jul-2019,231735,48 9.446800 N,062 18.386300 W,1.9,125.3,A,Primary,Headline,1.346939,D,S,65297.000000
Mon Jul 15 20:17:32 2019,15-Jul-2019,231736,48 9.446600 N,062 18.385700 W,1.8,125.5,A,Primary,Headline,1.346939,D,S,65297.000000
Mon Jul 15 20:17:32 2019,15-Jul-2019,231737,48 9.446500 N,062 18.385100 W,1.7,125.3,A,Primary,Headline,1.346939,D,S,65297.000000
Mon Jul 15 20:17:32 2019,15-Jul-2019,231738,48 9.446200 N,062 18.384600 W,1.7,125.5,A,Primary,Headline,1.346939,D,S,65297.000000
Mon Jul 15 20:17:37 2019,15-Jul-2019,231739,48 9.445800 N,062 18.384200 W,1.8,125.9,A,Primary,Headline,1.265306,D,S,153798.000000
Mon Jul 15 20:17:37 2019,15-Jul-2019,231740,48 9.445500 N,062 18.383600 W,1.7,126.0,A,Primary,Headline,1.265306,D,S,153798.000000
Mon Jul 15 20:17:37 2019,15-Jul-2019,231741,48 9.445300 N,062 18.383100 W,1.7,126.0,A,Primary,Headline,1.265306,D,S,153798.000000
Mon Jul 15 20:17:37 2019,15-Jul-2019,231742,48 9.445000 N,062 18.382600 W,1.6,126.2,A,Primary,Headline,1.265306,D,S,153798.000000
Mon Jul 15 20:17:37 2019,15-Jul-2019,231743,48 9.444700 N,062 18.382100 W,1.6,126.3,A,Primary,Headline,1.265306,D,S,153798.000000
Mon Jul 15 20:17:37 2019,15-Jul-2019,231744,48 9.444500 N,062 18.381700 W,1.6,126.4,A,Primary,Headline,1.265306,D,S,153798.000000
Mon Jul 15 20:17:37 2019,15-Jul-2019,231745,48 9.444200 N,062 18.381200 W,1.6,126.5,A,Primary,Headline,1.265306,D,S,153798.000000
Mon Jul 15 20:17:37 2019,15-Jul-2019,231746,48 9.443800 N,062 18.380600 W,1.6,126.3,A,Primary,Headline,1.265306,D,S,153798.000000
Mon Jul 15 20:17:37 2019,15-Jul-2019,231747,48 9.443300 N,062 18.379900 W,1.7,126.1,A,Primary,Headline,1.265306,D,S,153798.000000
