Ship Number,Trip Number,Tow Number
AVALON VOYAGER,5,6
Comments
"ZONE 12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,13-Sep-2019,155404,47 0.121000 N,062 20.690900 W,2.5,170.8,A,,,,,,
,13-Sep-2019,155405,47 0.120100 N,062 20.690900 W,2.5,171.0,A,,,,,,
,13-Sep-2019,155406,47 0.119400 N,062 20.690900 W,2.6,171.1,A,,,,,,
Fri Sep 13 12:54:06 2019,13-Sep-2019,155407,47 0.118700 N,062 20.690800 W,2.5,171.2,A,DoorSpread,DoorMaster,2.115000,D,S,88887.000000
Fri Sep 13 12:54:08 2019,13-Sep-2019,155408,47 0.118200 N,062 20.690800 W,2.4,171.3,A,Depth,Depth,3.055556,D,P,27198.000000
Fri Sep 13 12:54:09 2019,13-Sep-2019,155409,47 0.117800 N,062 20.690900 W,2.3,171.6,A,Primary,Headline,2.469388,D,P,30088.000000
Fri Sep 13 12:54:09 2019,13-Sep-2019,155410,47 0.117800 N,062 20.690900 W,2.2,171.8,A,Primary,Headline,2.469388,D,P,30088.000000
Fri Sep 13 12:54:09 2019,13-Sep-2019,155411,47 0.116700 N,062 20.690700 W,2.2,171.8,A,Primary,Headline,2.469388,D,P,30088.000000
Fri Sep 13 12:54:12 2019,13-Sep-2019,155412,47 0.116100 N,062 20.690500 W,2.3,171.9,A,DoorSpread,DoorMaster,2.710000,D,P,66931.000000
Fri Sep 13 12:54:12 2019,13-Sep-2019,155413,47 0.115500 N,062 20.690400 W,2.2,172.0,A,DoorSpread,DoorMaster,2.710000,D,P,66931.000000
Fri Sep 13 12:54:12 2019,13-Sep-2019,155414,47 0.115000 N,062 20.690600 W,2.2,173.2,A,DoorSpread,DoorMaster,2.710000,D,P,66931.000000
Fri Sep 13 12:54:15 2019,13-Sep-2019,155415,47 0.114400 N,062 20.690800 W,2.1,174.3,A,Depth,Depth,5.370370,D,S,129544.000000
Fri Sep 13 12:54:15 2019,13-Sep-2019,155416,47 0.114000 N,062 20.690800 W,2.0,175.0,A,Depth,Depth,5.370370,D,S,129544.000000
Fri Sep 13 12:54:17 2019,13-Sep-2019,155417,47 0.113500 N,062 20.690700 W,1.9,175.5,A,DoorSpread,DoorMaster,2.855000,D,P,113093.000000
Fri Sep 13 12:54:17 2019,13-Sep-2019,155418,47 0.113000 N,062 20.690700 W,2.1,176.0,A,DoorSpread,DoorMaster,2.855000,D,P,113093.000000
Fri Sep 13 12:54:17 2019,13-Sep-2019,155419,47 0.112200 N,062 20.690500 W,2.3,175.7,A,DoorSpread,DoorMaster,2.855000,D,P,113093.000000
Fri Sep 13 12:54:17 2019,13-Sep-2019,155420,47 0.111400 N,062 20.690200 W,2.5,174.9,A,DoorSpread,DoorMaster,2.855000,D,P,113093.000000
Fri Sep 13 12:54:17 2019,13-Sep-2019,155421,47 0.110500 N,062 20.689800 W,2.6,174.1,A,DoorSpread,DoorMaster,2.855000,D,P,113093.000000
Fri Sep 13 12:54:22 2019,13-Sep-2019,155422,47 0.109600 N,062 20.689500 W,2.7,173.6,A,Depth,Depth,12.222222,D,S,32949.000000
Fri Sep 13 12:54:22 2019,13-Sep-2019,155423,47 0.108700 N,062 20.689200 W,2.9,173.1,A,DoorSpread,DoorMaster,2.340000,D,S,85291.000000
Fri Sep 13 12:54:22 2019,13-Sep-2019,155424,47 0.107700 N,062 20.688800 W,3.1,172.4,A,DoorSpread,DoorMaster,2.340000,D,S,85291.000000
Fri Sep 13 12:54:22 2019,13-Sep-2019,155425,47 0.106800 N,062 20.688400 W,3.1,171.6,A,DoorSpread,DoorMaster,2.340000,D,S,85291.000000
Fri Sep 13 12:54:22 2019,13-Sep-2019,155426,47 0.105700 N,062 20.687900 W,3.4,170.8,A,DoorSpread,DoorMaster,2.340000,D,S,85291.000000
Fri Sep 13 12:54:22 2019,13-Sep-2019,155427,47 0.105700 N,062 20.687900 W,3.6,170.2,A,DoorSpread,DoorMaster,2.340000,D,S,85291.000000
Fri Sep 13 12:54:28 2019,13-Sep-2019,155428,47 0.103300 N,062 20.687300 W,3.7,169.8,A,DoorSpread,DoorMaster,2.495000,D,P,163730.000000
Fri Sep 13 12:54:29 2019,13-Sep-2019,155429,47 0.102200 N,062 20.686900 W,3.8,169.3,A,Depth,Depth,0.462963,D,S,170599.000000
Fri Sep 13 12:54:29 2019,13-Sep-2019,155430,47 0.102200 N,062 20.686900 W,3.9,168.8,A,Depth,Depth,0.462963,D,S,170599.000000
Fri Sep 13 12:54:29 2019,13-Sep-2019,155431,47 0.099900 N,062 20.685900 W,4.0,168.3,A,Depth,Depth,0.462963,D,S,170599.000000
Fri Sep 13 12:54:29 2019,13-Sep-2019,155432,47 0.098800 N,062 20.685400 W,4.1,167.8,A,Depth,Depth,0.462963,D,S,170599.000000
