Ship Number,Trip Number,Tow Number,,,,,,,,,,,
AVALON VOYAGER,6,5,,,,,,,,,,,
Comments,,,,,,,,,,,,,
ZONE 12,,,,,,,,,,,,,
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,20-Sep-19,155853,46 51.380600 N,061 20.822600 W,3.1,20.6,A,,,,,,
Fri Sep 20 12:58:54 2019,20-Sep-19,155854,46 51.381400 N,061 20.822200 W,3,20.6,A,Depth,Depth,5.648148,D,S,72640
Fri Sep 20 12:58:54 2019,20-Sep-19,155855,46 51.382100 N,061 20.821800 W,3,20.7,A,DoorSpread,DoorMaster,1.74,D,P,737195
Fri Sep 20 12:58:54 2019,20-Sep-19,155856,46 51.382700 N,061 20.821400 W,2.9,20.7,A,DoorSpread,DoorMaster,1.74,D,P,737195
Fri Sep 20 12:58:54 2019,20-Sep-19,155857,46 51.383300 N,061 20.821000 W,2.9,20.8,A,DoorSpread,DoorMaster,1.74,D,P,737195
Fri Sep 20 12:58:54 2019,20-Sep-19,155858,46 51.383800 N,061 20.820500 W,2.8,20.9,A,DoorSpread,DoorMaster,1.74,D,P,737195
Fri Sep 20 12:58:54 2019,20-Sep-19,155859,46 51.384300 N,061 20.820100 W,2.7,21,A,DoorSpread,DoorMaster,1.74,D,P,737195
Fri Sep 20 12:59:00 2019,20-Sep-19,155900,46 51.384800 N,061 20.819700 W,2.6,21,A,DoorSpread,DoorMaster,2.77,D,S,803051
Fri Sep 20 12:59:01 2019,20-Sep-19,155901,46 51.385400 N,061 20.819300 W,2.6,21.1,A,Depth,Depth,8.981481,D,S,200917
Fri Sep 20 12:59:01 2019,20-Sep-19,155902,46 51.386100 N,061 20.818700 W,2.6,21.2,A,Depth,Depth,8.981481,D,S,200917
