Ship Number,Trip Number,Tow Number
AVALON VOYAGER,5,2
Comments
""
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Mon Sep 09 14:11:31 2019,09-Sep-2019,171131,47 19.502100 N,061 10.038400 W,2.8,89.5,A,DoorSpread,DoorMaster,0.000000,E,S,436610.000000
Mon Sep 09 14:11:31 2019,09-Sep-2019,171132,47 19.502100 N,061 10.037400 W,2.8,89.5,A,DoorSpread,DoorMaster,0.000000,E,S,436610.000000
Mon Sep 09 14:11:33 2019,09-Sep-2019,171133,47 19.502200 N,061 10.036400 W,2.8,89.5,A,Primary,Headline,30.285714,D,P,171998.000000
Mon Sep 09 14:11:33 2019,09-Sep-2019,171134,47 19.502400 N,061 10.035600 W,2.7,89.5,A,Primary,Headline,30.387755,D,S,212730.000000
Mon Sep 09 14:11:33 2019,09-Sep-2019,171135,47 19.502400 N,061 10.034700 W,2.6,89.7,A,Primary,Headline,30.387755,D,S,212730.000000
Mon Sep 09 14:11:33 2019,09-Sep-2019,171136,47 19.502300 N,061 10.033700 W,2.6,90.2,A,Primary,Headline,30.387755,D,S,212730.000000
Mon Sep 09 14:11:37 2019,09-Sep-2019,171137,47 19.502300 N,061 10.032800 W,2.5,90.5,A,DoorSpread,DoorMaster,2.185000,D,S,954891.000000
Mon Sep 09 14:11:37 2019,09-Sep-2019,171138,47 19.502400 N,061 10.031900 W,2.5,90.4,A,DoorSpread,DoorMaster,2.185000,D,S,954891.000000
Mon Sep 09 14:11:39 2019,09-Sep-2019,171139,47 19.502300 N,061 10.031100 W,2.5,90.5,A,Primary,Headline,13.040816,D,S,309563.000000
Mon Sep 09 14:11:39 2019,09-Sep-2019,171140,47 19.502200 N,061 10.030300 W,2.4,90.9,A,Primary,Headline,13.040816,D,S,309563.000000
Mon Sep 09 14:11:39 2019,09-Sep-2019,171141,47 19.502100 N,061 10.029500 W,2.4,91.2,A,Primary,Headline,13.040816,D,S,309563.000000
Mon Sep 09 14:11:42 2019,09-Sep-2019,171142,47 19.502100 N,061 10.028700 W,2.3,91.1,A,Depth,Depth,9.074074,D,P,153425.000000
Mon Sep 09 14:11:42 2019,09-Sep-2019,171143,47 19.502100 N,061 10.027900 W,2.3,90.6,A,Depth,Depth,9.074074,D,P,153425.000000
Mon Sep 09 14:11:44 2019,09-Sep-2019,171144,47 19.502200 N,061 10.027000 W,2.3,90.2,A,Primary,Headline,21.469388,D,S,420160.000000
Mon Sep 09 14:11:44 2019,09-Sep-2019,171145,47 19.502200 N,061 10.026100 W,2.3,89.9,A,Primary,Headline,21.469388,D,S,420160.000000
Mon Sep 09 14:11:44 2019,09-Sep-2019,171146,47 19.502200 N,061 10.025200 W,2.3,89.5,A,Primary,Headline,21.469388,D,S,420160.000000
Mon Sep 09 14:11:47 2019,09-Sep-2019,171147,47 19.502200 N,061 10.024300 W,2.2,89.0,A,DoorSpread,DoorMaster,2.015000,D,S,402765.000000
Mon Sep 09 14:11:47 2019,09-Sep-2019,171148,47 19.502300 N,061 10.023500 W,2.2,88.6,A,DoorSpread,DoorMaster,2.015000,D,S,402765.000000
Mon Sep 09 14:11:49 2019,09-Sep-2019,171149,47 19.502200 N,061 10.022600 W,2.2,88.4,A,Primary,Headline,17.081633,D,S,326270.000000
Mon Sep 09 14:11:49 2019,09-Sep-2019,171150,47 19.502300 N,061 10.021900 W,2.1,88.3,A,Primary,Headline,17.081633,D,S,326270.000000
Mon Sep 09 14:11:49 2019,09-Sep-2019,171151,47 19.502200 N,061 10.021000 W,2.1,88.5,A,Primary,Headline,17.081633,D,S,326270.000000
Mon Sep 09 14:11:52 2019,09-Sep-2019,171152,47 19.502200 N,061 10.020200 W,2.0,88.7,A,DoorSpread,DoorMaster,0.000000,E,S,362686.000000
Mon Sep 09 14:11:52 2019,09-Sep-2019,171153,47 19.502200 N,061 10.019400 W,2.0,88.8,A,DoorSpread,DoorMaster,0.000000,E,S,362686.000000
Mon Sep 09 14:11:52 2019,09-Sep-2019,171154,47 19.502200 N,061 10.018600 W,2.0,88.9,A,DoorSpread,DoorMaster,0.000000,E,S,362686.000000
Mon Sep 09 14:11:55 2019,09-Sep-2019,171155,47 19.502200 N,061 10.017800 W,2.0,89.0,A,Primary,Headline,33.142857,D,S,462316.000000
Mon Sep 09 14:11:56 2019,09-Sep-2019,171156,47 19.502100 N,061 10.017100 W,1.9,89.3,A,Depth,Depth,12.407407,D,S,348350.000000
Mon Sep 09 14:11:57 2019,09-Sep-2019,171157,47 19.502000 N,061 10.016500 W,1.9,89.6,A,DoorSpread,DoorMaster,1.000000,D,P,261320.000000
Mon Sep 09 14:11:57 2019,09-Sep-2019,171158,47 19.502000 N,061 10.015800 W,1.9,89.8,A,DoorSpread,DoorMaster,1.000000,D,S,307928.000000
Mon Sep 09 14:11:57 2019,09-Sep-2019,171159,47 19.502100 N,061 10.015000 W,1.9,89.7,A,DoorSpread,DoorMaster,1.000000,D,S,307928.000000
Mon Sep 09 14:11:57 2019,09-Sep-2019,171200,47 19.502100 N,061 10.014400 W,1.8,89.6,A,DoorSpread,DoorMaster,1.000000,D,S,307928.000000
Mon Sep 09 14:12:01 2019,09-Sep-2019,171201,47 19.502100 N,061 10.013800 W,1.8,89.8,A,Primary,Headline,48.775510,D,S,140418.000000
Mon Sep 09 14:12:01 2019,09-Sep-2019,171202,47 19.501900 N,061 10.013100 W,1.8,90.2,A,Primary,Headline,48.775510,D,S,140418.000000
Mon Sep 09 14:12:03 2019,09-Sep-2019,171203,47 19.501800 N,061 10.012400 W,1.8,90.7,A,Depth,Depth,14.166667,D,S,107202.000000
Mon Sep 09 14:12:03 2019,09-Sep-2019,171204,47 19.501800 N,061 10.011700 W,1.8,90.9,A,Depth,Depth,14.166667,D,S,107202.000000
Mon Sep 09 14:12:03 2019,09-Sep-2019,171205,47 19.501800 N,061 10.011000 W,1.7,90.9,A,Depth,Depth,14.166667,D,S,107202.000000
Mon Sep 09 14:12:03 2019,09-Sep-2019,171206,47 19.501900 N,061 10.010400 W,1.7,91.0,A,Depth,Depth,14.166667,D,S,107202.000000
Mon Sep 09 14:12:03 2019,09-Sep-2019,171207,47 19.501900 N,061 10.009700 W,1.7,91.1,A,Depth,Depth,14.166667,D,S,107202.000000
Mon Sep 09 14:12:08 2019,09-Sep-2019,171208,47 19.501800 N,061 10.009000 W,1.7,91.6,A,DoorSpread,DoorMaster,1.845000,D,P,265832.000000
Mon Sep 09 14:12:08 2019,09-Sep-2019,171209,47 19.501600 N,061 10.008400 W,1.7,92.1,A,DoorSpread,DoorMaster,1.845000,D,P,265832.000000
Mon Sep 09 14:12:08 2019,09-Sep-2019,171210,47 19.501600 N,061 10.007800 W,1.7,92.3,A,DoorSpread,DoorMaster,1.845000,D,P,265832.000000
Mon Sep 09 14:12:08 2019,09-Sep-2019,171211,47 19.501700 N,061 10.007200 W,1.7,92.3,A,DoorSpread,DoorMaster,1.845000,D,P,265832.000000
Mon Sep 09 14:12:08 2019,09-Sep-2019,171212,47 19.501700 N,061 10.006700 W,1.6,92.2,A,DoorSpread,DoorMaster,1.845000,D,P,265832.000000
Mon Sep 09 14:12:13 2019,09-Sep-2019,171213,47 19.501700 N,061 10.006200 W,1.5,92.2,A,DoorSpread,DoorMaster,2.315000,D,S,703036.000000
Mon Sep 09 14:12:13 2019,09-Sep-2019,171214,47 19.501600 N,061 10.005700 W,1.5,92.2,A,DoorSpread,DoorMaster,2.315000,D,S,703036.000000
Mon Sep 09 14:12:13 2019,09-Sep-2019,171215,47 19.501500 N,061 10.005000 W,1.6,92.5,A,DoorSpread,DoorMaster,2.315000,D,S,703036.000000
Mon Sep 09 14:12:13 2019,09-Sep-2019,171216,47 19.501500 N,061 10.004300 W,1.6,92.6,A,DoorSpread,DoorMaster,2.315000,D,S,703036.000000
Mon Sep 09 14:12:13 2019,09-Sep-2019,171217,47 19.501300 N,061 10.003900 W,1.7,92.3,A,DoorSpread,DoorMaster,2.315000,D,S,703036.000000
Mon Sep 09 14:12:18 2019,09-Sep-2019,171218,47 19.501200 N,061 10.003300 W,1.8,92.3,A,DoorSpread,DoorMaster,0.000000,E,S,216348.000000
Mon Sep 09 14:12:18 2019,09-Sep-2019,171219,47 19.501000 N,061 10.002600 W,2.0,92.6,A,DoorSpread,DoorMaster,0.000000,E,S,216348.000000
Mon Sep 09 14:12:18 2019,09-Sep-2019,171220,47 19.500900 N,061 10.001700 W,2.1,93.3,A,DoorSpread,DoorMaster,0.000000,E,S,216348.000000
Mon Sep 09 14:12:18 2019,09-Sep-2019,171221,47 19.500600 N,061 10.000600 W,2.4,94.1,A,DoorSpread,DoorMaster,0.000000,E,S,216348.000000
Mon Sep 09 14:12:18 2019,09-Sep-2019,171222,47 19.500500 N,061 9.999200 W,2.6,94.6,A,DoorSpread,DoorMaster,0.000000,E,S,216348.000000
Mon Sep 09 14:12:18 2019,09-Sep-2019,171223,47 19.500400 N,061 9.997800 W,2.7,95.0,A,DoorSpread,DoorMaster,0.000000,E,S,216348.000000
Mon Sep 09 14:12:24 2019,09-Sep-2019,171224,47 19.500300 N,061 9.996400 W,2.9,94.9,A,DoorSpread,DoorMaster,2.750000,D,S,225927.000000
Mon Sep 09 14:12:24 2019,09-Sep-2019,171225,47 19.500300 N,061 9.994800 W,3.1,94.5,A,DoorSpread,DoorMaster,2.750000,D,S,225927.000000
Mon Sep 09 14:12:24 2019,09-Sep-2019,171226,47 19.500200 N,061 9.993100 W,3.3,94.0,A,DoorSpread,DoorMaster,2.750000,D,S,225927.000000
Mon Sep 09 14:12:24 2019,09-Sep-2019,171227,47 19.500100 N,061 9.991300 W,3.5,93.9,A,DoorSpread,DoorMaster,2.750000,D,S,225927.000000
Mon Sep 09 14:12:24 2019,09-Sep-2019,171228,47 19.500000 N,061 9.989600 W,3.6,93.7,A,DoorSpread,DoorMaster,2.750000,D,S,225927.000000
Mon Sep 09 14:12:29 2019,09-Sep-2019,171229,47 19.500000 N,061 9.987900 W,3.7,93.5,A,DoorSpread,DoorMaster,2.820000,D,S,201788.000000
Mon Sep 09 14:12:29 2019,09-Sep-2019,171230,47 19.500000 N,061 9.986200 W,3.8,93.0,A,DoorSpread,DoorMaster,2.820000,D,S,201788.000000
Mon Sep 09 14:12:29 2019,09-Sep-2019,171231,47 19.500000 N,061 9.984400 W,4.0,92.1,A,DoorSpread,DoorMaster,2.820000,D,S,201788.000000
Mon Sep 09 14:12:29 2019,09-Sep-2019,171232,47 19.500100 N,061 9.982500 W,4.2,91.3,A,DoorSpread,DoorMaster,2.820000,D,S,201788.000000
Mon Sep 09 14:12:29 2019,09-Sep-2019,171233,47 19.500200 N,061 9.980500 W,4.3,90.7,A,DoorSpread,DoorMaster,2.820000,D,S,201788.000000
Mon Sep 09 14:12:34 2019,09-Sep-2019,171234,47 19.500100 N,061 9.978400 W,4.4,90.5,A,DoorSpread,DoorMaster,3.110000,D,P,143318.000000
Mon Sep 09 14:12:34 2019,09-Sep-2019,171235,47 19.500000 N,061 9.976300 W,4.5,90.4,A,DoorSpread,DoorMaster,3.110000,D,P,143318.000000
Mon Sep 09 14:12:34 2019,09-Sep-2019,171236,47 19.500000 N,061 9.974300 W,4.6,90.2,A,DoorSpread,DoorMaster,3.110000,D,P,143318.000000
Mon Sep 09 14:12:34 2019,09-Sep-2019,171237,47 19.500100 N,061 9.972500 W,4.7,89.7,A,DoorSpread,DoorMaster,3.110000,D,P,143318.000000
Mon Sep 09 14:12:34 2019,09-Sep-2019,171238,47 19.500200 N,061 9.970700 W,4.7,89.3,A,DoorSpread,DoorMaster,3.110000,D,P,143318.000000
Mon Sep 09 14:12:34 2019,09-Sep-2019,171239,47 19.500200 N,061 9.968700 W,4.8,88.9,A,DoorSpread,DoorMaster,3.110000,D,P,143318.000000
Mon Sep 09 14:12:40 2019,09-Sep-2019,171240,47 19.500200 N,061 9.966700 W,4.9,88.6,A,DoorSpread,DoorMaster,2.755000,D,S,260966.000000
Mon Sep 09 14:12:40 2019,09-Sep-2019,171241,47 19.500200 N,061 9.964600 W,5.0,88.3,A,DoorSpread,DoorMaster,2.755000,D,S,260966.000000
Mon Sep 09 14:12:40 2019,09-Sep-2019,171242,47 19.500300 N,061 9.962600 W,5.0,88.0,A,DoorSpread,DoorMaster,2.755000,D,S,260966.000000
Mon Sep 09 14:12:40 2019,09-Sep-2019,171243,47 19.500400 N,061 9.960600 W,5.0,87.7,A,DoorSpread,DoorMaster,2.755000,D,S,260966.000000
Mon Sep 09 14:12:40 2019,09-Sep-2019,171244,47 19.500400 N,061 9.958500 W,5.0,87.3,A,DoorSpread,DoorMaster,2.755000,D,S,260966.000000
Mon Sep 09 14:12:45 2019,09-Sep-2019,171245,47 19.500600 N,061 9.956300 W,5.1,87.0,A,DoorSpread,DoorMaster,2.825000,D,S,355440.000000
Mon Sep 09 14:12:45 2019,09-Sep-2019,171246,47 19.500700 N,061 9.954100 W,5.2,86.5,A,DoorSpread,DoorMaster,2.825000,D,S,355440.000000
Mon Sep 09 14:12:45 2019,09-Sep-2019,171247,47 19.500900 N,061 9.951900 W,5.2,86.2,A,DoorSpread,DoorMaster,2.825000,D,S,355440.000000
Mon Sep 09 14:12:45 2019,09-Sep-2019,171248,47 19.501000 N,061 9.949800 W,5.3,86.0,A,DoorSpread,DoorMaster,2.825000,D,S,355440.000000
Mon Sep 09 14:12:45 2019,09-Sep-2019,171249,47 19.501200 N,061 9.947500 W,5.4,85.6,A,DoorSpread,DoorMaster,2.825000,D,S,355440.000000
