Ship Number,Trip Number,Tow Number
AVALON VOYAGER ii,3,7
Comments
"ZONE 12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Tue Aug 17 14:56:34 2021,17-Aug-2021,165635,47 58.350100 N,065 9.790400 W,2.3,140.6,A,Depth,Depth,10.648148,D,P,114737.000000
Tue Aug 17 14:56:34 2021,17-Aug-2021,165636,47 58.349500 N,065 9.789700 W,2.3,140.7,A,Depth,Depth,18.518519,D,S,25642.000000
Tue Aug 17 14:56:36 2021,17-Aug-2021,165637,47 58.348900 N,065 9.789200 W,2.3,140.8,A,DoorSpread,DoorMaster,1.610000,D,S,210362.000000
Tue Aug 17 14:56:36 2021,17-Aug-2021,165638,47 58.348300 N,065 9.788600 W,2.3,141.1,A,DoorSpread,DoorMaster,1.610000,D,S,210362.000000
Tue Aug 17 14:56:36 2021,17-Aug-2021,165639,47 58.347800 N,065 9.787900 W,2.3,141.3,A,DoorSpread,DoorMaster,1.610000,D,S,210362.000000
Tue Aug 17 14:56:39 2021,17-Aug-2021,165640,47 58.347300 N,065 9.787300 W,2.3,141.2,A,Primary,Headline,31.510204,D,S,463752.000000
Tue Aug 17 14:56:39 2021,17-Aug-2021,165641,47 58.346800 N,065 9.786800 W,2.3,141.3,A,Primary,Headline,31.510204,D,S,463752.000000
Tue Aug 17 14:56:41 2021,17-Aug-2021,165642,47 58.346300 N,065 9.786300 W,2.3,141.7,A,Depth,Depth,5.185185,D,P,401388.000000
Tue Aug 17 14:56:41 2021,17-Aug-2021,165643,47 58.345700 N,065 9.785700 W,2.3,142.1,A,Depth,Depth,5.185185,D,P,401388.000000
Tue Aug 17 14:56:41 2021,17-Aug-2021,165644,47 58.345200 N,065 9.785100 W,2.2,142.2,A,Depth,Depth,5.185185,D,P,401388.000000
Tue Aug 17 14:56:41 2021,17-Aug-2021,165645,47 58.344800 N,065 9.784700 W,2.2,142.4,A,Depth,Depth,5.185185,D,P,401388.000000
Tue Aug 17 14:56:45 2021,17-Aug-2021,165646,47 58.344200 N,065 9.784200 W,2.3,142.9,A,Primary,Headline,30.775510,D,S,125384.000000
Tue Aug 17 14:56:45 2021,17-Aug-2021,165647,47 58.343600 N,065 9.783600 W,2.3,143.1,A,Primary,Headline,30.775510,D,S,125384.000000
Tue Aug 17 14:56:46 2021,17-Aug-2021,165648,47 58.343100 N,065 9.783100 W,2.2,143.3,A,DoorSpread,DoorMaster,1.595000,D,S,668704.000000
Tue Aug 17 14:56:46 2021,17-Aug-2021,165649,47 58.342600 N,065 9.782600 W,2.3,143.5,A,DoorSpread,DoorMaster,1.595000,D,S,668704.000000
Tue Aug 17 14:56:48 2021,17-Aug-2021,165650,47 58.342000 N,065 9.782100 W,2.3,143.9,A,Depth,Depth,9.074074,D,P,381543.000000
Tue Aug 17 14:56:50 2021,17-Aug-2021,165651,47 58.341500 N,065 9.781500 W,2.3,144.4,A,Primary,Headline,13.755102,D,S,529751.000000
Tue Aug 17 14:56:50 2021,17-Aug-2021,165652,47 58.340900 N,065 9.780900 W,2.3,144.7,A,Primary,Headline,13.755102,D,S,529751.000000
Tue Aug 17 14:56:52 2021,17-Aug-2021,165653,47 58.340400 N,065 9.780300 W,2.3,145.0,A,DoorSpread,DoorMaster,1.490000,D,P,507385.000000
Tue Aug 17 14:56:52 2021,17-Aug-2021,165654,47 58.339800 N,065 9.779700 W,2.4,145.4,A,DoorSpread,DoorMaster,1.490000,D,P,507385.000000
Tue Aug 17 14:56:52 2021,17-Aug-2021,165655,47 58.339300 N,065 9.779000 W,2.5,145.5,A,DoorSpread,DoorMaster,1.490000,D,P,507385.000000
Tue Aug 17 14:56:55 2021,17-Aug-2021,165656,47 58.338800 N,065 9.778400 W,2.4,145.6,A,Primary,Headline,17.224490,D,S,379852.000000
Tue Aug 17 14:56:55 2021,17-Aug-2021,165657,47 58.338400 N,065 9.777900 W,2.3,145.9,A,Primary,Headline,17.224490,D,S,379852.000000
Tue Aug 17 14:56:57 2021,17-Aug-2021,165658,47 58.337900 N,065 9.777400 W,2.3,146.1,A,DoorSpread,DoorMaster,1.420000,D,S,438174.000000
Tue Aug 17 14:56:57 2021,17-Aug-2021,165659,47 58.337500 N,065 9.776800 W,2.3,146.2,A,DoorSpread,DoorMaster,1.420000,D,S,438174.000000
Tue Aug 17 14:56:57 2021,17-Aug-2021,165700,47 58.337000 N,065 9.776400 W,2.3,146.5,A,DoorSpread,DoorMaster,1.420000,D,S,438174.000000
Tue Aug 17 14:56:57 2021,17-Aug-2021,165701,47 58.336500 N,065 9.775900 W,2.3,146.8,A,DoorSpread,DoorMaster,1.420000,D,S,438174.000000
Tue Aug 17 14:57:01 2021,17-Aug-2021,165702,47 58.336000 N,065 9.775400 W,2.3,146.8,A,Primary,Headline,10.387755,D,S,235276.000000
Tue Aug 17 14:57:02 2021,17-Aug-2021,165703,47 58.335400 N,065 9.774900 W,2.2,147.0,A,DoorSpread,DoorMaster,1.770000,D,P,1348875.000000
Tue Aug 17 14:57:02 2021,17-Aug-2021,165704,47 58.334900 N,065 9.774400 W,2.2,147.2,A,DoorSpread,DoorMaster,1.770000,D,P,1348875.000000
Tue Aug 17 14:57:02 2021,17-Aug-2021,165705,47 58.334400 N,065 9.774000 W,2.2,147.5,A,DoorSpread,DoorMaster,1.770000,D,P,1348875.000000
Tue Aug 17 14:57:02 2021,17-Aug-2021,165706,47 58.333800 N,065 9.773500 W,2.2,147.9,A,DoorSpread,DoorMaster,1.770000,D,P,1348875.000000
Tue Aug 17 14:57:06 2021,17-Aug-2021,165707,47 58.333300 N,065 9.773100 W,2.2,148.2,A,Primary,Headline,27.979592,D,S,234725.000000
Tue Aug 17 14:57:06 2021,17-Aug-2021,165708,47 58.332800 N,065 9.772700 W,2.2,148.5,A,Primary,Headline,27.979592,D,S,234725.000000
Tue Aug 17 14:57:08 2021,17-Aug-2021,165709,47 58.332300 N,065 9.772300 W,2.2,148.8,A,DoorSpread,DoorMaster,1.955000,D,P,843421.000000
Tue Aug 17 14:57:08 2021,17-Aug-2021,165710,47 58.331800 N,065 9.771800 W,2.2,148.9,A,DoorSpread,DoorMaster,1.955000,D,P,843421.000000
