Ship Number,Trip Number,Tow Number
AVALON VOYAGER II,3,2
Comments
"ZONE12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,20-Aug-2021,103031,48 9.378000 N,063 52.323900 W,4.4,113.5,A,,,,,,
,20-Aug-2021,103032,48 9.377600 N,063 52.322600 W,4.3,113.5,A,,,,,,
,20-Aug-2021,103033,48 9.377200 N,063 52.321300 W,4.2,113.4,A,,,,,,
,20-Aug-2021,103034,48 9.376700 N,063 52.320000 W,4.1,113.4,A,,,,,,
Fri Aug 20 08:30:34 2021,20-Aug-2021,103035,48 9.376300 N,063 52.318700 W,4.1,113.3,A,DoorSpread,DoorMaster,0.000000,E,P,38217.000000
Fri Aug 20 08:30:34 2021,20-Aug-2021,103036,48 9.375900 N,063 52.317300 W,4.0,113.3,A,DoorSpread,DoorMaster,0.000000,E,P,38217.000000
Fri Aug 20 08:30:34 2021,20-Aug-2021,103037,48 9.375600 N,063 52.315900 W,3.9,113.3,A,DoorSpread,DoorMaster,0.000000,E,P,38217.000000
Fri Aug 20 08:30:34 2021,20-Aug-2021,103038,48 9.375200 N,063 52.314500 W,3.9,113.4,A,DoorSpread,DoorMaster,0.000000,E,P,38217.000000
Fri Aug 20 08:30:34 2021,20-Aug-2021,103039,48 9.374700 N,063 52.313100 W,3.8,113.5,A,DoorSpread,DoorMaster,0.000000,E,P,38217.000000
Fri Aug 20 08:30:39 2021,20-Aug-2021,103040,48 9.374200 N,063 52.311500 W,3.8,113.5,A,DoorSpread,DoorMaster,1.990000,D,S,687732.000000
Fri Aug 20 08:30:39 2021,20-Aug-2021,103041,48 9.373700 N,063 52.310000 W,3.7,113.6,A,DoorSpread,DoorMaster,1.990000,D,S,687732.000000
Fri Aug 20 08:30:39 2021,20-Aug-2021,103042,48 9.373400 N,063 52.308700 W,3.7,113.6,A,DoorSpread,DoorMaster,1.990000,D,S,687732.000000
