Ship Number,Trip Number,Tow Number
AVALON VOYAGER II,3,2
Comments
"ZONE 12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,25-Aug-2021,095431,47 15.717400 N,062 20.925500 W,3.0,78.7,A,,,,,,
,25-Aug-2021,095432,47 15.717700 N,062 20.924300 W,3.0,78.5,A,,,,,,
,25-Aug-2021,095433,47 15.717900 N,062 20.923000 W,3.0,78.4,A,,,,,,
Wed Aug 25 07:54:34 2021,25-Aug-2021,095434,47 15.718000 N,062 20.921700 W,3.0,78.2,A,DoorSpread,DoorMaster,3.520000,D,P,79521.000000
Wed Aug 25 07:54:34 2021,25-Aug-2021,095435,47 15.718200 N,062 20.920500 W,3.0,78.1,A,DoorSpread,DoorMaster,3.520000,D,P,79521.000000
Wed Aug 25 07:54:36 2021,25-Aug-2021,095436,47 15.718300 N,062 20.919300 W,2.9,78.1,A,Depth,Depth,12.314815,D,P,26623.000000
Wed Aug 25 07:54:36 2021,25-Aug-2021,095437,47 15.718500 N,062 20.918200 W,2.9,78.3,A,Depth,Depth,12.314815,D,P,26623.000000
Wed Aug 25 07:54:36 2021,25-Aug-2021,095438,47 15.718600 N,062 20.917000 W,2.9,78.4,A,Depth,Depth,12.314815,D,P,26623.000000
Wed Aug 25 07:54:39 2021,25-Aug-2021,095439,47 15.718800 N,062 20.915900 W,2.9,78.5,A,Primary,Headline,2.122449,D,S,16879.000000
Wed Aug 25 07:54:39 2021,25-Aug-2021,095440,47 15.718900 N,062 20.914800 W,2.9,78.5,A,DoorSpread,DoorMaster,3.400000,D,P,212902.000000
Wed Aug 25 07:54:39 2021,25-Aug-2021,095441,47 15.719100 N,062 20.913700 W,2.9,78.5,A,DoorSpread,DoorMaster,3.400000,D,P,212902.000000
Wed Aug 25 07:54:39 2021,25-Aug-2021,095442,47 15.719300 N,062 20.912600 W,3.0,78.4,A,DoorSpread,DoorMaster,3.400000,D,P,212902.000000
Wed Aug 25 07:54:39 2021,25-Aug-2021,095443,47 15.719400 N,062 20.911500 W,3.0,78.3,A,DoorSpread,DoorMaster,3.400000,D,P,212902.000000
Wed Aug 25 07:54:44 2021,25-Aug-2021,095444,47 15.719500 N,062 20.910400 W,2.9,78.4,A,Primary,Headline,1.224490,D,S,43646.000000
Wed Aug 25 07:54:45 2021,25-Aug-2021,095445,47 15.719700 N,062 20.909300 W,3.0,78.4,A,DoorSpread,DoorMaster,1.740000,D,S,170302.000000
Wed Aug 25 07:54:45 2021,25-Aug-2021,095446,47 15.720000 N,062 20.908200 W,3.0,78.3,A,DoorSpread,DoorMaster,1.740000,D,S,170302.000000
Wed Aug 25 07:54:45 2021,25-Aug-2021,095447,47 15.720200 N,062 20.907000 W,3.0,78.2,A,DoorSpread,DoorMaster,1.740000,D,S,170302.000000
Wed Aug 25 07:54:45 2021,25-Aug-2021,095448,47 15.720400 N,062 20.905900 W,3.0,78.3,A,DoorSpread,DoorMaster,1.740000,D,S,170302.000000
Wed Aug 25 07:54:49 2021,25-Aug-2021,095449,47 15.720500 N,062 20.904600 W,3.0,78.2,A,Primary,Headline,1.857143,D,S,38865.000000
Wed Aug 25 07:54:50 2021,25-Aug-2021,095450,47 15.720700 N,062 20.903400 W,3.0,78.1,A,DoorSpread,DoorMaster,1.895000,D,P,831659.000000
Wed Aug 25 07:54:50 2021,25-Aug-2021,095451,47 15.720900 N,062 20.902300 W,3.0,78.1,A,DoorSpread,DoorMaster,1.895000,D,P,831659.000000
Wed Aug 25 07:54:50 2021,25-Aug-2021,095452,47 15.721100 N,062 20.901100 W,3.0,77.9,A,DoorSpread,DoorMaster,1.895000,D,P,831659.000000
Wed Aug 25 07:54:50 2021,25-Aug-2021,095453,47 15.721500 N,062 20.899800 W,3.1,77.6,A,DoorSpread,DoorMaster,1.895000,D,P,831659.000000
Wed Aug 25 07:54:54 2021,25-Aug-2021,095454,47 15.721800 N,062 20.898600 W,3.0,77.4,A,Primary,Headline,0.122449,D,S,82780.000000
Wed Aug 25 07:54:54 2021,25-Aug-2021,095455,47 15.722100 N,062 20.897400 W,3.1,77.2,A,Primary,Headline,0.122449,D,S,82780.000000
Wed Aug 25 07:54:56 2021,25-Aug-2021,095456,47 15.722500 N,062 20.896200 W,3.1,77.0,A,DoorSpread,DoorMaster,1.595000,D,S,595100.000000
Wed Aug 25 07:54:57 2021,25-Aug-2021,095457,47 15.722800 N,062 20.895000 W,3.1,76.8,A,Depth,Depth,4.259259,D,P,97389.000000
Wed Aug 25 07:54:57 2021,25-Aug-2021,095458,47 15.723000 N,062 20.893700 W,3.1,76.8,A,Depth,Depth,4.259259,D,P,97389.000000
Wed Aug 25 07:54:59 2021,25-Aug-2021,095459,47 15.723200 N,062 20.892400 W,3.1,76.7,A,Primary,Headline,1.734694,D,S,44589.000000
