Ship Number,Trip Number,Tow Number
AVALON VOYAGER II,4,3
Comments
"ZONE 12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,04-Sep-2021,190700,47 37.657900 N,062 23.975100 W,4.2,71.6,A,,,,,,
,04-Sep-2021,190701,47 37.658200 N,062 23.973900 W,4.0,71.4,A,,,,,,
,04-Sep-2021,190702,47 37.658200 N,062 23.972600 W,3.9,71.8,A,,,,,,
,04-Sep-2021,190703,47 37.658500 N,062 23.971400 W,3.9,71.9,A,,,,,,
,04-Sep-2021,190704,47 37.658900 N,062 23.970100 W,3.9,70.9,A,,,,,,
,04-Sep-2021,190705,47 37.659300 N,062 23.968900 W,3.8,70.1,A,,,,,,
,04-Sep-2021,190706,47 37.659700 N,062 23.967700 W,3.7,69.6,A,,,,,,
,04-Sep-2021,190707,47 37.660000 N,062 23.966500 W,3.7,69.6,A,,,,,,
,04-Sep-2021,190708,47 37.660300 N,062 23.965300 W,3.5,69.5,A,,,,,,
,04-Sep-2021,190709,47 37.660600 N,062 23.964300 W,3.4,69.5,A,,,,,,
,04-Sep-2021,190710,47 37.660800 N,062 23.963200 W,3.3,69.7,A,,,,,,
,04-Sep-2021,190711,47 37.661100 N,062 23.962100 W,3.3,69.7,A,,,,,,
,04-Sep-2021,190712,47 37.661400 N,062 23.960900 W,3.2,69.6,A,,,,,,
,04-Sep-2021,190713,47 37.661600 N,062 23.959600 W,3.2,69.3,A,,,,,,
,04-Sep-2021,190714,47 37.661900 N,062 23.958500 W,3.1,69.0,A,,,,,,
,04-Sep-2021,190715,47 37.662200 N,062 23.957500 W,3.0,68.6,A,,,,,,
,04-Sep-2021,190716,47 37.662400 N,062 23.956600 W,2.9,68.3,A,,,,,,
,04-Sep-2021,190717,47 37.662500 N,062 23.955800 W,2.7,68.4,A,,,,,,
,04-Sep-2021,190718,47 37.662600 N,062 23.954900 W,2.6,68.6,A,,,,,,
Sat Sep 04 17:07:18 2021,04-Sep-2021,190719,47 37.662800 N,062 23.954000 W,2.6,68.2,A,DoorSpread,DoorMaster,2.205000,D,P,49544.000000
Sat Sep 04 17:07:18 2021,04-Sep-2021,190720,47 37.663100 N,062 23.953200 W,2.5,67.3,A,DoorSpread,DoorMaster,2.205000,D,P,49544.000000
Sat Sep 04 17:07:18 2021,04-Sep-2021,190721,47 37.663500 N,062 23.952300 W,2.6,66.1,A,DoorSpread,DoorMaster,2.205000,D,P,49544.000000
Sat Sep 04 17:07:18 2021,04-Sep-2021,190722,47 37.663700 N,062 23.951400 W,2.5,65.6,A,DoorSpread,DoorMaster,2.205000,D,P,49544.000000
Sat Sep 04 17:07:18 2021,04-Sep-2021,190723,47 37.663900 N,062 23.950600 W,2.4,65.3,A,DoorSpread,DoorMaster,2.205000,D,P,49544.000000
Sat Sep 04 17:07:23 2021,04-Sep-2021,190724,47 37.664000 N,062 23.950100 W,2.2,65.2,A,DoorSpread,DoorMaster,0.000000,E,P,73503.000000
Sat Sep 04 17:07:23 2021,04-Sep-2021,190725,47 37.664000 N,062 23.949400 W,2.2,65.1,A,DoorSpread,DoorMaster,0.000000,E,P,73503.000000
Sat Sep 04 17:07:23 2021,04-Sep-2021,190726,47 37.664300 N,062 23.948600 W,2.1,65.0,A,DoorSpread,DoorMaster,0.000000,E,P,73503.000000
Sat Sep 04 17:07:23 2021,04-Sep-2021,190727,47 37.664500 N,062 23.948100 W,2.0,64.8,A,DoorSpread,DoorMaster,0.000000,E,P,73503.000000
