Ship Number,Trip Number,Tow Number
AVALON VOYAGER,1,11
Comments
"ZONE12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sat Jul 24 18:27:21 2021,24-Jul-2021,202723,48 5.728400 N,062 1.519700 W,2.1,213.7,A,DoorSpread,DoorMaster,0.000000,E,S,96136.000000
Sat Jul 24 18:27:21 2021,24-Jul-2021,202724,48 5.728000 N,062 1.520400 W,2.1,213.7,A,DoorSpread,DoorMaster,0.000000,E,S,96136.000000
Sat Jul 24 18:27:21 2021,24-Jul-2021,202725,48 5.727600 N,062 1.520900 W,2.1,213.8,A,DoorSpread,DoorMaster,0.000000,E,S,96136.000000
Sat Jul 24 18:27:24 2021,24-Jul-2021,202726,48 5.727300 N,062 1.521300 W,2.0,213.8,A,Depth,Depth,0.185185,D,S,80554.000000
Sat Jul 24 18:27:24 2021,24-Jul-2021,202727,48 5.726900 N,062 1.521600 W,1.9,213.5,A,Depth,Depth,0.185185,D,S,80554.000000
Sat Jul 24 18:27:24 2021,24-Jul-2021,202728,48 5.726400 N,062 1.521900 W,2.0,212.9,A,Depth,Depth,0.185185,D,S,80554.000000
Sat Jul 24 18:27:26 2021,24-Jul-2021,202729,48 5.725800 N,062 1.522500 W,2.1,212.3,A,DoorSpread,DoorMaster,2.185000,D,S,86500.000000
Sat Jul 24 18:27:26 2021,24-Jul-2021,202730,48 5.725300 N,062 1.523000 W,2.1,212.3,A,DoorSpread,DoorMaster,2.185000,D,S,86500.000000
Sat Jul 24 18:27:26 2021,24-Jul-2021,202731,48 5.724900 N,062 1.523700 W,2.2,212.8,A,DoorSpread,DoorMaster,2.185000,D,S,86500.000000
Sat Jul 24 18:27:29 2021,24-Jul-2021,202732,48 5.724300 N,062 1.524200 W,2.1,213.2,A,Primary,Headline,51.265306,D,S,130166.000000
Sat Jul 24 18:27:29 2021,24-Jul-2021,202733,48 5.723900 N,062 1.524600 W,2.1,213.2,A,Primary,Headline,51.265306,D,S,130166.000000
Sat Jul 24 18:27:32 2021,24-Jul-2021,202734,48 5.723400 N,062 1.524800 W,2.0,213.1,A,DoorSpread,DoorMaster,0.540000,D,S,748483.000000
Sat Jul 24 18:27:32 2021,24-Jul-2021,202735,48 5.723000 N,062 1.525100 W,1.9,212.8,A,DoorSpread,DoorMaster,0.540000,D,S,748483.000000
Sat Jul 24 18:27:32 2021,24-Jul-2021,202736,48 5.722500 N,062 1.525500 W,2.0,212.5,A,DoorSpread,DoorMaster,0.540000,D,S,748483.000000
Sat Jul 24 18:27:34 2021,24-Jul-2021,202737,48 5.722000 N,062 1.526000 W,2.0,212.7,A,Primary,Headline,17.448980,D,S,96244.000000
Sat Jul 24 18:27:34 2021,24-Jul-2021,202738,48 5.721500 N,062 1.526800 W,2.0,213.3,A,Primary,Headline,17.448980,D,S,96244.000000
Sat Jul 24 18:27:36 2021,24-Jul-2021,202739,48 5.721100 N,062 1.527500 W,2.0,213.7,A,DoorSpread,DoorMaster,0.000000,E,S,1415936.000000
Sat Jul 24 18:27:36 2021,24-Jul-2021,202740,48 5.720700 N,062 1.528000 W,2.0,214.2,A,DoorSpread,DoorMaster,0.000000,E,S,1415936.000000
Sat Jul 24 18:27:36 2021,24-Jul-2021,202741,48 5.720300 N,062 1.528500 W,1.9,214.6,A,DoorSpread,DoorMaster,0.000000,E,S,1415936.000000
Sat Jul 24 18:27:36 2021,24-Jul-2021,202742,48 5.719800 N,062 1.528900 W,1.9,214.8,A,DoorSpread,DoorMaster,0.000000,E,S,1415936.000000
Sat Jul 24 18:27:40 2021,24-Jul-2021,202743,48 5.719400 N,062 1.529200 W,1.8,214.8,A,Primary,Headline,54.163265,D,S,104861.000000
Sat Jul 24 18:27:42 2021,24-Jul-2021,202744,48 5.719000 N,062 1.529800 W,1.9,214.7,A,DoorSpread,DoorMaster,1.975000,D,S,1476322.000000
Sat Jul 24 18:27:42 2021,24-Jul-2021,202745,48 5.718400 N,062 1.530400 W,2.0,214.6,A,DoorSpread,DoorMaster,1.975000,D,S,1476322.000000
Sat Jul 24 18:27:42 2021,24-Jul-2021,202746,48 5.717900 N,062 1.531000 W,2.0,214.7,A,DoorSpread,DoorMaster,1.975000,D,S,1476322.000000
Sat Jul 24 18:27:45 2021,24-Jul-2021,202747,48 5.717500 N,062 1.531600 W,2.0,214.8,A,Depth,Depth,3.518519,D,P,101581.000000
Sat Jul 24 18:27:46 2021,24-Jul-2021,202748,48 5.717000 N,062 1.532000 W,1.9,214.8,A,Primary,Headline,32.816327,D,P,112518.000000
Sat Jul 24 18:27:46 2021,24-Jul-2021,202749,48 5.716600 N,062 1.532500 W,1.9,214.7,A,Primary,Headline,32.816327,D,P,112518.000000
Sat Jul 24 18:27:47 2021,24-Jul-2021,202750,48 5.716100 N,062 1.532800 W,1.8,214.7,A,DoorSpread,DoorMaster,1.820000,D,P,502017.000000
Sat Jul 24 18:27:47 2021,24-Jul-2021,202751,48 5.715800 N,062 1.533300 W,1.8,214.6,A,DoorSpread,DoorMaster,1.820000,D,P,502017.000000
Sat Jul 24 18:27:47 2021,24-Jul-2021,202752,48 5.715400 N,062 1.533600 W,1.9,214.4,A,DoorSpread,DoorMaster,1.820000,D,P,502017.000000
Sat Jul 24 18:27:47 2021,24-Jul-2021,202753,48 5.715000 N,062 1.534000 W,1.9,214.2,A,DoorSpread,DoorMaster,1.820000,D,P,502017.000000
Sat Jul 24 18:27:51 2021,24-Jul-2021,202754,48 5.714600 N,062 1.534300 W,1.9,214.0,A,Primary,Headline,16.632653,D,P,145667.000000
Sat Jul 24 18:27:52 2021,24-Jul-2021,202755,48 5.714100 N,062 1.534600 W,2.0,213.8,A,DoorSpread,DoorMaster,0.000000,E,S,548053.000000
Sat Jul 24 18:27:52 2021,24-Jul-2021,202756,48 5.713600 N,062 1.534900 W,2.0,213.6,A,DoorSpread,DoorMaster,0.000000,E,S,548053.000000
Sat Jul 24 18:27:52 2021,24-Jul-2021,202757,48 5.713100 N,062 1.535100 W,2.0,213.4,A,DoorSpread,DoorMaster,0.000000,E,S,548053.000000
Sat Jul 24 18:27:52 2021,24-Jul-2021,202758,48 5.712600 N,062 1.535200 W,2.0,213.1,A,DoorSpread,DoorMaster,0.000000,E,S,548053.000000
Sat Jul 24 18:27:52 2021,24-Jul-2021,202759,48 5.712100 N,062 1.535400 W,1.9,212.8,A,DoorSpread,DoorMaster,0.000000,E,S,548053.000000
Sat Jul 24 18:27:58 2021,24-Jul-2021,202800,48 5.711700 N,062 1.535800 W,1.9,212.4,A,DoorSpread,DoorMaster,1.660000,D,S,397056.000000
Sat Jul 24 18:27:58 2021,24-Jul-2021,202801,48 5.711200 N,062 1.536300 W,1.9,212.3,A,DoorSpread,DoorMaster,1.660000,D,S,397056.000000
Sat Jul 24 18:27:58 2021,24-Jul-2021,202802,48 5.710800 N,062 1.536900 W,2.0,212.4,A,DoorSpread,DoorMaster,1.660000,D,S,397056.000000
Sat Jul 24 18:27:58 2021,24-Jul-2021,202803,48 5.710300 N,062 1.537500 W,2.0,212.4,A,DoorSpread,DoorMaster,1.660000,D,S,397056.000000
Sat Jul 24 18:27:58 2021,24-Jul-2021,202804,48 5.709800 N,062 1.537900 W,2.1,212.2,A,DoorSpread,DoorMaster,1.660000,D,S,397056.000000
Sat Jul 24 18:28:03 2021,24-Jul-2021,202805,48 5.709300 N,062 1.538300 W,2.0,212.1,A,Primary,Headline,43.612245,D,P,129177.000000
Sat Jul 24 18:28:03 2021,24-Jul-2021,202806,48 5.708900 N,062 1.538700 W,2.0,211.9,A,Primary,Headline,43.612245,D,P,129177.000000
Sat Jul 24 18:28:03 2021,24-Jul-2021,202807,48 5.708500 N,062 1.539000 W,2.0,211.8,A,Primary,Headline,43.612245,D,P,129177.000000
Sat Jul 24 18:28:06 2021,24-Jul-2021,202808,48 5.708100 N,062 1.539400 W,1.9,211.8,A,Depth,Depth,3.518519,D,S,177591.000000
Sat Jul 24 18:28:06 2021,24-Jul-2021,202809,48 5.707700 N,062 1.539800 W,1.9,211.8,A,Depth,Depth,3.518519,D,S,177591.000000
Sat Jul 24 18:28:08 2021,24-Jul-2021,202810,48 5.707100 N,062 1.540100 W,1.9,211.4,A,DoorSpread,DoorMaster,0.000000,E,S,384026.000000
Sat Jul 24 18:28:08 2021,24-Jul-2021,202811,48 5.706600 N,062 1.540400 W,1.9,211.3,A,Primary,Headline,35.510204,D,S,209951.000000
Sat Jul 24 18:28:08 2021,24-Jul-2021,202812,48 5.706200 N,062 1.540700 W,1.9,211.1,A,Primary,Headline,35.510204,D,S,209951.000000
