Ship Number,Trip Number,Tow Number
AVALON VOYAGER,1,10
Comments
"ZONE 12F"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,17-Jul-2021,200846,47 46.333600 N,060 57.305900 W,2.9,7.3,A,,,,,,
,17-Jul-2021,200847,47 46.334400 N,060 57.305900 W,2.9,7.2,A,,,,,,
,17-Jul-2021,200848,47 46.335200 N,060 57.305700 W,2.8,7.2,A,,,,,,
,17-Jul-2021,200849,47 46.335800 N,060 57.305500 W,2.8,7.2,A,,,,,,
,17-Jul-2021,200850,47 46.336600 N,060 57.305400 W,2.9,7.1,A,,,,,,
Sat Jul 17 18:08:49 2021,17-Jul-2021,200851,47 46.337400 N,060 57.305300 W,2.8,7.2,A,DoorSpread,DoorMaster,2.160000,D,S,724121.000000
Sat Jul 17 18:08:50 2021,17-Jul-2021,200852,47 46.338000 N,060 57.305100 W,2.8,7.5,A,DoorSpread,DoorSlave,-1.840000,D,S,154119.000000
Sat Jul 17 18:08:50 2021,17-Jul-2021,200853,47 46.338700 N,060 57.304800 W,2.8,7.7,A,DoorSpread,DoorSlave,-1.840000,D,S,154119.000000
Sat Jul 17 18:08:50 2021,17-Jul-2021,200854,47 46.339500 N,060 57.304600 W,2.8,7.9,A,DoorSpread,DoorSlave,-1.840000,D,S,154119.000000
Sat Jul 17 18:08:50 2021,17-Jul-2021,200855,47 46.340300 N,060 57.304400 W,2.8,8.1,A,DoorSpread,DoorSlave,-1.840000,D,S,154119.000000
Sat Jul 17 18:08:54 2021,17-Jul-2021,200856,47 46.341000 N,060 57.304200 W,2.7,8.3,A,Primary,Headline,0.204082,D,S,70282.000000
Sat Jul 17 18:08:55 2021,17-Jul-2021,200857,47 46.341700 N,060 57.304000 W,2.7,8.4,A,DoorSpread,DoorMaster,2.270000,D,S,998343.000000
Sat Jul 17 18:08:55 2021,17-Jul-2021,200858,47 46.342300 N,060 57.303800 W,2.7,8.4,A,DoorSpread,DoorMaster,2.270000,D,S,998343.000000
Sat Jul 17 18:08:55 2021,17-Jul-2021,200859,47 46.343000 N,060 57.303600 W,2.7,8.6,A,DoorSpread,DoorMaster,2.270000,D,S,998343.000000
Sat Jul 17 18:08:55 2021,17-Jul-2021,200900,47 46.343700 N,060 57.303200 W,2.7,9.0,A,DoorSpread,DoorMaster,2.270000,D,S,998343.000000
Sat Jul 17 18:08:59 2021,17-Jul-2021,200901,47 46.344400 N,060 57.302900 W,2.7,9.3,A,Primary,Headline,0.346939,D,S,75466.000000
Sat Jul 17 18:09:00 2021,17-Jul-2021,200902,47 46.345100 N,060 57.302700 W,2.7,9.4,A,DoorSpread,DoorMaster,2.280000,D,P,373314.000000
Sat Jul 17 18:09:01 2021,17-Jul-2021,200903,47 46.345900 N,060 57.302500 W,2.7,9.5,A,DoorSpread,DoorSlave,-11.720000,D,S,255151.000000
Sat Jul 17 18:09:01 2021,17-Jul-2021,200904,47 46.346500 N,060 57.302000 W,2.7,10.0,A,DoorSpread,DoorSlave,-11.720000,D,S,255151.000000
Sat Jul 17 18:09:01 2021,17-Jul-2021,200905,47 46.347300 N,060 57.301700 W,2.7,10.4,A,DoorSpread,DoorSlave,-11.720000,D,S,255151.000000
Sat Jul 17 18:09:04 2021,17-Jul-2021,200906,47 46.348100 N,060 57.301500 W,2.7,10.4,A,Primary,Headline,3.081633,D,S,72735.000000
