"","date","time","hydrophone","value","signalpower"
"50196","2021-09-16","19:36:56",0,9.814815,93
"50197","2021-09-16","19:37:03",1,6.851852,92
"50198","2021-09-16","19:37:03",0,10,92
"50199","2021-09-16","19:37:10",0,21.018519,96
"50200","2021-09-16","19:37:17",0,0,97
"50201","2021-09-16","19:37:24",0,9.537037,93
"50202","2021-09-16","19:37:24",1,7.037037,92
"50203","2021-09-16","19:37:31",0,17.037037,101
"50204","2021-09-16","19:38:06",0,6.296296,99
"50205","2021-09-16","19:38:13",0,11.759259,98
"50206","2021-09-16","19:38:20",0,16.759259,98
"50207","2021-09-16","19:38:27",0,7.87037,92
"50208","2021-09-16","19:38:34",0,3.055556,93
"50209","2021-09-16","19:38:56",1,16.018519,102
"50210","2021-09-16","19:38:56",0,18.888889,105
"50211","2021-09-16","19:39:03",1,21.944444,98
"50212","2021-09-16","19:39:03",0,28.888889,92
"50213","2021-09-16","19:39:10",1,20.740741,101
"50214","2021-09-16","19:39:17",1,32.962963,102
"50215","2021-09-16","19:39:24",0,20.740741,98
"50216","2021-09-16","19:39:31",0,30.555556,103
"50217","2021-09-16","19:39:38",1,31.666667,99
"50218","2021-09-16","19:39:38",0,28.518519,104
"50219","2021-09-16","19:39:45",1,32.037037,100
"50220","2021-09-16","19:39:45",0,33.611111,104
"50221","2021-09-16","19:39:52",0,33.981481,98
"50222","2021-09-16","19:40:00",0,45.462963,98
"50223","2021-09-16","19:40:07",0,31.388889,91
"50224","2021-09-16","19:40:14",0,45.462963,100
"50225","2021-09-16","19:40:21",0,36.851852,94
"50226","2021-09-16","19:40:28",1,43.425926,101
"50227","2021-09-16","19:40:28",0,41.944444,96
"50228","2021-09-16","19:40:35",0,41.388889,100
"50229","2021-09-16","19:40:35",1,37.12963,106
"50230","2021-09-16","19:40:42",0,45.092593,96
"50231","2021-09-16","19:40:42",1,44.444444,97
"50232","2021-09-16","19:40:50",0,45.462963,96
"50233","2021-09-16","19:40:50",1,49.907407,104
"50234","2021-09-16","19:40:57",1,38.703704,105
"50235","2021-09-16","19:40:57",0,45.185185,102
"50236","2021-09-16","19:41:04",0,72.962963,98
"50237","2021-09-16","19:41:04",1,75.740741,95
"50238","2021-09-16","19:41:11",0,28.240741,109
"50239","2021-09-16","19:41:11",1,23.981481,100
"50240","2021-09-16","19:41:18",1,47.222222,102
"50241","2021-09-16","19:41:18",0,45.925926,99
"50242","2021-09-16","19:41:26",1,53.425926,106
"50243","2021-09-16","19:41:26",0,53.333333,104
"50244","2021-09-16","19:41:33",1,56.018519,112
"50245","2021-09-16","19:41:33",0,56.018519,102
"50246","2021-09-16","19:41:40",1,58.518519,109
"50247","2021-09-16","19:41:40",0,58.981481,102
"50248","2021-09-16","19:41:47",0,60.462963,97
"50249","2021-09-16","19:41:47",1,60.833333,108
"50250","2021-09-16","19:41:54",1,63.425926,105
"50251","2021-09-16","19:41:54",0,63.518519,102
"50252","2021-09-16","19:42:02",1,68.055556,103
"50253","2021-09-16","19:42:02",0,66.944444,95
"50254","2021-09-16","19:42:09",1,62.777778,102
"50255","2021-09-16","19:42:09",0,63.703704,99
"50256","2021-09-16","19:42:16",0,77.222222,103
"50257","2021-09-16","19:42:16",1,105.185185,88
