"","date","time","hydrophone","value","signalpower"
"4446","2021-07-13","07:33:27",0,12,103
"4447","2021-07-13","07:33:47",1,10,93
"4448","2021-07-13","07:33:58",0,-1.41,102
"4449","2021-07-13","07:33:58",1,0.135,101
"4450","2021-07-13","07:34:08",1,10.415,102
"4451","2021-07-13","07:34:29",0,3.895,115
"4452","2021-07-13","07:34:29",1,1.41,116
"4453","2021-07-13","07:34:50",0,-9.8,112
"4454","2021-07-13","07:35:01",0,-3.495,112
"4455","2021-07-13","07:35:12",1,-4.865,113
"4456","2021-07-13","07:35:12",0,-4.235,116
"4457","2021-07-13","07:35:22",1,-4.825,110
"4458","2021-07-13","07:35:22",0,-3.305,114
"4459","2021-07-13","07:35:33",1,-15.825,109
"4460","2021-07-13","07:35:33",0,-7.805,115
"4461","2021-07-13","07:35:43",0,-3.305,110
"4462","2021-07-13","07:35:43",1,-4.825,110
"4463","2021-07-13","07:35:53",1,30.175,111
"4464","2021-07-13","07:35:53",0,0.195,109
"4465","2021-07-13","07:36:25",1,-4.43,102
"4466","2021-07-13","07:36:25",0,-3.005,100
"4467","2021-07-13","07:36:35",0,-3.505,107
"4468","2021-07-13","07:36:35",1,-25.93,101
"4469","2021-07-13","07:36:46",0,-5.42,106
"4470","2021-07-13","07:36:46",1,-22.545,103
"4471","2021-07-13","07:36:57",1,-5.21,95
"4472","2021-07-13","07:36:57",0,-2.68,106
"4473","2021-07-13","07:37:09",0,-5.565,105
"4474","2021-07-13","07:37:19",1,54.29,115
"4475","2021-07-13","07:37:19",0,4.435,108
"4476","2021-07-13","07:38:21",1,0.045,110
"4477","2021-07-13","07:38:21",0,-8.785,105
"4478","2021-07-13","07:38:31",0,0.9,114
"4479","2021-07-13","07:38:31",1,1.925,113
"4480","2021-07-13","07:38:42",1,1.075,108
"4481","2021-07-13","07:38:42",0,-0.92,110
"4482","2021-07-13","07:38:54",1,19.19,102
"4483","2021-07-13","07:38:54",0,29.21,110
"4484","2021-07-13","07:39:05",0,66.415,112
"4485","2021-07-13","07:39:05",1,70.445,107
"4486","2021-07-13","07:39:16",0,9.745,109
"4487","2021-07-13","07:39:16",1,26.4,109
"4488","2021-07-13","07:39:27",0,13.895,100
"4489","2021-07-13","07:39:27",1,16.4,100
"4490","2021-07-13","07:39:38",1,-9.64,103
"4491","2021-07-13","07:39:38",0,-11.155,100
"4492","2021-07-13","07:40:06",1,1.87,105
"4493","2021-07-13","07:40:06",0,-0.625,104
"4494","2021-07-13","07:40:29",0,-1.92,107
"4495","2021-07-13","07:40:29",1,9.18,106
"4496","2021-07-13","07:40:41",1,1.585,105
"4497","2021-07-13","07:40:41",0,0.565,103
"4498","2021-07-13","07:40:52",0,1.065,107
"4499","2021-07-13","07:40:52",1,0.6,106
"4500","2021-07-13","07:41:04",1,1.23,109
"4501","2021-07-13","07:41:04",0,-0.77,107
"4502","2021-07-13","07:41:15",0,-1.925,103
"4503","2021-07-13","07:41:15",1,1.1,102
"4504","2021-07-13","07:41:27",1,-0.515,97
"4505","2021-07-13","07:41:27",0,-5.08,106
"4506","2021-07-13","07:41:38",0,-10.33,83
"4507","2021-07-13","07:41:38",1,-32.85,83
"4508","2021-07-13","07:41:49",0,-11.3,102
"4509","2021-07-13","07:41:49",1,-19.29,102
"4510","2021-07-13","07:42:01",1,0.78,94
"4511","2021-07-13","07:42:01",0,-0.72,96
"4512","2021-07-13","07:42:23",1,-25.225,102
"4513","2021-07-13","07:42:23",0,-12.21,104
"4514","2021-07-13","07:42:34",1,-0.565,98
"4515","2021-07-13","07:42:34",0,0.365,100
"4516","2021-07-13","07:42:45",1,3.465,99
"4517","2021-07-13","07:42:45",0,-1.625,100
"4518","2021-07-13","07:42:56",1,-13.43,98
"4519","2021-07-13","07:42:56",0,-4.43,95
"4520","2021-07-13","07:43:56",0,1.33,106
"4521","2021-07-13","07:43:56",1,1.85,104
"4522","2021-07-13","07:44:18",0,-1.82,103
"4523","2021-07-13","07:44:18",1,9.81,103
"4524","2021-07-13","07:44:29",0,1.975,102
"4525","2021-07-13","07:44:29",1,-1.035,101
"4526","2021-07-13","07:44:50",1,1.12,99
"4527","2021-07-13","07:44:56",0,1.85,99
"4528","2021-07-13","07:45:02",1,1.72,100
"4529","2021-07-13","07:45:07",0,-10.805,99
"4530","2021-07-13","07:45:13",1,-0.125,101
"4531","2021-07-13","07:45:18",0,-0.565,104
