Ship Number,Trip Number,Tow Number
AVALON VOYAGER,2,4
Comments
"ZONE 12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,03-Aug-2022,114422,47 18.624900 N,063 44.347400 W,2.9,159.1,A,,,,,,
,03-Aug-2022,114423,47 18.623800 N,063 44.347000 W,3.1,160.1,A,,,,,,
Wed Aug 03 08:44:21 2022,03-Aug-2022,114424,47 18.622800 N,063 44.346700 W,3.2,160.9,A,DoorSpread,DoorMaster,2.560000,D,S,226115.000000
Wed Aug 03 08:44:21 2022,03-Aug-2022,114425,47 18.621800 N,063 44.346200 W,3.4,161.5,A,DoorSpread,DoorMaster,2.560000,D,S,226115.000000
Wed Aug 03 08:44:21 2022,03-Aug-2022,114426,47 18.620600 N,063 44.345700 W,3.6,162.1,A,DoorSpread,DoorMaster,2.560000,D,S,226115.000000
Wed Aug 03 08:44:21 2022,03-Aug-2022,114427,47 18.619400 N,063 44.345100 W,3.7,162.6,A,DoorSpread,DoorMaster,2.560000,D,S,226115.000000
Wed Aug 03 08:44:26 2022,03-Aug-2022,114428,47 18.618200 N,063 44.344700 W,3.9,163.2,A,Depth,Depth,12.129630,D,S,79826.000000
Wed Aug 03 08:44:26 2022,03-Aug-2022,114429,47 18.616800 N,063 44.344200 W,4.1,163.8,A,DoorSpread,DoorMaster,0.000000,E,S,841001.000000
Wed Aug 03 08:44:26 2022,03-Aug-2022,114430,47 18.615500 N,063 44.343600 W,4.3,164.2,A,DoorSpread,DoorMaster,0.000000,E,S,841001.000000
Wed Aug 03 08:44:26 2022,03-Aug-2022,114431,47 18.614100 N,063 44.343000 W,4.4,164.5,A,DoorSpread,DoorMaster,0.000000,E,S,841001.000000
Wed Aug 03 08:44:26 2022,03-Aug-2022,114432,47 18.612700 N,063 44.342500 W,4.6,164.7,A,DoorSpread,DoorMaster,0.000000,E,S,841001.000000
Wed Aug 03 08:44:26 2022,03-Aug-2022,114433,47 18.611300 N,063 44.341900 W,4.7,164.8,A,DoorSpread,DoorMaster,0.000000,E,S,841001.000000
Wed Aug 03 08:44:31 2022,03-Aug-2022,114434,47 18.609800 N,063 44.341500 W,4.9,165.0,A,DoorSpread,DoorMaster,0.000000,E,P,2081.000000
Wed Aug 03 08:44:32 2022,03-Aug-2022,114435,47 18.608300 N,063 44.341000 W,5.0,165.3,A,DoorSpread,DoorMaster,10.970000,D,S,44473.000000
Wed Aug 03 08:44:33 2022,03-Aug-2022,114436,47 18.606700 N,063 44.340500 W,5.2,165.6,A,Depth,Depth,10.925926,D,S,385048.000000
Wed Aug 03 08:44:33 2022,03-Aug-2022,114437,47 18.605100 N,063 44.340000 W,5.3,166.0,A,Depth,Depth,10.925926,D,S,385048.000000
Wed Aug 03 08:44:33 2022,03-Aug-2022,114438,47 18.603400 N,063 44.339500 W,5.4,166.4,A,Depth,Depth,10.925926,D,S,385048.000000
Wed Aug 03 08:44:36 2022,03-Aug-2022,114439,47 18.601800 N,063 44.339000 W,5.5,166.6,A,DoorSpread,DoorMaster,0.000000,E,P,1101.000000
Wed Aug 03 08:44:36 2022,03-Aug-2022,114440,47 18.600100 N,063 44.338400 W,5.6,166.8,A,DoorSpread,DoorMaster,0.000000,E,P,1101.000000
Wed Aug 03 08:44:39 2022,03-Aug-2022,114441,47 18.598400 N,063 44.337800 W,5.7,167.1,A,DoorSpread,DoorMaster,18.575000,D,S,14132.000000
Wed Aug 03 08:44:40 2022,03-Aug-2022,114442,47 18.596700 N,063 44.337100 W,5.8,167.1,A,Depth,Depth,11.574074,D,S,137509.000000
Wed Aug 03 08:44:40 2022,03-Aug-2022,114443,47 18.595000 N,063 44.336500 W,5.9,167.3,A,Depth,Depth,11.574074,D,S,137509.000000
Wed Aug 03 08:44:42 2022,03-Aug-2022,114444,47 18.593300 N,063 44.336000 W,5.9,167.4,A,DoorSpread,DoorMaster,0.000000,E,P,1142.000000
Wed Aug 03 08:44:42 2022,03-Aug-2022,114445,47 18.591700 N,063 44.335600 W,6.0,167.5,A,DoorSpread,DoorMaster,0.000000,E,P,1142.000000
Wed Aug 03 08:44:42 2022,03-Aug-2022,114446,47 18.590000 N,063 44.335000 W,6.0,167.6,A,DoorSpread,DoorMaster,0.000000,E,P,1142.000000
Wed Aug 03 08:44:42 2022,03-Aug-2022,114447,47 18.588300 N,063 44.334400 W,6.1,167.7,A,DoorSpread,DoorMaster,0.000000,E,P,1142.000000
Wed Aug 03 08:44:42 2022,03-Aug-2022,114448,47 18.586600 N,063 44.333800 W,6.1,167.7,A,DoorSpread,DoorMaster,0.000000,E,P,1142.000000
Wed Aug 03 08:44:47 2022,03-Aug-2022,114449,47 18.584900 N,063 44.333200 W,6.1,167.7,A,DoorSpread,DoorMaster,0.000000,E,P,1656.000000
Wed Aug 03 08:44:47 2022,03-Aug-2022,114450,47 18.583200 N,063 44.332700 W,6.1,167.8,A,Depth,Depth,11.481481,D,S,74446.000000
Wed Aug 03 08:44:47 2022,03-Aug-2022,114451,47 18.581600 N,063 44.332100 W,6.1,167.8,A,Depth,Depth,11.481481,D,S,74446.000000
Wed Aug 03 08:44:47 2022,03-Aug-2022,114452,47 18.579900 N,063 44.331700 W,6.1,167.9,A,Depth,Depth,11.481481,D,S,74446.000000
Wed Aug 03 08:44:47 2022,03-Aug-2022,114453,47 18.578200 N,063 44.331200 W,6.1,168.0,A,Depth,Depth,11.481481,D,S,74446.000000
Wed Aug 03 08:44:52 2022,03-Aug-2022,114454,47 18.576500 N,063 44.330900 W,6.1,168.2,A,Primary,Headline,19.816327,D,S,130614.000000
Wed Aug 03 08:44:52 2022,03-Aug-2022,114455,47 18.574800 N,063 44.330500 W,6.1,168.4,A,Primary,Headline,19.816327,D,S,130614.000000
Wed Aug 03 08:44:52 2022,03-Aug-2022,114456,47 18.573200 N,063 44.330000 W,6.1,168.4,A,Primary,Headline,19.816327,D,S,130614.000000
Wed Aug 03 08:44:54 2022,03-Aug-2022,114457,47 18.571600 N,063 44.329400 W,6.0,168.2,A,Depth,Depth,12.314815,D,S,201197.000000
Wed Aug 03 08:44:54 2022,03-Aug-2022,114458,47 18.569900 N,063 44.328800 W,6.0,168.0,A,Depth,Depth,12.314815,D,S,201197.000000
Wed Aug 03 08:44:57 2022,03-Aug-2022,114459,47 18.568200 N,063 44.328400 W,6.1,168.1,A,Primary,Headline,2.367347,D,S,238752.000000
Wed Aug 03 08:44:57 2022,03-Aug-2022,114500,47 18.566400 N,063 44.327900 W,6.1,168.1,A,Primary,Headline,2.367347,D,S,238752.000000
Wed Aug 03 08:44:57 2022,03-Aug-2022,114501,47 18.564800 N,063 44.327200 W,6.1,168.0,A,Primary,Headline,2.367347,D,S,238752.000000
Wed Aug 03 08:44:57 2022,03-Aug-2022,114502,47 18.563100 N,063 44.326700 W,6.0,167.9,A,Primary,Headline,2.367347,D,S,238752.000000
Wed Aug 03 08:44:57 2022,03-Aug-2022,114503,47 18.561400 N,063 44.326100 W,6.0,167.8,A,Primary,Headline,2.367347,D,S,238752.000000
Wed Aug 03 08:45:02 2022,03-Aug-2022,114504,47 18.559700 N,063 44.325500 W,6.0,167.7,A,DoorSpread,DoorMaster,0.000000,E,P,1895.000000
Wed Aug 03 08:45:03 2022,03-Aug-2022,114505,47 18.558100 N,063 44.324900 W,6.0,167.7,A,Primary,Headline,55.000000,D,P,428.000000
Wed Aug 03 08:45:03 2022,03-Aug-2022,114506,47 18.556400 N,063 44.324700 W,6.0,167.9,A,Primary,Headline,55.000000,D,P,428.000000
Wed Aug 03 08:45:03 2022,03-Aug-2022,114507,47 18.554800 N,063 44.324400 W,6.0,168.1,A,Primary,Headline,55.000000,D,P,428.000000
Wed Aug 03 08:45:03 2022,03-Aug-2022,114508,47 18.553200 N,063 44.323800 W,5.9,168.0,A,Primary,Headline,55.000000,D,P,428.000000
Wed Aug 03 08:45:03 2022,03-Aug-2022,114509,47 18.551700 N,063 44.323100 W,5.9,168.0,A,Primary,Headline,55.000000,D,P,428.000000
Wed Aug 03 08:45:08 2022,03-Aug-2022,114510,47 18.550000 N,063 44.322600 W,5.9,168.0,A,Secondary,Headline,5.244898,D,S,247825.000000
Wed Aug 03 08:45:08 2022,03-Aug-2022,114511,47 18.548300 N,063 44.322100 W,5.9,168.1,A,Depth,Depth,21.388889,D,S,211907.000000
Wed Aug 03 08:45:08 2022,03-Aug-2022,114512,47 18.546700 N,063 44.321600 W,5.8,168.1,A,Depth,Depth,21.388889,D,S,211907.000000
Wed Aug 03 08:45:08 2022,03-Aug-2022,114513,47 18.545100 N,063 44.321100 W,5.8,168.1,A,Depth,Depth,21.388889,D,S,211907.000000
