"","date","time","hydrophone","value","signalpower"
"111498","2022-09-02","10:54:45",0,44.387755,84
"111499","2022-09-02","10:56:21",0,55.408163,93
"111500","2022-09-02","10:56:33",0,23.632653,95
"111501","2022-09-02","10:56:57",0,44.857143,85
"111502","2022-09-02","10:57:29",0,43.612245,93
"111503","2022-09-02","10:58:11",0,4.102041,101
"111504","2022-09-02","10:58:57",0,50.979592,102
"111505","2022-09-02","10:59:59",0,43.142857,88
"111506","2022-09-02","11:00:21",0,23.714286,89
"111507","2022-09-02","11:00:43",0,18.877551,97
"111508","2022-09-02","11:00:55",0,23.081633,95
"111509","2022-09-02","11:01:44",0,10.142857,89
"111510","2022-09-02","11:01:56",0,16.673469,100
"111511","2022-09-02","11:03:43",0,50.857143,99
"111512","2022-09-02","11:06:53",0,3.040816,95
"111513","2022-09-02","11:07:21",0,51.795918,90
"111514","2022-09-02","11:07:44",0,22.714286,79
"111515","2022-09-02","11:09:23",0,23.653061,90
"111516","2022-09-02","11:09:57",0,17.755102,94
"111517","2022-09-02","11:10:03",0,51.612245,92
"111518","2022-09-02","11:10:45",0,54.122449,96
"111519","2022-09-02","11:11:45",0,19.571429,88
"111520","2022-09-02","11:12:47",0,5.061224,92
"111521","2022-09-02","11:12:53",0,38.918367,96
"111522","2022-09-02","11:13:24",0,38.061224,94
"111523","2022-09-02","11:13:52",0,22.469388,86
"111524","2022-09-02","11:14:05",0,39.306122,96
"111525","2022-09-02","11:14:48",0,9.612245,90
"111526","2022-09-02","11:15:02",0,37.408163,98
"111527","2022-09-02","11:15:58",0,4.408163,91
"111528","2022-09-02","11:16:03",0,40.530612,97
"111529","2022-09-02","11:16:38",0,31.020408,88
"111530","2022-09-02","11:17:13",0,5.632653,86
"111531","2022-09-02","11:17:18",0,2,93
"111532","2022-09-02","11:18:38",0,23.142857,96
"111533","2022-09-02","11:19:32",0,2.265306,93
"111534","2022-09-02","11:20:02",0,10.367347,96
"111535","2022-09-02","11:20:08",0,60,102
"111536","2022-09-02","11:21:03",0,56.183673,100
"111537","2022-09-02","11:21:08",0,8.346939,96
"111538","2022-09-02","11:22:05",0,2.061224,103
"111539","2022-09-02","11:23:11",0,24.244898,82
"111540","2022-09-02","11:23:17",0,39.673469,94
"111541","2022-09-02","11:24:20",0,49.571429,91
"111542","2022-09-02","11:24:49",0,16.326531,101
"111543","2022-09-02","11:25:10",0,56.653061,100
"111544","2022-09-02","11:26:59",0,51.632653,92
"111545","2022-09-02","11:29:39",0,45,91
"111546","2022-09-02","11:30:23",0,13.897959,98
"111547","2022-09-02","11:31:00",0,14.795918,91
"111548","2022-09-02","11:31:21",0,30.346939,83
"111549","2022-09-02","11:31:33",0,18.918367,93
"111550","2022-09-02","11:32:08",0,21.367347,96
"111551","2022-09-02","11:32:54",0,27.530612,90
"111552","2022-09-02","11:33:55",0,3.510204,94
"111553","2022-09-02","11:34:47",0,53.918367,86
"111554","2022-09-02","11:34:59",0,2.122449,98
"111555","2022-09-02","11:35:11",0,1.836735,86
"111556","2022-09-02","11:35:17",0,24.44898,88
"111557","2022-09-02","11:35:32",0,6.102041,80
"111558","2022-09-02","11:35:52",0,3.346939,85
"111559","2022-09-02","11:36:11",0,3.836735,88
"111560","2022-09-02","11:36:28",0,21.714286,95
"111561","2022-09-02","11:36:33",0,24.081633,93
"111562","2022-09-02","11:36:39",0,55.408163,85
"111563","2022-09-02","11:36:44",0,32.142857,85
"111564","2022-09-02","11:37:11",0,6.693878,92
"111565","2022-09-02","11:38:11",0,12.204082,96
"111566","2022-09-02","11:39:34",0,4.673469,90
"111567","2022-09-02","11:39:44",0,41.387755,79
"111568","2022-09-02","11:39:57",0,54.285714,84
"111569","2022-09-02","11:40:02",0,3.918367,94
"111570","2022-09-02","11:40:12",0,2.591837,76
"111571","2022-09-02","11:41:12",0,22.530612,96
"111572","2022-09-02","11:41:17",0,23.857143,85
"111573","2022-09-02","11:41:27",0,0.265306,74
"111574","2022-09-02","11:41:32",0,37.755102,92
"111575","2022-09-02","11:41:53",0,56.612245,93
"111576","2022-09-02","11:41:59",0,30.285714,68
"111577","2022-09-02","11:42:09",0,45.306122,77
"111578","2022-09-02","11:42:14",0,0.489796,81
"111579","2022-09-02","11:42:44",0,10.244898,57
"111580","2022-09-02","11:42:57",0,35.795918,89
"111581","2022-09-02","11:43:33",0,21.795918,93
"111582","2022-09-02","11:44:57",0,18.387755,81
"111583","2022-09-02","11:45:11",0,28.428571,77
"111584","2022-09-02","11:45:21",0,13.183673,84
"111585","2022-09-02","11:45:26",0,16.734694,86
"111586","2022-09-02","11:47:29",0,54.469388,88
"111587","2022-09-02","11:47:34",0,4.612245,90
"111588","2022-09-02","11:47:39",0,10.306122,80
"111589","2022-09-02","11:47:44",0,2.408163,91
"111590","2022-09-02","11:47:59",0,9.673469,80
"111591","2022-09-02","11:48:04",0,8.265306,68
"111592","2022-09-02","11:48:10",0,24.122449,92
"111593","2022-09-02","11:48:20",0,26.530612,80
"111594","2022-09-02","11:48:25",0,8.142857,70
"111595","2022-09-02","11:48:31",0,28.591837,92
"111596","2022-09-02","11:48:48",0,55.530612,68
"111597","2022-09-02","11:48:59",0,20,97
"111598","2022-09-02","11:49:04",0,0.142857,93
"111599","2022-09-02","11:49:09",0,1.408163,96
"111600","2022-09-02","11:49:14",0,2.326531,95
"111601","2022-09-02","11:49:29",0,14.714286,76
"111602","2022-09-02","11:49:34",0,6.693878,96
"111603","2022-09-02","11:49:44",0,11.918367,93
"111604","2022-09-02","11:49:49",0,1.510204,101
"111605","2022-09-02","11:49:54",0,2.387755,101
"111606","2022-09-02","11:49:59",0,1.877551,102
"111607","2022-09-02","11:50:04",0,1.755102,104
"111608","2022-09-02","11:50:09",0,1.489796,114
"111609","2022-09-02","11:50:14",1,1.632653,70
"111610","2022-09-02","11:50:14",0,1.673469,114
"111611","2022-09-02","11:50:19",1,1.979592,68
"111612","2022-09-02","11:50:19",0,1.836735,109
"111613","2022-09-02","11:50:24",1,2.040816,73
"111614","2022-09-02","11:50:24",0,2.040816,108
"111615","2022-09-02","11:50:29",1,1.836735,69
"111616","2022-09-02","11:50:29",0,1.959184,107
"111617","2022-09-02","11:50:34",1,3.020408,54
"111618","2022-09-02","11:50:34",0,2.265306,105
"111619","2022-09-02","11:50:39",1,3.142857,54
"111620","2022-09-02","11:50:39",0,2.183673,100
"111621","2022-09-02","11:50:44",1,1.081633,60
"111622","2022-09-02","11:50:44",0,2.632653,107
"111623","2022-09-02","11:50:49",1,2.918367,61
"111624","2022-09-02","11:50:49",0,2.918367,104
"111625","2022-09-02","11:50:55",1,52.571429,56
"111626","2022-09-02","11:51:00",1,2.387755,54
"111627","2022-09-02","11:51:05",1,3.795918,58
"111628","2022-09-02","11:51:10",0,4.265306,92
"111629","2022-09-02","11:51:16",0,33.102041,98
