"","date","time","hydrophone","value","signalpower"
"1268","2022-08-26","09:02:26",0,0.955,115
"1269","2022-08-26","09:02:53",0,2.685,108
"1270","2022-08-26","09:03:14",0,7.19,108
"1271","2022-08-26","09:03:36",0,3.4,108
"1272","2022-08-26","09:03:47",0,3.865,104
"1273","2022-08-26","09:04:04",0,1.07,107
"1274","2022-08-26","09:04:15",1,-16.615,57
"1275","2022-08-26","09:04:41",1,-2.115,76
"1276","2022-08-26","09:04:52",1,-7.58,57
"1277","2022-08-26","09:05:04",1,56.085,75
"1278","2022-08-26","09:05:15",1,0.815,75
"1279","2022-08-26","09:05:37",1,-2.745,76
"1280","2022-08-26","09:05:59",1,16.03,63
"1281","2022-08-26","09:06:10",1,0.105,76
"1282","2022-08-26","09:06:10",0,61.575,95
"1283","2022-08-26","09:06:21",1,-1.185,63
"1284","2022-08-26","09:06:33",1,17.46,61
"1285","2022-08-26","09:06:44",1,-2.235,62
"1286","2022-08-26","09:06:56",1,1.07,64
"1287","2022-08-26","09:07:07",1,39.22,72
"1288","2022-08-26","09:07:07",0,3.575,104
"1289","2022-08-26","09:07:19",1,21.09,74
"1290","2022-08-26","09:07:30",1,8.4,58
"1291","2022-08-26","09:07:42",1,-0.91,66
"1292","2022-08-26","09:07:53",1,46.61,63
"1293","2022-08-26","09:08:16",1,-10.99,76
"1294","2022-08-26","09:08:57",1,-1.345,57
"1295","2022-08-26","09:09:26",1,-15.11,51
"1296","2022-08-26","09:09:37",1,25.225,76
"1297","2022-08-26","09:10:00",1,-2.385,57
"1298","2022-08-26","09:10:39",1,23.35,76
"1299","2022-08-26","09:11:13",0,-2.305,101
"1300","2022-08-26","09:11:18",1,-1.19,62
"1301","2022-08-26","09:11:46",1,-5.455,62
"1302","2022-08-26","09:12:09",1,1.195,60
"1303","2022-08-26","09:12:20",1,33.015,61
"1304","2022-08-26","09:12:32",1,-53.945,76
"1305","2022-08-26","09:12:42",1,5.835,75
"1306","2022-08-26","09:12:53",1,10.03,75
"1307","2022-08-26","09:13:05",1,11.605,76
"1308","2022-08-26","09:13:16",1,12.275,75
"1309","2022-08-26","09:13:27",1,8.575,77
"1310","2022-08-26","09:13:38",1,7.695,73
"1311","2022-08-26","09:14:15",0,2.635,114
"1312","2022-08-26","09:14:26",1,0.77,68
"1313","2022-08-26","09:14:46",1,62.365,60
"1314","2022-08-26","09:18:56",0,9.545,66
