"","date","time","hydrophone","value","signalpower"
"2833","2022-07-15","11:33:04",0,-4.735,87
"2834","2022-07-15","11:37:09",0,26.78,84
"2835","2022-07-15","11:54:33",1,0.815,76
"2836","2022-07-15","11:54:54",1,-0.475,70
"2837","2022-07-15","11:55:15",1,0.855,76
"2838","2022-07-15","11:55:25",1,-1.075,75
"2839","2022-07-15","11:55:36",1,-1.645,82
"2840","2022-07-15","11:55:47",1,11.125,82
"2841","2022-07-15","11:55:59",1,11.825,77
"2842","2022-07-15","11:56:15",1,-2.085,74
"2843","2022-07-15","11:56:30",1,-60.585,73
"2844","2022-07-15","11:57:13",1,30.73,65
"2845","2022-07-15","11:57:24",1,6.29,75
"2846","2022-07-15","11:57:35",1,26.635,74
"2847","2022-07-15","11:58:06",1,-11.605,63
"2848","2022-07-15","11:58:17",1,-19.45,63
"2849","2022-07-15","11:58:17",0,-2.435,107
"2850","2022-07-15","11:58:29",1,-15.895,58
"2851","2022-07-15","11:58:40",1,-18.05,62
"2852","2022-07-15","11:58:51",1,-9.03,60
"2853","2022-07-15","11:59:03",1,4.965,62
"2854","2022-07-15","11:59:14",1,-14.145,72
"2855","2022-07-15","11:59:25",1,-1.895,61
"2856","2022-07-15","11:59:47",1,-0.015,77
"2857","2022-07-15","12:00:09",1,0.865,68
"2858","2022-07-15","12:03:46",0,-16.955,101
"2859","2022-07-15","12:05:42",1,-27.31,58
"2860","2022-07-15","12:05:54",1,0.985,60
"2861","2022-07-15","12:06:07",1,20.58,58
"2862","2022-07-15","12:06:33",0,-31.12,99
"2863","2022-07-15","12:06:43",1,9.44,63
"2864","2022-07-15","12:06:54",1,12.695,60
"2865","2022-07-15","12:07:05",1,32.52,59
"2866","2022-07-15","12:07:16",1,6.33,74
"2867","2022-07-15","12:07:16",0,1.315,115
"2868","2022-07-15","12:07:26",1,-65.795,75
"2869","2022-07-15","12:07:48",0,20.25,99
"2870","2022-07-15","12:07:48",1,3.53,71
"2871","2022-07-15","12:07:59",1,1.74,77
"2872","2022-07-15","12:08:21",1,2.83,67
"2873","2022-07-15","12:08:32",1,-3.98,72
"2874","2022-07-15","12:08:53",1,0.04,80
"2875","2022-07-15","12:09:14",1,7.175,75
"2876","2022-07-15","12:09:41",1,-0.58,85
"2877","2022-07-15","12:09:51",1,-35.825,54
"2878","2022-07-15","12:15:57",0,42.445,92
