"","date","time","hydrophone","value","signalpower"
"107738","2022-09-06","18:48:10",0,22.235,92
"107739","2022-09-06","18:56:54",0,28.215,93
"107740","2022-09-06","19:25:05",0,1.28,86
"107741","2022-09-06","19:25:11",0,1.96,91
"107742","2022-09-06","19:25:21",1,1.125,70
"107743","2022-09-06","19:25:21",0,4.705,83
"107744","2022-09-06","19:25:26",1,1.3,67
"107745","2022-09-06","19:25:31",1,1.27,73
"107746","2022-09-06","19:25:32",0,1.415,84
"107747","2022-09-06","19:25:37",1,1.56,73
"107748","2022-09-06","19:25:37",0,1.32,90
"107749","2022-09-06","19:25:42",0,0.405,118
"107750","2022-09-06","19:25:42",1,2.005,79
"107751","2022-09-06","19:25:47",0,2.51,120
"107752","2022-09-06","19:25:47",1,2.135,73
"107753","2022-09-06","19:25:53",1,4.105,66
"107754","2022-09-06","19:25:53",0,3.72,117
"107755","2022-09-06","19:27:31",1,29.8,55
"107756","2022-09-06","19:27:31",0,29.5,103
"107757","2022-09-06","19:30:02",1,6.705,66
"107758","2022-09-06","19:30:02",0,3.91,78
"107759","2022-09-06","19:30:13",1,6.06,59
"107760","2022-09-06","19:30:13",0,6.55,93
"107761","2022-09-06","19:30:18",1,6.025,65
"107762","2022-09-06","19:30:19",0,4.82,84
"107763","2022-09-06","19:30:24",1,6.115,60
"107764","2022-09-06","19:30:24",0,5.63,86
"107765","2022-09-06","19:30:30",1,6.465,64
"107766","2022-09-06","19:30:30",0,4.695,95
"107767","2022-09-06","19:30:35",1,6.425,58
"107768","2022-09-06","19:30:36",0,11.835,77
"107769","2022-09-06","19:30:41",1,7.6,65
"107770","2022-09-06","19:30:41",0,5.675,67
"107771","2022-09-06","19:30:47",0,3.045,92
"107772","2022-09-06","19:30:52",0,6.57,106
"107773","2022-09-06","19:30:58",1,6.79,52
"107774","2022-09-06","19:30:58",0,12.975,60
"107775","2022-09-06","19:31:03",0,1.825,86
"107776","2022-09-06","19:31:09",0,5.485,106
"107777","2022-09-06","19:31:15",1,7.03,58
"107778","2022-09-06","19:31:15",0,12.62,77
"107779","2022-09-06","19:31:20",0,4.1,85
"107780","2022-09-06","19:31:26",0,5.855,99
"107781","2022-09-06","19:31:32",1,8.5,49
"107782","2022-09-06","19:31:32",0,8.645,97
"107783","2022-09-06","19:31:38",1,8.585,61
"107784","2022-09-06","19:31:38",0,11.37,92
"107785","2022-09-06","19:31:43",0,6.685,95
"107786","2022-09-06","19:31:43",1,8.845,60
"107787","2022-09-06","19:31:49",1,10.12,57
"107788","2022-09-06","19:31:49",0,9.58,98
