Ship Number,Trip Number,Tow Number
AVALON,2,9
Comments
"ZONE 12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,01-Aug-2023,193545,47 39.715300 N,064 10.017800 W,2.7,135.7,A,,,,,,
,01-Aug-2023,193546,47 39.714700 N,064 10.017100 W,2.8,136.1,A,,,,,,
,01-Aug-2023,193547,47 39.714100 N,064 10.016200 W,2.9,135.9,A,,,,,,
Tue Aug 01 16:35:42 2023,01-Aug-2023,193548,47 39.713400 N,064 10.015200 W,3.0,135.8,A,Primary,Headline,1.959184,D,S,134590.000000
Tue Aug 01 16:35:42 2023,01-Aug-2023,193549,47 39.712600 N,064 10.014100 W,3.2,135.9,A,Primary,Headline,1.959184,D,S,134590.000000
Tue Aug 01 16:35:44 2023,01-Aug-2023,193550,47 39.711700 N,064 10.012900 W,3.5,135.7,A,DoorSpread,DoorMaster,2.445000,D,S,229296.000000
Tue Aug 01 16:35:44 2023,01-Aug-2023,193551,47 39.710800 N,064 10.011400 W,3.8,135.2,A,DoorSpread,DoorMaster,2.445000,D,S,229296.000000
Tue Aug 01 16:35:44 2023,01-Aug-2023,193552,47 39.709800 N,064 10.009900 W,4.0,135.2,A,DoorSpread,DoorMaster,2.445000,D,S,229296.000000
Tue Aug 01 16:35:47 2023,01-Aug-2023,193553,47 39.708600 N,064 10.008300 W,4.3,135.9,A,Primary,Headline,2.448980,D,S,95342.000000
Tue Aug 01 16:35:47 2023,01-Aug-2023,193554,47 39.707400 N,064 10.006500 W,4.6,136.4,A,Primary,Headline,2.448980,D,S,95342.000000
Tue Aug 01 16:35:49 2023,01-Aug-2023,193555,47 39.706200 N,064 10.004800 W,4.9,136.5,A,DoorSpread,DoorMaster,0.000000,E,S,563039.000000
Tue Aug 01 16:35:49 2023,01-Aug-2023,193556,47 39.705100 N,064 10.003000 W,5.1,136.6,A,DoorSpread,DoorMaster,0.000000,E,S,563039.000000
Tue Aug 01 16:35:49 2023,01-Aug-2023,193557,47 39.703800 N,064 10.001300 W,5.3,136.8,A,DoorSpread,DoorMaster,0.000000,E,S,563039.000000
Tue Aug 01 16:35:52 2023,01-Aug-2023,193558,47 39.702600 N,064 9.999500 W,5.5,136.8,A,Primary,Headline,1.979592,D,S,186361.000000
Tue Aug 01 16:35:52 2023,01-Aug-2023,193559,47 39.701400 N,064 9.997700 W,5.6,136.8,A,Primary,Headline,1.979592,D,S,186361.000000
Tue Aug 01 16:35:54 2023,01-Aug-2023,193600,47 39.700100 N,064 9.996000 W,5.7,136.7,A,DoorSpread,DoorMaster,0.000000,E,S,281349.000000
Tue Aug 01 16:35:54 2023,01-Aug-2023,193601,47 39.698800 N,064 9.994300 W,5.7,136.7,A,DoorSpread,DoorMaster,0.000000,E,S,281349.000000
Tue Aug 01 16:35:54 2023,01-Aug-2023,193602,47 39.697500 N,064 9.992600 W,5.8,136.8,A,DoorSpread,DoorMaster,0.000000,E,S,281349.000000
Tue Aug 01 16:35:57 2023,01-Aug-2023,193603,47 39.696200 N,064 9.990900 W,5.9,137.0,A,Primary,Headline,2.979592,D,S,327617.000000
Tue Aug 01 16:35:58 2023,01-Aug-2023,193604,47 39.695000 N,064 9.989200 W,5.9,137.1,A,Depth,Depth,14.444444,D,S,89368.000000
