"","date","time","hydrophone","value","signalpower"
"32301","2023-07-15","13:47:56",0,6.666667,91
"32302","2023-07-15","13:48:03",0,8.796296,98
"32303","2023-07-15","13:48:10",0,11.574074,106
"32304","2023-07-15","13:48:17",0,9.722222,111
"32305","2023-07-15","13:48:24",0,11.666667,107
"32306","2023-07-15","13:48:31",0,14.62963,107
"32307","2023-07-15","13:48:38",0,13.796296,106
"32308","2023-07-15","13:48:45",0,17.037037,107
"32309","2023-07-15","13:48:52",0,19.074074,107
"32310","2023-07-15","13:48:59",0,20.740741,106
"32311","2023-07-15","13:49:06",0,23.703704,98
"32312","2023-07-15","13:49:13",0,21.111111,106
"32313","2023-07-15","13:49:20",1,24.166667,59
"32314","2023-07-15","13:49:20",0,24.259259,105
"32315","2023-07-15","13:49:28",0,28.981481,107
"32316","2023-07-15","13:49:35",0,23.611111,110
"32317","2023-07-15","13:49:42",0,28.055556,108
"32318","2023-07-15","13:49:49",0,30.740741,108
"32319","2023-07-15","13:49:56",1,31.203704,63
"32320","2023-07-15","13:49:56",0,31.574074,111
"32321","2023-07-15","13:50:03",1,34.722222,62
"32322","2023-07-15","13:50:03",0,33.796296,112
"32323","2023-07-15","13:50:10",1,37.037037,60
"32324","2023-07-15","13:50:10",0,36.111111,109
"32325","2023-07-15","13:50:17",0,35.648148,110
"32326","2023-07-15","13:50:25",0,38.703704,106
"32327","2023-07-15","13:50:32",0,40.462963,108
"32328","2023-07-15","13:50:39",1,46.111111,63
"32329","2023-07-15","13:50:39",0,42.962963,108
"32330","2023-07-15","13:50:46",0,41.574074,106
"32331","2023-07-15","13:50:53",0,45.740741,104
"32332","2023-07-15","13:51:00",0,46.111111,103
"32333","2023-07-15","13:51:07",0,48.055556,104
"32334","2023-07-15","13:51:15",0,50.555556,104
"32335","2023-07-15","13:51:22",0,51.018519,109
"32336","2023-07-15","13:51:29",0,51.944444,111
"32337","2023-07-15","13:51:36",0,56.388889,104
"32338","2023-07-15","13:51:44",0,54.351852,110
"32339","2023-07-15","13:51:51",0,57.222222,102
"32340","2023-07-15","13:51:58",0,68.518519,106
"32341","2023-07-15","13:52:05",0,53.611111,112
"32342","2023-07-15","13:52:12",0,59.907407,107
"32343","2023-07-15","13:52:20",1,65.37037,58
"32344","2023-07-15","13:52:20",0,64.074074,99
"32345","2023-07-15","13:52:27",0,65.925926,100
"32346","2023-07-15","13:52:34",0,63.703704,104
"32347","2023-07-15","13:52:41",0,66.574074,102
"32348","2023-07-15","13:52:49",0,67.962963,105
"32349","2023-07-15","13:52:56",0,69.907407,105
"32350","2023-07-15","13:53:03",0,76.759259,106
"32351","2023-07-15","13:53:10",0,66.018519,103
"32352","2023-07-15","13:53:18",0,74.537037,110
"32353","2023-07-15","13:53:25",0,74.722222,103
"32354","2023-07-15","13:53:32",0,76.574074,106
"32355","2023-07-15","13:53:39",0,78.148148,110
"32356","2023-07-15","13:53:47",0,79.907407,105
"32357","2023-07-15","13:53:54",0,85.925926,105
"32358","2023-07-15","13:54:01",0,78.611111,100
"32359","2023-07-15","13:54:09",0,83.796296,103
"32360","2023-07-15","13:54:16",0,85.833333,104
"32361","2023-07-15","13:54:23",1,90.185185,53
"32362","2023-07-15","13:54:23",0,86.759259,102
"32363","2023-07-15","13:54:31",0,87.12963,100
"32364","2023-07-15","13:54:38",0,100.37037,94
"32365","2023-07-15","13:54:45",0,80.555556,98
"32366","2023-07-15","13:54:53",0,92.5,107
"32367","2023-07-15","13:55:00",0,94.62963,102
"32368","2023-07-15","13:55:07",0,96.296296,110
"32369","2023-07-15","13:55:15",0,96.851852,108
"32370","2023-07-15","13:55:22",0,96.388889,105
"32371","2023-07-15","13:55:29",0,97.5,98
"32372","2023-07-15","13:55:37",0,153.981481,88
"32373","2023-07-15","13:55:44",1,97.407407,61
"32374","2023-07-15","13:55:44",0,40.555556,108
"32375","2023-07-15","13:55:51",1,96.759259,64
"32376","2023-07-15","13:55:52",0,96.944444,108
"32377","2023-07-15","13:55:59",1,99.444444,65
"32378","2023-07-15","13:55:59",0,102.685185,107
"32379","2023-07-15","13:56:06",1,97.12963,59
"32380","2023-07-15","13:56:06",0,92.685185,110
"32381","2023-07-15","13:56:13",1,96.944444,59
"32382","2023-07-15","13:56:14",0,97.222222,106
"32383","2023-07-15","13:56:21",1,103.518519,58
"32384","2023-07-15","13:56:21",0,97.777778,110
"32385","2023-07-15","13:56:28",1,99.444444,54
"32386","2023-07-15","13:56:28",0,98.333333,105
"32387","2023-07-15","13:56:36",1,93.796296,54
"32388","2023-07-15","13:56:36",0,97.685185,111
"32389","2023-07-15","13:56:43",1,96.851852,57
"32390","2023-07-15","13:56:43",0,98.240741,108
"32391","2023-07-15","13:56:50",1,95.648148,63
"32392","2023-07-15","13:56:50",0,98.333333,112
"32393","2023-07-15","13:56:58",1,99.351852,58
"32394","2023-07-15","13:56:58",0,98.240741,103
"32395","2023-07-15","13:57:05",1,96.388889,66
"32396","2023-07-15","13:57:05",0,97.685185,109
"32397","2023-07-15","13:57:12",1,98.888889,62
"32398","2023-07-15","13:57:12",0,98.425926,106
"32399","2023-07-15","13:57:20",0,98.333333,102
"32400","2023-07-15","13:57:27",0,97.5,96
"32401","2023-07-15","13:57:35",0,99.537037,96
"32402","2023-07-15","13:57:42",1,94.814815,54
"32403","2023-07-15","13:57:42",0,96.481481,106
"32404","2023-07-15","13:57:49",1,95.740741,59
"32405","2023-07-15","13:57:49",0,97.037037,106
"32406","2023-07-15","13:57:57",0,98.240741,103
"32407","2023-07-15","13:58:04",0,97.592593,104
"32408","2023-07-15","13:58:11",1,98.240741,65
"32409","2023-07-15","13:58:11",0,98.518519,110
"32410","2023-07-15","13:58:19",1,100.925926,59
"32411","2023-07-15","13:58:19",0,98.240741,108
"32412","2023-07-15","13:58:26",1,95.092593,60
"32413","2023-07-15","13:58:26",0,97.407407,99
"32414","2023-07-15","13:58:33",0,98.240741,99
"32415","2023-07-15","13:58:41",0,98.518519,101
"32416","2023-07-15","13:58:48",1,94.166667,56
"32417","2023-07-15","13:58:48",0,96.851852,100
"32418","2023-07-15","13:58:55",1,97.5,56
"32419","2023-07-15","13:58:55",0,98.240741,104
"32420","2023-07-15","13:59:03",1,98.888889,58
"32421","2023-07-15","13:59:03",0,98.611111,104
"32422","2023-07-15","13:59:10",1,96.296296,61
"32423","2023-07-15","13:59:10",0,98.240741,104
"32424","2023-07-15","13:59:17",1,98.333333,61
"32425","2023-07-15","13:59:17",0,98.333333,92
"32426","2023-07-15","13:59:25",1,100.092593,62
"32427","2023-07-15","13:59:25",0,103.333333,99
"32428","2023-07-15","13:59:32",0,93.333333,102
"32429","2023-07-15","13:59:39",0,98.240741,99
"32430","2023-07-15","13:59:47",0,100.740741,101
"32431","2023-07-15","13:59:54",0,96.851852,103
"32432","2023-07-15","14:00:02",0,98.703704,94
"32433","2023-07-15","14:00:09",0,96.018519,99
"32434","2023-07-15","14:00:16",0,92.685185,104
"32435","2023-07-15","14:00:24",0,90.092593,102
"32436","2023-07-15","14:00:31",0,90.092593,95
"32437","2023-07-15","14:00:38",0,87.5,94
"32438","2023-07-15","14:00:46",0,80.648148,95
"32439","2023-07-15","14:00:53",0,78.333333,95
"32440","2023-07-15","14:01:00",0,75.555556,101
"32441","2023-07-15","14:01:07",0,78.148148,99
"32442","2023-07-15","14:01:15",0,75.555556,95
"32443","2023-07-15","14:01:22",0,72.12963,99
"32444","2023-07-15","14:01:29",0,71.666667,105
"32445","2023-07-15","14:01:36",1,72.314815,64
"32446","2023-07-15","14:01:37",0,74.907407,106
"32447","2023-07-15","14:01:44",0,73.148148,111
"32448","2023-07-15","14:01:51",0,72.037037,108
"32449","2023-07-15","14:01:58",1,70.37037,61
"32450","2023-07-15","14:01:58",0,71.203704,105
"32451","2023-07-15","14:02:05",0,69.444444,99
"32452","2023-07-15","14:02:05",1,69.814815,64
"32453","2023-07-15","14:02:13",1,69.351852,61
"32454","2023-07-15","14:02:13",0,69.166667,108
"32455","2023-07-15","14:02:20",1,68.518519,60
"32456","2023-07-15","14:02:20",0,68.240741,100
"32457","2023-07-15","14:02:27",1,66.574074,64
"32458","2023-07-15","14:02:27",0,67.777778,104
"32459","2023-07-15","14:02:35",0,67.685185,103
"32460","2023-07-15","14:02:42",0,75.277778,103
"32461","2023-07-15","14:02:49",0,58.981481,99
"32462","2023-07-15","14:02:56",0,66.574074,105
"32463","2023-07-15","14:03:04",0,64.814815,110
"32464","2023-07-15","14:03:11",1,66.851852,58
"32465","2023-07-15","14:03:11",0,64.907407,111
"32466","2023-07-15","14:03:18",1,60.462963,67
"32467","2023-07-15","14:03:18",0,63.796296,107
"32468","2023-07-15","14:03:25",1,78.148148,56
"32469","2023-07-15","14:03:25",0,62.222222,101
"32470","2023-07-15","14:03:32",1,47.407407,60
"32471","2023-07-15","14:03:33",0,60.648148,106
"32472","2023-07-15","14:03:40",1,72.407407,59
"32473","2023-07-15","14:03:40",0,61.944444,104
"32474","2023-07-15","14:03:47",1,41.574074,64
"32475","2023-07-15","14:03:47",0,53.888889,105
"32476","2023-07-15","14:03:54",1,55,65
"32477","2023-07-15","14:03:54",0,55.37037,106
"32478","2023-07-15","14:04:01",0,53.981481,104
"32479","2023-07-15","14:04:08",0,52.12963,104
"32480","2023-07-15","14:04:16",1,48.148148,64
"32481","2023-07-15","14:04:16",0,46.018519,104
"32482","2023-07-15","14:04:23",0,44.444444,104
"32483","2023-07-15","14:04:30",0,43.611111,106
"32484","2023-07-15","14:04:37",1,47.592593,58
"32485","2023-07-15","14:04:37",0,41.666667,105
"32486","2023-07-15","14:04:44",1,35.092593,64
"32487","2023-07-15","14:04:45",0,41.018519,107
"32488","2023-07-15","14:04:51",0,39.62963,100
"32489","2023-07-15","14:04:59",0,40.555556,105
"32490","2023-07-15","14:05:06",0,35.833333,108
"32491","2023-07-15","14:05:13",0,35.555556,114
"32492","2023-07-15","14:05:20",1,5.555556,60
"32493","2023-07-15","14:05:20",0,33.981481,109
"32494","2023-07-15","14:05:27",1,31.111111,75
"32495","2023-07-15","14:05:27",0,32.12963,109
"32496","2023-07-15","14:05:34",0,31.111111,109
"32497","2023-07-15","14:05:34",1,31.481481,70
"32498","2023-07-15","14:05:41",1,29.444444,70
"32499","2023-07-15","14:05:41",0,29.62963,114
"32500","2023-07-15","14:05:48",1,31.111111,64
"32501","2023-07-15","14:05:48",0,29.444444,110
"32502","2023-07-15","14:05:55",0,27.962963,105
"32503","2023-07-15","14:05:55",1,26.296296,71
"32504","2023-07-15","14:06:02",1,22.5,66
"32505","2023-07-15","14:06:03",0,22.314815,108
"32506","2023-07-15","14:06:10",0,18.611111,117
"32507","2023-07-15","14:06:10",1,18.611111,68
"32508","2023-07-15","14:06:17",1,15.092593,70
"32509","2023-07-15","14:06:17",0,14.907407,120
"32510","2023-07-15","14:06:24",1,14.907407,60
"32511","2023-07-15","14:06:24",0,19.722222,116
"32512","2023-07-15","14:06:31",1,9.351852,58
"32513","2023-07-15","14:06:31",0,0.185185,92
"32514","2023-07-15","14:06:38",0,5.925926,96
"32515","2023-07-15","14:06:38",1,0.925926,71
"32516","2023-07-15","14:06:45",0,12.222222,91
