Ship Number,Trip Number,Tow Number
AVALON VOYAGER,3,8
Comments
"ZONE 12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sun Aug 11 16:47:37 2024,11-Aug-2024,194739,48 24.489900 N,063 52.939200 W,2.7,334.6,A,Primary,Headline,6.510204,D,S,46835.000000
Sun Aug 11 16:47:37 2024,11-Aug-2024,194740,48 24.490400 N,063 52.939700 W,2.7,335.0,A,Primary,Headline,6.510204,D,S,46835.000000
Sun Aug 11 16:47:39 2024,11-Aug-2024,194741,48 24.491000 N,063 52.940200 W,2.7,335.1,A,DoorSpread,DoorMaster,2.135000,D,S,449678.000000
Sun Aug 11 16:47:39 2024,11-Aug-2024,194742,48 24.491500 N,063 52.940500 W,2.6,335.3,A,DoorSpread,DoorMaster,2.135000,D,S,449678.000000
Sun Aug 11 16:47:42 2024,11-Aug-2024,194743,48 24.492100 N,063 52.940800 W,2.6,335.4,A,Primary,Headline,2.510204,D,S,72608.000000
Sun Aug 11 16:47:42 2024,11-Aug-2024,194744,48 24.492700 N,063 52.941300 W,2.7,335.4,A,Depth,Depth,9.259259,D,P,7901.000000
Sun Aug 11 16:47:42 2024,11-Aug-2024,194745,48 24.493300 N,063 52.941600 W,2.6,335.6,A,Depth,Depth,9.259259,D,P,7901.000000
Sun Aug 11 16:47:44 2024,11-Aug-2024,194746,48 24.493900 N,063 52.942000 W,2.6,335.6,A,DoorSpread,DoorMaster,1.755000,D,P,143379.000000
Sun Aug 11 16:47:44 2024,11-Aug-2024,194747,48 24.494500 N,063 52.942400 W,2.7,335.5,A,DoorSpread,DoorMaster,1.755000,D,P,143379.000000
Sun Aug 11 16:47:47 2024,11-Aug-2024,194748,48 24.495100 N,063 52.942800 W,2.7,335.6,A,Primary,Headline,3.183673,D,S,76591.000000
Sun Aug 11 16:47:47 2024,11-Aug-2024,194749,48 24.495700 N,063 52.943200 W,2.7,335.5,A,Primary,Headline,3.183673,D,S,76591.000000
Sun Aug 11 16:47:47 2024,11-Aug-2024,194750,48 24.496300 N,063 52.943500 W,2.7,335.6,A,Primary,Headline,3.183673,D,S,76591.000000
Sun Aug 11 16:47:50 2024,11-Aug-2024,194751,48 24.496900 N,063 52.943800 W,2.7,335.7,A,DoorSpread,DoorMaster,1.920000,D,S,124910.000000
Sun Aug 11 16:47:50 2024,11-Aug-2024,194752,48 24.497500 N,063 52.944100 W,2.7,335.7,A,DoorSpread,DoorMaster,1.920000,D,S,124910.000000
Sun Aug 11 16:47:50 2024,11-Aug-2024,194753,48 24.498100 N,063 52.944500 W,2.7,335.6,A,DoorSpread,DoorMaster,1.920000,D,S,124910.000000
Sun Aug 11 16:47:52 2024,11-Aug-2024,194754,48 24.498700 N,063 52.944900 W,2.7,335.4,A,Primary,Headline,26.571429,D,P,94634.000000
Sun Aug 11 16:47:52 2024,11-Aug-2024,194755,48 24.499400 N,063 52.945400 W,2.7,335.2,A,Primary,Headline,26.571429,D,P,94634.000000
Sun Aug 11 16:47:55 2024,11-Aug-2024,194756,48 24.500100 N,063 52.946000 W,2.7,335.2,A,DoorSpread,DoorMaster,2.130000,D,S,203608.000000
Sun Aug 11 16:47:55 2024,11-Aug-2024,194757,48 24.500800 N,063 52.946400 W,2.7,335.4,A,DoorSpread,DoorMaster,2.130000,D,S,203608.000000
Sun Aug 11 16:47:56 2024,11-Aug-2024,194758,48 24.501500 N,063 52.946700 W,2.7,335.4,A,Depth,Depth,20.092593,D,P,8936.000000
Sun Aug 11 16:47:57 2024,11-Aug-2024,194759,48 24.502200 N,063 52.947100 W,2.6,335.5,A,Primary,Headline,2.653061,D,S,111927.000000
Sun Aug 11 16:47:57 2024,11-Aug-2024,194800,48 24.502800 N,063 52.947300 W,2.6,335.5,A,Primary,Headline,2.653061,D,S,111927.000000
Sun Aug 11 16:47:57 2024,11-Aug-2024,194801,48 24.503500 N,063 52.947700 W,2.6,335.7,A,Primary,Headline,2.653061,D,S,111927.000000
Sun Aug 11 16:48:00 2024,11-Aug-2024,194802,48 24.504100 N,063 52.948100 W,2.6,335.7,A,DoorSpread,DoorMaster,2.120000,D,S,46432.000000
Sun Aug 11 16:48:00 2024,11-Aug-2024,194803,48 24.504800 N,063 52.948600 W,2.6,335.9,A,DoorSpread,DoorMaster,2.120000,D,S,46432.000000
Sun Aug 11 16:48:02 2024,11-Aug-2024,194804,48 24.505400 N,063 52.949000 W,2.6,336.2,A,Primary,Headline,3.204082,D,S,85656.000000
Sun Aug 11 16:48:03 2024,11-Aug-2024,194805,48 24.506200 N,063 52.949600 W,2.6,336.2,A,Depth,Depth,12.222222,D,S,83941.000000
Sun Aug 11 16:48:03 2024,11-Aug-2024,194806,48 24.506900 N,063 52.949900 W,2.6,336.3,A,Depth,Depth,12.222222,D,S,83941.000000
Sun Aug 11 16:48:05 2024,11-Aug-2024,194807,48 24.507600 N,063 52.950300 W,2.6,336.4,A,DoorSpread,DoorMaster,1.930000,D,S,45303.000000
Sun Aug 11 16:48:05 2024,11-Aug-2024,194808,48 24.508200 N,063 52.950600 W,2.5,336.5,A,DoorSpread,DoorMaster,1.930000,D,S,45303.000000
Sun Aug 11 16:48:08 2024,11-Aug-2024,194809,48 24.508900 N,063 52.951000 W,2.5,336.6,A,Primary,Headline,9.673469,D,P,33325.000000
Sun Aug 11 16:48:08 2024,11-Aug-2024,194810,48 24.509500 N,063 52.951300 W,2.5,336.7,A,Primary,Headline,9.673469,D,P,33325.000000
Sun Aug 11 16:48:08 2024,11-Aug-2024,194811,48 24.510100 N,063 52.951700 W,2.5,336.9,A,Primary,Headline,9.673469,D,P,33325.000000
Sun Aug 11 16:48:11 2024,11-Aug-2024,194812,48 24.510700 N,063 52.952100 W,2.4,337.0,A,DoorSpread,DoorMaster,1.825000,D,P,95726.000000
Sun Aug 11 16:48:11 2024,11-Aug-2024,194813,48 24.511300 N,063 52.952500 W,2.4,337.2,A,DoorSpread,DoorMaster,1.825000,D,S,129059.000000
Sun Aug 11 16:48:12 2024,11-Aug-2024,194814,48 24.511900 N,063 52.952900 W,2.4,337.5,A,Primary,Headline,2.877551,D,S,140776.000000
Sun Aug 11 16:48:12 2024,11-Aug-2024,194815,48 24.512500 N,063 52.953200 W,2.3,337.9,A,Primary,Headline,2.877551,D,S,140776.000000
Sun Aug 11 16:48:12 2024,11-Aug-2024,194816,48 24.513100 N,063 52.953500 W,2.3,338.3,A,Primary,Headline,2.877551,D,S,140776.000000
Sun Aug 11 16:48:12 2024,11-Aug-2024,194817,48 24.513700 N,063 52.953800 W,2.3,338.6,A,Primary,Headline,2.877551,D,S,140776.000000
Sun Aug 11 16:48:16 2024,11-Aug-2024,194818,48 24.514200 N,063 52.954000 W,2.2,338.8,A,DoorSpread,DoorMaster,2.030000,D,S,84444.000000
Sun Aug 11 16:48:17 2024,11-Aug-2024,194819,48 24.514800 N,063 52.954200 W,2.2,339.3,A,Primary,Headline,3.530612,D,P,58772.000000
Sun Aug 11 16:48:17 2024,11-Aug-2024,194820,48 24.515500 N,063 52.954300 W,2.2,339.8,A,Primary,Headline,3.530612,D,P,58772.000000
Sun Aug 11 16:48:17 2024,11-Aug-2024,194821,48 24.516100 N,063 52.954500 W,2.2,340.3,A,Primary,Headline,3.530612,D,P,58772.000000
Sun Aug 11 16:48:17 2024,11-Aug-2024,194822,48 24.516500 N,063 52.954600 W,2.2,340.8,A,Primary,Headline,3.530612,D,P,58772.000000
Sun Aug 11 16:48:21 2024,11-Aug-2024,194823,48 24.517000 N,063 52.954700 W,2.1,341.2,A,DoorSpread,DoorMaster,1.775000,D,P,33319.000000
Sun Aug 11 16:48:23 2024,11-Aug-2024,194824,48 24.517600 N,063 52.954800 W,2.1,341.7,A,Primary,Headline,3.265306,D,S,138051.000000
Sun Aug 11 16:48:23 2024,11-Aug-2024,194825,48 24.518100 N,063 52.954800 W,2.1,342.1,A,Primary,Headline,3.265306,D,S,138051.000000
Sun Aug 11 16:48:24 2024,11-Aug-2024,194826,48 24.518500 N,063 52.954800 W,2.0,342.5,A,Depth,Depth,18.425926,D,S,148516.000000
Sun Aug 11 16:48:24 2024,11-Aug-2024,194827,48 24.519000 N,063 52.954900 W,2.0,343.0,A,Depth,Depth,18.425926,D,S,148516.000000
Sun Aug 11 16:48:27 2024,11-Aug-2024,194828,48 24.519500 N,063 52.955000 W,2.0,343.4,A,DoorSpread,DoorMaster,2.030000,D,P,221848.000000
Sun Aug 11 16:48:28 2024,11-Aug-2024,194829,48 24.520000 N,063 52.955100 W,1.9,343.8,A,Primary,Headline,4.061224,D,P,117018.000000
Sun Aug 11 16:48:28 2024,11-Aug-2024,194830,48 24.520500 N,063 52.955100 W,1.9,344.3,A,Primary,Headline,4.061224,D,P,117018.000000
Sun Aug 11 16:48:28 2024,11-Aug-2024,194831,48 24.521000 N,063 52.955200 W,1.9,344.8,A,Primary,Headline,4.061224,D,P,117018.000000
Sun Aug 11 16:48:28 2024,11-Aug-2024,194832,48 24.521500 N,063 52.955300 W,1.9,345.2,A,Primary,Headline,4.061224,D,P,117018.000000
Sun Aug 11 16:48:31 2024,11-Aug-2024,194833,48 24.522000 N,063 52.955400 W,1.9,345.5,A,Depth,Depth,20.833333,D,S,171793.000000
Sun Aug 11 16:48:33 2024,11-Aug-2024,194834,48 24.522500 N,063 52.955500 W,1.9,345.8,A,Primary,Headline,4.040816,D,P,64562.000000
