Ship Number,Trip Number,Tow Number
AVALON VOYAGER,1,11
Comments
"ZONE BUFFER A"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Fri Jul 12 16:36:43 2024,12-Jul-2024,193646,48 12.496500 N,061 22.946100 W,1.4,312.7,A,Primary,Headline,1.163265,D,S,226858.000000
Fri Jul 12 16:36:43 2024,12-Jul-2024,193647,48 12.496700 N,061 22.946500 W,1.4,312.8,A,Primary,Headline,1.163265,D,S,226858.000000
Fri Jul 12 16:36:46 2024,12-Jul-2024,193648,48 12.496900 N,061 22.947100 W,1.4,313.0,A,Depth,Depth,125.925926,D,S,531.000000
Fri Jul 12 16:36:47 2024,12-Jul-2024,193649,48 12.497200 N,061 22.947500 W,1.4,313.1,A,DoorSpread,DoorMaster,1.610000,D,P,2498.000000
Fri Jul 12 16:36:47 2024,12-Jul-2024,193650,48 12.497500 N,061 22.948000 W,1.4,313.1,A,DoorSpread,DoorMaster,1.610000,D,P,2498.000000
Fri Jul 12 16:36:48 2024,12-Jul-2024,193651,48 12.497800 N,061 22.948300 W,1.4,313.3,A,Primary,Headline,1.163265,D,S,363925.000000
Fri Jul 12 16:36:48 2024,12-Jul-2024,193652,48 12.498000 N,061 22.948800 W,1.5,313.3,A,Primary,Headline,1.163265,D,S,363925.000000
Fri Jul 12 16:36:48 2024,12-Jul-2024,193653,48 12.498300 N,061 22.949400 W,1.5,313.1,A,Primary,Headline,1.163265,D,S,363925.000000
Fri Jul 12 16:36:48 2024,12-Jul-2024,193654,48 12.498600 N,061 22.950000 W,1.5,312.9,A,Primary,Headline,1.163265,D,S,363925.000000
Fri Jul 12 16:36:53 2024,12-Jul-2024,193655,48 12.498900 N,061 22.950500 W,1.6,312.7,A,Depth,Depth,12.314815,D,P,1604.000000
Fri Jul 12 16:36:54 2024,12-Jul-2024,193656,48 12.499300 N,061 22.951000 W,1.6,312.8,A,Primary,Headline,1.204082,D,S,389155.000000
Fri Jul 12 16:36:54 2024,12-Jul-2024,193657,48 12.499600 N,061 22.951500 W,1.6,312.9,A,Primary,Headline,1.204082,D,S,389155.000000
Fri Jul 12 16:36:54 2024,12-Jul-2024,193658,48 12.499900 N,061 22.952000 W,1.6,312.7,A,Primary,Headline,1.204082,D,S,389155.000000
Fri Jul 12 16:36:54 2024,12-Jul-2024,193659,48 12.500200 N,061 22.952600 W,1.6,312.6,A,Primary,Headline,1.204082,D,S,389155.000000
Fri Jul 12 16:36:57 2024,12-Jul-2024,193700,48 12.500400 N,061 22.953300 W,1.7,312.3,A,DoorSpread,DoorMaster,0.000000,E,S,20341.000000
Fri Jul 12 16:36:59 2024,12-Jul-2024,193701,48 12.500600 N,061 22.953900 W,1.8,312.3,A,Primary,Headline,1.142857,D,S,215827.000000
Fri Jul 12 16:36:59 2024,12-Jul-2024,193702,48 12.500900 N,061 22.954400 W,1.8,312.1,A,Primary,Headline,1.142857,D,S,215827.000000
Fri Jul 12 16:37:00 2024,12-Jul-2024,193703,48 12.501100 N,061 22.954900 W,1.8,312.0,A,Depth,Depth,22.500000,D,S,411.000000
Fri Jul 12 16:37:00 2024,12-Jul-2024,193704,48 12.501300 N,061 22.955500 W,1.9,311.6,A,Depth,Depth,22.500000,D,S,411.000000
Fri Jul 12 16:37:02 2024,12-Jul-2024,193705,48 12.501600 N,061 22.956100 W,1.8,311.1,A,DoorSpread,DoorMaster,1.620000,D,P,2012.000000
Fri Jul 12 16:37:04 2024,12-Jul-2024,193706,48 12.501800 N,061 22.956600 W,1.9,310.7,A,Primary,Headline,1.244898,D,S,357480.000000
Fri Jul 12 16:37:04 2024,12-Jul-2024,193707,48 12.502100 N,061 22.957200 W,1.8,310.3,A,Primary,Headline,1.244898,D,S,357480.000000
Fri Jul 12 16:37:04 2024,12-Jul-2024,193708,48 12.502300 N,061 22.957900 W,1.9,309.8,A,Primary,Headline,1.244898,D,S,357480.000000
Fri Jul 12 16:37:04 2024,12-Jul-2024,193709,48 12.502700 N,061 22.958600 W,1.9,309.4,A,Primary,Headline,1.244898,D,S,357480.000000
Fri Jul 12 16:37:08 2024,12-Jul-2024,193710,48 12.503000 N,061 22.959200 W,2.0,309.2,A,DoorSpread,DoorMaster,1.640000,D,P,672.000000
Fri Jul 12 16:37:09 2024,12-Jul-2024,193711,48 12.503400 N,061 22.959800 W,2.0,309.1,A,Primary,Headline,1.142857,D,S,381357.000000
Fri Jul 12 16:37:09 2024,12-Jul-2024,193712,48 12.503700 N,061 22.960400 W,2.0,309.0,A,Primary,Headline,1.142857,D,S,381357.000000
Fri Jul 12 16:37:09 2024,12-Jul-2024,193713,48 12.504100 N,061 22.961100 W,2.0,308.8,A,Primary,Headline,1.142857,D,S,381357.000000
Fri Jul 12 16:37:09 2024,12-Jul-2024,193714,48 12.504400 N,061 22.961800 W,2.0,308.4,A,Primary,Headline,1.142857,D,S,381357.000000
Fri Jul 12 16:37:13 2024,12-Jul-2024,193715,48 12.504800 N,061 22.962600 W,2.1,308.0,A,DoorSpread,DoorMaster,1.440000,D,P,1282.000000
Fri Jul 12 16:37:14 2024,12-Jul-2024,193716,48 12.505300 N,061 22.963400 W,2.1,307.6,A,Depth,Depth,18.240741,D,P,1338.000000
Fri Jul 12 16:37:14 2024,12-Jul-2024,193717,48 12.505700 N,061 22.964200 W,2.1,307.2,A,Depth,Depth,18.240741,D,P,1338.000000
Fri Jul 12 16:37:14 2024,12-Jul-2024,193718,48 12.506100 N,061 22.965000 W,2.2,306.8,A,Depth,Depth,18.240741,D,P,1338.000000
Fri Jul 12 16:37:14 2024,12-Jul-2024,193719,48 12.506600 N,061 22.965800 W,2.2,306.5,A,Depth,Depth,18.240741,D,P,1338.000000
