"","date","time","hydrophone","value","signalpower"
"63142","2024-09-05","18:44:33:00",0,1.9,100
"63143","2024-09-05","18:44:49:00",0,2.395,90
"63144","2024-09-05","18:44:49:00",1,0.62,90
"63145","2024-09-05","18:44:54:00",0,0.585,95
"63146","2024-09-05","18:45:05:00",1,2.17,96
"63147","2024-09-05","18:45:05:00",0,2.19,120
"63148","2024-09-05","18:45:10:00",1,1.87,98
"63149","2024-09-05","18:45:10:00",0,1.9,114
"63150","2024-09-05","18:45:15:00",1,1.985,98
"63151","2024-09-05","18:45:15:00",0,2.2,108
"63152","2024-09-05","18:45:21:00",1,1.885,112
"63153","2024-09-05","18:45:21:00",0,1.655,113
"63154","2024-09-05","18:45:31:00",0,1.795,115
"63155","2024-09-05","18:45:31:00",1,1.795,116
"63156","2024-09-05","18:45:36:00",0,1.59,106
"63157","2024-09-05","18:45:36:00",1,1.585,116
"63158","2024-09-05","18:45:42:00",1,1.435,110
"63159","2024-09-05","18:45:42:00",0,1.455,119
"63160","2024-09-05","18:45:47:00",1,0.825,107
"63161","2024-09-05","18:45:47:00",0,0.815,120
"63162","2024-09-05","18:45:52:00",0,0.905,115
"63163","2024-09-05","18:45:52:00",1,0.93,118
"63164","2024-09-05","18:45:57:00",1,1.305,107
"63165","2024-09-05","18:45:57:00",0,1.31,115
"63166","2024-09-05","18:46:02:00",0,1.435,116
"63167","2024-09-05","18:46:03:00",1,1.405,116
"63168","2024-09-05","18:46:08:00",0,1.645,116
"63169","2024-09-05","18:46:08:00",1,1.965,116
"63170","2024-09-05","18:46:13:00",0,2.03,117
"63171","2024-09-05","18:46:13:00",1,1.725,113
"63172","2024-09-05","18:46:18:00",1,2.08,114
"63173","2024-09-05","18:46:18:00",0,2.045,116
"63174","2024-09-05","18:46:24:00",1,2.185,106
"63175","2024-09-05","18:46:24:00",0,2.215,108
"63176","2024-09-05","18:46:35:00",1,11.555,100
"63177","2024-09-05","18:46:35:00",0,11.525,111
"63178","2024-09-05","18:46:40:00",1,2.85,99
"63179","2024-09-05","18:46:40:00",0,2.98,114
"63180","2024-09-05","18:46:45:00",1,3.765,103
"63181","2024-09-05","18:46:45:00",0,3.78,119
"63182","2024-09-05","18:46:51:00",1,4.42,101
"63183","2024-09-05","18:46:51:00",0,4.405,112
"63184","2024-09-05","18:46:56:00",1,4.765,96
"63185","2024-09-05","18:46:56:00",0,4.775,116
"63186","2024-09-05","18:47:02:00",1,4.76,109
"63187","2024-09-05","18:47:02:00",0,4.775,106
"63188","2024-09-05","18:47:07:00",1,5.38,96
"63189","2024-09-05","18:47:07:00",0,4.825,105
"63190","2024-09-05","18:47:13:00",1,4.82,100
"63191","2024-09-05","18:47:13:00",0,5.295,109
"63192","2024-09-05","18:47:18:00",1,5.84,102
"63193","2024-09-05","18:47:18:00",0,5.825,115
"63194","2024-09-05","18:47:24:00",1,6.54,102
"63195","2024-09-05","18:47:24:00",0,6.595,114
"63196","2024-09-05","18:47:30:00",1,6.3,101
"63197","2024-09-05","18:47:30:00",0,6.33,111
"63198","2024-09-05","18:47:35:00",0,6.61,110
"63199","2024-09-05","18:47:35:00",1,6.69,97
"63200","2024-09-05","18:47:41:00",1,6.755,109
"63201","2024-09-05","18:47:41:00",0,6.84,110
"63202","2024-09-05","18:47:46:00",0,7.085,108
"63203","2024-09-05","18:47:46:00",1,7.1,106
"63204","2024-09-05","18:47:52:00",1,7.33,101
"63205","2024-09-05","18:47:52:00",0,7.33,103
"63206","2024-09-05","18:47:58:00",1,7.395,105
"63207","2024-09-05","18:47:58:00",0,7.4,103
"63208","2024-09-05","18:48:03:00",1,7.52,92
"63209","2024-09-05","18:48:03:00",0,7.495,99
"63210","2024-09-05","18:48:09:00",1,7.53,101
"63211","2024-09-05","18:48:09:00",0,7.555,99
"63212","2024-09-05","18:48:15:00",1,7.365,100
"63213","2024-09-05","18:48:15:00",0,7.31,104
"63214","2024-09-05","18:48:20:00",1,7.365,98
"63215","2024-09-05","18:48:20:00",0,7.455,101
"63216","2024-09-05","18:48:26:00",1,6.835,95
"63217","2024-09-05","18:48:26:00",0,6.825,101
"63218","2024-09-05","18:48:32:00",1,6.065,98
"63219","2024-09-05","18:48:32:00",0,6.03,98
"63220","2024-09-05","18:48:37:00",1,6.425,100
"63221","2024-09-05","18:48:37:00",0,6.445,100
"63222","2024-09-05","18:48:43:00",0,6.435,107
"63223","2024-09-05","18:48:43:00",1,6.44,99
"63224","2024-09-05","18:48:49:00",1,6.28,101
"63225","2024-09-05","18:48:49:00",0,6.28,107
"63226","2024-09-05","18:48:54:00",0,5.83,109
"63227","2024-09-05","18:48:54:00",1,5.845,106
"63228","2024-09-05","18:49:00:00",1,5.84,103
"63229","2024-09-05","18:49:00:00",0,5.825,105
"63230","2024-09-05","18:49:05:00",1,5.67,105
"63231","2024-09-05","18:49:05:00",0,5.675,102
"63232","2024-09-05","18:49:11:00",0,5.505,100
"63233","2024-09-05","18:49:11:00",1,5.49,96
"63234","2024-09-05","18:49:16:00",1,5.29,108
"63235","2024-09-05","18:49:16:00",0,5.3,101
"63236","2024-09-05","18:49:22:00",1,5.54,103
"63237","2024-09-05","18:49:22:00",0,5.54,109
"63238","2024-09-05","18:49:27:00",0,5.47,109
"63239","2024-09-05","18:49:27:00",1,5.46,102
"63240","2024-09-05","18:49:33:00",0,5.455,106
"63241","2024-09-05","18:49:33:00",1,5.46,106
"63242","2024-09-05","18:49:38:00",0,5.465,98
"63243","2024-09-05","18:49:39:00",1,5.455,100
"63244","2024-09-05","18:49:44:00",1,5.555,102
"63245","2024-09-05","18:49:44:00",0,5.525,110
"63246","2024-09-05","18:49:50:00",1,5.95,95
"63247","2024-09-05","18:49:50:00",0,5.905,102
"63248","2024-09-05","18:49:55:00",0,6.615,109
"63249","2024-09-05","18:49:55:00",1,6.55,102
"63250","2024-09-05","18:50:01:00",0,6.285,105
"63251","2024-09-05","18:50:01:00",1,6.285,96
"63252","2024-09-05","18:50:06:00",1,6.66,104
"63253","2024-09-05","18:50:06:00",0,6.68,101
"63254","2024-09-05","18:50:12:00",0,6.71,102
"63255","2024-09-05","18:50:12:00",1,6.755,97
"63256","2024-09-05","18:50:17:00",1,6.525,94
"63257","2024-09-05","18:50:18:00",0,6.515,102
"63258","2024-09-05","18:50:23:00",1,6.865,98
"63259","2024-09-05","18:50:23:00",0,6.88,101
"63260","2024-09-05","18:50:29:00",1,7.705,102
"63261","2024-09-05","18:50:29:00",0,7.715,106
"63262","2024-09-05","18:50:40:00",1,8.46,95
"63263","2024-09-05","18:50:40:00",0,8.535,98
"63264","2024-09-05","18:50:45:00",0,7.51,104
"63265","2024-09-05","18:50:45:00",1,7.475,99
"63266","2024-09-05","18:50:51:00",1,7.2,96
"63267","2024-09-05","18:50:51:00",0,7.18,96
"63268","2024-09-05","18:50:57:00",0,7.6,95
"63269","2024-09-05","18:50:57:00",1,7.315,94
"63270","2024-09-05","18:51:02:00",0,6.84,100
"63271","2024-09-05","18:51:02:00",1,7.16,94
"63272","2024-09-05","18:51:08:00",0,6.825,102
"63273","2024-09-05","18:51:08:00",1,6.81,97
"63274","2024-09-05","18:51:13:00",0,6.565,105
"63275","2024-09-05","18:51:13:00",1,6.615,97
"63276","2024-09-05","18:51:19:00",1,8.595,95
"63277","2024-09-05","18:51:19:00",0,6.665,105
"63278","2024-09-05","18:51:25:00",0,6.29,111
"63279","2024-09-05","18:51:25:00",1,4.315,106
"63280","2024-09-05","18:51:30:00",0,6.835,101
"63281","2024-09-05","18:51:30:00",1,6.825,99
"63282","2024-09-05","18:51:36:00",1,7.13,103
"63283","2024-09-05","18:51:36:00",0,6.96,109
