Ship Number,Trip Number,Tow Number
AVALON,2,8
Comments
"ZONE12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Mon Aug 04 13:37:44 2025,04-Aug-2025,163750,47 25.825700 N,064 21.149300 W,2.9,69.5,A,DoorSpread,DoorMaster,3.170000,D,P,61926.000000
Mon Aug 04 13:37:44 2025,04-Aug-2025,163751,47 25.825800 N,064 21.148200 W,2.9,69.5,A,DoorSpread,DoorMaster,3.170000,D,P,61926.000000
Mon Aug 04 13:37:44 2025,04-Aug-2025,163752,47 25.826000 N,064 21.147100 W,2.9,69.7,A,DoorSpread,DoorMaster,3.170000,D,P,61926.000000
Mon Aug 04 13:37:48 2025,04-Aug-2025,163753,47 25.826200 N,064 21.145900 W,2.9,69.8,A,Primary,Headline,1.734694,D,P,640572.000000
Mon Aug 04 13:37:49 2025,04-Aug-2025,163754,47 25.826300 N,064 21.144800 W,2.9,69.8,A,Depth,Depth,5.555556,D,S,303979.000000
Mon Aug 04 13:37:49 2025,04-Aug-2025,163755,47 25.826500 N,064 21.143700 W,2.8,69.8,A,DoorSpread,DoorMaster,0.480000,D,P,507750.000000
Mon Aug 04 13:37:49 2025,04-Aug-2025,163756,47 25.826600 N,064 21.142700 W,2.8,69.9,A,DoorSpread,DoorMaster,0.480000,D,P,507750.000000
Mon Aug 04 13:37:49 2025,04-Aug-2025,163757,47 25.826900 N,064 21.141700 W,2.8,70.0,A,DoorSpread,DoorMaster,0.480000,D,P,507750.000000
Mon Aug 04 13:37:53 2025,04-Aug-2025,163758,47 25.827100 N,064 21.140700 W,2.8,70.0,A,Primary,Headline,1.714286,D,P,599880.000000
Mon Aug 04 13:37:53 2025,04-Aug-2025,163759,47 25.827300 N,064 21.139700 W,2.8,70.1,A,Primary,Headline,1.714286,D,P,599880.000000
Mon Aug 04 13:37:55 2025,04-Aug-2025,163800,47 25.827400 N,064 21.138800 W,2.8,70.2,A,DoorSpread,DoorMaster,1.905000,D,S,947431.000000
Mon Aug 04 13:37:56 2025,04-Aug-2025,163801,47 25.827600 N,064 21.137700 W,2.8,70.3,A,Depth,Depth,6.944444,D,P,102950.000000
Mon Aug 04 13:37:56 2025,04-Aug-2025,163802,47 25.827800 N,064 21.136700 W,2.8,70.3,A,Depth,Depth,6.944444,D,P,102950.000000
Mon Aug 04 13:37:58 2025,04-Aug-2025,163803,47 25.828000 N,064 21.135700 W,2.7,70.4,A,Primary,Headline,2.204082,D,P,353854.000000
Mon Aug 04 13:37:58 2025,04-Aug-2025,163804,47 25.828300 N,064 21.134700 W,2.7,70.5,A,Primary,Headline,2.204082,D,P,353854.000000
Mon Aug 04 13:38:00 2025,04-Aug-2025,163805,47 25.828400 N,064 21.133500 W,2.8,70.7,A,DoorSpread,DoorMaster,1.835000,D,S,923720.000000
Mon Aug 04 13:38:00 2025,04-Aug-2025,163806,47 25.828700 N,064 21.132500 W,2.8,70.7,A,DoorSpread,DoorMaster,1.835000,D,S,923720.000000
Mon Aug 04 13:38:00 2025,04-Aug-2025,163807,47 25.828900 N,064 21.131600 W,2.7,70.7,A,DoorSpread,DoorMaster,1.835000,D,S,923720.000000
Mon Aug 04 13:38:03 2025,04-Aug-2025,163808,47 25.829100 N,064 21.130700 W,2.7,70.7,A,Primary,Headline,2.346939,D,P,171926.000000
Mon Aug 04 13:38:03 2025,04-Aug-2025,163809,47 25.829300 N,064 21.129800 W,2.7,70.9,A,Primary,Headline,2.346939,D,P,171926.000000
Mon Aug 04 13:38:03 2025,04-Aug-2025,163810,47 25.829500 N,064 21.128800 W,2.7,70.9,A,Primary,Headline,2.346939,D,P,171926.000000
Mon Aug 04 13:38:03 2025,04-Aug-2025,163811,47 25.829700 N,064 21.127800 W,2.7,70.9,A,Primary,Headline,2.346939,D,P,171926.000000
Mon Aug 04 13:38:03 2025,04-Aug-2025,163812,47 25.829900 N,064 21.126900 W,2.7,71.0,A,Primary,Headline,2.346939,D,P,171926.000000
Mon Aug 04 13:38:08 2025,04-Aug-2025,163813,47 25.830100 N,064 21.125900 W,2.7,71.1,A,Primary,Headline,1.408163,D,S,394295.000000
Mon Aug 04 13:38:08 2025,04-Aug-2025,163814,47 25.830400 N,064 21.124800 W,2.7,71.2,A,Primary,Headline,1.408163,D,S,394295.000000
Mon Aug 04 13:38:08 2025,04-Aug-2025,163815,47 25.830700 N,064 21.123800 W,2.6,71.1,A,Primary,Headline,1.408163,D,S,394295.000000
Mon Aug 04 13:38:08 2025,04-Aug-2025,163816,47 25.831000 N,064 21.122800 W,2.6,71.1,A,Primary,Headline,1.408163,D,S,394295.000000
Mon Aug 04 13:38:08 2025,04-Aug-2025,163817,47 25.831300 N,064 21.121900 W,2.6,71.1,A,Primary,Headline,1.408163,D,S,394295.000000
Mon Aug 04 13:38:13 2025,04-Aug-2025,163818,47 25.831600 N,064 21.120900 W,2.6,71.2,A,Primary,Headline,1.836735,D,P,227264.000000
Mon Aug 04 13:38:13 2025,04-Aug-2025,163819,47 25.832000 N,064 21.119800 W,2.7,71.0,A,Primary,Headline,1.836735,D,P,227264.000000
Mon Aug 04 13:38:13 2025,04-Aug-2025,163820,47 25.832400 N,064 21.118600 W,2.8,70.8,A,Primary,Headline,1.836735,D,P,227264.000000
Mon Aug 04 13:38:15 2025,04-Aug-2025,163821,47 25.832900 N,064 21.117300 W,2.9,70.6,A,DoorSpread,DoorMaster,2.210000,D,S,355938.000000
Mon Aug 04 13:38:17 2025,04-Aug-2025,163822,47 25.833300 N,064 21.115900 W,3.0,70.2,A,Depth,Depth,10.925926,D,S,294766.000000
Mon Aug 04 13:38:18 2025,04-Aug-2025,163823,47 25.833800 N,064 21.114400 W,3.2,69.7,A,Primary,Headline,1.938776,D,P,186375.000000
Mon Aug 04 13:38:18 2025,04-Aug-2025,163824,47 25.834300 N,064 21.112900 W,3.3,69.0,A,Primary,Headline,1.938776,D,P,186375.000000
Mon Aug 04 13:38:18 2025,04-Aug-2025,163825,47 25.834800 N,064 21.111400 W,3.4,68.5,A,Primary,Headline,1.938776,D,P,186375.000000
Mon Aug 04 13:38:21 2025,04-Aug-2025,163826,47 25.835300 N,064 21.109800 W,3.6,68.1,A,DoorSpread,DoorMaster,2.265000,D,S,544165.000000
Mon Aug 04 13:38:21 2025,04-Aug-2025,163827,47 25.835800 N,064 21.108300 W,3.7,67.3,A,DoorSpread,DoorMaster,2.265000,D,S,544165.000000
Mon Aug 04 13:38:23 2025,04-Aug-2025,163828,47 25.836400 N,064 21.106800 W,3.9,66.1,A,Primary,Headline,2.510204,D,S,238797.000000
Mon Aug 04 13:38:24 2025,04-Aug-2025,163829,47 25.837000 N,064 21.105100 W,4.0,65.5,A,Depth,Depth,11.759259,D,P,340766.000000
Mon Aug 04 13:38:24 2025,04-Aug-2025,163830,47 25.837500 N,064 21.103300 W,4.0,65.5,A,Depth,Depth,11.759259,D,P,340766.000000
Mon Aug 04 13:38:26 2025,04-Aug-2025,163831,47 25.838000 N,064 21.101600 W,4.1,65.4,A,DoorSpread,DoorMaster,2.600000,D,S,358036.000000
Mon Aug 04 13:38:26 2025,04-Aug-2025,163832,47 25.838600 N,064 21.099900 W,4.2,65.0,A,DoorSpread,DoorMaster,2.600000,D,S,358036.000000
Mon Aug 04 13:38:28 2025,04-Aug-2025,163833,47 25.839200 N,064 21.098200 W,4.3,64.6,A,Primary,Headline,2.306122,D,S,135480.000000
Mon Aug 04 13:38:28 2025,04-Aug-2025,163834,47 25.839800 N,064 21.096600 W,4.3,64.5,A,Primary,Headline,2.306122,D,S,135480.000000
Mon Aug 04 13:38:28 2025,04-Aug-2025,163835,47 25.840300 N,064 21.094900 W,4.4,64.6,A,Primary,Headline,2.306122,D,S,135480.000000
Mon Aug 04 13:38:31 2025,04-Aug-2025,163836,47 25.840800 N,064 21.093000 W,4.5,64.7,A,Depth,Depth,12.500000,D,S,92354.000000
Mon Aug 04 13:38:32 2025,04-Aug-2025,163837,47 25.841300 N,064 21.091200 W,4.6,64.7,A,DoorSpread,DoorMaster,13.735000,D,S,150307.000000
Mon Aug 04 13:38:33 2025,04-Aug-2025,163838,47 25.841900 N,064 21.089400 W,4.6,64.6,A,Primary,Headline,3.183673,D,S,103243.000000
Mon Aug 04 13:38:33 2025,04-Aug-2025,163839,47 25.842400 N,064 21.087700 W,4.6,64.7,A,Primary,Headline,3.183673,D,S,103243.000000
Mon Aug 04 13:38:33 2025,04-Aug-2025,163840,47 25.842900 N,064 21.085900 W,4.7,64.8,A,Primary,Headline,3.183673,D,S,103243.000000
Mon Aug 04 13:38:33 2025,04-Aug-2025,163841,47 25.843500 N,064 21.084000 W,4.7,64.8,A,Primary,Headline,3.183673,D,S,103243.000000
Mon Aug 04 13:38:33 2025,04-Aug-2025,163842,47 25.844000 N,064 21.082100 W,4.8,64.8,A,Primary,Headline,3.183673,D,S,103243.000000
Mon Aug 04 13:38:33 2025,04-Aug-2025,163843,47 25.844500 N,064 21.080200 W,4.8,64.8,A,Primary,Headline,3.183673,D,S,103243.000000
Mon Aug 04 13:38:33 2025,04-Aug-2025,163844,47 25.845000 N,064 21.078400 W,4.9,64.7,A,Primary,Headline,3.183673,D,S,103243.000000
Mon Aug 04 13:38:33 2025,04-Aug-2025,163845,47 25.845700 N,064 21.076600 W,4.9,64.7,A,Primary,Headline,3.183673,D,S,103243.000000
Mon Aug 04 13:38:33 2025,04-Aug-2025,163846,47 25.846300 N,064 21.074700 W,4.9,64.8,A,Primary,Headline,3.183673,D,S,103243.000000
