Ship Number,Trip Number,Tow Number
Avalon Voyager,3,9
Comments
"Zone 12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,02-Sep-2025,174600,47 56.996600 N,062 31.112500 W,3.1,76.5,A,,,,,,
,02-Sep-2025,174601,47 56.996700 N,062 31.111200 W,3.1,76.5,A,,,,,,
Tue Sep 02 14:45:55 2025,02-Sep-2025,174602,47 56.996800 N,062 31.109900 W,3.2,76.3,A,DoorSpread,DoorMaster,1.465000,D,S,234621.000000
Tue Sep 02 14:45:55 2025,02-Sep-2025,174603,47 56.997000 N,062 31.108600 W,3.2,76.1,A,DoorSpread,DoorMaster,1.465000,D,S,234621.000000
Tue Sep 02 14:45:55 2025,02-Sep-2025,174604,47 56.997100 N,062 31.107500 W,3.1,76.1,A,DoorSpread,DoorMaster,1.465000,D,S,234621.000000
Tue Sep 02 14:45:55 2025,02-Sep-2025,174605,47 56.997200 N,062 31.106300 W,3.1,76.5,A,DoorSpread,DoorMaster,1.465000,D,S,234621.000000
Tue Sep 02 14:45:55 2025,02-Sep-2025,174606,47 56.997300 N,062 31.105100 W,3.2,76.4,A,DoorSpread,DoorMaster,1.465000,D,S,234621.000000
Tue Sep 02 14:46:00 2025,02-Sep-2025,174607,47 56.997500 N,062 31.103800 W,3.2,76.1,A,DoorSpread,DoorMaster,0.000000,E,P,40916.000000
Tue Sep 02 14:46:00 2025,02-Sep-2025,174608,47 56.997600 N,062 31.102600 W,3.1,76.2,A,DoorSpread,DoorMaster,0.000000,E,P,40916.000000
Tue Sep 02 14:46:00 2025,02-Sep-2025,174609,47 56.997800 N,062 31.101400 W,3.1,76.6,A,DoorSpread,DoorMaster,0.000000,E,P,40916.000000
Tue Sep 02 14:46:03 2025,02-Sep-2025,174610,47 56.997900 N,062 31.100000 W,3.2,76.6,A,Depth,Depth,0.648148,D,S,35963.000000
Tue Sep 02 14:46:03 2025,02-Sep-2025,174611,47 56.998100 N,062 31.098700 W,3.2,76.5,A,Depth,Depth,0.648148,D,S,35963.000000
Tue Sep 02 14:46:05 2025,02-Sep-2025,174612,47 56.998400 N,062 31.097500 W,3.2,76.5,A,DoorSpread,DoorMaster,0.000000,E,S,126520.000000
Tue Sep 02 14:46:05 2025,02-Sep-2025,174613,47 56.998500 N,062 31.096300 W,3.2,76.8,A,DoorSpread,DoorMaster,0.000000,E,S,126520.000000
Tue Sep 02 14:46:05 2025,02-Sep-2025,174614,47 56.998600 N,062 31.095000 W,3.3,76.7,A,DoorSpread,DoorMaster,0.000000,E,S,126520.000000
Tue Sep 02 14:46:05 2025,02-Sep-2025,174615,47 56.998800 N,062 31.093700 W,3.3,76.3,A,DoorSpread,DoorMaster,0.000000,E,S,126520.000000
Tue Sep 02 14:46:05 2025,02-Sep-2025,174616,47 56.999000 N,062 31.092300 W,3.3,76.4,A,DoorSpread,DoorMaster,0.000000,E,S,126520.000000
Tue Sep 02 14:46:11 2025,02-Sep-2025,174617,47 56.999300 N,062 31.090900 W,3.4,76.6,A,DoorSpread,DoorMaster,2.035000,D,P,48815.000000
Tue Sep 02 14:46:11 2025,02-Sep-2025,174618,47 56.999500 N,062 31.089300 W,3.4,76.5,A,DoorSpread,DoorMaster,2.035000,D,P,48815.000000
Tue Sep 02 14:46:11 2025,02-Sep-2025,174619,47 56.999800 N,062 31.087800 W,3.4,76.5,A,DoorSpread,DoorMaster,2.035000,D,P,48815.000000
Tue Sep 02 14:46:11 2025,02-Sep-2025,174620,47 57.000100 N,062 31.086400 W,3.4,76.4,A,DoorSpread,DoorMaster,2.035000,D,P,48815.000000
