Ship Number,Trip Number,Tow Number
AVALON VOYAGER,1,1
Comments
"ZONE12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,15-Jul-2025,181312,47 53.663500 N,061 45.074600 W,2.7,66.2,A,,,,,,
,15-Jul-2025,181313,47 53.663800 N,061 45.073700 W,2.7,66.2,A,,,,,,
,15-Jul-2025,181314,47 53.664100 N,061 45.072800 W,2.7,66.1,A,,,,,,
Tue Jul 15 15:13:16 2025,15-Jul-2025,181315,47 53.664400 N,061 45.071900 W,2.6,66.1,A,DoorSpread,DoorMaster,0.000000,E,P,58997.000000
Tue Jul 15 15:13:16 2025,15-Jul-2025,181316,47 53.664700 N,061 45.071300 W,2.6,66.2,A,DoorSpread,DoorMaster,0.000000,E,P,58997.000000
Tue Jul 15 15:13:16 2025,15-Jul-2025,181317,47 53.665100 N,061 45.070500 W,2.5,66.3,A,DoorSpread,DoorMaster,0.000000,E,P,58997.000000
Tue Jul 15 15:13:16 2025,15-Jul-2025,181318,47 53.665500 N,061 45.069500 W,2.7,66.2,A,DoorSpread,DoorMaster,0.000000,E,P,58997.000000
Tue Jul 15 15:13:16 2025,15-Jul-2025,181319,47 53.665900 N,061 45.068300 W,2.7,65.9,A,DoorSpread,DoorMaster,0.000000,E,P,58997.000000
Tue Jul 15 15:13:21 2025,15-Jul-2025,181320,47 53.666200 N,061 45.067200 W,2.7,65.9,A,DoorSpread,DoorMaster,1.460000,D,P,64683.000000
Tue Jul 15 15:13:21 2025,15-Jul-2025,181321,47 53.666300 N,061 45.066400 W,2.6,66.1,A,DoorSpread,DoorMaster,1.460000,D,P,64683.000000
Tue Jul 15 15:13:21 2025,15-Jul-2025,181322,47 53.666400 N,061 45.065600 W,2.5,66.5,A,DoorSpread,DoorMaster,1.460000,D,P,64683.000000
Tue Jul 15 15:13:21 2025,15-Jul-2025,181323,47 53.666700 N,061 45.064800 W,2.5,66.5,A,DoorSpread,DoorMaster,1.460000,D,P,64683.000000
Tue Jul 15 15:13:21 2025,15-Jul-2025,181324,47 53.666900 N,061 45.063800 W,2.5,66.4,A,DoorSpread,DoorMaster,1.460000,D,P,64683.000000
Tue Jul 15 15:13:21 2025,15-Jul-2025,181325,47 53.667100 N,061 45.062700 W,2.6,66.9,A,DoorSpread,DoorMaster,1.460000,D,P,64683.000000
Tue Jul 15 15:13:27 2025,15-Jul-2025,181326,47 53.667300 N,061 45.061500 W,2.6,67.6,A,DoorSpread,DoorMaster,1.560000,D,P,42974.000000
Tue Jul 15 15:13:27 2025,15-Jul-2025,181327,47 53.667500 N,061 45.060500 W,2.7,67.6,A,DoorSpread,DoorMaster,1.560000,D,P,42974.000000
Tue Jul 15 15:13:27 2025,15-Jul-2025,181328,47 53.667900 N,061 45.059800 W,2.6,67.1,A,DoorSpread,DoorMaster,1.560000,D,P,42974.000000
Tue Jul 15 15:13:27 2025,15-Jul-2025,181329,47 53.668200 N,061 45.059200 W,2.4,66.7,A,DoorSpread,DoorMaster,1.560000,D,P,42974.000000
Tue Jul 15 15:13:27 2025,15-Jul-2025,181330,47 53.668400 N,061 45.058400 W,2.5,66.2,A,DoorSpread,DoorMaster,1.560000,D,P,42974.000000
Tue Jul 15 15:13:32 2025,15-Jul-2025,181331,47 53.668800 N,061 45.057500 W,2.5,65.9,A,DoorSpread,DoorMaster,1.830000,D,P,58083.000000
Tue Jul 15 15:13:32 2025,15-Jul-2025,181332,47 53.669100 N,061 45.056600 W,2.5,65.7,A,DoorSpread,DoorMaster,1.830000,D,P,58083.000000
Tue Jul 15 15:13:32 2025,15-Jul-2025,181333,47 53.669400 N,061 45.055900 W,2.4,65.6,A,DoorSpread,DoorMaster,1.830000,D,P,58083.000000
Tue Jul 15 15:13:32 2025,15-Jul-2025,181334,47 53.669700 N,061 45.055000 W,2.4,65.6,A,DoorSpread,DoorMaster,1.830000,D,P,58083.000000
Tue Jul 15 15:13:36 2025,15-Jul-2025,181335,47 53.669900 N,061 45.054100 W,2.4,65.6,A,Secondary,Headline,59.367347,D,P,21497.000000
Tue Jul 15 15:13:37 2025,15-Jul-2025,181336,47 53.670300 N,061 45.053200 W,2.3,65.6,A,DoorSpread,DoorMaster,1.405000,D,S,54645.000000
Tue Jul 15 15:13:38 2025,15-Jul-2025,181337,47 53.670600 N,061 45.052400 W,2.3,65.4,A,Depth,Depth,3.703704,D,P,29041.000000
Tue Jul 15 15:13:38 2025,15-Jul-2025,181338,47 53.670900 N,061 45.051500 W,2.3,65.5,A,Depth,Depth,3.703704,D,P,29041.000000
Tue Jul 15 15:13:38 2025,15-Jul-2025,181339,47 53.671100 N,061 45.050500 W,2.4,65.9,A,Depth,Depth,3.703704,D,P,29041.000000
Tue Jul 15 15:13:41 2025,15-Jul-2025,181340,47 53.671300 N,061 45.049600 W,2.3,66.2,A,Primary,Headline,37.510204,D,S,24924.000000
Tue Jul 15 15:13:43 2025,15-Jul-2025,181341,47 53.671600 N,061 45.048800 W,2.3,66.2,A,DoorSpread,DoorMaster,1.430000,D,S,89208.000000
Tue Jul 15 15:13:43 2025,15-Jul-2025,181342,47 53.671900 N,061 45.048000 W,2.3,66.0,A,DoorSpread,DoorMaster,1.430000,D,S,89208.000000
Tue Jul 15 15:13:43 2025,15-Jul-2025,181343,47 53.672200 N,061 45.047100 W,2.3,66.1,A,DoorSpread,DoorMaster,1.430000,D,S,89208.000000
Tue Jul 15 15:13:45 2025,15-Jul-2025,181344,47 53.672400 N,061 45.046200 W,2.3,66.2,A,Depth,Depth,27.500000,D,P,21850.000000
Tue Jul 15 15:13:46 2025,15-Jul-2025,181345,47 53.672600 N,061 45.045500 W,2.3,66.2,A,Primary,Headline,12.734694,D,S,16196.000000
Tue Jul 15 15:13:47 2025,15-Jul-2025,181346,47 53.672700 N,061 45.044500 W,2.3,66.3,A,Primary,Headline,44.387755,D,P,34757.000000
Tue Jul 15 15:13:48 2025,15-Jul-2025,181347,47 53.672900 N,061 45.043600 W,2.3,66.2,A,DoorSpread,DoorMaster,1.560000,D,S,65007.000000
Tue Jul 15 15:13:48 2025,15-Jul-2025,181348,47 53.673100 N,061 45.042600 W,2.3,66.0,A,DoorSpread,DoorMaster,1.560000,D,S,65007.000000
Tue Jul 15 15:13:48 2025,15-Jul-2025,181349,47 53.673400 N,061 45.041800 W,2.3,65.7,A,DoorSpread,DoorMaster,1.560000,D,S,65007.000000
Tue Jul 15 15:13:48 2025,15-Jul-2025,181350,47 53.673800 N,061 45.040900 W,2.3,65.4,A,DoorSpread,DoorMaster,1.560000,D,S,65007.000000
Tue Jul 15 15:13:52 2025,15-Jul-2025,181351,47 53.674000 N,061 45.040000 W,2.3,65.3,A,Primary,Headline,25.000000,D,S,46175.000000
Tue Jul 15 15:13:53 2025,15-Jul-2025,181352,47 53.674200 N,061 45.039000 W,2.3,65.5,A,DoorSpread,DoorMaster,1.375000,D,S,145516.000000
Tue Jul 15 15:13:53 2025,15-Jul-2025,181353,47 53.674400 N,061 45.038200 W,2.3,65.6,A,DoorSpread,DoorMaster,1.375000,D,S,145516.000000
Tue Jul 15 15:13:53 2025,15-Jul-2025,181354,47 53.674600 N,061 45.037400 W,2.3,65.4,A,DoorSpread,DoorMaster,1.375000,D,S,145516.000000
Tue Jul 15 15:13:53 2025,15-Jul-2025,181355,47 53.674900 N,061 45.036500 W,2.3,65.0,A,DoorSpread,DoorMaster,1.375000,D,S,145516.000000
Tue Jul 15 15:13:58 2025,15-Jul-2025,181356,47 53.675200 N,061 45.035600 W,2.4,64.9,A,Primary,Headline,25.163265,D,S,69603.000000
Tue Jul 15 15:13:58 2025,15-Jul-2025,181357,47 53.675500 N,061 45.034600 W,2.4,64.9,A,DoorSpread,DoorMaster,1.360000,D,P,633245.000000
Tue Jul 15 15:13:59 2025,15-Jul-2025,181358,47 53.675800 N,061 45.033700 W,2.4,65.0,A,Depth,Depth,16.296296,D,S,41575.000000
Tue Jul 15 15:13:59 2025,15-Jul-2025,181359,47 53.676100 N,061 45.032800 W,2.4,64.8,A,Depth,Depth,16.296296,D,S,41575.000000
Tue Jul 15 15:14:01 2025,15-Jul-2025,181400,47 53.676500 N,061 45.031900 W,2.5,64.3,A,Depth,Depth,18.148148,D,P,30787.000000
Tue Jul 15 15:14:01 2025,15-Jul-2025,181401,47 53.676900 N,061 45.031000 W,2.5,64.1,A,Depth,Depth,18.148148,D,P,30787.000000
Tue Jul 15 15:14:04 2025,15-Jul-2025,181402,47 53.677300 N,061 45.030000 W,2.5,64.1,A,DoorSpread,DoorMaster,1.405000,D,S,680846.000000
Tue Jul 15 15:14:04 2025,15-Jul-2025,181403,47 53.677600 N,061 45.028900 W,2.5,64.5,A,DoorSpread,DoorMaster,1.405000,D,S,680846.000000
Tue Jul 15 15:14:04 2025,15-Jul-2025,181404,47 53.678000 N,061 45.027900 W,2.6,64.8,A,DoorSpread,DoorMaster,1.405000,D,S,680846.000000
Tue Jul 15 15:14:06 2025,15-Jul-2025,181405,47 53.678400 N,061 45.027100 W,2.5,64.5,A,Depth,Depth,5.370370,D,S,26009.000000
Tue Jul 15 15:14:06 2025,15-Jul-2025,181406,47 53.678800 N,061 45.026400 W,2.5,64.2,A,Depth,Depth,5.370370,D,S,26009.000000
Tue Jul 15 15:14:09 2025,15-Jul-2025,181407,47 53.679100 N,061 45.025700 W,2.5,64.1,A,Depth,Depth,0.555556,D,P,62918.000000
Tue Jul 15 15:14:09 2025,15-Jul-2025,181408,47 53.679400 N,061 45.024800 W,2.5,64.3,A,DoorSpread,DoorMaster,1.525000,D,S,519472.000000
Tue Jul 15 15:14:09 2025,15-Jul-2025,181409,47 53.679600 N,061 45.024000 W,2.4,64.5,A,DoorSpread,DoorMaster,1.525000,D,S,519472.000000
Tue Jul 15 15:14:09 2025,15-Jul-2025,181410,47 53.679900 N,061 45.023200 W,2.4,64.7,A,DoorSpread,DoorMaster,1.525000,D,S,519472.000000
Tue Jul 15 15:14:09 2025,15-Jul-2025,181411,47 53.680300 N,061 45.022300 W,2.4,64.7,A,DoorSpread,DoorMaster,1.525000,D,S,519472.000000
Tue Jul 15 15:14:13 2025,15-Jul-2025,181412,47 53.680500 N,061 45.021400 W,2.4,64.9,A,Primary,Headline,5.326531,D,S,99330.000000
Tue Jul 15 15:14:14 2025,15-Jul-2025,181413,47 53.680800 N,061 45.020600 W,2.4,65.1,A,DoorSpread,DoorMaster,1.575000,D,S,645847.000000
Tue Jul 15 15:14:15 2025,15-Jul-2025,181414,47 53.681100 N,061 45.019700 W,2.3,65.2,A,Depth,Depth,11.296296,D,P,108727.000000
Tue Jul 15 15:14:15 2025,15-Jul-2025,181415,47 53.681400 N,061 45.018800 W,2.4,65.2,A,Depth,Depth,11.296296,D,P,108727.000000
Tue Jul 15 15:14:15 2025,15-Jul-2025,181416,47 53.681800 N,061 45.017900 W,2.4,64.9,A,Depth,Depth,11.296296,D,P,108727.000000
