"","date","time","hydrophone","value","signalpower"
"45221","2025-09-03","06:13:17:00",0,24.722222,73
"45222","2025-09-03","06:13:24:00",1,8.703704,76
"45223","2025-09-03","06:13:31:00",1,0.648148,83
"45224","2025-09-03","06:13:38:00",0,9.166667,95
"45225","2025-09-03","06:13:45:00",0,7.407407,90
"45226","2025-09-03","06:13:52:00",0,10,92
"45227","2025-09-03","06:13:59:00",0,11.203704,93
"45228","2025-09-03","06:14:06:00",0,11.574074,96
"45229","2025-09-03","06:14:13:00",0,13.333333,92
"45230","2025-09-03","06:14:49:00",0,21.759259,90
"45231","2025-09-03","06:14:56:00",0,9.722222,92
"45232","2025-09-03","06:15:03:00",0,17.12963,91
"45233","2025-09-03","06:15:10:00",1,16.851852,89
"45234","2025-09-03","06:15:10:00",0,27.222222,90
"45235","2025-09-03","06:15:17:00",1,14.351852,90
"45236","2025-09-03","06:15:17:00",0,12.87037,90
"45237","2025-09-03","06:15:24:00",0,20.462963,87
"45238","2025-09-03","06:15:24:00",1,20.740741,95
"45239","2025-09-03","06:15:31:00",1,32.87037,85
"45240","2025-09-03","06:15:31:00",0,29.351852,85
"45241","2025-09-03","06:15:38:00",1,15.555556,94
"45242","2025-09-03","06:15:38:00",0,25,91
"45243","2025-09-03","06:15:45:00",1,34.907407,87
"45244","2025-09-03","06:15:45:00",0,30.648148,85
"45245","2025-09-03","06:15:52:00",1,20.37037,92
"45246","2025-09-03","06:15:52:00",0,22.87037,89
"45247","2025-09-03","06:16:00:00",1,31.481481,91
"45248","2025-09-03","06:16:00:00",0,29.814815,92
"45249","2025-09-03","06:16:07:00",0,31.388889,97
"45250","2025-09-03","06:16:14:00",0,34.166667,97
"45251","2025-09-03","06:16:21:00",1,26.388889,94
"45252","2025-09-03","06:16:21:00",0,39.722222,90
"45253","2025-09-03","06:16:28:00",0,46.388889,90
"45254","2025-09-03","06:16:35:00",0,28.148148,89
"45255","2025-09-03","06:16:42:00",1,38.148148,97
"45256","2025-09-03","06:16:42:00",0,34.351852,96
"45257","2025-09-03","06:16:49:00",0,43.796296,94
"45258","2025-09-03","06:16:49:00",1,41.296296,98
"45259","2025-09-03","06:16:57:00",0,41.481481,96
"45260","2025-09-03","06:16:57:00",1,43.148148,99
"45261","2025-09-03","06:17:04:00",1,47.87037,95
"45262","2025-09-03","06:17:04:00",0,46.018519,95
"45263","2025-09-03","06:17:11:00",1,44.537037,96
"45264","2025-09-03","06:17:11:00",0,44.537037,98
"45265","2025-09-03","06:17:18:00",1,70,88
"45266","2025-09-03","06:17:18:00",0,59.537037,96
"45267","2025-09-03","06:17:25:00",1,29.62963,90
"45268","2025-09-03","06:17:25:00",0,39.814815,95
"45269","2025-09-03","06:17:33:00",1,50.833333,99
"45270","2025-09-03","06:17:33:00",0,53.148148,95
"45271","2025-09-03","06:17:40:00",1,52.685185,96
"45272","2025-09-03","06:17:40:00",0,53.888889,93
"45273","2025-09-03","06:18:01:00",1,58.333333,87
"45274","2025-09-03","06:18:01:00",0,57.87037,93
