"","date","time","hydrophone","value","signalpower"
"70539","2025-09-10","06:18:30:00",0,1.632653,91
"70540","2025-09-10","06:19:01:00",0,4.265306,100
"70541","2025-09-10","06:19:06:00",0,7.714286,107
"70542","2025-09-10","06:19:06:00",1,8.367347,99
"70543","2025-09-10","06:19:11:00",1,7.795918,101
"70544","2025-09-10","06:19:11:00",0,8.591837,104
"70545","2025-09-10","06:19:16:00",1,8.816327,93
"70546","2025-09-10","06:19:16:00",0,8.510204,100
"70547","2025-09-10","06:19:21:00",0,10.897959,100
"70548","2025-09-10","06:19:21:00",1,11.22449,95
"70549","2025-09-10","06:19:26:00",1,10.877551,93
"70550","2025-09-10","06:19:26:00",0,10.571429,102
"70551","2025-09-10","06:19:31:00",1,10.040816,96
"70552","2025-09-10","06:19:32:00",0,10.653061,103
"70553","2025-09-10","06:19:37:00",1,11,103
"70554","2025-09-10","06:19:37:00",0,11.102041,105
"70555","2025-09-10","06:19:42:00",0,13.22449,108
"70556","2025-09-10","06:19:42:00",1,13.204082,108
"70557","2025-09-10","06:19:47:00",1,9.408163,104
"70558","2025-09-10","06:19:47:00",0,9.183673,101
"70559","2025-09-10","06:19:52:00",1,12.367347,100
"70560","2025-09-10","06:19:52:00",0,12.734694,101
"70561","2025-09-10","06:19:57:00",1,13.367347,96
"70562","2025-09-10","06:19:58:00",0,13.510204,97
"70563","2025-09-10","06:20:03:00",1,12.122449,97
"70564","2025-09-10","06:20:03:00",0,11.714286,99
"70565","2025-09-10","06:20:08:00",1,12.428571,93
"70566","2025-09-10","06:20:08:00",0,12.285714,97
"70567","2025-09-10","06:20:13:00",1,12.714286,95
"70568","2025-09-10","06:20:13:00",0,12.571429,97
"70569","2025-09-10","06:20:18:00",1,12.714286,96
"70570","2025-09-10","06:20:18:00",0,12.469388,99
"70571","2025-09-10","06:20:24:00",0,12.77551,103
"70572","2025-09-10","06:20:24:00",1,12.734694,95
"70573","2025-09-10","06:20:29:00",1,14.530612,89
"70574","2025-09-10","06:20:29:00",0,13.530612,103
"70575","2025-09-10","06:20:34:00",1,13.612245,93
"70576","2025-09-10","06:20:34:00",0,14.081633,102
"70577","2025-09-10","06:20:39:00",0,15.061224,103
"70578","2025-09-10","06:20:39:00",1,17.938776,89
"70579","2025-09-10","06:20:44:00",1,12.897959,97
"70580","2025-09-10","06:20:44:00",0,15.938776,102
"70581","2025-09-10","06:20:50:00",1,16.795918,91
"70582","2025-09-10","06:20:50:00",0,16.530612,103
"70583","2025-09-10","06:20:55:00",1,16.612245,94
"70584","2025-09-10","06:20:55:00",0,17.22449,102
"70585","2025-09-10","06:21:00:00",1,17.204082,94
"70586","2025-09-10","06:21:00:00",0,17.489796,102
"70587","2025-09-10","06:21:06:00",1,20.265306,97
"70588","2025-09-10","06:21:06:00",0,19.612245,100
"70589","2025-09-10","06:21:11:00",1,19.204082,94
"70590","2025-09-10","06:21:11:00",0,19.44898,103
"70591","2025-09-10","06:21:16:00",0,21.081633,102
"70592","2025-09-10","06:21:22:00",0,41.346939,104
"70593","2025-09-10","06:21:27:00",1,22.204082,96
"70594","2025-09-10","06:21:27:00",0,23.306122,103
"70595","2025-09-10","06:21:33:00",0,24.346939,102
"70596","2025-09-10","06:21:38:00",0,24.22449,102
"70597","2025-09-10","06:21:55:00",0,31,104
"70598","2025-09-10","06:21:55:00",1,30.979592,99
"70599","2025-09-10","06:22:00:00",1,31.877551,90
"70600","2025-09-10","06:22:00:00",0,30.877551,96
"70601","2025-09-10","06:22:06:00",0,31.510204,100
"70602","2025-09-10","06:22:06:00",1,31.183673,94
"70603","2025-09-10","06:22:11:00",0,33.142857,100
"70604","2025-09-10","06:22:11:00",1,32.408163,97
"70605","2025-09-10","06:22:17:00",1,33.510204,90
"70606","2025-09-10","06:22:17:00",0,33.346939,104
"70607","2025-09-10","06:22:22:00",0,35.020408,100
"70608","2025-09-10","06:22:22:00",1,35.061224,95
"70609","2025-09-10","06:22:28:00",0,36.428571,101
"70610","2025-09-10","06:22:28:00",1,36.387755,97
"70611","2025-09-10","06:22:34:00",1,37.55102,99
"70612","2025-09-10","06:22:34:00",0,37.632653,100
"70613","2025-09-10","06:22:39:00",0,39.285714,100
"70614","2025-09-10","06:22:39:00",1,39.163265,103
"70615","2025-09-10","06:22:45:00",1,40.469388,102
"70616","2025-09-10","06:22:45:00",0,40.408163,102
"70617","2025-09-10","06:22:51:00",0,39.795918,99
"70618","2025-09-10","06:22:51:00",1,39.857143,101
"70619","2025-09-10","06:22:56:00",0,46.693878,99
"70620","2025-09-10","06:22:56:00",1,46.959184,95
"70621","2025-09-10","06:23:02:00",0,46.816327,106
"70622","2025-09-10","06:23:02:00",1,46.571429,97
"70623","2025-09-10","06:23:08:00",0,46.795918,98
"70624","2025-09-10","06:23:08:00",1,46.77551,97
"70625","2025-09-10","06:23:14:00",1,48.612245,101
"70626","2025-09-10","06:23:14:00",0,48.673469,107
"70627","2025-09-10","06:23:19:00",1,41.142857,99
"70628","2025-09-10","06:23:19:00",0,41.285714,98
"70629","2025-09-10","06:23:25:00",1,55.102041,101
"70630","2025-09-10","06:23:25:00",0,54.877551,106
"70631","2025-09-10","06:23:31:00",1,32.836735,96
"70632","2025-09-10","06:23:31:00",0,33.040816,99
"70633","2025-09-10","06:23:36:00",1,24.040816,92
"70634","2025-09-10","06:23:36:00",0,23.571429,103
"70635","2025-09-10","06:23:42:00",0,52.387755,104
"70636","2025-09-10","06:23:42:00",1,51.44898,97
"70637","2025-09-10","06:23:48:00",1,57.020408,96
"70638","2025-09-10","06:23:48:00",0,56.306122,105
"70639","2025-09-10","06:23:53:00",1,25.673469,93
"70640","2025-09-10","06:23:53:00",0,25.510204,105
"70641","2025-09-10","06:23:59:00",1,34.877551,104
"70642","2025-09-10","06:23:59:00",0,35.081633,105
"70643","2025-09-10","06:24:04:00",1,23.877551,104
"70644","2025-09-10","06:24:04:00",0,23.979592,100
"70645","2025-09-10","06:24:10:00",1,51.020408,103
"70646","2025-09-10","06:24:10:00",0,50.897959,107
"70647","2025-09-10","06:24:16:00",1,51.244898,100
"70648","2025-09-10","06:24:16:00",0,51.265306,100
"70649","2025-09-10","06:24:22:00",1,49.285714,94
"70650","2025-09-10","06:24:22:00",0,55.122449,94
"70651","2025-09-10","06:24:27:00",0,24.081633,108
"70652","2025-09-10","06:24:27:00",1,29.77551,107
"70653","2025-09-10","06:24:33:00",1,46.734694,99
"70654","2025-09-10","06:24:33:00",0,46.55102,102
"70655","2025-09-10","06:24:38:00",0,27.714286,104
"70656","2025-09-10","06:24:44:00",0,51.326531,107
"70657","2025-09-10","06:24:50:00",1,54.734694,96
"70658","2025-09-10","06:24:50:00",0,54.081633,106
"70659","2025-09-10","06:24:56:00",1,48.163265,102
"70660","2025-09-10","06:24:56:00",0,48.938776,107
"70661","2025-09-10","06:25:02:00",0,51.918367,104
"70662","2025-09-10","06:25:02:00",1,52.265306,95
"70663","2025-09-10","06:25:08:00",0,44.346939,105
"70664","2025-09-10","06:25:08:00",1,44.040816,100
"70665","2025-09-10","06:25:13:00",0,52.244898,108
"70666","2025-09-10","06:25:13:00",1,52.469388,100
"70667","2025-09-10","06:25:19:00",1,16.265306,93
"70668","2025-09-10","06:25:19:00",0,16.408163,106
"70669","2025-09-10","06:25:25:00",1,51.591837,95
"70670","2025-09-10","06:25:25:00",0,51.44898,103
"70671","2025-09-10","06:25:30:00",0,51.857143,106
"70672","2025-09-10","06:25:30:00",1,51.55102,101
"70673","2025-09-10","06:25:36:00",1,48.530612,99
"70674","2025-09-10","06:25:36:00",0,48.44898,102
"70675","2025-09-10","06:25:42:00",0,27.265306,103
"70676","2025-09-10","06:25:42:00",1,27.183673,101
"70677","2025-09-10","06:25:47:00",0,51.816327,102
"70678","2025-09-10","06:25:48:00",1,52.959184,96
"70679","2025-09-10","06:25:53:00",0,52.632653,106
"70680","2025-09-10","06:25:53:00",1,52.918367,95
"70681","2025-09-10","06:25:59:00",1,49.346939,92
"70682","2025-09-10","06:25:59:00",0,50.795918,99
"70683","2025-09-10","06:26:05:00",0,42.55102,106
"70684","2025-09-10","06:26:05:00",1,42.632653,96
"70685","2025-09-10","06:26:10:00",1,5.571429,104
"70686","2025-09-10","06:26:10:00",0,5.55102,107
"70687","2025-09-10","06:26:15:00",1,22.408163,100
"70688","2025-09-10","06:26:15:00",0,22.367347,106
"70689","2025-09-10","06:26:20:00",0,6.632653,105
"70690","2025-09-10","06:26:20:00",1,6.510204,97
"70691","2025-09-10","06:26:26:00",0,51.816327,106
"70692","2025-09-10","06:26:26:00",1,52.183673,91
"70693","2025-09-10","06:26:32:00",1,19.918367,99
"70694","2025-09-10","06:26:32:00",0,20.081633,107
