Source File: C:\Users\Temp\Desktop\MINILOG 2017\Minilog-TD_6190_20170914_1.vld
Source Device: Minilog-TD-6190
Study Description: GP161A1
Minilog Initialized: 2017-09-14 12:18:03 (UTC-3)
Study Start Time: 2017-09-14 12:18:03
Study Stop Time: 2017-09-14 12:56:52
Sample Interval: 00:00:01
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C),Depth (m)
2017-09-14,12:18:03,25.56,0.00
2017-09-14,12:18:04,25.56,1.62
2017-09-14,12:18:05,25.56,1.62
2017-09-14,12:18:06,25.56,0.00
2017-09-14,12:18:07,25.56,1.62
2017-09-14,12:18:08,25.56,1.62
2017-09-14,12:18:09,25.56,1.62
2017-09-14,12:18:10,25.56,1.62
2017-09-14,12:18:11,25.56,1.62
2017-09-14,12:18:12,25.56,1.62
2017-09-14,12:18:13,25.56,1.62
2017-09-14,12:18:14,25.56,1.62
2017-09-14,12:18:15,25.56,0.00
2017-09-14,12:18:16,25.56,1.62
2017-09-14,12:18:17,25.56,1.62
2017-09-14,12:18:18,25.39,1.62
2017-09-14,12:18:19,25.56,1.62
2017-09-14,12:18:20,25.56,1.62
2017-09-14,12:18:21,25.56,0.00
2017-09-14,12:18:22,25.56,1.62
2017-09-14,12:18:23,25.56,1.62
2017-09-14,12:18:24,25.56,0.00
2017-09-14,12:18:25,25.56,1.62
2017-09-14,12:18:26,25.56,1.62
2017-09-14,12:18:27,25.56,1.62
2017-09-14,12:18:28,25.56,1.62
2017-09-14,12:18:29,25.56,1.62
2017-09-14,12:18:30,25.56,1.62
2017-09-14,12:18:31,25.56,1.62
2017-09-14,12:18:32,25.56,1.62
2017-09-14,12:18:33,25.56,1.62
2017-09-14,12:18:34,25.56,1.62
2017-09-14,12:18:35,25.56,1.62
2017-09-14,12:18:36,25.56,1.62
2017-09-14,12:18:37,25.56,1.62
2017-09-14,12:18:38,25.56,1.62
2017-09-14,12:18:39,25.56,1.62
2017-09-14,12:18:40,25.56,0.00
2017-09-14,12:18:41,25.56,1.62
2017-09-14,12:18:42,25.56,1.62
2017-09-14,12:18:43,25.56,1.62
2017-09-14,12:18:44,25.56,1.62
2017-09-14,12:18:45,25.56,0.00
2017-09-14,12:18:46,25.56,0.00
2017-09-14,12:18:47,25.39,0.00
2017-09-14,12:18:48,25.39,0.00
2017-09-14,12:18:49,25.39,1.62
2017-09-14,12:18:50,25.39,1.62
2017-09-14,12:18:51,25.56,1.62
2017-09-14,12:18:52,25.39,1.62
2017-09-14,12:18:53,25.56,1.62
2017-09-14,12:18:54,25.39,1.62
2017-09-14,12:18:55,25.39,1.62
2017-09-14,12:18:56,25.39,1.62
2017-09-14,12:18:57,25.56,1.62
2017-09-14,12:18:58,25.39,0.00
2017-09-14,12:18:59,25.39,1.62
2017-09-14,12:19:00,25.39,1.62
2017-09-14,12:19:01,25.39,1.62
2017-09-14,12:19:02,25.39,1.62
2017-09-14,12:19:03,25.39,1.62
2017-09-14,12:19:04,25.39,1.62
2017-09-14,12:19:05,25.39,1.62
2017-09-14,12:19:06,25.39,1.62
2017-09-14,12:19:07,25.39,1.62
2017-09-14,12:19:08,25.39,1.62
2017-09-14,12:19:09,25.39,1.62
2017-09-14,12:19:10,25.39,0.00
2017-09-14,12:19:11,25.39,1.62
2017-09-14,12:19:12,25.39,1.62
2017-09-14,12:19:13,25.39,1.62
2017-09-14,12:19:14,25.39,1.62
2017-09-14,12:19:15,25.39,1.62
2017-09-14,12:19:16,25.39,0.00
2017-09-14,12:19:17,25.39,0.00
2017-09-14,12:19:18,25.39,1.62
2017-09-14,12:19:19,25.39,1.62
2017-09-14,12:19:20,25.39,1.62
2017-09-14,12:19:21,25.39,1.62
2017-09-14,12:19:22,25.39,1.62
2017-09-14,12:19:23,25.39,1.62
2017-09-14,12:19:24,25.39,0.00
2017-09-14,12:19:25,25.39,1.62
2017-09-14,12:19:26,25.39,1.62
2017-09-14,12:19:27,25.39,1.62
2017-09-14,12:19:28,25.39,0.00
2017-09-14,12:19:29,25.39,1.62
2017-09-14,12:19:30,25.39,1.62
2017-09-14,12:19:31,25.39,1.62
2017-09-14,12:19:32,25.39,1.62
2017-09-14,12:19:33,25.39,1.62
2017-09-14,12:19:34,25.39,1.62
2017-09-14,12:19:35,25.39,1.62
2017-09-14,12:19:36,25.39,1.62
2017-09-14,12:19:37,25.39,1.62
2017-09-14,12:19:38,25.39,1.62
2017-09-14,12:19:39,25.39,1.62
2017-09-14,12:19:40,25.39,1.62
2017-09-14,12:19:41,25.39,1.62
2017-09-14,12:19:42,25.39,1.62
2017-09-14,12:19:43,25.39,1.62
2017-09-14,12:19:44,25.39,1.62
2017-09-14,12:19:45,25.39,1.62
2017-09-14,12:19:46,25.39,1.62
2017-09-14,12:19:47,25.39,1.62
2017-09-14,12:19:48,25.39,1.62
2017-09-14,12:19:49,25.39,0.00
2017-09-14,12:19:50,25.39,1.62
2017-09-14,12:19:51,25.39,1.62
2017-09-14,12:19:52,25.39,1.62
2017-09-14,12:19:53,25.39,1.62
2017-09-14,12:19:54,25.39,1.62
2017-09-14,12:19:55,25.39,1.62
2017-09-14,12:19:56,25.39,1.62
2017-09-14,12:19:57,25.39,1.62
2017-09-14,12:19:58,25.39,1.62
2017-09-14,12:19:59,25.39,1.62
2017-09-14,12:20:00,25.39,0.00
2017-09-14,12:20:01,25.22,1.62
2017-09-14,12:20:02,25.22,1.62
2017-09-14,12:20:03,25.39,0.00
2017-09-14,12:20:04,25.39,1.62
2017-09-14,12:20:05,25.22,1.62
2017-09-14,12:20:06,25.39,1.62
2017-09-14,12:20:07,25.22,1.62
2017-09-14,12:20:08,25.39,1.62
2017-09-14,12:20:09,25.22,1.62
2017-09-14,12:20:10,25.39,1.62
2017-09-14,12:20:11,25.39,1.62
2017-09-14,12:20:12,25.39,1.62
