Source File: C:\Users\Temp\Desktop\MINILOG 2018\Minilog-TD_4338_20180820_1.vld
Source Device: Minilog-TD-4338
Study Description: GP261F
Minilog Initialized: 2018-08-20 13:24:07 (UTC-3)
Study Start Time: 2018-08-20 13:24:07
Study Stop Time: 2018-08-20 13:56:36
Sample Interval: 00:00:01
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C),Depth (m)
2018-08-20,13:24:07,20.62,-1.99
2018-08-20,13:24:08,20.62,-1.99
2018-08-20,13:24:09,20.62,-1.99
2018-08-20,13:24:10,20.62,-1.99
2018-08-20,13:24:11,20.62,-1.99
2018-08-20,13:24:12,20.62,-1.99
2018-08-20,13:24:13,20.62,-1.99
2018-08-20,13:24:14,20.62,-1.99
2018-08-20,13:24:15,20.62,-1.99
2018-08-20,13:24:16,20.62,-1.99
2018-08-20,13:24:17,20.62,-1.99
2018-08-20,13:24:18,20.62,-1.99
2018-08-20,13:24:19,20.62,-1.99
2018-08-20,13:24:20,20.62,-1.99
2018-08-20,13:24:21,20.62,-1.99
2018-08-20,13:24:22,20.62,-1.99
2018-08-20,13:24:23,20.62,-1.99
2018-08-20,13:24:24,20.62,-1.99
2018-08-20,13:24:25,20.62,-1.99
2018-08-20,13:24:26,20.62,-1.99
2018-08-20,13:24:27,20.62,-1.99
2018-08-20,13:24:28,20.62,-1.99
2018-08-20,13:24:29,20.62,-1.99
2018-08-20,13:24:30,20.62,-1.99
2018-08-20,13:24:31,20.62,-1.99
2018-08-20,13:24:32,20.62,-1.99
2018-08-20,13:24:33,20.62,-1.99
2018-08-20,13:24:34,20.62,-1.99
2018-08-20,13:24:35,20.62,0.00
2018-08-20,13:24:36,20.62,-1.99
2018-08-20,13:24:37,20.62,-1.99
2018-08-20,13:24:38,20.62,-1.99
2018-08-20,13:24:39,20.62,-1.99
2018-08-20,13:24:40,20.62,-1.99
2018-08-20,13:24:41,20.62,-1.99
2018-08-20,13:24:42,20.62,-1.99
2018-08-20,13:24:43,20.62,-1.99
2018-08-20,13:24:44,20.62,-1.99
2018-08-20,13:24:45,20.62,0.00
2018-08-20,13:24:46,20.62,-1.99
2018-08-20,13:24:47,20.62,-1.99
2018-08-20,13:24:48,20.62,-1.99
2018-08-20,13:24:49,20.62,-1.99
2018-08-20,13:24:50,20.62,-1.99
2018-08-20,13:24:51,20.62,-1.99
2018-08-20,13:24:52,20.62,-1.99
2018-08-20,13:24:53,20.62,-1.99
2018-08-20,13:24:54,20.62,-1.99
2018-08-20,13:24:55,20.62,-1.99
2018-08-20,13:24:56,20.62,-1.99
2018-08-20,13:24:57,20.62,-1.99
2018-08-20,13:24:58,20.62,-1.99
2018-08-20,13:24:59,20.62,-1.99
2018-08-20,13:25:00,20.62,-1.99
2018-08-20,13:25:01,20.62,-1.99
2018-08-20,13:25:02,20.62,-1.99
2018-08-20,13:25:03,20.62,-1.99
2018-08-20,13:25:04,20.62,-1.99
2018-08-20,13:25:05,20.62,-1.99
2018-08-20,13:25:06,20.62,-1.99
2018-08-20,13:25:07,20.62,-1.99
2018-08-20,13:25:08,20.62,-1.99
2018-08-20,13:25:09,20.62,-1.99
2018-08-20,13:25:10,20.62,-1.99
2018-08-20,13:25:11,20.62,-1.99
2018-08-20,13:25:12,20.62,-1.99
2018-08-20,13:25:13,20.62,-1.99
2018-08-20,13:25:14,20.62,-1.99
2018-08-20,13:25:15,20.62,-1.99
2018-08-20,13:25:16,20.62,-1.99
2018-08-20,13:25:17,20.62,-1.99
2018-08-20,13:25:18,20.62,-1.99
2018-08-20,13:25:19,20.62,-1.99
2018-08-20,13:25:20,20.62,-1.99
2018-08-20,13:25:21,20.62,0.00
2018-08-20,13:25:22,20.62,-1.99
2018-08-20,13:25:23,20.62,-1.99
2018-08-20,13:25:24,20.62,-1.99
2018-08-20,13:25:25,20.62,-1.99
2018-08-20,13:25:26,20.62,-1.99
2018-08-20,13:25:27,20.62,-1.99
2018-08-20,13:25:28,20.62,-1.99
2018-08-20,13:25:29,20.62,-1.99
2018-08-20,13:25:30,20.62,-1.99
2018-08-20,13:25:31,20.62,-1.99
2018-08-20,13:25:32,20.62,-1.99
2018-08-20,13:25:33,20.62,-1.99
2018-08-20,13:25:34,20.62,-1.99
2018-08-20,13:25:35,20.62,-1.99
2018-08-20,13:25:36,20.62,-1.99
2018-08-20,13:25:37,20.62,-1.99
2018-08-20,13:25:38,20.62,-1.99
2018-08-20,13:25:39,20.62,-1.99
2018-08-20,13:25:40,20.62,-1.99
2018-08-20,13:25:41,20.62,-1.99
2018-08-20,13:25:42,20.62,-1.99
2018-08-20,13:25:43,20.62,-1.99
2018-08-20,13:25:44,20.62,-1.99
2018-08-20,13:25:45,20.62,-1.99
2018-08-20,13:25:46,20.62,-1.99
2018-08-20,13:25:47,20.62,-1.99
2018-08-20,13:25:48,20.62,-1.99
2018-08-20,13:25:49,20.62,-1.99
2018-08-20,13:25:50,20.62,-1.99
2018-08-20,13:25:51,20.62,-1.99
2018-08-20,13:25:52,20.62,-1.99
2018-08-20,13:25:53,20.62,-1.99
2018-08-20,13:25:54,20.62,-1.99
2018-08-20,13:25:55,20.62,-1.99
2018-08-20,13:25:56,20.62,-1.99
2018-08-20,13:25:57,20.62,-1.99
2018-08-20,13:25:58,20.62,-1.99
2018-08-20,13:25:59,20.62,-1.99
2018-08-20,13:26:00,20.62,-1.99
2018-08-20,13:26:01,20.62,-1.99
2018-08-20,13:26:02,20.62,-1.99
2018-08-20,13:26:03,20.62,-1.99
2018-08-20,13:26:04,20.62,-1.99
2018-08-20,13:26:05,20.62,-1.99
2018-08-20,13:26:06,20.62,-1.99
2018-08-20,13:26:07,20.62,-1.99
2018-08-20,13:26:08,20.62,-1.99
2018-08-20,13:26:09,20.62,-1.99
2018-08-20,13:26:10,20.62,-1.99
2018-08-20,13:26:11,20.62,-1.99
2018-08-20,13:26:12,20.62,-1.99
2018-08-20,13:26:13,20.62,-1.99
2018-08-20,13:26:14,20.62,-1.99
2018-08-20,13:26:15,20.62,-1.99
2018-08-20,13:26:16,20.62,-1.99
2018-08-20,13:26:17,20.62,-1.99
2018-08-20,13:26:18,20.62,-1.99
2018-08-20,13:26:19,20.62,-1.99
2018-08-20,13:26:20,20.62,-1.99
2018-08-20,13:26:21,20.62,-1.99
2018-08-20,13:26:22,20.62,-1.99
2018-08-20,13:26:23,20.62,-1.99
2018-08-20,13:26:24,20.62,-1.99
2018-08-20,13:26:25,20.62,-1.99
2018-08-20,13:26:26,20.62,-1.99
2018-08-20,13:26:27,20.62,-1.99
2018-08-20,13:26:28,20.62,-1.99
2018-08-20,13:26:29,20.62,-1.99
2018-08-20,13:26:30,20.62,-1.99
2018-08-20,13:26:31,20.62,-1.99
2018-08-20,13:26:32,20.62,-1.99
2018-08-20,13:26:33,20.62,-1.99
2018-08-20,13:26:34,20.62,-1.99
2018-08-20,13:26:35,20.62,-1.99
2018-08-20,13:26:36,20.62,-1.99
2018-08-20,13:26:37,20.62,-1.99
2018-08-20,13:26:38,20.62,-1.99
2018-08-20,13:26:39,20.62,-1.99
2018-08-20,13:26:40,20.62,-1.99
2018-08-20,13:26:41,20.62,-1.99
2018-08-20,13:26:42,20.62,-1.99
2018-08-20,13:26:43,20.62,-1.99
2018-08-20,13:26:44,20.62,-1.99
2018-08-20,13:26:45,20.62,-1.99
2018-08-20,13:26:46,20.62,-1.99
2018-08-20,13:26:47,20.62,-1.99
2018-08-20,13:26:48,20.62,-1.99
2018-08-20,13:26:49,20.62,-1.99
2018-08-20,13:26:50,20.62,-1.99
2018-08-20,13:26:51,20.62,-1.99
2018-08-20,13:26:52,20.62,-1.99
2018-08-20,13:26:53,20.62,-1.99
2018-08-20,13:26:54,20.62,-1.99
2018-08-20,13:26:55,20.62,-1.99
2018-08-20,13:26:56,20.62,-1.99
2018-08-20,13:26:57,20.62,-1.99
2018-08-20,13:26:58,20.62,-1.99
2018-08-20,13:26:59,20.62,-1.99
2018-08-20,13:27:00,20.62,-1.99
2018-08-20,13:27:01,20.62,-1.99
2018-08-20,13:27:02,20.62,-1.99
2018-08-20,13:27:03,20.62,-1.99
2018-08-20,13:27:04,20.62,-1.99
2018-08-20,13:27:05,20.62,-1.99
2018-08-20,13:27:06,20.62,-1.99
2018-08-20,13:27:07,20.62,-1.99
2018-08-20,13:27:08,20.62,-1.99
2018-08-20,13:27:09,20.62,-1.99
2018-08-20,13:27:10,20.62,-1.99
2018-08-20,13:27:11,20.62,-1.99
2018-08-20,13:27:12,20.62,-1.99
2018-08-20,13:27:13,20.62,-1.99
2018-08-20,13:27:14,20.62,-1.99
2018-08-20,13:27:15,20.62,-1.99
2018-08-20,13:27:16,20.62,-1.99
2018-08-20,13:27:17,20.62,-1.99
2018-08-20,13:27:18,20.62,-1.99
2018-08-20,13:27:19,20.62,-1.99
2018-08-20,13:27:20,20.62,-1.99
