FileName: C:\WINDOWS\DESKTOP\MARCEL~1\POS024.TXT
Local Time: Thu Aug 03 14:00:09 2000

Ship: Den C Martin Trip: August 03, 00 Tow: POS024
Comments: Nord du canal des Iles Zone E - Dumping
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
000803  165655  48   6.8900 N  61  35.0300 W   1.9        3.2*       3.0*       6.0*      77.9*
000803  165656  48   6.8900 N  61  35.0300 W   1.9        3.2        3.0        6.0       77.9 
000803  165657  48   6.8900 N  61  35.0300 W   1.9        3.2        3.0        6.0       73.9*
000803  165658  48   6.8900 N  61  35.0300 W   2.0        3.2        3.0        6.0       73.9 
000803  165659  48   6.8900 N  61  35.0300 W   2.0        3.2        3.0        6.0*      73.9 
000803  165700  48   6.8900 N  61  35.0300 W   2.0        3.2        3.0        6.0       73.9 
000803  165701  48   6.8900 N  61  35.0300 W   2.0        3.2        3.0        6.0       73.9 
000803  165702  48   6.8900 N  61  35.0300 W   2.0       12.4*       3.0        6.0       78.7*
000803  165703  48   6.8900 N  61  35.0300 W   2.0       12.4        3.0        6.0       78.7 
000803  165704  48   6.8900 N  61  35.0300 W   2.0       12.4        3.0        6.6*      78.7 
000803  165705  48   6.8900 N  61  35.0200 W   2.0       12.4        3.0        6.6       78.7 
000803  165706  48   6.8900 N  61  35.0200 W   2.0       12.4        3.0        6.6       78.7 
000803  165707  48   6.8900 N  61  35.0200 W   2.0       12.4        3.0        6.6       78.7 
000803  165708  48   6.8900 N  61  35.0200 W   2.0       12.4        2.9*       6.6       81.4*
000803  165709  48   6.8900 N  61  35.0200 W   2.0       12.4        2.9        7.2*      81.4 
000803  165710  48   6.8900 N  61  35.0200 W   2.0       12.4        2.9        7.2       81.4 
000803  165711  48   6.8900 N  61  35.0200 W   2.0       12.4        2.9        7.2       81.4 
000803  165712  48   6.8900 N  61  35.0200 W   2.0       12.4        2.9        7.2       81.4 
000803  165713  48   6.8900 N  61  35.0200 W   2.1       12.4        2.9        7.2       82.7*
