FileName: C:\WINDOWS\DESKTOP\MARCEL~1\POS065.TXT
Local Time: Sun Aug 06 11:44:39 2000

Ship: Den C Martin Trip: August 06, 00 Tow: POS065
Comments: Canal des Iles
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
000806  144117  47  25.2600 N  62  35.9700 W   1.6       13.1*       6.7*       6.2*      74.3*
000806  144118  47  25.2600 N  62  35.9700 W   1.7       13.1        6.7        6.2       74.3 
000806  144119  47  25.2600 N  62  35.9700 W   1.7       13.1        6.7        6.2       74.3 
000806  144120  47  25.2600 N  62  35.9700 W   1.7       13.1        6.7        6.2       74.3*
000806  144121  47  25.2600 N  62  35.9700 W   1.7       13.1        6.7        6.2       74.3 
000806  144122  47  25.2600 N  62  35.9700 W   1.7       13.1        6.7        6.2       74.3 
000806  144123  47  25.2600 N  62  35.9700 W   1.7        7.2*       6.7        6.2       74.3 
000806  144124  47  25.2600 N  62  35.9700 W   1.7        7.2        6.7        6.2       74.3 
000806  144125  47  25.2500 N  62  35.9700 W   1.7        7.2        6.7        6.2       77.0*
000806  144126  47  25.2500 N  62  35.9700 W   1.7        7.2        6.7        6.2       77.0 
000806  144127  47  25.2500 N  62  35.9700 W   1.8        7.2        6.7        6.2       77.0 
000806  144128  47  25.2500 N  62  35.9700 W   1.8        7.2        6.7        6.2       77.0 
000806  144129  47  25.2500 N  62  35.9700 W   1.8        7.2        6.7        6.5*      77.0 
000806  144130  47  25.2500 N  62  35.9700 W   1.8        7.2        6.7        6.5       77.9*
000806  144131  47  25.2500 N  62  35.9700 W   1.8        7.2        6.7        6.5       77.9 
000806  144132  47  25.2500 N  62  35.9700 W   1.8        7.2        6.7        6.5       77.9 
000806  144133  47  25.2500 N  62  35.9700 W   1.8        7.2        6.7        6.5       77.9 
000806  144134  47  25.2500 N  62  35.9700 W   1.8        7.2        6.7        6.5*      77.9 
000806  144135  47  25.2500 N  62  35.9700 W   1.8        7.2        6.7        6.5       77.9 
000806  144136  47  25.2500 N  62  35.9700 W   1.8        2.9*       6.7        6.5       79.2*
000806  144137  47  25.2500 N  62  35.9700 W   1.8        2.9        6.7        6.5       79.2 
000806  144138  47  25.2500 N  62  35.9700 W   1.8        2.9        6.7        6.5       79.2 
000806  144139  47  25.2500 N  62  35.9700 W   1.8        2.9        6.7        6.9*      79.2 
000806  144140  47  25.2500 N  62  35.9700 W   1.8        2.9        6.7        6.9       79.2 
000806  144141  47  25.2500 N  62  35.9700 W   1.8        2.9        6.7        6.9       79.6*
000806  144142  47  25.2500 N  62  35.9700 W   1.8        2.9        6.7        6.9       79.6 
000806  144143  47  25.2400 N  62  35.9700 W   1.8        2.9        6.7        6.9       79.6 
000806  144144  47  25.2400 N  62  35.9700 W   1.8        2.9        6.7        7.2*      79.6 
000806  144145  47  25.2400 N  62  35.9700 W   1.8        2.9        6.7        7.2       79.6 
000806  144146  47  25.2400 N  62  35.9700 W   1.8        2.9        6.7        7.2       79.6 
000806  144147  47  25.2400 N  62  35.9700 W   1.8        2.9        6.7        7.2       78.7*
000806  144148  47  25.2400 N  62  35.9700 W   1.8        2.9        6.7        7.2       78.7 
000806  144149  47  25.2400 N  62  35.9700 W   1.8        2.1*       6.7        7.2       78.7 
000806  144150  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        7.7*      78.7 
000806  144151  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        7.7       78.7 
000806  144152  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        7.7       80.5*
000806  144153  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        7.7       80.5 
000806  144154  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        7.7       80.5 
000806  144155  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        8.3*      80.5 
000806  144156  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        8.3       80.5 
000806  144157  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        8.3       79.6*
000806  144158  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        8.3       79.6 
000806  144159  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        8.3       79.6 
000806  144200  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        8.9*      79.6 
000806  144201  47  25.2400 N  62  35.9700 W   1.8        2.1        6.7        8.9       79.6 
000806  144202  47  25.2300 N  62  35.9700 W   1.8        2.6*       6.7        8.9       79.6 
000806  144203  47  25.2300 N  62  35.9700 W   1.8        2.6        6.7        8.9       79.6*
000806  144204  47  25.2300 N  62  35.9600 W   1.8        2.6        6.7        8.9       79.6 
000806  144205  47  25.2300 N  62  35.9600 W   1.8        2.6        6.7        8.9       79.6 
000806  144206  47  25.2300 N  62  35.9600 W   1.8        2.6        6.7        9.2*      79.6 
000806  144207  47  25.2300 N  62  35.9600 W   1.8        2.6        6.7        9.2       79.6 
000806  144208  47  25.2300 N  62  35.9600 W   1.8        2.6        6.7        9.2       80.9*
000806  144209  47  25.2300 N  62  35.9600 W   1.8        2.6        6.7        9.2       80.9 
000806  144210  47  25.2300 N  62  35.9600 W   1.8        2.6        6.7        9.2       80.9 
000806  144211  47  25.2300 N  62  35.9600 W   1.8        2.6        6.7        9.7*      80.9 
000806  144212  47  25.2300 N  62  35.9600 W   1.8        2.6        6.7        9.7       80.9 
000806  144213  47  25.2300 N  62  35.9600 W   1.8        2.6        6.7        9.7       80.9 
000806  144214  47  25.2300 N  62  35.9600 W   1.8        2.6        6.7        9.7       79.2*
000806  144215  47  25.2300 N  62  35.9600 W   1.8        2.1*       6.7        9.7       79.2 
000806  144216  47  25.2300 N  62  35.9600 W   1.8        2.1        6.7        9.7       79.2 
000806  144217  47  25.2300 N  62  35.9600 W   1.8        2.1        6.7        9.7       79.2 
000806  144218  47  25.2300 N  62  35.9600 W   1.8        2.1        6.7        9.7       79.2 
000806  144219  47  25.2300 N  62  35.9600 W   1.8        2.1        6.7        9.7       80.1*
000806  144220  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7        9.7       80.1 
000806  144221  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7        9.7       80.1 
000806  144222  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7        9.7       80.1 
000806  144223  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7        9.7       80.1 
000806  144224  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7        9.7       80.9*
000806  144225  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7        9.7       80.9 
000806  144226  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7        9.7       80.9 
000806  144227  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7       10.1*      80.9 
000806  144228  47  25.2200 N  62  35.9600 W   1.8        2.1*       6.7       10.1       80.9 
000806  144229  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7       10.1       80.9 
000806  144230  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7       10.1       79.6*
000806  144231  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7       10.1       79.6 
000806  144232  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7       10.1       79.6 
000806  144233  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7       10.1       79.6 
000806  144234  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7       10.1       79.6 
000806  144235  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7       10.1       80.1*
000806  144236  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7       10.1       80.1 
000806  144237  47  25.2200 N  62  35.9600 W   1.8        2.1        6.7       10.1       80.1 
000806  144238  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.1       80.1 
000806  144239  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.1       80.1 
000806  144240  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.1       80.1 
000806  144241  47  25.2100 N  62  35.9600 W   1.8        2.1*       6.7       10.1       79.2*
000806  144242  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.1       79.2 
000806  144243  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.5*      79.2 
000806  144244  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.5       79.2 
000806  144245  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.5       79.2 
000806  144246  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.5       80.1*
000806  144247  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.5       80.1 
000806  144248  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.7*      80.1 
000806  144249  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.7       80.1 
000806  144250  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.7       80.1 
000806  144251  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.7       80.1 
000806  144252  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       10.7       80.5*
000806  144253  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       11.2*      80.5 
000806  144254  47  25.2100 N  62  35.9600 W   1.8        2.1*       6.7       11.2       80.5 
000806  144255  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       11.2       80.5 
000806  144256  47  25.2100 N  62  35.9600 W   1.8        2.1        6.7       11.2       80.5 
000806  144257  47  25.2000 N  62  35.9600 W   1.8        2.1        6.7       11.2       79.2*
000806  144258  47  25.2000 N  62  35.9600 W   1.8        2.1        6.7       11.2       79.2 
000806  144259  47  25.2000 N  62  35.9600 W   1.8        2.1        6.7       10.7*      79.2 
000806  144300  47  25.2000 N  62  35.9600 W   1.8        2.1        6.7       10.7       79.2 
