FileName: C:\WINDOWS\DESKTOP\MARCEL~1\POS086.TXT
Local Time: Mon Aug 07 19:56:32 2000

Ship: Den C Martin Trip: August 07, 00 Tow: POS086
Comments: Banc Orphelin.
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
000807  225307  48  22.3900 N  63  12.6800 W   1.5        4.0*       2.4*       6.0*      61.6*
000807  225308  48  22.3900 N  63  12.6800 W   1.5        4.0        2.4        6.2*      61.6 
000807  225309  48  22.3900 N  63  12.6800 W   1.5        4.0        2.4        6.2       63.8*
000807  225310  48  22.3900 N  63  12.6800 W   1.6        4.0        2.4        6.2       63.8 
000807  225311  48  22.3900 N  63  12.6800 W   1.6        4.0        2.4        6.2       63.8 
000807  225312  48  22.3900 N  63  12.6800 W   1.6        4.0        2.4        6.2       63.8 
000807  225313  48  22.3900 N  63  12.6800 W   1.6        4.0        2.4        5.8*      63.8 
000807  225314  48  22.3900 N  63  12.6700 W   1.7        9.6*       2.4        5.8       63.8 
000807  225315  48  22.3900 N  63  12.6700 W   1.6        9.6        2.4        5.8       63.8 
000807  225316  48  22.4000 N  63  12.6700 W   1.7        9.6        2.4        5.8       63.8 
000807  225317  48  22.4000 N  63  12.6700 W   1.7        9.6        2.4        5.8       63.8 
000807  225318  48  22.4000 N  63  12.6700 W   1.7        9.6        2.4        5.8*      63.8 
000807  225319  48  22.4000 N  63  12.6700 W   1.7        9.6        2.4        5.8       63.8 
000807  225320  48  22.4000 N  63  12.6700 W   1.7        9.6        2.3*       5.8       63.8 
000807  225321  48  22.4000 N  63  12.6700 W   1.8        9.6        2.3        5.8       63.8 
000807  225322  48  22.4000 N  63  12.6700 W   1.8        9.6        2.3        5.8       63.8 
000807  225323  48  22.4000 N  63  12.6700 W   1.8        9.6        2.3        5.8       63.8 
000807  225324  48  22.4000 N  63  12.6700 W   1.8        9.6        2.3        5.7*      63.8 
000807  225325  48  22.4000 N  63  12.6700 W   1.8        9.6        2.3        5.7       67.3*
000807  225326  48  22.4000 N  63  12.6700 W   1.9        9.6        2.3        5.7       67.3 
000807  225327  48  22.4000 N  63  12.6700 W   1.9        5.3*       2.3        5.7       67.3 
000807  225328  48  22.4000 N  63  12.6700 W   1.9        5.3        2.3        5.7       67.3 
000807  225329  48  22.4000 N  63  12.6700 W   1.9        5.3        2.3        5.1*      67.3 
000807  225330  48  22.4000 N  63  12.6700 W   1.9        5.3        2.3        5.1       69.1*
000807  225331  48  22.4000 N  63  12.6700 W   1.9        5.3        2.3        5.1       69.1 
000807  225332  48  22.4000 N  63  12.6700 W   1.9        5.3        2.3        5.1       69.1 
000807  225333  48  22.4000 N  63  12.6700 W   1.9        5.3        2.7*       5.1       69.1 
000807  225334  48  22.4000 N  63  12.6700 W   1.9        5.3        2.7        5.1       69.1 
000807  225335  48  22.4000 N  63  12.6700 W   2.0        5.3        2.7        5.1       69.1 
000807  225336  48  22.4000 N  63  12.6700 W   2.0        5.3        2.7        5.1       70.8*
000807  225337  48  22.4100 N  63  12.6600 W   2.0        5.3        2.7        5.1       70.8 
000807  225338  48  22.4100 N  63  12.6600 W   2.0        5.3        2.7        5.1       70.8 
000807  225339  48  22.4100 N  63  12.6600 W   2.0        5.3        2.7        5.1       70.8 
000807  225340  48  22.4100 N  63  12.6600 W   2.0        3.6*       2.7        5.1       70.8 
000807  225341  48  22.4100 N  63  12.6600 W   2.0        3.6        2.7        5.1       71.7*
000807  225342  48  22.4100 N  63  12.6600 W   2.0        3.6        2.7        5.1       71.7 
000807  225343  48  22.4100 N  63  12.6600 W   2.0        3.6        2.7        5.1       71.7 
000807  225344  48  22.4100 N  63  12.6600 W   2.0        3.6        2.7        5.1       71.7 
000807  225345  48  22.4100 N  63  12.6600 W   2.0        3.6        2.7        6.4*      71.7 
000807  225346  48  22.4100 N  63  12.6600 W   2.0        3.6        2.7        6.4       71.7 
000807  225347  48  22.4100 N  63  12.6600 W   2.0        3.6        2.7        6.4       71.3*
