FileName: C:\WINDOWS\DESKTOP\MARCEL~1\POS134.TXT
Local Time: Tue Aug 15 12:19:18 2000

Ship: Den C Martin Trip: August 15, 00 Tow: POS134
Comments: Sud-est du banc Bradelle
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
000815  151528  47  10.4400 N  62  33.2900 W   1.8       13.6*       2.7*       6.4*      66.0*
000815  151529  47  10.4400 N  62  33.2900 W   1.8       13.6        2.7        6.4       68.6*
000815  151530  47  10.4400 N  62  33.2900 W   1.8       13.6        2.7        6.6*      68.6 
000815  151531  47  10.4400 N  62  33.3000 W   1.8       13.6        2.7        6.6       68.6 
000815  151532  47  10.4400 N  62  33.3000 W   1.8       13.6        2.7        6.6       68.6 
000815  151533  47  10.4400 N  62  33.3000 W   1.8       13.6        2.7        6.6       68.6 
000815  151534  47  10.4400 N  62  33.3000 W   1.8       13.6        2.7        6.6       70.4*
000815  151535  47  10.4400 N  62  33.3000 W   1.8       13.6        2.7        7.5*      70.4 
000815  151536  47  10.4400 N  62  33.3000 W   1.8       13.6        2.7        7.5       70.4 
000815  151537  47  10.4400 N  62  33.3000 W   1.8       13.6        2.7        7.5       70.4 
000815  151538  47  10.4400 N  62  33.3000 W   1.8       13.6        2.7        7.5       70.4 
000815  151539  47  10.4400 N  62  33.3000 W   1.7        4.6*       2.7        7.5       70.8*
000815  151540  47  10.4400 N  62  33.3000 W   1.7        4.6        2.7        7.8*      70.8 
000815  151541  47  10.4400 N  62  33.3000 W   1.8        4.6        2.7        7.8       70.8 
000815  151542  47  10.4400 N  62  33.3000 W   1.8        4.6        2.7        7.8       70.8 
000815  151543  47  10.4400 N  62  33.3000 W   1.7        4.6        2.7        7.8       70.8 
000815  151544  47  10.4400 N  62  33.3000 W   1.7        4.6        2.7        7.8       70.8 
000815  151545  47  10.4400 N  62  33.3000 W   1.7        4.6        2.7        8.4*      72.6*
000815  151546  47  10.4400 N  62  33.3000 W   1.7        4.6        2.7        8.4       72.6 
000815  151547  47  10.4400 N  62  33.3100 W   1.7        4.6        2.7        8.4       72.6 
000815  151548  47  10.4400 N  62  33.3100 W   1.7        4.6        2.7        8.4       72.6 
000815  151549  47  10.4400 N  62  33.3100 W   1.7        4.6        2.7        8.4       72.6 
000815  151550  47  10.4400 N  62  33.3100 W   1.7        4.6        2.7        8.4       71.7*
000815  151551  47  10.4400 N  62  33.3100 W   1.7        4.6        2.7        9.0*      71.7 
000815  151552  47  10.4400 N  62  33.3100 W   1.7        2.4*       2.7        9.0       71.7 
000815  151553  47  10.4400 N  62  33.3100 W   1.7        2.4        2.7        9.0       71.7 
000815  151554  47  10.4400 N  62  33.3100 W   1.7        2.4        2.7        9.0       71.7 
000815  151555  47  10.4400 N  62  33.3100 W   1.7        2.4        2.7        9.0       71.7 
000815  151556  47  10.4400 N  62  33.3100 W   1.7        2.4        2.7        9.7*      73.0*
000815  151557  47  10.4500 N  62  33.3100 W   1.7        2.4        2.7        9.7       73.0 
000815  151558  47  10.4500 N  62  33.3100 W   1.7        2.4        2.7        9.7       73.0 
000815  151559  47  10.4500 N  62  33.3100 W   1.7        2.4        2.7        9.7       73.0 
000815  151600  47  10.4500 N  62  33.3100 W   1.7        2.4        2.7        9.7       73.0 
000815  151601  47  10.4500 N  62  33.3100 W   1.7        2.4        2.7       14.6*      73.0*
000815  151602  47  10.4500 N  62  33.3100 W   1.7        2.4        2.7       14.6       73.0 
000815  151603  47  10.4500 N  62  33.3100 W   1.7        2.4        2.7       14.6       73.0 
000815  151604  47  10.4500 N  62  33.3200 W   1.7        2.1*       2.7       14.6       73.0 
000815  151605  47  10.4500 N  62  33.3200 W   1.7        2.1        2.7       14.6       73.0 
000815  151606  47  10.4500 N  62  33.3200 W   1.7        2.1        2.7       14.6       73.0*
000815  151607  47  10.4500 N  62  33.3200 W   1.7        2.1        2.7        5.9*      73.0 
000815  151608  47  10.4500 N  62  33.3200 W   1.7        2.1        2.7        5.9       73.0 
000815  151609  47  10.4500 N  62  33.3200 W   1.7        2.1        2.7        5.9       73.0 
000815  151610  47  10.4500 N  62  33.3200 W   1.7        2.1        2.7        5.9       73.0 
000815  151611  47  10.4500 N  62  33.3200 W   1.7        2.1        2.7        5.9       73.0 
000815  151612  47  10.4500 N  62  33.3200 W   1.7        2.1        2.7        5.9       72.6*
000815  151613  47  10.4500 N  62  33.3200 W   1.7        2.1        2.7        5.9       72.6 
000815  151614  47  10.4500 N  62  33.3200 W   1.7        2.1        2.7        5.9       72.6 
000815  151615  47  10.4500 N  62  33.3200 W   1.7        2.1        2.7        5.9       72.6 
