FileName: C:\WINDOWS\DESKTOP\MARCEL~1\POS138.TXT
Local Time: Tue Aug 15 16:11:49 2000

Ship: Den C Martin Trip: August 15, 00 Tow: POS138
Comments: Sud du banc Bradelle
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
000815  190800  47  12.9500 N  62  52.7300 W   1.6        2.6*       2.2*       6.5*      59.4*
000815  190801  47  12.9500 N  62  52.7300 W   1.6       12.1*       2.2        6.5       59.4 
000815  190802  47  12.9500 N  62  52.7300 W   1.6       12.1        2.2        6.5       62.5*
000815  190803  47  12.9500 N  62  52.7300 W   1.6       12.1        2.2        6.5       62.5 
000815  190804  47  12.9500 N  62  52.7300 W   1.6       12.1        2.2        6.5       62.5 
000815  190805  47  12.9500 N  62  52.7300 W   1.6       12.1        2.2        6.5       62.5 
000815  190806  47  12.9500 N  62  52.7300 W   1.6       12.1        2.2        6.5       62.5 
000815  190807  47  12.9500 N  62  52.7300 W   1.6       12.1        3.1*       6.5       62.5 
000815  190808  47  12.9500 N  62  52.7300 W   1.6       12.1        3.1        6.5       60.7*
000815  190809  47  12.9500 N  62  52.7300 W   1.6       12.1        3.1        6.5       60.7 
000815  190810  47  12.9500 N  62  52.7300 W   1.6       12.1        3.1        6.5       60.7 
000815  190811  47  12.9500 N  62  52.7300 W   1.6       12.1        3.1        6.5       60.7 
000815  190812  47  12.9500 N  62  52.7300 W   1.6       12.1        3.1        6.5       60.7 
000815  190813  47  12.9600 N  62  52.7300 W   1.6       12.1        3.1        6.5       64.7*
000815  190814  47  12.9600 N  62  52.7400 W   1.6       12.1        3.1        6.5       64.7 
000815  190815  47  12.9600 N  62  52.7400 W   1.7        7.1*       3.1        6.6*      64.7 
000815  190816  47  12.9600 N  62  52.7400 W   1.7        7.1        3.1        6.6       64.7 
000815  190817  47  12.9600 N  62  52.7400 W   1.7        7.1        3.1        6.6       64.7 
000815  190818  47  12.9600 N  62  52.7400 W   1.7        7.1        3.1        6.6       66.0*
000815  190819  47  12.9600 N  62  52.7400 W   1.7        7.1        3.1        6.6       66.0 
000815  190820  47  12.9600 N  62  52.7400 W   1.7        7.1        3.1        7.1*      66.0 
000815  190821  47  12.9600 N  62  52.7400 W   1.7        7.1        3.3*       7.1       66.0 
000815  190822  47  12.9600 N  62  52.7400 W   1.7        7.1        3.3        7.1       66.0 
000815  190823  47  12.9600 N  62  52.7400 W   1.7        7.1        3.3        7.1       66.0 
000815  190824  47  12.9600 N  62  52.7400 W   1.7        7.1        3.3        7.1       67.3*
000815  190825  47  12.9600 N  62  52.7400 W   1.7        7.1        3.3        7.7*      67.3 
000815  190826  47  12.9600 N  62  52.7400 W   1.7        7.1        3.3        7.7       67.3 
000815  190827  47  12.9600 N  62  52.7400 W   1.7        7.1        3.3        7.7       67.3 
000815  190828  47  12.9600 N  62  52.7400 W   1.7        3.6*       3.3        7.7       67.3 
000815  190829  47  12.9600 N  62  52.7400 W   1.7        3.6        3.3        7.7       67.7*
000815  190830  47  12.9600 N  62  52.7400 W   1.7        3.6        3.3        8.3*      67.7 
000815  190831  47  12.9600 N  62  52.7400 W   1.7        3.6        3.3        8.3       67.7 
000815  190832  47  12.9600 N  62  52.7400 W   1.7        3.6        3.3        8.3       67.7 
000815  190833  47  12.9600 N  62  52.7400 W   1.7        3.6        3.3        8.3       67.7 
000815  190834  47  12.9600 N  62  52.7400 W   1.8        3.6        3.3        8.3       67.7*
000815  190835  47  12.9600 N  62  52.7500 W   1.7        3.6        3.3        8.3       67.7 
000815  190836  47  12.9600 N  62  52.7500 W   1.7        3.6        3.3        8.2*      67.7 
000815  190837  47  12.9600 N  62  52.7500 W   1.8        3.6        3.3        8.2       67.7 
000815  190838  47  12.9600 N  62  52.7500 W   1.8        3.6        3.3        8.2       67.7 
000815  190839  47  12.9700 N  62  52.7500 W   1.8        3.6        3.3        8.2       67.7 
