FileName: C:\WINDOWS\DESKTOP\MARCEL~1\POS150.TXT
Local Time: Wed Aug 16 15:17:18 2000

Ship: Den C Martin Trip: August 16, 00 Tow: POS150
Comments: Nord-est du Cap Nord
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
000816  181327  47  22.4300 N  63  42.1900 W   1.7       11.6*       3.6*       6.3*      68.6*
000816  181328  47  22.4300 N  63  42.2000 W   1.7       11.6        3.6        6.3       68.6 
000816  181329  47  22.4300 N  63  42.2000 W   1.7       11.6        3.6        6.3       70.4*
000816  181330  47  22.4300 N  63  42.2000 W   1.7       11.6        3.6        6.3       70.4 
000816  181331  47  22.4300 N  63  42.2000 W   1.7        6.1*       3.6        6.3       70.4 
000816  181332  47  22.4300 N  63  42.2000 W   1.7        6.1        3.6        6.3       70.4 
000816  181333  47  22.4300 N  63  42.2000 W   1.7        6.1        3.6        6.3       70.4 
000816  181334  47  22.4300 N  63  42.2000 W   1.7        6.1        3.6        6.3       72.1*
000816  181335  47  22.4300 N  63  42.2000 W   1.7        6.1        3.6        6.3       72.1 
000816  181336  47  22.4400 N  63  42.2000 W   1.7        6.1        3.6        6.3       72.1 
000816  181337  47  22.4400 N  63  42.2000 W   1.7        6.1        3.6        7.9*      72.1 
000816  181338  47  22.4400 N  63  42.2000 W   1.8        6.1        3.6        7.9       72.1 
000816  181339  47  22.4400 N  63  42.2000 W   1.7        6.1        3.6        7.9       72.1*
000816  181340  47  22.4400 N  63  42.2000 W   1.7        6.1        3.6        7.9       72.1 
000816  181341  47  22.4400 N  63  42.2000 W   1.7        6.1        3.6        7.9       72.1 
000816  181342  47  22.4400 N  63  42.2000 W   1.8        6.1        3.6        9.7*      72.1 
000816  181343  47  22.4400 N  63  42.2000 W   1.8        6.1        3.6        9.7       72.1 
000816  181344  47  22.4400 N  63  42.2000 W   1.7        2.7*       3.6        9.7       72.1 
000816  181345  47  22.4400 N  63  42.2100 W   1.7        2.7        3.6        9.7       73.0*
000816  181346  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        9.7       73.0 
000816  181347  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        9.7       73.0 
000816  181348  47  22.4400 N  63  42.2100 W   1.7        2.7        3.6        7.3*      73.0 
000816  181349  47  22.4400 N  63  42.2100 W   1.7        2.7        3.6        7.3       73.0 
000816  181350  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       72.6*
000816  181351  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       72.6 
000816  181352  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       72.6 
000816  181353  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       72.6 
000816  181354  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       72.6 
000816  181355  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       73.9*
000816  181356  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       73.9 
000816  181357  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       73.9 
000816  181358  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       73.9 
000816  181359  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       73.9 
000816  181400  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       73.9 
000816  181401  47  22.4400 N  63  42.2100 W   1.8        2.7        3.6        7.3       74.8*
000816  181402  47  22.4400 N  63  42.2200 W   1.8        2.7        3.6        7.3       74.8 
000816  181403  47  22.4400 N  63  42.2200 W   1.8        2.7        3.6        7.3       74.8 
000816  181404  47  22.4500 N  63  42.2200 W   1.8        2.7        3.6       10.7*      74.8 
000816  181405  47  22.4500 N  63  42.2200 W   1.8        2.7        3.6       10.7       74.8 
000816  181406  47  22.4500 N  63  42.2200 W   1.8        2.7        3.6       10.7       73.0*
000816  181407  47  22.4500 N  63  42.2200 W   1.8        2.7        3.6       10.7       73.0 
000816  181408  47  22.4500 N  63  42.2200 W   1.8        2.7        3.6       10.7       73.0 
000816  181409  47  22.4500 N  63  42.2200 W   1.8        2.7        3.6       10.7       73.0 
000816  181410  47  22.4500 N  63  42.2200 W   1.8        2.2*       3.6       10.7       73.0 
000816  181411  47  22.4500 N  63  42.2200 W   1.8        2.2        3.6       10.7       73.0 
000816  181412  47  22.4500 N  63  42.2200 W   1.8        2.2        3.6       10.7       73.9*
000816  181413  47  22.4500 N  63  42.2200 W   1.8        2.2        3.6       10.7       73.9 
000816  181414  47  22.4500 N  63  42.2200 W   1.8        2.2        3.6       10.7       73.9 
000816  181415  47  22.4500 N  63  42.2200 W   1.8        2.2        3.6       10.7       73.9 
000816  181416  47  22.4500 N  63  42.2200 W   1.8        2.2        3.6       10.7       73.9 
000816  181417  47  22.4500 N  63  42.2200 W   1.8        2.2        3.6       10.7       74.3*
000816  181418  47  22.4500 N  63  42.2300 W   1.7        2.2        3.6       10.7       74.3 
000816  181419  47  22.4500 N  63  42.2300 W   1.7        2.2        3.6       10.7       74.3 
000816  181420  47  22.4500 N  63  42.2300 W   1.8        2.2        3.6       10.7       74.3 
000816  181421  47  22.4500 N  63  42.2300 W   1.7        2.2        3.6       10.7       74.3 
000816  181422  47  22.4500 N  63  42.2300 W   1.7        2.2        3.6       10.7       73.5*
000816  181423  47  22.4500 N  63  42.2300 W   1.7        2.1*       3.6       10.7       73.5 
