FileName: C:\WINDOWS\DESKTOP\MARCEL~1\POS191.TXT
Local Time: Mon Aug 28 06:08:44 2000

Ship: Den C Martin Trip: August 28, 00 Tow: POS191
Comments: Baie des Chaleurs
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
000828  090417  47  54.6400 N  65  35.0400 W   2.0       10.0*       3.0*       6.5*      48.4*
000828  090418  47  54.6400 N  65  35.0400 W   2.1       10.0        3.0        6.5       48.4 
000828  090419  47  54.6400 N  65  35.0400 W   2.1       10.0        3.0        6.5       48.4 
000828  090420  47  54.6400 N  65  35.0300 W   2.0       10.0        3.0        6.5       48.4 
000828  090421  47  54.6400 N  65  35.0300 W   2.1       10.0        3.0        6.5       48.4 
000828  090422  47  54.6400 N  65  35.0300 W   2.1       10.0        3.0        6.5       48.4 
000828  090423  47  54.6400 N  65  35.0300 W   2.1       10.0        3.0        6.5       48.4 
000828  090424  47  54.6400 N  65  35.0300 W   2.0       10.0        3.0        6.5       48.4 
000828  090425  47  54.6400 N  65  35.0300 W   2.0       10.0        3.0        6.5       48.4 
000828  090426  47  54.6400 N  65  35.0300 W   2.1       10.0        3.0        6.5       48.4 
000828  090427  47  54.6400 N  65  35.0300 W   2.1       10.0        3.0        7.8*      51.0*
000828  090428  47  54.6400 N  65  35.0300 W   2.0       10.0        3.0        7.8       51.0 
000828  090429  47  54.6400 N  65  35.0300 W   2.0       10.0        3.0        7.8       51.0 
000828  090430  47  54.6400 N  65  35.0300 W   2.1       10.0        3.0        7.8       51.0 
000828  090431  47  54.6400 N  65  35.0300 W   2.0       10.0        3.0        7.8       51.0 
000828  090432  47  54.6400 N  65  35.0200 W   2.0       10.0        3.0        8.1*      51.5*
000828  090433  47  54.6400 N  65  35.0200 W   2.0       10.0        3.0        8.1       51.5 
000828  090434  47  54.6400 N  65  35.0200 W   2.0       10.0        3.0        8.1       51.5 
000828  090435  47  54.6400 N  65  35.0200 W   2.0       10.0        3.0        8.1       51.5 
000828  090436  47  54.6300 N  65  35.0200 W   2.0       10.0        3.0        8.1       51.5 
000828  090437  47  54.6300 N  65  35.0200 W   2.0       10.0        3.0        8.6*      51.5 
000828  090438  47  54.6300 N  65  35.0200 W   2.0       10.0        3.0        8.6       53.2*
000828  090439  47  54.6300 N  65  35.0200 W   2.0       10.0        3.0        8.6       53.2 
000828  090440  47  54.6300 N  65  35.0200 W   2.0       10.0        3.0        8.6       53.2 
000828  090441  47  54.6300 N  65  35.0200 W   2.0       10.0        3.0        8.6       53.2 
000828  090442  47  54.6300 N  65  35.0200 W   2.0       10.0        3.0        8.6       53.2 
