FileName: C:\WINDOWS\DESKTOP\MARCEL~1\POS201.TXT
Local Time: Thu Aug 31 17:00:45 2000

Ship: Den C Martin Trip: August 31, 00 Tow: POS201
Comments: Western Bradelle Valley
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
000831  195610  47  45.4200 N  63   5.8800 W   1.7        3.3*       3.1*       6.7*      78.3*
000831  195611  47  45.4200 N  63   5.8800 W   1.7        3.3        3.1        6.7       78.3 
000831  195612  47  45.4200 N  63   5.8800 W   1.7        3.3        3.1        6.7       78.3 
000831  195613  47  45.4100 N  63   5.8800 W   1.7        3.3        3.1        6.7       80.5*
000831  195614  47  45.4100 N  63   5.8800 W   1.7        3.3        3.1        6.5*      80.5 
000831  195615  47  45.4100 N  63   5.8800 W   1.7        8.8*       3.1        6.5       80.5 
000831  195616  47  45.4100 N  63   5.8800 W   1.8        8.8        3.1        6.5       80.5 
000831  195617  47  45.4100 N  63   5.8800 W   1.8        8.8        3.1        6.5       80.5 
000831  195618  47  45.4100 N  63   5.8800 W   1.8        8.8        3.1        6.5       81.4*
000831  195619  47  45.4100 N  63   5.8800 W   1.8        8.8        3.1        7.0*      81.4 
000831  195620  47  45.4100 N  63   5.8800 W   1.8        8.8        3.1        7.0       81.4 
000831  195621  47  45.4100 N  63   5.8800 W   1.8        8.8        3.1*       7.0       81.4 
000831  195622  47  45.4100 N  63   5.8800 W   1.9        8.8        3.1        7.0       81.4 
000831  195623  47  45.4100 N  63   5.8800 W   1.8        8.8        3.1        7.0       81.4 
000831  195624  47  45.4100 N  63   5.8800 W   1.8        8.8        3.1        6.7*      83.6*
000831  195625  47  45.4100 N  63   5.8800 W   1.8        8.8        3.1        6.7       83.6 
000831  195626  47  45.4100 N  63   5.8800 W   1.9        8.8        3.1        6.7       83.6 
000831  195627  47  45.4100 N  63   5.8800 W   1.9        8.8        3.1        6.7       83.6 
000831  195628  47  45.4100 N  63   5.8800 W   1.9        4.3*       3.1        6.7       83.6 
000831  195629  47  45.4100 N  63   5.8800 W   1.9        4.3        3.1        7.4*      82.3*
000831  195630  47  45.4100 N  63   5.8800 W   1.9        4.3        3.1        7.4       82.3 
000831  195631  47  45.4100 N  63   5.8800 W   1.9        4.3        3.1        7.4       82.3 
000831  195632  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        7.4       82.3 
000831  195633  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        7.4       82.3 
000831  195634  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        7.4       82.3 
000831  195635  47  45.4000 N  63   5.8800 W   2.0        4.3        3.1        6.7*      85.8*
000831  195636  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        6.7       85.8 
000831  195637  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        6.7       85.8 
000831  195638  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        6.7       85.8 
000831  195639  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        6.7       85.8 
000831  195640  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        7.8*      84.0*
000831  195641  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        7.8       84.0 
000831  195642  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        7.8       84.0 
000831  195643  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        7.8       84.0 
000831  195644  47  45.4000 N  63   5.8800 W   1.9        4.3        3.1        7.8       84.0 
