FileName: C:\WINDOWS\DESKTOP\MARCEL~1\POS222.TXT
Local Time: Tue Sep 12 10:51:39 2000

Ship: Den C Martin Trip: September 12, 00 Tow: POS222
Comments: zone 18 off Inverness
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
000912  134620  46  19.0900 N  61  32.3700 W   1.6        2.1*       3.0*       9.8*      74.8*
000912  134621  46  19.0900 N  61  32.3700 W   1.6        2.1        3.0        9.8       74.8 
000912  134622  46  19.0900 N  61  32.3700 W   1.6        2.1        3.0        9.8       74.8 
000912  134623  46  19.0900 N  61  32.3700 W   1.6        2.1        3.0        9.8       74.8 
000912  134624  46  19.0900 N  61  32.3600 W   1.6        2.1        3.0        9.8       74.8 
000912  134625  46  19.0900 N  61  32.3600 W   1.5        2.1        3.0        9.8       74.8 
000912  134626  46  19.0900 N  61  32.3600 W   1.6        2.1        3.0        9.8       74.8 
000912  134627  46  19.0900 N  61  32.3600 W   1.6        2.1        3.0        9.8       74.8 
000912  134628  46  19.0900 N  61  32.3600 W   1.5        2.1        3.0        9.8       74.8 
000912  134629  46  19.0900 N  61  32.3600 W   1.5        2.1        3.0        9.8       74.8 
000912  134630  46  19.0900 N  61  32.3600 W   1.5        2.1        3.0        9.8       74.8 
000912  134631  46  19.0900 N  61  32.3600 W   1.5        6.7*       3.0        9.8       74.8 
000912  134632  46  19.0900 N  61  32.3600 W   1.5        6.7        3.0        9.8       74.8 
000912  134633  46  19.0900 N  61  32.3600 W   1.4        6.7        3.0        9.8       74.8 
000912  134634  46  19.0900 N  61  32.3600 W   1.4        6.7        3.0        9.8       74.8 
000912  134635  46  19.0900 N  61  32.3600 W   1.4        6.7        3.0        9.8       74.8*
000912  134636  46  19.0900 N  61  32.3600 W   1.4        6.7        3.0        9.8       74.8 
000912  134637  46  19.0900 N  61  32.3600 W   1.4        6.7        3.0        9.8       74.8 
000912  134638  46  19.0900 N  61  32.3600 W   1.3        6.7        3.0        9.8       74.8 
000912  134639  46  19.0900 N  61  32.3600 W   1.4        6.7        3.0        9.8       74.8 
000912  134640  46  19.0900 N  61  32.3600 W   1.4        6.7        3.0        9.8       75.2*
000912  134641  46  19.0900 N  61  32.3600 W   1.3        6.7        3.0        9.8       75.2 
000912  134642  46  19.0900 N  61  32.3600 W   1.3        6.7        3.0        9.8       75.2 
000912  134643  46  19.0900 N  61  32.3600 W   1.3        6.7        3.0        9.8       75.2 
000912  134644  46  19.0900 N  61  32.3600 W   1.3        6.7        3.0        9.8       75.2 
000912  134645  46  19.0900 N  61  32.3600 W   1.3        6.7        3.0        9.8       76.1*
000912  134646  46  19.0900 N  61  32.3600 W   1.4        6.7        3.0        9.8       76.1 
000912  134647  46  19.0900 N  61  32.3600 W   1.3        6.7        3.0        9.8       76.1 
