FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP009.TXT
Local Time: Wed Jun 26 16:55:56 2002

Ship: 001 Trip: GULF01 Tow: GP009
Comments: ZONE 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
020626  190950  47   4.1830 N  60  28.0390 W  10.0        7.7*       2.2*       3.3*      14.5*
020626  190950  47   4.1830 N  60  28.0390 W  10.0        7.7        2.2        3.3       14.5 
020626  190950  47   4.1830 N  60  28.0390 W  10.0        7.7        2.2        3.3       14.5 
020626  195558  47   5.9400 N  60  17.9130 W   0.4        7.7        2.2        3.3       14.5 
020626  195558  47   5.9400 N  60  17.9130 W   0.4        7.7        2.2        3.3       14.5 
020626  195558  47   5.9400 N  60  17.9130 W   0.4        7.7        2.2        3.3       14.5 
020626  195558  47   5.9400 N  60  17.9130 W   0.4        7.7        2.2        3.3       17.6*
020626  195558  47   5.9400 N  60  17.9130 W   0.4        7.7        2.2        3.3       17.6 
020626  195559  47   5.9400 N  60  17.9130 W   0.5        7.7        2.2        3.3       17.6 
020626  195559  47   5.9400 N  60  17.9130 W   0.5        7.7        2.2        3.3       17.6 
020626  195559  47   5.9400 N  60  17.9130 W   0.5        7.7        2.2        3.3       17.6 
020626  195559  47   5.9400 N  60  17.9130 W   0.5        7.7        2.2        3.3*      17.6 
020626  195559  47   5.9400 N  60  17.9130 W   0.5        7.7        2.2        3.3       17.6 
020626  195601  47   5.9400 N  60  17.9140 W   0.6        7.7        2.2        3.3       17.6 
020626  195601  47   5.9400 N  60  17.9140 W   0.6        7.7        2.2        3.3       17.6 
020626  195601  47   5.9400 N  60  17.9140 W   0.6        7.7        2.2        3.3       17.6 
020626  195601  47   5.9400 N  60  17.9140 W   0.6        7.7        2.2        3.3       17.6 
020626  195601  47   5.9400 N  60  17.9140 W   0.6        7.7        2.2        3.3       17.6 
020626  195603  47   5.9400 N  60  17.9140 W   0.6        7.7        2.2        3.3       17.6 
020626  195603  47   5.9400 N  60  17.9140 W   0.6        7.7        2.2        3.3       17.6 
020626  195603  47   5.9400 N  60  17.9140 W   0.6        7.7        2.2        3.3       15.0*
020626  195603  47   5.9400 N  60  17.9140 W   0.6        7.7        2.2        3.3       15.0 
020626  195603  47   5.9400 N  60  17.9140 W   0.6        7.7        2.2        3.3       15.0 
020626  195605  47   5.9400 N  60  17.9150 W   0.4        7.7        2.2        3.3       15.0 
020626  195605  47   5.9400 N  60  17.9150 W   0.4        7.7        2.2        3.3       15.0 
020626  195605  47   5.9400 N  60  17.9150 W   0.4        7.7        2.2        3.3       15.0 
020626  195605  47   5.9400 N  60  17.9150 W   0.4        7.7        2.2        2.6*      15.0 
020626  195605  47   5.9400 N  60  17.9150 W   0.4        7.7        2.2        2.6       15.0 
020626  195605  47   5.9400 N  60  17.9150 W   0.4        7.7        2.2        2.6       15.0 
020626  195605  47   5.9400 N  60  17.9150 W   0.4        7.7        2.2        2.6       15.0 
020626  195605  47   5.9400 N  60  17.9150 W   0.4        7.7        2.2        2.6       15.0 
020626  195605  47   5.9400 N  60  17.9150 W   0.4        7.7        2.2        2.6       15.0 
020626  195605  47   5.9400 N  60  17.9150 W   0.4        7.7        2.2        2.6       15.0 
020626  195608  47   5.9410 N  60  17.9160 W   0.5        7.7        2.2        2.6       15.0 
