FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP045.TXT
Local Time: Fri Jun 28 19:18:49 2002

Ship: 001 Trip: GULF01 Tow: GP045
Comments: ZONE 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
020628  213446  46  54.5780 N  61  14.0980 W   1.0       12.3        2.9*       2.9*      15.8*
020628  213446  46  54.5780 N  61  14.0980 W   1.0       12.3        2.9        2.9       15.8 
020628  213446  46  54.5780 N  61  14.0980 W   1.0       12.3        2.9        2.9       15.8 
020628  221851  46  59.1450 N  61   7.1300 W   2.8       12.3        2.9        2.9       15.8 
020628  221851  46  59.1450 N  61   7.1300 W   2.8       12.3        2.9        2.9       15.8 
020628  221851  46  59.1450 N  61   7.1300 W   2.8       12.3        2.9        2.9       16.7*
020628  221851  46  59.1450 N  61   7.1300 W   2.8       12.3        2.9        2.9       16.7 
020628  221851  46  59.1450 N  61   7.1300 W   2.8       12.3        2.9        2.9       16.7 
020628  221853  46  59.1460 N  61   7.1280 W   2.4       12.3        2.9        2.9       16.7 
020628  221853  46  59.1460 N  61   7.1280 W   2.4       12.3        2.9        2.9       16.7 
020628  221853  46  59.1460 N  61   7.1280 W   2.4       12.3        2.9        2.9       16.7 
020628  221853  46  59.1460 N  61   7.1280 W   2.4       12.3        2.9        2.9       16.7 
020628  221853  46  59.1460 N  61   7.1280 W   2.4       12.3        2.9       21.2*      16.7 
020628  221855  46  59.1470 N  61   7.1270 W   2.7       12.3        2.9       21.2       16.7 
020628  221855  46  59.1470 N  61   7.1270 W   2.7       12.3        2.9       21.2       16.7 
020628  221855  46  59.1470 N  61   7.1270 W   2.7       12.3        2.9       21.2       16.7 
020628  221855  46  59.1470 N  61   7.1270 W   2.7       12.3        2.9       21.2       18.0*
020628  221855  46  59.1470 N  61   7.1270 W   2.7       12.3        2.9       21.2       18.0 
020628  221857  46  59.1480 N  61   7.1250 W   2.2       12.3        2.9       21.2       18.0 
020628  221857  46  59.1480 N  61   7.1250 W   2.2       12.3        2.9       21.2       18.0 
020628  221857  46  59.1480 N  61   7.1250 W   2.2       12.3        2.9       21.2       18.0 
