FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP079.TXT
Local Time: Tue Jul 09 11:04:23 2002

Ship: 001 Trip: GULF01 Tow: GP079
Comments: ZONE 12 Sud-est du cap d'espoir
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
020709  130959  48  18.2870 N  64  12.9780 W   0.7        2.1       12.6*       2.5*       0.4*
020709  140425  48  18.1300 N  64   1.8440 W   1.8        2.1       12.6        2.5        0.4 
020709  140425  48  18.1300 N  64   1.8440 W   1.8        2.1       12.6        2.5        0.4 
020709  140425  48  18.1300 N  64   1.8440 W   1.8        2.1       12.6        2.5        0.4 
020709  140425  48  18.1300 N  64   1.8440 W   1.8        2.1       12.6        3.2*       0.4 
020709  140425  48  18.1300 N  64   1.8440 W   1.8        2.1       12.6        3.2        0.4 
020709  140427  48  18.1300 N  64   1.8420 W   2.0        2.1       12.6        3.2        0.4 
020709  140427  48  18.1300 N  64   1.8420 W   2.0        2.1       12.6        3.2        0.4 
020709  140427  48  18.1300 N  64   1.8420 W   2.0        2.1       12.6        3.2        0.4 
020709  140427  48  18.1300 N  64   1.8420 W   2.0        2.1       12.6        3.2        0.4 
020709  140427  48  18.1300 N  64   1.8420 W   2.0        2.1       12.6        3.2        0.4 
020709  140429  48  18.1300 N  64   1.8400 W   2.4        2.1       12.6        3.2        0.4 
020709  140429  48  18.1300 N  64   1.8400 W   2.4        2.1       12.6        3.2        0.4 
020709  140429  48  18.1300 N  64   1.8400 W   2.4        2.1       12.6        3.2        0.4 
020709  140429  48  18.1300 N  64   1.8400 W   2.4        2.1       12.6        3.2        0.4 
020709  140429  48  18.1300 N  64   1.8400 W   2.4        2.1       12.6        3.2        0.4 
020709  140429  48  18.1300 N  64   1.8400 W   2.4        2.1       12.6        3.2        0.4 
020709  140429  48  18.1300 N  64   1.8400 W   2.4        2.1       12.6        3.2        0.4 
020709  140429  48  18.1300 N  64   1.8400 W   2.4        2.1       12.6        3.2        0.4 
020709  140429  48  18.1300 N  64   1.8400 W   2.4        2.1       12.6        3.2        0.4 
020709  140431  48  18.1300 N  64   1.8390 W   1.6        2.1       12.6        3.2        0.4 
020709  140431  48  18.1300 N  64   1.8390 W   1.6        2.1       12.6        3.2        0.4 
020709  140431  48  18.1300 N  64   1.8390 W   1.6        2.1       12.6        2.6*       2.2*
020709  140431  48  18.1300 N  64   1.8390 W   1.6        2.1       12.6        2.6        2.2 
020709  140431  48  18.1300 N  64   1.8390 W   1.6        2.1       12.6        2.6        2.2 
020709  140431  48  18.1300 N  64   1.8390 W   1.6        2.1       12.6        2.6        2.2 
020709  140433  48  18.1300 N  64   1.8370 W   2.2        2.1       12.6        2.6        2.2 
020709  140433  48  18.1300 N  64   1.8370 W   2.2        2.1       12.6        2.6        2.2 
020709  140433  48  18.1300 N  64   1.8370 W   2.2        2.1       12.6        2.6        2.2 
020709  140433  48  18.1300 N  64   1.8370 W   2.2        2.1        2.4*       2.6        2.2 
020709  140433  48  18.1300 N  64   1.8370 W   2.2        2.1        2.4        2.6        2.2 
020709  140435  48  18.1300 N  64   1.8350 W   2.3        2.1        2.4        2.6        2.2 
020709  140435  48  18.1300 N  64   1.8350 W   2.3        2.1        2.4        2.6        2.2 
020709  140435  48  18.1300 N  64   1.8350 W   2.3        2.1        2.4        2.6        2.2 
020709  140435  48  18.1300 N  64   1.8350 W   2.3        2.1        2.4        2.6        3.1*
020709  140435  48  18.1300 N  64   1.8350 W   2.3        2.1        2.4        2.6*       3.1 
020709  140437  48  18.1300 N  64   1.8340 W   1.8        2.1        2.4        2.6        3.1 
020709  140437  48  18.1300 N  64   1.8340 W   1.8        2.1        2.4        2.6        3.1 
020709  140437  48  18.1300 N  64   1.8340 W   1.8        2.1        2.4        2.6        3.1 
020709  140437  48  18.1300 N  64   1.8340 W   1.8        2.1        2.4        2.6        3.1 
020709  140437  48  18.1300 N  64   1.8340 W   1.8        2.1        2.4        2.6        3.1 
020709  140439  48  18.1300 N  64   1.8320 W   2.3        2.1        2.4        2.6        3.1 
020709  140439  48  18.1300 N  64   1.8320 W   2.3        2.1        2.4        2.6        3.1 
020709  140439  48  18.1300 N  64   1.8320 W   2.3        2.1        2.4        2.6        3.1 
020709  140439  48  18.1300 N  64   1.8320 W   2.3        2.1        2.4        2.6        3.1 
020709  140439  48  18.1300 N  64   1.8320 W   2.3        2.1        2.4        2.6        3.1 
020709  140439  48  18.1300 N  64   1.8320 W   2.3        2.1        2.4        2.6        3.1 
020709  140439  48  18.1300 N  64   1.8320 W   2.3        2.1        2.4        2.6        3.1 
020709  140439  48  18.1300 N  64   1.8320 W   2.3        2.1        2.4        2.6        3.1 
020709  140439  48  18.1300 N  64   1.8320 W   2.3        5.0*       2.4        2.6        3.1 
020709  140441  48  18.1300 N  64   1.8300 W   2.0        5.0        2.4        2.6        3.1 
020709  140441  48  18.1300 N  64   1.8300 W   2.0        5.0        2.4        2.6        3.1 
020709  140441  48  18.1300 N  64   1.8300 W   2.0        5.0        2.4        2.6        3.1 
020709  140441  48  18.1300 N  64   1.8300 W   2.0        5.0        2.4        2.6        1.3*
020709  140441  48  18.1300 N  64   1.8300 W   2.0        5.0        2.4        2.6*       1.3 
020709  140441  48  18.1300 N  64   1.8300 W   2.0        5.0        2.4        2.6        1.3 
020709  140443  48  18.1300 N  64   1.8280 W   2.3        5.0        2.4        2.6        1.3 
020709  140443  48  18.1300 N  64   1.8280 W   2.3        5.0        2.4        2.6        1.3 
020709  140443  48  18.1300 N  64   1.8280 W   2.3        5.0        2.4        2.6        1.3 
020709  140443  48  18.1300 N  64   1.8280 W   2.3        5.0        2.4        2.6        1.3 
020709  140443  48  18.1300 N  64   1.8280 W   2.3        5.0        2.4        2.6        1.3 
020709  140445  48  18.1300 N  64   1.8270 W   2.0        5.0        2.4        2.6        1.3 
020709  140445  48  18.1300 N  64   1.8270 W   2.0        5.0        2.4        2.6        1.3 
020709  140445  48  18.1300 N  64   1.8270 W   2.0        5.0        2.4        2.6        1.3 
020709  140445  48  18.1300 N  64   1.8270 W   2.0        5.0        2.4        2.6        1.3 
020709  140445  48  18.1300 N  64   1.8270 W   2.0        5.0        3.0*       2.6        5.3*
020709  140447  48  18.1300 N  64   1.8250 W   2.2        5.0        3.0        2.4*       5.3 
020709  140447  48  18.1300 N  64   1.8250 W   2.2        5.0        3.0        2.4        5.3 
020709  140447  48  18.1300 N  64   1.8250 W   2.2        5.0        3.0        2.4        5.3 
020709  140447  48  18.1300 N  64   1.8250 W   2.2        5.0        3.0        2.4        5.3 
020709  140447  48  18.1300 N  64   1.8250 W   2.2        5.0        3.0        2.4        5.3 
020709  140449  48  18.1300 N  64   1.8230 W   2.4        5.0        3.0        2.4        5.3 
020709  140449  48  18.1300 N  64   1.8230 W   2.4        5.0        3.0        2.4        5.3 
020709  140449  48  18.1300 N  64   1.8230 W   2.4        5.0        3.0        2.4        5.3 
020709  140449  48  18.1300 N  64   1.8230 W   2.4        5.0        3.0        2.4        5.3 
020709  140449  48  18.1300 N  64   1.8230 W   2.4        5.0        3.0        2.4        5.3 
020709  140449  48  18.1300 N  64   1.8230 W   2.4        5.0        3.0        2.4        5.3 
020709  140449  48  18.1300 N  64   1.8230 W   2.4        5.0        3.0        2.4        5.3 
020709  140449  48  18.1300 N  64   1.8230 W   2.4        5.0        3.0        2.4        5.3 
020709  140449  48  18.1300 N  64   1.8230 W   2.4        5.0        3.0        2.4        5.3 
020709  140451  48  18.1310 N  64   1.8210 W   1.8        5.0        3.0        2.4        5.3 
020709  140451  48  18.1310 N  64   1.8210 W   1.8        5.0        3.0        2.4        5.3 
020709  140451  48  18.1310 N  64   1.8210 W   1.8        5.0        3.0        2.4        5.3 
020709  140451  48  18.1310 N  64   1.8210 W   1.8        5.0        3.0        2.4        5.3 
020709  140451  48  18.1310 N  64   1.8210 W   1.8        5.0        3.0        2.2*       2.2*
020709  140451  48  18.1310 N  64   1.8210 W   1.8        5.0        3.0        2.2        2.2 
020709  140453  48  18.1310 N  64   1.8190 W   2.4        5.0        3.0        2.2        2.2 
020709  140453  48  18.1310 N  64   1.8190 W   2.4        5.0        3.0        2.2        2.2 
020709  140453  48  18.1310 N  64   1.8190 W   2.4        5.0        3.0        2.2        2.2 
020709  140453  48  18.1310 N  64   1.8190 W   2.4        3.8*       3.0        2.2        2.2 
020709  140453  48  18.1310 N  64   1.8190 W   2.4        3.8        3.0        2.2        2.2 
020709  140455  48  18.1310 N  64   1.8180 W   2.2        3.8        3.0        2.2        2.2 
020709  140455  48  18.1310 N  64   1.8180 W   2.2        3.8        3.0        2.2        2.2 
020709  140455  48  18.1310 N  64   1.8180 W   2.2        3.8        3.0        2.2        2.2 
020709  140455  48  18.1310 N  64   1.8180 W   2.2        3.8        3.0        2.2        2.2 
020709  140455  48  18.1310 N  64   1.8180 W   2.2        3.8        3.0        2.2        2.2 
020709  140457  48  18.1310 N  64   1.8160 W   2.1        3.8        3.0        2.2        2.2 
020709  140457  48  18.1310 N  64   1.8160 W   2.1        3.8        3.0        2.2        2.2 
020709  140457  48  18.1310 N  64   1.8160 W   2.1        3.8        3.0        2.2*      10.6*
020709  140457  48  18.1310 N  64   1.8160 W   2.1        3.8        3.0        2.2       10.6 
020709  140457  48  18.1310 N  64   1.8160 W   2.1        3.8        3.0        2.2       10.6 
020709  140459  48  18.1310 N  64   1.8140 W   2.6        3.8        3.0        2.2       10.6 
020709  140459  48  18.1310 N  64   1.8140 W   2.6        3.8        3.0        2.2       10.6 
020709  140459  48  18.1310 N  64   1.8140 W   2.6        3.8        3.0        2.2       10.6 
020709  140459  48  18.1310 N  64   1.8140 W   2.6        3.8        3.0        2.2       10.6 
020709  140459  48  18.1310 N  64   1.8140 W   2.6        3.8        3.0        2.2       10.6 
020709  140459  48  18.1310 N  64   1.8140 W   2.6        3.8        3.0        2.2       10.6 
020709  140459  48  18.1310 N  64   1.8140 W   2.6        3.8        3.0        2.2       10.6 
020709  140459  48  18.1310 N  64   1.8140 W   2.6        3.8        3.2*       2.2       10.6 
020709  140459  48  18.1310 N  64   1.8140 W   2.6        3.8        3.2        2.2       10.6 
020709  140501  48  18.1310 N  64   1.8120 W   1.8        3.8        3.2        2.2       10.6 
020709  140501  48  18.1310 N  64   1.8120 W   1.8        3.8        3.2        2.2       10.6 
020709  140501  48  18.1310 N  64   1.8120 W   1.8        3.8        3.2        2.2       10.6 
020709  140501  48  18.1310 N  64   1.8120 W   1.8        3.8        3.2        2.2       10.6 
020709  140501  48  18.1310 N  64   1.8120 W   1.8        3.8        3.2        2.2       10.6 
020709  140501  48  18.1310 N  64   1.8120 W   1.8        3.8        3.2        2.2*      10.6 
020709  140503  48  18.1310 N  64   1.8100 W   2.6        3.8        3.2        2.2       10.6 
020709  140503  48  18.1310 N  64   1.8100 W   2.6        3.8        3.2        2.2       10.6 
020709  140503  48  18.1310 N  64   1.8100 W   2.6        3.8        3.2        2.2       10.6 
020709  140503  48  18.1310 N  64   1.8100 W   2.6        3.8        3.2        2.2       10.6 
