FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP081.TXT
Local Time: Tue Jul 09 13:06:59 2002

Ship: 001 Trip: GULF01 Tow: GP081
Comments: ZONE 12 Est du cap d'espoir
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
020709  151729  48  21.8850 N  64   5.9400 W   1.1        3.6*       2.8*      26.3*       5.7*
020709  151729  48  21.8850 N  64   5.9400 W   1.1        3.6        2.8       26.3        5.7 
020709  160701  48  26.0550 N  63  58.8160 W   1.7        3.6        2.8       26.3        5.7 
020709  160701  48  26.0550 N  63  58.8160 W   1.7        3.6        2.8       26.3        5.7 
020709  160701  48  26.0550 N  63  58.8160 W   1.7        3.6        2.8       26.3        5.7 
020709  160701  48  26.0550 N  63  58.8160 W   1.7        3.6        2.8       26.3        5.7 
020709  160701  48  26.0550 N  63  58.8160 W   1.7        3.6        2.8       26.3        5.7 
020709  160703  48  26.0560 N  63  58.8150 W   1.9        3.6        2.8       26.3        5.7 
020709  160703  48  26.0560 N  63  58.8150 W   1.9        3.6        2.8       26.3        5.7 
020709  160703  48  26.0560 N  63  58.8150 W   1.9        3.6        2.8       26.3        5.7 
020709  160703  48  26.0560 N  63  58.8150 W   1.9        3.6       11.7*      26.3        5.7 
020709  160703  48  26.0560 N  63  58.8150 W   1.9        3.6       11.7       26.3        5.7 
020709  160705  48  26.0560 N  63  58.8130 W   2.1        3.6       11.7       26.3        5.7 
020709  160705  48  26.0560 N  63  58.8130 W   2.1        3.6       11.7       26.3        5.7 
020709  160705  48  26.0560 N  63  58.8130 W   2.1        3.6       11.7       26.3        5.7 
020709  160705  48  26.0560 N  63  58.8130 W   2.1        3.6       11.7       26.3        5.7 
020709  160705  48  26.0560 N  63  58.8130 W   2.1        3.6       11.7       26.3        5.7 
020709  160705  48  26.0560 N  63  58.8130 W   2.1        3.6       11.7       26.3        5.7 
020709  160705  48  26.0560 N  63  58.8130 W   2.1        3.6       11.7       26.3        5.7 
020709  160705  48  26.0560 N  63  58.8130 W   2.1        3.6       11.7       26.3        5.7 
020709  160705  48  26.0560 N  63  58.8130 W   2.1        3.6       11.7       26.3        5.7 
020709  160707  48  26.0570 N  63  58.8120 W   1.9        3.6       11.7       26.3        5.7 
020709  160707  48  26.0570 N  63  58.8120 W   1.9        3.6       11.7       26.3        5.7 
020709  160707  48  26.0570 N  63  58.8120 W   1.9        3.6       11.7       26.3        5.7 
020709  160707  48  26.0570 N  63  58.8120 W   1.9        3.6       11.7       26.3        5.7 
020709  160707  48  26.0570 N  63  58.8120 W   1.9        3.6       11.7       26.3        5.7 
020709  160707  48  26.0570 N  63  58.8120 W   1.9        3.6       11.7       26.3        5.7 
020709  160709  48  26.0570 N  63  58.8100 W   2.2        3.6       11.7       26.3        5.7 
020709  160709  48  26.0570 N  63  58.8100 W   2.2        3.6       11.7       26.3        5.7 
020709  160709  48  26.0570 N  63  58.8100 W   2.2        3.6       11.7       26.3        5.7 
020709  160709  48  26.0570 N  63  58.8100 W   2.2        3.6        3.5*       2.5*      10.6*
020709  160709  48  26.0570 N  63  58.8100 W   2.2        3.6        3.5        2.5       10.6 
020709  160711  48  26.0580 N  63  58.8090 W   2.1        3.6        3.5        2.5       10.6 
020709  160711  48  26.0580 N  63  58.8090 W   2.1        3.6        3.5        2.5       10.6 
020709  160711  48  26.0580 N  63  58.8090 W   2.1        3.6        3.5        2.5       10.6 
020709  160711  48  26.0580 N  63  58.8090 W   2.1        3.6        3.5        2.5       10.6 
020709  160711  48  26.0580 N  63  58.8090 W   2.1        3.6        3.5        2.5       10.6 
020709  160713  48  26.0580 N  63  58.8070 W   2.0        3.6        3.5        2.5       10.6 
020709  160713  48  26.0580 N  63  58.8070 W   2.0        3.6        3.5        2.5       10.6 
020709  160713  48  26.0580 N  63  58.8070 W   2.0        3.6        3.5        2.5       10.6 
020709  160713  48  26.0580 N  63  58.8070 W   2.0        3.6        3.5        2.5       10.6 
020709  160713  48  26.0580 N  63  58.8070 W   2.0        3.6        3.5        2.5       10.6 
020709  160715  48  26.0590 N  63  58.8060 W   2.6        3.6        3.5        2.5       10.6 
020709  160715  48  26.0590 N  63  58.8060 W   2.6        3.6        3.5        2.5       10.6 
020709  160715  48  26.0590 N  63  58.8060 W   2.6        3.6        3.5        2.5       10.6 
020709  160715  48  26.0590 N  63  58.8060 W   2.6        3.6        3.5        2.0*      10.6 
020709  160715  48  26.0590 N  63  58.8060 W   2.6        3.6        3.5        2.0       10.6 
020709  160715  48  26.0590 N  63  58.8060 W   2.6        3.6        3.5        2.0       10.6 
020709  160715  48  26.0590 N  63  58.8060 W   2.6        3.6        3.5        2.0       10.6 
020709  160715  48  26.0590 N  63  58.8060 W   2.6        3.6        3.5        2.0      113.9*
020709  160715  48  26.0590 N  63  58.8060 W   2.6        3.6        3.5        2.0      113.9 
020709  160717  48  26.0600 N  63  58.8040 W   1.8        3.6        3.5        2.0      113.9 
020709  160717  48  26.0600 N  63  58.8040 W   1.8        3.6        3.5        2.0      113.9 
020709  160717  48  26.0600 N  63  58.8040 W   1.8        3.6        3.5        2.0      113.9 
020709  160717  48  26.0600 N  63  58.8040 W   1.8        3.6        3.5        2.0      113.9 
020709  160717  48  26.0600 N  63  58.8040 W   1.8        4.8*       3.5        2.0      113.9 
020709  160717  48  26.0600 N  63  58.8040 W   1.8        4.8        3.5        2.0      113.9 
020709  160719  48  26.0600 N  63  58.8030 W   2.4        4.8        3.5        2.0      113.9 
020709  160719  48  26.0600 N  63  58.8030 W   2.4        4.8        3.5        2.0      113.9 
020709  160719  48  26.0600 N  63  58.8030 W   2.4        4.8        3.5        2.0      113.9 
020709  160719  48  26.0600 N  63  58.8030 W   2.4        4.8        3.5        2.6*     113.9 
020709  160719  48  26.0600 N  63  58.8030 W   2.4        4.8        3.5        2.6      113.9 
020709  160721  48  26.0610 N  63  58.8010 W   2.4        4.8        3.5        2.6      113.9 
020709  160721  48  26.0610 N  63  58.8010 W   2.4        4.8        3.5        2.6      113.9 
020709  160721  48  26.0610 N  63  58.8010 W   2.4        4.8        3.5        2.6      113.9 
020709  160721  48  26.0610 N  63  58.8010 W   2.4        4.8        3.5        2.6      113.9 
020709  160721  48  26.0610 N  63  58.8010 W   2.4        4.8        3.5        2.6      113.9 
020709  160723  48  26.0620 N  63  58.7990 W   2.0        4.8        3.5        2.6      113.9 
020709  160723  48  26.0620 N  63  58.7990 W   2.0        4.8        3.5        2.6      113.9 
020709  160723  48  26.0620 N  63  58.7990 W   2.0        4.8        3.5        2.6      113.9 
020709  160723  48  26.0620 N  63  58.7990 W   2.0        4.8        2.6*       2.6      113.9 
020709  160723  48  26.0620 N  63  58.7990 W   2.0        4.8        2.6        2.6      113.9 
020709  160725  48  26.0630 N  63  58.7980 W   2.8        4.8        2.6        2.6      113.9 
020709  160725  48  26.0630 N  63  58.7980 W   2.8        4.8        2.6        2.6      113.9 
020709  160725  48  26.0630 N  63  58.7980 W   2.8        4.8        2.6        2.6      113.9 
020709  160725  48  26.0630 N  63  58.7980 W   2.8        4.8        2.6        2.6      113.9 
020709  160725  48  26.0630 N  63  58.7980 W   2.8        4.8        2.6        2.6      113.9 
020709  160725  48  26.0630 N  63  58.7980 W   2.8        4.8        2.6        2.6      113.9 
020709  160725  48  26.0630 N  63  58.7980 W   2.8        4.8        2.6        2.2*     113.9 
020709  160725  48  26.0630 N  63  58.7980 W   2.8        4.8        2.6        2.2      113.9 
020709  160725  48  26.0630 N  63  58.7980 W   2.8        4.8        2.6        2.2       12.8*
020709  160727  48  26.0630 N  63  58.7960 W   1.8        4.8        2.6        2.2       12.8 
020709  160727  48  26.0630 N  63  58.7960 W   1.8        4.8        2.6        2.2       12.8 
020709  160727  48  26.0630 N  63  58.7960 W   1.8        4.8        2.6        2.2       12.8 
020709  160727  48  26.0630 N  63  58.7960 W   1.8        4.8        2.6        2.2       12.8 
020709  160727  48  26.0630 N  63  58.7960 W   1.8        4.8        2.6        2.2       12.8 
020709  160727  48  26.0630 N  63  58.7960 W   1.8        4.8        2.6        2.2       12.8 
020709  160729  48  26.0640 N  63  58.7950 W   2.8        4.8        2.6        2.2       12.8 
020709  160729  48  26.0640 N  63  58.7950 W   2.8        4.8        2.6        2.2       12.8 
020709  160729  48  26.0640 N  63  58.7950 W   2.8        4.8        2.6        2.2       12.8 
020709  160729  48  26.0640 N  63  58.7950 W   2.8        4.8        2.6        2.2       12.8 
020709  160729  48  26.0640 N  63  58.7950 W   2.8        4.8        2.6        2.2       12.8 
020709  160731  48  26.0650 N  63  58.7930 W   1.9        4.8        2.6        1.7*      12.8 
020709  160731  48  26.0650 N  63  58.7930 W   1.9        4.8        2.6        1.7       12.8 
020709  160731  48  26.0650 N  63  58.7930 W   1.9        4.6*       2.6        1.7       12.8 
020709  160731  48  26.0650 N  63  58.7930 W   1.9        4.6        2.6        1.7       12.3*
020709  160731  48  26.0650 N  63  58.7930 W   1.9        4.6        2.6        1.7       12.3 
