FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP087.TXT
Local Time: Tue Jul 09 19:07:39 2002

Ship: 001 Trip: GULF01 Tow: GP087
Comments: ZONE 12 Baie de la Malbaie NT
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
020709  214225  48  34.4990 N  64  11.1850 W   1.6        3.7*      11.5*       2.6*       3.5*
020709  214225  48  34.4990 N  64  11.1850 W   1.6        3.7       11.5        2.6        3.5 
020709  214225  48  34.4990 N  64  11.1850 W   1.6        3.7       11.5        2.6        3.5 
020709  214225  48  34.4990 N  64  11.1850 W   1.6        3.7       11.5        2.6        3.5 
020709  220744  48  35.8120 N  64  12.5460 W   2.1        3.7       11.5        2.6        3.5 
020709  220744  48  35.8120 N  64  12.5460 W   2.1        3.7       11.5        2.6        3.5 
020709  220744  48  35.8120 N  64  12.5460 W   2.1        3.7       11.5        2.6        3.5 
020709  220744  48  35.8120 N  64  12.5460 W   2.1        3.7       11.5        2.6        3.5 
020709  220744  48  35.8120 N  64  12.5460 W   2.1        3.7       11.5        2.6        3.5 
020709  220746  48  35.8110 N  64  12.5470 W   2.3        3.7       11.5        2.6        3.5 
020709  220746  48  35.8110 N  64  12.5470 W   2.3        3.7       11.5        2.6        3.5 
020709  220746  48  35.8110 N  64  12.5470 W   2.3        3.7       11.5        2.6        3.5 
020709  220746  48  35.8110 N  64  12.5470 W   2.3        3.7       11.5        2.6        3.5 
020709  220746  48  35.8110 N  64  12.5470 W   2.3        3.7       11.5        2.6        3.5 
020709  220746  48  35.8110 N  64  12.5470 W   2.3        3.7       11.5        2.6       10.1*
020709  220746  48  35.8110 N  64  12.5470 W   2.3        3.7       11.5        2.6       10.1 
020709  220746  48  35.8110 N  64  12.5470 W   2.3        3.7       11.5        2.6       10.1 
020709  220748  48  35.8100 N  64  12.5480 W   2.0        3.7       11.5        3.5*      10.1 
020709  220748  48  35.8100 N  64  12.5480 W   2.0        3.7       11.5        3.5       10.1 
020709  220748  48  35.8100 N  64  12.5480 W   2.0        3.7       11.5        3.5       10.1 
020709  220748  48  35.8100 N  64  12.5480 W   2.0        3.7       11.5        3.5       10.1 
020709  220748  48  35.8100 N  64  12.5480 W   2.0        3.7       11.5        3.5       10.1 
020709  220748  48  35.8100 N  64  12.5480 W   2.0        3.7       11.5        3.5       10.1 
020709  220750  48  35.8090 N  64  12.5490 W   1.9        3.7       11.5        3.5       10.1 
020709  220750  48  35.8090 N  64  12.5490 W   1.9        3.7       11.5        3.5       10.1 
020709  220750  48  35.8090 N  64  12.5490 W   1.9        3.7       11.5        3.5       10.1 
020709  220750  48  35.8090 N  64  12.5490 W   1.9        3.7       11.5        3.5       10.1 
020709  220750  48  35.8090 N  64  12.5490 W   1.9        3.7       11.5        3.5        1.3*
020709  220752  48  35.8080 N  64  12.5500 W   2.3        3.7       11.5        3.5        1.3 
020709  220752  48  35.8080 N  64  12.5500 W   2.3        3.7       11.5        3.5        1.3 
020709  220752  48  35.8080 N  64  12.5500 W   2.3        3.7       11.5        3.5        1.3 
020709  220752  48  35.8080 N  64  12.5500 W   2.3        3.7       11.5        3.1*       1.3 
020709  220752  48  35.8080 N  64  12.5500 W   2.3        3.7       11.5        3.1        1.3 
020709  220754  48  35.8070 N  64  12.5510 W   1.8        3.7       11.5        3.1        1.3 
020709  220754  48  35.8070 N  64  12.5510 W   1.8        3.7       11.5        3.1        1.3 
020709  220754  48  35.8070 N  64  12.5510 W   1.8        3.7       11.5        3.1        1.3 
020709  220754  48  35.8070 N  64  12.5510 W   1.8        3.7       11.5        3.1        1.3 
020709  220754  48  35.8070 N  64  12.5510 W   1.8        3.7       11.5        3.1        1.3 
020709  220756  48  35.8060 N  64  12.5520 W   1.7        3.7       11.5        3.1        1.3 
020709  220756  48  35.8060 N  64  12.5520 W   1.7        3.7       11.5        3.1        1.3 
