FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP142.TXT
Local Time: Fri Jul 26 10:34:13 2002

Ship: GULF2002 Trip: TRIP002 Tow: GP142
Comments: ZONE PEI NORD DE LA POINTE DE L'EST
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary      Depth 
020726  125842  46  45.3300 N  62   6.0200 W   0.9        4.0*       3.1*       1.3*
020726  125842  46  45.3300 N  62   6.0200 W   0.9        4.0        3.1        1.3 
020726  133416  46  48.2560 N  62   1.1570 W   2.7        4.0        3.1        1.3 
020726  133416  46  48.2560 N  62   1.1570 W   2.7        4.0        3.1        1.3 
020726  133416  46  48.2560 N  62   1.1570 W   2.7        4.0        3.1        1.3 
020726  133416  46  48.2560 N  62   1.1570 W   2.7        4.0        3.1        1.3 
020726  133416  46  48.2560 N  62   1.1570 W   2.7        4.0        3.1       47.1*
020726  133418  46  48.2570 N  62   1.1590 W   2.8        4.0        3.1       47.1 
020726  133418  46  48.2570 N  62   1.1590 W   2.8        4.0        3.1       47.1 
020726  133418  46  48.2570 N  62   1.1590 W   2.8        4.0        2.6*      47.1 
020726  133418  46  48.2570 N  62   1.1590 W   2.8        4.0        2.6       47.1 
020726  133418  46  48.2570 N  62   1.1590 W   2.8        4.0        2.6       47.1 
020726  133418  46  48.2570 N  62   1.1590 W   2.8        4.0        2.6       47.1 
020726  133420  46  48.2570 N  62   1.1620 W   2.7        4.0        2.6       47.1 
020726  133420  46  48.2570 N  62   1.1620 W   2.7        4.0        2.6       47.1 
020726  133420  46  48.2570 N  62   1.1620 W   2.7        4.0        2.6       47.1 
020726  133420  46  48.2570 N  62   1.1620 W   2.7        4.0        2.6       47.1 
020726  133420  46  48.2570 N  62   1.1620 W   2.7        4.0        2.6       47.1 
020726  133422  46  48.2570 N  62   1.1640 W   2.6        4.0        2.6       47.1 
020726  133422  46  48.2570 N  62   1.1640 W   2.6        4.0        2.6       47.1 
020726  133422  46  48.2570 N  62   1.1640 W   2.6        4.0        2.6       47.1 
020726  133422  46  48.2570 N  62   1.1640 W   2.6        4.0        2.6       47.1 
020726  133422  46  48.2570 N  62   1.1640 W   2.6        4.0        2.6       47.1 
020726  133424  46  48.2580 N  62   1.1660 W   2.4        4.0        2.6       47.1 
020726  133424  46  48.2580 N  62   1.1660 W   2.4        4.0        2.6       47.1 
020726  133424  46  48.2580 N  62   1.1660 W   2.4        4.0        2.6       47.1 
020726  133424  46  48.2580 N  62   1.1660 W   2.4        4.0        2.6       47.1 
020726  133424  46  48.2580 N  62   1.1660 W   2.4        4.0        2.6       47.1 
020726  133424  46  48.2580 N  62   1.1660 W   2.4        4.0        2.6       47.1 
020726  133424  46  48.2580 N  62   1.1660 W   2.4        4.0        2.6       47.1 
020726  133424  46  48.2580 N  62   1.1660 W   2.4        3.8*       2.6       47.1 
020726  133424  46  48.2580 N  62   1.1660 W   2.4        3.8        2.6       47.1 
020726  133426  46  48.2580 N  62   1.1670 W   2.3        3.8        2.6       47.1 
020726  133426  46  48.2580 N  62   1.1670 W   2.3        3.8        2.6       47.1 
020726  133426  46  48.2580 N  62   1.1670 W   2.3        3.8        2.6       47.1 
020726  133426  46  48.2580 N  62   1.1670 W   2.3        3.8        2.6       47.1 
020726  133426  46  48.2580 N  62   1.1670 W   2.3        3.8        2.6       47.1 
020726  133428  46  48.2580 N  62   1.1690 W   2.1        3.8        2.6       47.1 
020726  133428  46  48.2580 N  62   1.1690 W   2.1        3.8        2.6       47.1 
020726  133428  46  48.2580 N  62   1.1690 W   2.1        3.8        2.6       47.1 
020726  133428  46  48.2580 N  62   1.1690 W   2.1        3.8        2.6       47.1 
020726  133428  46  48.2580 N  62   1.1690 W   2.1        3.8        2.6       47.1 
020726  133428  46  48.2580 N  62   1.1690 W   2.1        3.8        2.6       47.1 
020726  133430  46  48.2580 N  62   1.1710 W   2.2        3.8        2.6       47.1 
