FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP172.TXT
Local Time: Sun Jul 28 10:30:02 2002

Ship: GULF2002 Trip: TRIP002 Tow: GP172
Comments: EST DE SHEDIAC VALLEY
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
020728  122631  47  29.2020 N  64   0.9280 W   1.3        2.8*       2.2*       8.5*       1.8*
020728  122631  47  29.2020 N  64   0.9280 W   1.3        2.8        2.2        8.5        1.8 
020728  122631  47  29.2020 N  64   0.9280 W   1.3        2.8        2.2        8.5        1.8 
020728  133004  47  34.8000 N  63  51.0190 W   2.6        2.8        2.2        8.5        1.8 
020728  133004  47  34.8000 N  63  51.0190 W   2.6        2.8        2.2        8.5        1.8 
020728  133004  47  34.8000 N  63  51.0190 W   2.6        2.8        2.2        8.5        1.8 
020728  133004  47  34.8000 N  63  51.0190 W   2.6        2.8        2.2        8.5        3.5*
020728  133004  47  34.8000 N  63  51.0190 W   2.6        2.8        2.2        8.5        3.5 
020728  133006  47  34.7990 N  63  51.0170 W   2.3        2.8        2.2        8.5        3.5 
020728  133006  47  34.7990 N  63  51.0170 W   2.3        2.8        2.2        8.5        3.5 
020728  133006  47  34.7990 N  63  51.0170 W   2.3        2.8        2.2        8.5        3.5 
020728  133006  47  34.7990 N  63  51.0170 W   2.3        2.8        2.2        8.5        3.5 
020728  133006  47  34.7990 N  63  51.0170 W   2.3        2.8        2.2        8.5        3.5 
020728  133008  47  34.7990 N  63  51.0150 W   2.3        2.8        2.2        8.5        3.5 
020728  133008  47  34.7990 N  63  51.0150 W   2.3        2.8        2.2        8.5        3.5 
020728  133008  47  34.7990 N  63  51.0150 W   2.3        2.8        2.2        8.5        3.5 
020728  133008  47  34.7990 N  63  51.0150 W   2.3        2.8        2.2        8.5        3.5 
020728  133008  47  34.7990 N  63  51.0150 W   2.3        2.8        2.2        8.5        3.5 
020728  133008  47  34.7990 N  63  51.0150 W   2.3        2.8        2.2        8.5        3.5 
020728  133008  47  34.7990 N  63  51.0150 W   2.3        2.8        2.2        8.5        3.5 
020728  133008  47  34.7990 N  63  51.0150 W   2.3        2.8       11.1*       8.5        3.5 
020728  133008  47  34.7990 N  63  51.0150 W   2.3        2.8       11.1        8.5        3.5 
020728  133010  47  34.7990 N  63  51.0130 W   2.3        2.8       11.1        8.5        3.5 
020728  133010  47  34.7990 N  63  51.0130 W   2.3        2.8       11.1        8.5        3.5 
020728  133010  47  34.7990 N  63  51.0130 W   2.3        2.8       11.1        8.5        0.4*
020728  133010  47  34.7990 N  63  51.0130 W   2.3        2.8       11.1        8.5        0.4 
020728  133010  47  34.7990 N  63  51.0130 W   2.3        2.8       11.1        8.5        0.4 
020728  133012  47  34.7990 N  63  51.0110 W   2.3        2.8       11.1        8.5        0.4 
020728  133012  47  34.7990 N  63  51.0110 W   2.3        2.8       11.1        8.5        0.4 
020728  133012  47  34.7990 N  63  51.0110 W   2.3        2.8       11.1        8.5        0.4 
020728  133012  47  34.7990 N  63  51.0110 W   2.3        2.8       11.1        8.5        0.4 
020728  133012  47  34.7990 N  63  51.0110 W   2.3        2.8       11.1        8.5        0.4 
020728  133012  47  34.7990 N  63  51.0110 W   2.3        2.8       11.1        2.0*       0.4 
020728  133014  47  34.7990 N  63  51.0090 W   2.1        2.8       11.1        2.0        0.4 
020728  133014  47  34.7990 N  63  51.0090 W   2.1        2.8       11.1        2.0        0.4 
020728  133014  47  34.7990 N  63  51.0090 W   2.1        2.8       11.1        2.0        0.4 
020728  133014  47  34.7990 N  63  51.0090 W   2.1        2.8        2.3*       2.0        0.4 
020728  133014  47  34.7990 N  63  51.0090 W   2.1        2.8        2.3        2.0        0.4 
020728  133016  47  34.7990 N  63  51.0070 W   2.4        2.8        2.3        2.0      130.2*
020728  133016  47  34.7990 N  63  51.0070 W   2.4        2.8        2.3        2.0      130.2 
020728  133016  47  34.7990 N  63  51.0070 W   2.4        2.8        2.3        2.0      130.2 
020728  133016  47  34.7990 N  63  51.0070 W   2.4        2.8        2.3        2.0      130.2 
020728  133016  47  34.7990 N  63  51.0070 W   2.4        2.8        2.3        2.0      130.2 
020728  133018  47  34.7990 N  63  51.0060 W   1.9        2.8        2.3        2.0      130.2 
020728  133018  47  34.7990 N  63  51.0060 W   1.9        2.8        2.3        2.0      130.2 
020728  133018  47  34.7990 N  63  51.0060 W   1.9        2.8        2.3        2.0      130.2 
020728  133018  47  34.7990 N  63  51.0060 W   1.9        2.8        2.3        2.0      130.2 
020728  133018  47  34.7990 N  63  51.0060 W   1.9        2.8        2.3        2.0      130.2 
020728  133018  47  34.7990 N  63  51.0060 W   1.9        2.8        2.3        2.0      130.2 
020728  133018  47  34.7990 N  63  51.0060 W   1.9        2.8        2.3        2.0      130.2 
020728  133018  47  34.7990 N  63  51.0060 W   1.9        2.8        2.3        2.0*     130.2 
020728  133018  47  34.7990 N  63  51.0060 W   1.9        2.8        2.3        2.0      130.2 
020728  133020  47  34.7980 N  63  51.0040 W   2.2        2.8        2.3        2.0      130.2 
020728  133020  47  34.7980 N  63  51.0040 W   2.2        2.8        2.3        2.0      130.2 
020728  133020  47  34.7980 N  63  51.0040 W   2.2        2.8        2.3        2.0      130.2 
020728  133020  47  34.7980 N  63  51.0040 W   2.2        2.8        2.3        2.0      130.2 
020728  133020  47  34.7980 N  63  51.0040 W   2.2        2.8        2.3        2.0      130.2 
020728  133022  47  34.7980 N  63  51.0020 W   2.2        2.9*       2.3        2.0      130.2 
020728  133022  47  34.7980 N  63  51.0020 W   2.2        2.9        2.3        2.0      130.2 
020728  133022  47  34.7980 N  63  51.0020 W   2.2        2.9        2.3        2.0      130.2 
020728  133022  47  34.7980 N  63  51.0020 W   2.2        2.9        2.3        2.0      130.2 
020728  133022  47  34.7980 N  63  51.0020 W   2.2        2.9        2.3        2.0      130.2 
020728  133022  47  34.7980 N  63  51.0020 W   2.2        2.9        2.3        2.0      130.2 
020728  133024  47  34.7980 N  63  51.0000 W   2.3        2.9        2.3        2.0      130.2 
020728  133024  47  34.7980 N  63  51.0000 W   2.3        2.9        2.3        2.0      130.2 
020728  133024  47  34.7980 N  63  51.0000 W   2.3        2.9        2.3        1.3*     130.2 
020728  133024  47  34.7980 N  63  51.0000 W   2.3        2.9        2.3        1.3      130.2 
020728  133024  47  34.7980 N  63  51.0000 W   2.3        2.9        2.3        1.3      130.2 
020728  133026  47  34.7980 N  63  50.9980 W   2.6        2.9        2.3        1.3      130.2 
020728  133026  47  34.7980 N  63  50.9980 W   2.6        2.9        2.3        1.3      130.2 
020728  133026  47  34.7980 N  63  50.9980 W   2.6        2.9        2.3        1.3        4.8*
020728  133026  47  34.7980 N  63  50.9980 W   2.6        2.9        2.3        1.3        4.8 
020728  133026  47  34.7980 N  63  50.9980 W   2.6        2.9        2.3        1.3        4.8 
020728  133028  47  34.7980 N  63  50.9960 W   2.6        2.9        2.3        1.3        4.8 
020728  133028  47  34.7980 N  63  50.9960 W   2.6        2.9        2.3        1.3        4.8 
020728  133028  47  34.7980 N  63  50.9960 W   2.6        2.9        2.3        1.3        4.8 
020728  133028  47  34.7980 N  63  50.9960 W   2.6        2.9        2.3        1.3        4.8 
020728  133028  47  34.7980 N  63  50.9960 W   2.6        2.9        2.3        1.3        4.8 
020728  133028  47  34.7980 N  63  50.9960 W   2.6        2.9        2.3        1.3        4.8 
020728  133028  47  34.7980 N  63  50.9960 W   2.6        2.9        2.3        1.3        4.8 
020728  133028  47  34.7980 N  63  50.9960 W   2.6        2.9        2.3        2.3*       4.8 
020728  133028  47  34.7980 N  63  50.9960 W   2.6        2.9        2.3        2.3        4.8 
020728  133030  47  34.7980 N  63  50.9940 W   2.8        2.9        2.3        2.3        4.8 
020728  133030  47  34.7980 N  63  50.9940 W   2.8        2.9        2.3        2.3        4.8 
020728  133030  47  34.7980 N  63  50.9940 W   2.8        2.9        2.3        2.3        4.8 
020728  133030  47  34.7980 N  63  50.9940 W   2.8        2.9        2.3        2.3        5.3*
020728  133030  47  34.7980 N  63  50.9940 W   2.8        2.9        2.3        2.3        5.3 
020728  133032  47  34.7970 N  63  50.9920 W   2.9        2.9        2.3        2.3        5.3 
020728  133032  47  34.7970 N  63  50.9920 W   2.9        2.9        2.3        2.3        5.3 
020728  133032  47  34.7970 N  63  50.9920 W   2.9        2.9        2.3        2.3        5.3 
020728  133032  47  34.7970 N  63  50.9920 W   2.9        2.9        2.3        2.3        5.3 
020728  133032  47  34.7970 N  63  50.9920 W   2.9        2.9        2.3        2.3        5.3 
020728  133032  47  34.7970 N  63  50.9920 W   2.9        2.9       10.5*       2.3        5.3 
020728  133034  47  34.7970 N  63  50.9900 W   2.7        2.9       10.5        2.3        5.3 
020728  133034  47  34.7970 N  63  50.9900 W   2.7        2.9       10.5        2.3        5.3 
020728  133034  47  34.7970 N  63  50.9900 W   2.7        2.9       10.5        2.3*       5.3 
020728  133034  47  34.7970 N  63  50.9900 W   2.7        2.9       10.5        2.3        5.3 
020728  133034  47  34.7970 N  63  50.9900 W   2.7        2.9       10.5        2.3        5.3 
020728  133036  47  34.7970 N  63  50.9870 W   2.6        2.9       10.5        2.3        5.3 
020728  133036  47  34.7970 N  63  50.9870 W   2.6        2.9       10.5        2.3        5.3 
020728  133036  47  34.7970 N  63  50.9870 W   2.6        2.9       10.5        2.3        5.3 
020728  133036  47  34.7970 N  63  50.9870 W   2.6        2.9       10.5        2.3        7.9*
020728  133036  47  34.7970 N  63  50.9870 W   2.6        2.9       10.5        2.3        7.9 
