FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP199.TXT
Local Time: Mon Aug 12 19:20:34 2002

Ship: GULF2002 Trip: TRIP003 Tow: GP199
Comments: Sud du banc Orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
020812  212530  48   8.2410 N  63   9.2320 W   2.5        3.9*       4.3*       2.9*       2.6*
020812  222038  48   4.3050 N  63  18.2630 W   1.9        3.9        4.3        2.9        2.6 
020812  222038  48   4.3050 N  63  18.2630 W   1.9        3.9        4.3        2.9        2.6 
020812  222038  48   4.3050 N  63  18.2630 W   1.9        3.9        4.3        2.9        2.6 
020812  222038  48   4.3050 N  63  18.2630 W   1.9        3.9        4.3        2.9        2.6 
020812  222038  48   4.3050 N  63  18.2630 W   1.9        3.9        4.3        2.9        2.6 
020812  222038  48   4.3050 N  63  18.2630 W   1.9        3.9        4.3        2.9        2.6 
020812  222038  48   4.3050 N  63  18.2630 W   1.9        3.9        4.3        2.9        2.6 
020812  222038  48   4.3050 N  63  18.2630 W   1.9        3.9        4.3        2.9        2.6 
020812  222040  48   4.3050 N  63  18.2640 W   2.2        3.9        4.3        2.9        2.6 
020812  222040  48   4.3050 N  63  18.2640 W   2.2        3.9        4.3        2.9        2.6 
020812  222040  48   4.3050 N  63  18.2640 W   2.2        3.0*       4.3        3.2*       2.6 
020812  222040  48   4.3050 N  63  18.2640 W   2.2        3.0        4.3        3.2        0.0*
020812  222040  48   4.3050 N  63  18.2640 W   2.2        3.0        4.3        3.2        0.0 
020812  222042  48   4.3040 N  63  18.2660 W   1.4        3.0        4.3        3.2        0.0 
020812  222042  48   4.3040 N  63  18.2660 W   1.4        3.0        4.3        3.2        0.0 
020812  222042  48   4.3040 N  63  18.2660 W   1.4        3.0        4.3        3.2        0.0 
020812  222042  48   4.3040 N  63  18.2660 W   1.4        3.0        4.3        3.2        0.0 
020812  222042  48   4.3040 N  63  18.2660 W   1.4        3.0        4.3        3.2        0.0 
020812  222042  48   4.3040 N  63  18.2660 W   1.4        3.0        4.3        3.2        0.0 
020812  222044  48   4.3040 N  63  18.2670 W   2.2        3.0        4.3        3.2        0.0 
020812  222044  48   4.3040 N  63  18.2670 W   2.2        3.0        4.3        3.2        0.0 
020812  222044  48   4.3040 N  63  18.2670 W   2.2        3.0        4.3        3.2        0.0 
020812  222044  48   4.3040 N  63  18.2670 W   2.2        3.0        4.3        3.2        0.0 
020812  222044  48   4.3040 N  63  18.2670 W   2.2        3.0        4.3        2.6*       0.0 
020812  222046  48   4.3030 N  63  18.2680 W   1.5        3.0        4.3        2.6        0.0 
020812  222046  48   4.3030 N  63  18.2680 W   1.5        3.0        4.3        2.6        0.0 
020812  222046  48   4.3030 N  63  18.2680 W   1.5        3.0        2.6*       2.6        4.8*
020812  222046  48   4.3030 N  63  18.2680 W   1.5        3.0        2.6        2.6        4.8 
020812  222046  48   4.3030 N  63  18.2680 W   1.5        3.0        2.6        2.6        4.8 
020812  222048  48   4.3030 N  63  18.2700 W   1.9        3.0        2.6        2.6        4.8 
020812  222048  48   4.3030 N  63  18.2700 W   1.9        3.0        2.6        2.6        4.8 
