FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP203.TXT
Local Time: Tue Aug 13 08:17:27 2002

Ship: GULF2002 Trip: TRIP003 Tow: GP203
Comments: Shediac Valley *Francois
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
020813  104234  47  45.6170 N  64   9.5450 W   2.0        9.6       11.5*       2.0*     269.2*
020813  104234  47  45.6170 N  64   9.5450 W   2.0        9.6       11.5        2.0      269.2 
020813  104234  47  45.6170 N  64   9.5450 W   2.0        9.6       11.5        2.0      269.2 
020813  111730  47  44.0410 N  64   4.1040 W   0.9        9.6       11.5        2.0      269.2 
020813  111730  47  44.0410 N  64   4.1040 W   0.9        9.6       11.5        2.0      269.2 
020813  111730  47  44.0410 N  64   4.1040 W   0.9        9.6       11.5        1.2*     269.2 
020813  111730  47  44.0410 N  64   4.1040 W   0.9        9.6       11.5        1.2        0.9*
020813  111730  47  44.0410 N  64   4.1040 W   0.9        9.6       11.5        1.2        0.9 
020813  111732  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111732  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111732  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111732  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111732  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111732  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111732  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111732  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111732  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111734  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111734  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111734  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        1.2        0.9 
020813  111734  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        2.6*       0.9 
020813  111734  47  44.0410 N  64   4.1050 W   0.9        9.6       11.5        2.6        0.9 
020813  111736  47  44.0410 N  64   4.1060 W   1.2        9.6       11.5        2.6        0.9 
020813  111736  47  44.0410 N  64   4.1060 W   1.2        9.6       11.5        2.6        0.9 
020813  111736  47  44.0410 N  64   4.1060 W   1.2        9.6       11.5        2.6        0.9 
020813  111736  47  44.0410 N  64   4.1060 W   1.2        9.6       11.5        2.6        0.9 
020813  111736  47  44.0410 N  64   4.1060 W   1.2        9.6       11.5        2.6        0.9 
020813  111736  47  44.0410 N  64   4.1060 W   1.2        9.6       11.5        2.6        0.9 
020813  111738  47  44.0420 N  64   4.1060 W   0.8        9.6       11.5        2.6        0.9 
020813  111738  47  44.0420 N  64   4.1060 W   0.8        9.6       11.5        2.6        0.9 
020813  111738  47  44.0420 N  64   4.1060 W   0.8        9.6       11.5        2.6        0.9 
020813  111738  47  44.0420 N  64   4.1060 W   0.8        9.6       11.5        2.6        0.9 
020813  111738  47  44.0420 N  64   4.1060 W   0.8        9.6       11.5        2.6        0.9 
020813  111740  47  44.0420 N  64   4.1070 W   1.2        9.6       11.5        2.6        0.9 
020813  111740  47  44.0420 N  64   4.1070 W   1.2        9.6       11.5        2.6        0.9 
020813  111740  47  44.0420 N  64   4.1070 W   1.2        9.6       11.5        2.6        0.9 
020813  111740  47  44.0420 N  64   4.1070 W   1.2        9.6       11.5        3.2*       0.9 
020813  111740  47  44.0420 N  64   4.1070 W   1.2        9.6       11.5        3.2        0.9 
020813  111742  47  44.0420 N  64   4.1070 W   0.7        9.6       11.5        3.2        0.9 
020813  111742  47  44.0420 N  64   4.1070 W   0.7        9.6       11.5        3.2        0.9 
020813  111742  47  44.0420 N  64   4.1070 W   0.7        9.6       11.5        3.2        0.9 
020813  111742  47  44.0420 N  64   4.1070 W   0.7        9.6       11.5        3.2        0.9 
020813  111742  47  44.0420 N  64   4.1070 W   0.7        9.6       11.5        3.2        0.9 
