FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP217.TXT
Local Time: Wed Aug 14 14:30:42 2002

Ship: GULF2002 Trip: TRIP003 Tow: GP217
Comments: Secteur Nord du Eastern Bradelle
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
020814  165436  48  11.0200 N  62  14.1730 W   2.2        2.9*       2.3*       1.9*       3.5*
020814  165436  48  11.0200 N  62  14.1730 W   2.2        2.9        2.3        1.9        3.5 
020814  165436  48  11.0200 N  62  14.1730 W   2.2        2.9        2.3        1.9        3.5 
020814  173046  48   8.7980 N  62   8.5980 W   1.6        2.9        2.3        1.9        3.5 
020814  173046  48   8.7980 N  62   8.5980 W   1.6        2.9        2.3        1.9        3.5 
020814  173046  48   8.7980 N  62   8.5980 W   1.6        2.9        2.3        1.9        3.5 
020814  173046  48   8.7980 N  62   8.5980 W   1.6        2.9        2.3        1.9        3.5 
020814  173046  48   8.7980 N  62   8.5980 W   1.6        2.9        2.3        1.9        3.5 
020814  173046  48   8.7980 N  62   8.5980 W   1.6        2.9        2.3        1.9        3.5 
020814  173046  48   8.7980 N  62   8.5980 W   1.6        2.9        2.3        1.9        3.5 
020814  173046  48   8.7980 N  62   8.5980 W   1.6        2.9        2.3        1.9        3.5 
020814  173046  48   8.7980 N  62   8.5980 W   1.6        2.9        2.3        1.9        3.5 
020814  173048  48   8.7980 N  62   8.5990 W   1.8        2.9        2.3        1.9        3.5 
020814  173048  48   8.7980 N  62   8.5990 W   1.8        2.9        2.3        1.9        3.5 
020814  173048  48   8.7980 N  62   8.5990 W   1.8        2.9        2.3        2.1*       3.5 
020814  173048  48   8.7980 N  62   8.5990 W   1.8        2.9        2.3        2.1        3.5 
020814  173048  48   8.7980 N  62   8.5990 W   1.8        2.9        2.3        2.1        3.5 
020814  173050  48   8.7990 N  62   8.6010 W   1.9        2.9        2.3        2.1        3.5 
020814  173050  48   8.7990 N  62   8.6010 W   1.9        2.9        2.3        2.1        3.5 
020814  173050  48   8.7990 N  62   8.6010 W   1.9        2.9        2.3        2.1        3.5 
020814  173050  48   8.7990 N  62   8.6010 W   1.9        2.9        2.3        2.1        4.4*
020814  173050  48   8.7990 N  62   8.6010 W   1.9        2.9        2.3        2.1        4.4 
020814  173050  48   8.7990 N  62   8.6010 W   1.9        2.9        2.3        2.1        4.4 
020814  173052  48   8.7990 N  62   8.6020 W   1.5        2.9        2.3        2.1        4.4 
020814  173052  48   8.7990 N  62   8.6020 W   1.5        2.9        2.3        2.1        4.4 
020814  173052  48   8.7990 N  62   8.6020 W   1.5        2.9        2.3        2.1        4.4 
020814  173052  48   8.7990 N  62   8.6020 W   1.5        2.9        2.3        2.1        4.4 
020814  173052  48   8.7990 N  62   8.6020 W   1.5        2.9        2.3        2.1        4.4 
020814  173054  48   8.8000 N  62   8.6030 W   2.0        2.9        2.3        1.8*       4.4 
020814  173054  48   8.8000 N  62   8.6030 W   2.0        2.9        2.3        1.8        4.4 
020814  173054  48   8.8000 N  62   8.6030 W   2.0        2.9        2.3        1.8        4.4 
020814  173054  48   8.8000 N  62   8.6030 W   2.0        2.9        2.3        1.8        4.4 
020814  173054  48   8.8000 N  62   8.6030 W   2.0        2.9        2.3        1.8        4.4 
020814  173056  48   8.8000 N  62   8.6050 W   1.6        2.9        2.3        1.8        4.4 
020814  173056  48   8.8000 N  62   8.6050 W   1.6        2.9        2.3        1.8        4.4 
020814  173056  48   8.8000 N  62   8.6050 W   1.6        2.9        2.3        1.8        4.4 
020814  173056  48   8.8000 N  62   8.6050 W   1.6        2.9        2.3        1.8        6.6*
020814  173056  48   8.8000 N  62   8.6050 W   1.6        2.9        2.3        1.8        6.6 
020814  173056  48   8.8000 N  62   8.6050 W   1.6        2.9        2.3        1.8        6.6 
020814  173056  48   8.8000 N  62   8.6050 W   1.6        2.9        2.3        1.8        6.6 
020814  173056  48   8.8000 N  62   8.6050 W   1.6        2.9        2.3        1.8        6.6 
020814  173056  48   8.8000 N  62   8.6050 W   1.6        2.9        2.3        1.8        6.6 
020814  173058  48   8.8010 N  62   8.6060 W   1.7        2.9        2.3        1.8        6.6 
020814  173058  48   8.8010 N  62   8.6060 W   1.7        2.9        2.3        1.8        6.6 
020814  173058  48   8.8010 N  62   8.6060 W   1.7        2.9        2.3        1.8        6.6 
020814  173058  48   8.8010 N  62   8.6060 W   1.7        2.9        2.3        1.8*       6.6 
020814  173058  48   8.8010 N  62   8.6060 W   1.7        2.9        2.3        1.8        6.6 
020814  173100  48   8.8020 N  62   8.6070 W   1.8        2.9        2.3        1.8        6.6 
020814  173100  48   8.8020 N  62   8.6070 W   1.8        2.9        2.3        1.8        6.6 
020814  173100  48   8.8020 N  62   8.6070 W   1.8        2.9        2.3        1.8        6.6 
020814  173100  48   8.8020 N  62   8.6070 W   1.8        2.9        2.3        1.8        7.0*
020814  173100  48   8.8020 N  62   8.6070 W   1.8        2.9        2.3        1.8        7.0 
020814  173100  48   8.8020 N  62   8.6070 W   1.8        2.9        2.3        1.8        7.0 
020814  173102  48   8.8020 N  62   8.6090 W   1.6        2.9        2.3        1.8        7.0 
020814  173102  48   8.8020 N  62   8.6090 W   1.6        2.9        2.3        1.8        7.0 
020814  173102  48   8.8020 N  62   8.6090 W   1.6        2.9        2.3        1.8        7.0 
020814  173102  48   8.8020 N  62   8.6090 W   1.6        2.9        2.3        1.8        7.0 
020814  173102  48   8.8020 N  62   8.6090 W   1.6        2.9        2.3        1.8        7.0 
020814  173104  48   8.8030 N  62   8.6100 W   1.8        2.9        2.3        1.8        7.0 
020814  173104  48   8.8030 N  62   8.6100 W   1.8        2.9        2.3        1.8        7.0 
020814  173104  48   8.8030 N  62   8.6100 W   1.8        2.9        2.3        2.1*       7.0 
020814  173104  48   8.8030 N  62   8.6100 W   1.8        2.9        2.3        2.1        7.0 
020814  173104  48   8.8030 N  62   8.6100 W   1.8        2.9        2.3        2.1        7.0 
020814  173106  48   8.8040 N  62   8.6110 W   1.7        2.9        2.3        2.1        7.0 
